"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Washington Commanders","QB","17","663","598","396","4627","39","105.7","62","292","4.709677419354839","1","","","","","","21.487058823529413","365.28000000000003"
"2","Philadelphia Eagles","QB","17","732","652","425","4551","35","97.6","61","318","5.213114754098361","2","","","","","","21.225882352941174","360.84"
"3","Detroit Lions","QB","17","661","588","371","4562","28","91.5","92","419","4.554347826086956","5","2","2","15","7.5","","20.698823529411765","351.88"
"4","Arizona Cardinals","QB","17","571","505","346","3829","32","102.8","73","353","4.835616438356165","5","","","","","","19.67411764705882","334.46"
"5","Los Angeles Rams","QB","17","680","604","367","4195","24","88","93","372","4","6","","","","","","19.647058823529413","334"
"6","Los Angeles Chargers","QB","17","666","596","387","4568","25","95.8","70","230","3.2857142857142856","6","","","","","","19.277647058823533","327.72"
"7","Tampa Bay Buccaneers","QB","17","679","610","403","4555","23","91.9","59","224","3.7966101694915255","6","2","2","30","15","1","19.27058823529412","327.6"
"8","Jacksonville Jaguars","QB","17","689","614","403","4362","27","90.9","75","323","4.306666666666667","4","2","1","-7","-3.5","","18.94588235294118","322.08000000000004"
"9","Atlanta Falcons","QB","17","620","549","340","3707","24","90.3","84","410","4.880952380952381","6","4","4","28","7","","18.710588235294118","318.08"
"10","Miami Dolphins","QB","17","652","567","379","4125","27","92.9","80","304","3.8","5","","","","","","18.552941176470586","315.4"
"11","Cincinnati Bengals","QB","17","643","553","363","4478","22","91","88","375","4.261363636363637","4","","","","","","18.389411764705883","312.62"
"12","Denver Broncos","QB","17","638","569","381","4288","29","98.2","65","245","3.769230769230769","2","","","","","","18.118823529411763","308.02"
"13","Indianapolis Colts","QB","17","647","567","370","4157","21","88.3","72","353","4.902777777777778","6","1","1","14","14","","17.881176470588233","303.97999999999996"
"14","Houston Texans","QB","17","645","563","380","4308","17","89.9","64","281","4.390625","7","","","","","","17.848235294117643","303.41999999999996"
"15","Seattle Seahawks","QB","17","659","583","389","4247","20","91.6","87","437","5.022988505747127","3","","","","","","17.563529411764705","298.58"
"16","Chicago Bears","QB","17","676","616","409","4242","30","87.5","50","195","3.9","1","","","","","","17.30470588235294","294.18"
"17","Minnesota Vikings","QB","17","674","605","425","4239","22","94.4","73","262","3.589041095890411","4","","","","","","17.221176470588233","292.76"
"18","New York Giants","QB","17","635","582","371","4157","21","84.1","50","252","5.04","4","2","2","2","1","","16.569411764705883","281.68"
"19","Tennessee Titans","QB","17","645","570","387","4181","20","96.5","59","213","3.610169491525424","2","","","","","","15.97294117647059","271.54"
"20","New Orleans Saints","QB","17","631","556","332","3755","22","79.7","72","392","5.444444444444445","2","","","","","","15.905882352941179","270.40000000000003"
"21","Green Bay Packers","QB","17","613","523","342","3803","21","94.7","79","407","5.151898734177215","1","","","","","","15.871764705882352","269.82"
"22","Pittsburgh Steelers","QB","17","652","572","347","4158","22","84.1","60","274","4.566666666666666","","","","","","","15.80705882352941","268.71999999999997"
"23","Las Vegas Raiders","QB","17","648","562","375","3889","21","89.3","70","283","4.042857142857143","2","","","","","","15.521176470588236","263.86"
"24","Dallas Cowboys","QB","17","588","506","305","3418","21","80.3","79","317","4.012658227848101","4","2","2","14","7","","15.401176470588235","261.82"
"25","San Francisco 49ers","QB","17","705","620","410","3949","20","79.7","86","332","3.86046511627907","2","","","","","","15.362352941176471","261.16"
"26","New England Patriots","QB","17","635","573","369","3787","18","86.5","87","179","2.057471264367816","4","","","","","","15.25764705882353","259.38"
"27","Kansas City Chiefs","QB","17","647","554","339","3353","19","83.7","91","342","3.758241758241758","4","","","","","","15.195294117647059","258.32"
"28","Buffalo Bills","QB","17","646","551","362","3658","18","81.8","77","336","4.363636363636363","4","","","","","","15.112941176470585","256.91999999999996"
"29","Cleveland Browns","QB","17","615","535","307","3149","23","74.7","72","251","3.486111111111111","5","","","","","","14.768235294117646","251.06"
"30","Baltimore Ravens","QB","17","732","634","384","3717","18","74.6","55","285","5.181818181818182","1","1","1","","","","13.834117647058823","235.18"
"31","New York Jets","QB","17","603","522","313","3182","19","76","73","311","4.260273972602739","2","","","","","","13.316470588235294","226.38"
"32","Carolina Panthers","QB","17","520","480","308","3101","19","88.7","60","49","0.8166666666666667","3","1","1","-6","-6","","12.784705882352943","217.34000000000003"
