"Team Details","","","","Passing","","","","","","Rushing","","","Receiving","","","","","2PT","","","Fantasy Points","","","",""
"ID","Rank","Name","G","DB","ATT","CMP","YDS","TD","INT","TM ATT","YDS","TD","RTE","TM TGT","REC","YDS","TD","Pa2PT","Ru2PT","2PT","FP/G","FP","PaFP","RuFP","RecFP"
"30","1","Tampa Bay Buccaneers","17","764","731","492","5383","43","12","385","1672","18","3412","696","492","5383","43","","1","1","66.91294117647058","1137.52","373.32","274.20000000000005","1286.3000000000002"
"9","2","Dallas Cowboys","17","701","647","444","4963","40","11","473","2119","15","3055","621","444","4963","40","2","4","6","64.49529411764706","1096.42","347.52","305.9","1184.3"
"18","3","Los Angeles Chargers","17","741","674","443","5014","38","15","423","1834","18","3245","635","443","5014","38","6","1","7","63.46823529411765","1078.96","348.56","291.4","1181.4"
"16","4","Kansas City Chiefs","17","751","675","448","4937","37","13","431","1955","16","3329","617","448","4937","37","1","1","2","62.58705882352941","1063.98","332.48","288.5","1162.7"
"4","5","Buffalo Bills","17","729","655","415","4450","36","16","461","2209","20","3151","596","415","4450","36","2","1","3","62.464705882352945","1061.9","309","339.9","1079"
"1","6","Arizona Cardinals","17","662","591","415","4619","27","11","496","2076","23","2918","558","415","4619","27","","","","61.080000000000005","1038.3600000000001","280.76","344.6","1037.9"
"12","7","Green Bay Packers","17","648","593","402","4526","39","7","446","1900","13","2699","559","402","4526","39","","1","1","58.59058823529411","996.04","329.03999999999996","268","1087.6"
"3","8","Baltimore Ravens","17","743","611","396","4267","21","18","517","2479","18","3291","569","396","4267","21","2","","2","57.9164705882353","984.58","237.68","352.9","950.7"
"17","9","Los Angeles Rams","17","647","607","406","4893","41","18","420","1683","10","2848","584","406","4893","41","2","","2","57.35411764705882","975.02","343.72","226.3","1145.3"
"7","10","Cincinnati Bengals","17","630","555","384","4806","36","14","436","1742","16","2827","524","384","4806","36","1","","1","57.14352941176471","971.44","322.24","269.20000000000005","1080.6"
"22","11","New England Patriots","17","578","535","364","4098","24","13","489","2151","24","2544","510","364","4098","24","2","1","3","56.82470588235294","966.02","248.92000000000002","358.1","917.8"
"31","12","Tennessee Titans","17","601","535","359","3745","22","14","551","2404","23","2574","497","359","3745","22","1","1","2","56.129411764705885","954.2","222.8","376.4","864.5"
"21","13","Minnesota Vikings","17","650","604","398","4450","34","7","449","1930","10","2845","560","398","4450","34","","1","1","56.11764705882353","954","305","252","1046"
"29","14","San Francisco 49ers","17","565","514","343","4437","26","14","499","2166","22","2437","485","343","4437","26","1","1","2","56.063529411764705","953.08","267.48","349.6","940.7"
"14","15","Indianapolis Colts","17","579","521","324","3588","27","8","499","2540","22","2519","484","324","3588","27","2","","2","55.67764705882353","946.52","243.52","383","847.8"
"26","16","Philadelphia Eagles","17","579","494","307","3585","20","10","550","2715","25","2421","447","307","3585","20","3","2","5","55.641176470588235","945.9","218.4","421.5","790.5"
"19","17","Las Vegas Raiders","17","686","628","429","4808","23","14","414","1617","14","3074","590","429","4808","23","","","","55.001176470588234","935.02","265.32","243.70000000000002","1044.8"
"28","18","Seattle Seahawks","17","568","495","324","3815","30","7","413","2074","18","2461","461","324","3815","30","1","","2","53.11764705882353","903","265.6","314.4","884.5"
"8","19","Cleveland Browns","17","600","520","320","3619","21","14","485","2471","20","2651","483","320","3619","21","2","1","3","52.93294117647059","899.86","213.76","368.1","809.9000000000001"
"11","20","Detroit Lions","17","642","593","396","3884","23","14","427","1886","12","2854","553","396","3884","23","5","","5","52.40941176470589","890.96","239.36","256.6","931.4000000000001"
"27","21","Pittsburgh Steelers","17","708","664","425","4017","23","11","411","1583","10","3034","637","425","4017","23","2","","2","51.76352941176471","879.98","240.68","218.3","965.7"
"10","22","Denver Broncos","17","603","541","354","3856","20","9","455","2025","16","2726","502","354","3856","20","1","","1","51.22","870.74","227.24","292.5","860.6"
"32","23","Washington Football Team","17","635","550","356","3746","21","15","477","2061","13","2871","509","355","3748","21","","2","2","50.172941176470594","852.94","215.84","285.1","852.8"
"20","24","Miami Dolphins","17","687","615","404","3936","21","14","442","1568","12","2843","588","404","3936","21","2","","2","50.131764705882354","852.24","227.44","226.8","926.6"
"25","25","New York Jets","17","676","603","357","3959","20","20","380","1667","14","2956","559","357","3959","20","2","2","4","48.65058823529412","827.0600000000001","220.36","253.70000000000002","872.9000000000001"
"5","26","Carolina Panthers","17","681","599","348","3573","14","21","455","1842","17","2918","548","348","3573","14","3","","3","47.654117647058825","810.12","181.92000000000002","281.20000000000005","794.3"
"6","27","Chicago Bears","17","658","542","332","3635","16","20","475","2018","14","2887","503","332","3635","16","3","","3","47.30588235294118","804.2","190.4","283.8","797.5"
"2","28","Atlanta Falcons","17","630","573","377","3987","20","15","393","1451","11","2738","532","377","3987","20","","1","1","47.26941176470588","803.5799999999999","221.48","210.1","890.7"
"23","29","New Orleans Saints","17","579","504","293","3437","29","13","510","1991","12","2474","449","293","3437","29","","","","47.03411764705883","799.58","238.48","270.1","809.7"
"15","30","Jacksonville Jaguars","17","668","604","361","3674","12","17","392","1755","13","2931","559","361","3674","12","2","","2","46.144705882352945","784.46","176.96","249.5","802.4000000000001"
"13","31","Houston Texans","17","615","546","354","3630","21","15","420","1422","8","2619","502","354","3630","21","1","1","2","44.43529411764706","755.4000000000001","215.20000000000002","191.20000000000002","841"
"24","32","New York Giants","17","665","593","351","3463","15","20","419","1688","8","2851","543","351","3463","15","1","3","4","43.78352941176471","744.32","174.52","220.8","787.3"
