"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Arizona Cardinals","TE","17","2","2","2","48","","118.8","4","10","2.5","","126","101","1084","8.603174603174603","12","16.842352941176472","286.32"
"2","Seattle Seahawks","TE","17","1","1","1","22","1","158.3","9","112","12.444444444444445","3","122","82","1177","9.647540983606557","8","16.692941176470587","283.78"
"3","Miami Dolphins","TE","17","","","","","","","3","12","4","","119","98","954","8.016806722689076","10","15.03529411764706","255.60000000000002"
"4","Tennessee Titans","TE","17","","","","","","","","","","","131","98","1127","8.603053435114504","7","14.86470588235294","252.7"
"5","Atlanta Falcons","TE","17","2","2","2","80","1","158.3","13","105","8.076923076923077","1","122","90","970","7.950819672131147","7","14.805882352941175","251.7"
"6","Denver Broncos","TE","17","","","","","","","1","1","1","","136","99","1047","7.698529411764706","7","14.458823529411765","245.8"
"7","Jacksonville Jaguars","TE","17","","","","","","","1","2","2","","114","83","1087","9.535087719298245","7","13.876470588235295","235.9"
"8","Tampa Bay Buccaneers","TE","17","1","1","1","21","","118.8","7","25","3.5714285714285716","1","114","83","860","7.543859649122807","9","13.667058823529413","232.34"
"9","New York Jets","TE","17","","","","","","","2","6","3","1","131","94","1039","7.931297709923665","4","13.441176470588236","228.5"
"10","Detroit Lions","TE","17","","","","","","","1","2","2","","102","77","860","8.431372549019608","11","13.423529411764704","228.2"
"11","New York Giants","TE","17","","","","","","","2","-2","-1","1","115","89","938","8.156521739130435","6","13.211764705882354","224.60000000000002"
"12","Las Vegas Raiders","TE","17","1","1","1","2","","79.2","11","82","7.454545454545454","","122","90","842","6.901639344262295","7","13.204705882352942","224.48000000000002"
"13","Cincinnati Bengals","TE","16","4","4","2","16","","60.4","6","37","6.166666666666667","","119","89","932","7.831932773109243","3","12.596250000000001","201.54000000000002"
"14","Kansas City Chiefs","TE","17","","","","","","","","","","","108","74","802","7.425925925925926","9","12.36470588235294","210.2"
"15","New England Patriots","TE","17","","","","","","","1","","","","104","73","686","6.596153846153846","11","12.211764705882354","207.60000000000002"
"16","Indianapolis Colts","TE","17","","","","","","","1","1","1","","103","73","848","8.233009708737864","7","12.111764705882353","205.9"
"17","Pittsburgh Steelers","TE","17","1","1","","","","39.6","3","1","0.3333333333333333","","116","85","897","7.732758620689655","5","11.988235294117647","203.8"
"18","Minnesota Vikings","TE","17","","","","","","","6","45","7.5","1","89","67","814","9.146067415730338","7","11.876470588235295","201.9"
"19","Houston Texans","TE","17","","","","","","","3","20","6.666666666666667","","111","76","828","7.45945945945946","6","11.576470588235296","196.8"
"20","Philadelphia Eagles","TE","17","4","2","2","24","","116.7","14","46","3.2857142857142856","1","119","81","801","6.73109243697479","3","11.21529411764706","190.66000000000003"
"21","Los Angeles Rams","TE","17","4","3","1","14","","49.3","9","52","5.777777777777778","","93","65","698","7.505376344086022","8","11.091764705882353","188.56"
"22","Los Angeles Chargers","TE","17","","","","","","","2","6","3","","104","64","881","8.471153846153847","5","10.86470588235294","184.7"
"23","Carolina Panthers","TE","17","","","","","","","6","24","4","","99","70","686","6.929292929292929","6","10.352941176470589","176"
"24","Baltimore Ravens","TE","17","1","1","1","13","","118.8","1","6","6","","95","72","648","6.821052631578947","6","10.23058823529412","173.92000000000002"
"25","San Francisco 49ers","TE","17","1","1","","","","39.6","6","13","2.1666666666666665","","108","78","703","6.5092592592592595","4","10.211764705882352","173.6"
"26","Cleveland Browns","TE","17","","","","","","","12","66","5.5","1","102","64","760","7.450980392156863","2","9.68235294117647","164.6"
"27","Green Bay Packers","TE","17","","","","","","","2","3","1.5","1","84","61","540","6.428571428571429","7","9.605882352941178","163.3"
"28","Washington Commanders","TE","17","","","","","","","","","","","93","65","622","6.688172043010753","5","9.188235294117646","156.2"
"29","Chicago Bears","TE","17","","","","","","","","","","","83","60","566","6.819277108433735","6","9.094117647058823","154.6"
"30","Buffalo Bills","TE","16","","","","","","","1","4","4","","112","82","616","5.5","","9","144"
"31","Dallas Cowboys","TE","17","","","","","","","1","2","2","","109","79","658","6.036697247706422","1","8.823529411764707","150"
"32","New Orleans Saints","TE","17","","","","","","","1","","","","107","59","524","4.897196261682243","2","7.376470588235295","125.4"
