"Team Details","","","","Passing","","","","","","Rushing","","","Receiving","","","","","2PT","","","Fantasy Points","","","",""
"ID","Rank","Name","G","DB","ATT","CMP","YDS","TD","INT","TM ATT","YDS","TD","RTE","TM TGT","REC","YDS","TD","Pa2PT","Ru2PT","2PT","FP/G","FP","PaFP","RuFP","RecFP"
"11","1","Detroit Lions","17","644","606","408","4606","30","12","500","2311","27","2685","560","408","4606","30","2","1","3","64.02000000000001","1088.3400000000001","294.24","390.1","1049.6"
"20","2","Miami Dolphins","17","613","566","393","4698","30","15","456","2308","27","2457","539","393","4698","30","","","","62.86588235294118","1068.72","291.92","385.8","1040.8"
"29","3","San Francisco 49ers","17","545","491","336","4577","33","12","499","2389","27","2349","460","336","4577","33","","","","60.82235294117647","1033.98","300.08000000000004","398.9","990.7"
"9","4","Dallas Cowboys","17","681","614","428","4660","36","10","468","1920","14","2974","591","428","4660","36","3","1","4","60.3764705882353","1026.4","325.4","276","1114"
"4","5","Buffalo Bills","17","651","579","385","4306","29","18","512","2212","22","2824","540","385","4306","29","3","","3","59.08470588235294","1004.44","275.24","349.20000000000005","991.6"
"3","6","Baltimore Ravens","17","608","494","328","3881","27","7","541","2661","26","2568","464","328","3881","27","1","1","2","58.72588235294118","998.34","254.24","419.1","877.1"
"26","7","Philadelphia Eagles","17","652","563","369","4067","24","16","510","2190","22","2718","512","369","4067","24","","1","1","56.040000000000006","952.6800000000001","240.68","348","915.7"
"17","8","Los Angeles Rams","17","638","583","361","4300","26","13","477","2045","18","2728","541","361","4300","26","3","1","4","55.26470588235294","939.5","268","313.5","951"
"23","9","New Orleans Saints","17","653","606","406","4225","28","11","480","1742","13","2790","573","406","4225","28","2","2","4","54.65882352941177","929.2","272","253.20000000000002","1000.5"
"15","10","Jacksonville Jaguars","17","706","620","412","4377","22","14","453","1646","17","2945","587","412","4377","22","1","2","3","53.98117647058824","917.6800000000001","246.08000000000004","267.6","977.7"
"16","11","Kansas City Chiefs","17","717","635","421","4383","28","17","417","1784","9","3037","591","421","4383","28","","","","53.68941176470588","912.72","267.32","231.4","1022.3"
"7","12","Cincinnati Bengals","17","695","615","420","4257","27","14","383","1527","12","2910","578","420","4257","27","1","","1","53.46941176470588","908.98","265.28","224.70000000000002","1008.7"
"12","13","Green Bay Packers","17","635","581","374","4210","32","11","441","1905","10","2634","551","374","4210","32","2","","2","53.34705882352941","906.9","288.4","247.5","990"
"21","14","Minnesota Vikings","17","711","631","424","4700","30","19","393","1553","7","2997","596","424","4700","30","1","","1","52.78235294117647","897.3","284","193.3","1073"
"1","15","Arizona Cardinals","17","630","555","355","3430","18","12","471","2365","17","2766","525","355","3430","18","1","3","4","52.51176470588236","892.7","195.20000000000002","343.5","808"
"18","16","Los Angeles Chargers","17","715","632","409","4312","24","8","431","1642","11","3024","603","409","4312","24","1","","1","52.275294117647064","888.6800000000001","257.48","227.20000000000002","982.2"
"14","17","Indianapolis Colts","17","643","574","355","3882","18","10","479","2059","19","2694","527","355","3882","18","4","","4","52.24588235294118","888.1800000000001","220.28","317.9","858.2"
"32","18","Washington Commanders","17","735","636","407","4174","24","21","359","1592","14","3215","579","407","4174","24","1","2","3","52.18588235294118","887.1600000000001","242.96000000000004","242.20000000000002","967.4000000000001"
"8","19","Cleveland Browns","17","698","624","355","4011","24","23","518","2017","15","3022","578","355","4011","24","1","5","6","51.65529411764706","878.14","231.44","296.70000000000005","898.1"
"13","20","Houston Texans","17","663","592","372","4578","27","8","444","1647","10","2790","556","372","4578","27","1","1","2","51.6364705882353","877.82","282.12","225.70000000000002","991.8"
"6","21","Chicago Bears","17","618","513","321","3421","19","15","534","2399","16","2508","461","321","3421","19","","1","1","49.80823529411765","846.74","192.84","336.9","774.1"
"28","22","Seattle Seahawks","17","637","575","371","4167","23","12","382","1580","11","2717","528","371","4167","23","2","","2","49.451764705882354","840.6800000000001","248.68","223","929.7"
"30","23","Tampa Bay Buccaneers","17","638","568","364","4044","28","10","439","1509","8","2755","535","364","4044","28","2","","2","48.39176470588235","822.66","264.76","197.9","936.4000000000001"
"2","24","Atlanta Falcons","17","603","530","327","3775","17","17","522","2159","14","2545","494","327","3775","17","2","","2","48.34705882352941","821.9","202","293.9","809.5"
"10","25","Denver Broncos","17","604","513","337","3566","28","9","451","1810","8","2471","466","337","3566","28","2","2","4","47.44941176470588","806.64","245.64000000000001","231","860.6"
"27","26","Pittsburgh Steelers","17","566","506","323","3421","13","9","487","2010","16","2450","474","323","3421","13","1","","1","46.75529411764706","794.84","180.84","294","743.1"
"19","27","Las Vegas Raiders","17","606","557","348","3666","20","18","413","1542","11","2516","517","348","3666","20","1","1","2","45.578823529411764","774.84","208.64000000000001","220.20000000000002","834.6"
"31","28","Tennessee Titans","17","579","494","304","3512","14","11","444","1846","16","2251","461","304","3512","14","1","","2","45.004705882352944","765.08","185.48","276.6","741.2"
"24","29","New York Giants","17","671","518","338","3351","15","12","454","1874","10","2835","474","338","3351","15","","1","1","44.849411764705884","762.44","181.04","246.4","762.1"
"22","30","New England Patriots","17","627","557","351","3392","16","21","415","1627","9","2632","531","351","3392","16","","","","43.43411764705883","738.38","176.68","214.70000000000002","782.2"
"5","31","Carolina Panthers","17","683","586","350","3245","13","10","445","1769","7","3007","521","350","3245","13","1","2","3","43.33529411764706","736.7","167.8","219.9","753.5"
"25","32","New York Jets","17","696","601","356","3373","11","15","388","1647","7","2943","545","356","3373","11","1","2","3","42.0364705882353","714.62","159.92000000000002","204.70000000000002","759.3"
