"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Detroit Lions","QB","17","640","560","353","4446","26","94.2","100","700","7","7","","","","","","22.637647058823532","384.84000000000003"
"2","Kansas City Chiefs","QB","17","711","617","407","4138","33","95.4","94","444","4.723404255319149","4","1","1","-2","-2","","20.630588235294116","350.71999999999997"
"3","Miami Dolphins","QB","17","694","623","415","4259","27","95.2","88","525","5.965909090909091","3","1","1","2","2","","20.29764705882353","345.06"
"4","Tennessee Titans","QB","17","736","669","438","4931","29","93.1","67","217","3.2388059701492535","3","1","1","4","4","","20.13764705882353","342.34"
"5","Minnesota Vikings","QB","17","693","616","408","4756","23","91.7","62","342","5.516129032258065","4","","","","","","19.20235294117647","326.44"
"6","Chicago Bears","QB","17","530","479","322","3817","22","94.4","102","379","3.715686274509804","9","","","","","","19.09294117647059","324.58"
"7","Las Vegas Raiders","QB","17","640","589","398","4319","25","98.9","60","269","4.483333333333333","4","1","1","1","1","","18.985882352941175","322.76"
"8","Indianapolis Colts","QB","17","606","535","365","3836","25","96.6","80","351","4.3875","6","","","","","","18.73764705882353","318.54"
"9","Jacksonville Jaguars","QB","17","670","601","385","4258","25","89.1","92","469","5.0978260869565215","2","","","","","","18.601176470588236","316.22"
"10","Arizona Cardinals","QB","17","650","591","412","4133","29","97.9","75","271","3.6133333333333333","3","","","","","","18.37764705882353","312.42"
"11","Carolina Panthers","QB","17","638","580","383","4098","25","93.7","78","241","3.08974358974359","5","","","","","","18.118823529411767","308.02000000000004"
"12","New England Patriots","QB","17","675","595","363","4018","28","83.4","72","348","4.833333333333333","2","","","","","","17.618823529411767","299.52000000000004"
"13","Atlanta Falcons","QB","17","599","559","370","4010","25","94.6","64","221","3.453125","3","","","","","","17.441176470588236","296.5"
"14","Pittsburgh Steelers","QB","17","616","540","331","4064","28","86.4","77","298","3.8701298701298703","","1","1","2","2","1","17.15058823529412","291.56"
"15","Tampa Bay Buccaneers","QB","17","640","568","362","3767","29","92.5","62","277","4.467741935483871","1","","","","","","16.963529411764707","288.38"
"16","Washington Commanders","QB","17","592","514","308","3531","26","90.2","93","381","4.096774193548387","2","","","","","","16.725882352941177","284.34000000000003"
"17","Seattle Seahawks","QB","17","621","544","341","3863","22","87.4","79","324","4.10126582278481","3","2","1","-8","-4","","16.418823529411764","279.12"
"18","New York Giants","QB","17","636","567","349","3909","21","90","64","351","5.484375","2","","","","","","16.262352941176474","276.46000000000004"
"19","Baltimore Ravens","QB","17","665","592","393","4239","20","88.6","60","233","3.8833333333333333","3","","","","","","16.168235294117647","274.86"
"20","Los Angeles Chargers","QB","17","569","505","310","3693","24","88","57","236","4.140350877192983","3","","","","","","15.959999999999999","271.32"
"21","Dallas Cowboys","QB","17","630","548","344","3755","23","84.8","65","327","5.030769230769231","3","","","","","","15.817647058823532","268.90000000000003"
"22","New Orleans Saints","QB","17","609","535","321","3400","17","83.7","77","409","5.311688311688312","4","","","","","","15.405882352941175","261.9"
"23","Los Angeles Rams","QB","17","614","552","373","4044","22","90.1","51","203","3.980392156862745","1","","","","","","15.297647058823529","260.06"
"24","Philadelphia Eagles","QB","17","652","552","346","3519","21","80.7","69","448","6.492753623188406","2","","","","","","15.209411764705882","258.56"
"25","Green Bay Packers","QB","17","531","476","312","3549","21","87.6","70","383","5.4714285714285715","2","","","","","","15.132941176470588","257.26"
"26","New York Jets","QB","17","631","556","347","3526","15","80.5","81","326","4.0246913580246915","6","","","","","","14.978823529411764","254.64"
"27","San Francisco 49ers","QB","17","661","591","389","4096","20","83.7","62","213","3.435483870967742","2","","","","","","14.949411764705882","254.14"
"28","Denver Broncos","QB","17","666","604","392","3819","20","83.9","60","193","3.216666666666667","2","1","1","6","6","","14.803529411764705","251.66"
"29","Buffalo Bills","QB","16","639","570","362","3721","21","82.1","57","230","4.035087719298246","","","","","","","14.6775","234.84"
"30","Cincinnati Bengals","QB","16","603","554","327","3812","17","81.1","45","194","4.311111111111111","2","","","","","","14.6175","233.88"
"31","Cleveland Browns","QB","17","564","518","314","3530","20","85","62","134","2.161290322580645","3","1","1","-6","-6","","14.11764705882353","240.00000000000003"
"32","Houston Texans","QB","17","591","522","336","3775","15","82.7","85","296","3.4823529411764707","2","","","","","","13.976470588235294","237.6"
