"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Philadelphia Eagles","WR","17","1","","","","","","14","98","7","2","402","256","3125","7.77363184079602","27","44.42941176470588","755.3"
"2","Washington Commanders","WR","17","","","","","","","24","129","5.375","","329","227","3167","9.626139817629179","29","43.03529411764706","731.6"
"3","Detroit Lions","WR","17","","","","","","","19","66","3.473684210526316","1","347","227","3081","8.878962536023055","22","39.98235294117647","679.7"
"4","Minnesota Vikings","WR","17","1","1","1","49","1","158.3","7","37","5.285714285714286","","363","253","3014","8.303030303030303","17","39.00352941176471","663.0600000000001"
"5","New York Giants","WR","17","","","","","","","16","120","7.5","4","363","238","2916","8.03305785123967","16","38.682352941176475","657.6"
"6","Tennessee Titans","WR","17","","","","","","","18","80","4.444444444444445","","357","250","2989","8.372549019607844","15","37.93529411764706","644.9000000000001"
"7","Los Angeles Chargers","WR","17","3","2","2","12","1","131.3","16","164","10.25","2","324","202","2926","9.030864197530864","20","37.91058823529412","644.48"
"8","Los Angeles Rams","WR","17","","","","","","","16","117","7.3125","2","361","212","2851","7.8975069252077565","15","36.2235294117647","615.8"
"9","Tampa Bay Buccaneers","WR","17","","","","","","","8","4","0.5","","335","225","3036","9.06268656716418","14","36.11764705882353","614"
"10","Jacksonville Jaguars","WR","17","3","3","1","-7","","2.8","12","102","8.5","1","335","218","2667","7.961194029850747","18","35.50705882352941","603.62"
"11","Seattle Seahawks","WR","17","2","1","","","","39.6","19","99","5.2105263157894735","2","329","222","2703","8.21580547112462","14","35.129411764705885","597.2"
"12","Cincinnati Bengals","WR","17","1","1","","","","39.6","18","167","9.277777777777779","1","300","188","2932","9.773333333333333","15","35.11176470588235","596.9"
"13","Miami Dolphins","WR","17","","","","","","","12","42","3.5","","326","225","2665","8.174846625766872","17","35.1","596.7"
"14","San Francisco 49ers","WR","17","1","1","","","","39.6","17","94","5.529411764705882","","352","232","2497","7.09375","16","34.59411764705882","588.1"
"15","New England Patriots","WR","17","","","","","","","10","92","9.2","","323","211","2509","7.767801857585139","14","32.71176470588235","556.1"
"16","Arizona Cardinals","WR","17","1","","","","","","9","54","6","","287","200","2534","8.829268292682928","16","32.69411764705882","555.8"
"17","Pittsburgh Steelers","WR","17","1","","","","","","8","44","5.5","","317","194","2776","8.757097791798108","12","32.35294117647059","550"
"18","Chicago Bears","WR","17","","","","","","","9","36","4","","318","202","2419","7.6069182389937104","17","32.3235294117647","549.5"
"19","Las Vegas Raiders","WR","17","2","1","","","","39.6","10","65","6.5","","293","197","2474","8.443686006825939","16","32.05294117647059","544.9"
"20","Denver Broncos","WR","17","4","3","1","14","","49.3","14","65","4.642857142857143","1","288","193","2617","9.086805555555555","13","31.985882352941175","543.76"
"21","Houston Texans","WR","17","1","1","1","22","","118.8","13","54","4.153846153846154","1","294","193","2724","9.26530612244898","10","31.74588235294118","539.6800000000001"
"22","Green Bay Packers","WR","17","","","","","","","18","136","7.555555555555555","1","288","196","2449","8.503472222222221","13","31.676470588235293","538.5"
"23","Indianapolis Colts","WR","17","","","","","","","6","17","2.8333333333333335","","301","192","2529","8.401993355481727","15","31.564705882352943","536.6"
"24","Baltimore Ravens","WR","17","","","","","","","13","29","2.230769230769231","","372","216","2379","6.395161290322581","12","30.870588235294115","524.8"
"25","New Orleans Saints","WR","17","1","1","","","","39.6","15","87","5.8","1","310","186","2436","7.858064516129033","12","30.42941176470588","517.3"
"26","Buffalo Bills","WR","17","","","","","","","18","151","8.38888888888889","1","287","194","2192","7.637630662020906","13","29.841176470588238","507.3"
"27","Atlanta Falcons","WR","17","","","","","","","16","80","5","","288","176","2160","7.5","16","29.235294117647058","497"
"28","Dallas Cowboys","WR","17","1","1","1","4","","83.3","15","126","8.4","1","299","180","2281","7.62876254180602","11","28.93294117647059","491.86"
"29","Cleveland Browns","WR","17","","","","","","","26","127","4.884615384615385","1","310","167","2076","6.696774193548387","13","27.66470588235294","470.3"
"30","Kansas City Chiefs","WR","17","2","2","1","-1","","56.3","17","102","6","","312","183","2119","6.791666666666667","11","27.591764705882355","469.06"
"31","Carolina Panthers","WR","17","","","","","","","14","103","7.357142857142857","1","262","174","2063","7.874045801526718","11","27.27058823529412","463.6"
"32","New York Jets","WR","17","","","","","","","17","98","5.764705882352941","","243","150","1711","7.041152263374485","5","21.111764705882354","358.90000000000003"
