"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Minnesota Vikings","WR","17","2","2","1","13","","70.8","15","79","5.266666666666667","","388","255","3115","8.028350515463918","18","40.28941176470589","684.9200000000001"
"2","Detroit Lions","WR","17","2","1","","","","39.6","15","53","3.533333333333333","","394","244","3147","7.9873096446700504","13","37.529411764705884","638"
"3","Atlanta Falcons","WR","17","3","2","2","54","","118.8","17","73","4.294117647058823","","320","230","2588","8.0875","22","37.25058823529412","633.26"
"4","Jacksonville Jaguars","WR","17","2","1","1","24","","118.8","14","18","1.2857142857142858","1","316","213","2972","9.405063291139241","17","36.58588235294118","621.96"
"5","Baltimore Ravens","WR","17","1","1","1","2","1","118.8","6","42","7","1","346","220","2827","8.170520231213873","17","36.46941176470588","619.98"
"6","New Orleans Saints","WR","17","","","","","","","20","99","4.95","1","349","217","2826","8.097421203438396","16","36.029411764705884","612.5"
"7","Dallas Cowboys","WR","17","1","1","","","","39.6","20","151","7.55","","312","215","2688","8.615384615384615","19","35.99411764705883","611.9000000000001"
"8","Tampa Bay Buccaneers","WR","17","1","1","","","","39.6","14","68","4.857142857142857","","347","231","2659","7.662824207492795","18","35.86470588235294","609.7"
"9","Cleveland Browns","WR","17","1","1","","","","39.6","22","137","6.2272727272727275","3","284","179","2629","9.257042253521126","20","34.858823529411765","592.6"
"10","Carolina Panthers","WR","17","1","1","1","28","","118.8","12","78","6.5","","301","203","2517","8.362126245847175","21","34.56588235294117","587.62"
"11","Houston Texans","WR","17","1","1","","","","39.6","14","72","5.142857142857143","","328","188","2569","7.8323170731707314","21","34.00588235294118","578.1"
"12","Seattle Seahawks","WR","17","1","1","1","7","1","135.4","18","81","4.5","","316","207","2423","7.667721518987341","19","33.86352941176471","575.6800000000001"
"13","Buffalo Bills","WR","17","","","","","","","14","69","4.928571428571429","1","293","210","2519","8.597269624573379","16","33.4","567.8"
"14","Indianapolis Colts","WR","17","1","1","1","22","","118.8","17","98","5.764705882352941","","287","197","2567","8.94425087108014","17","33.31647058823529","566.38"
"15","Kansas City Chiefs","WR","17","","","","","","","13","98","7.538461538461538","","310","207","2359","7.609677419354838","19","33.2764705882353","565.7"
"16","New York Giants","WR","17","","","","","","","6","22","3.6666666666666665","","294","202","2547","8.66326530612245","17","33.0529411764706","561.9000000000001"
"17","Pittsburgh Steelers","WR","17","","","","","","","8","28","3.5","","310","203","2635","8.5","15","32.84117647058823","558.3"
"18","Los Angeles Chargers","WR","17","","","","","","","6","11","1.8333333333333333","","289","191","2506","8.671280276816608","19","32.747058823529414","556.7"
"19","Los Angeles Rams","WR","17","","","","","","","16","111","6.9375","1","285","177","2415","8.473684210526315","20","32.741176470588236","556.6"
"20","New England Patriots","WR","17","","","","","","","11","31","2.8181818181818183","","310","204","2494","8.04516129032258","16","32.55882352941177","553.5"
"21","Arizona Cardinals","WR","17","","","","","","","12","48","4","","300","210","2547","8.49","14","32.5","552.5"
"22","Denver Broncos","WR","17","","","","","","","12","19","1.5833333333333333","","327","211","2629","8.039755351681958","11","31.870588235294115","541.8"
"23","Las Vegas Raiders","WR","17","1","","","","","","10","62","6.2","","297","196","2414","8.127946127946128","16","31.858823529411765","541.6"
"24","Washington Commanders","WR","17","1","1","1","21","1","158.3","14","62","4.428571428571429","","304","190","2427","7.983552631578948","16","31.631764705882354","537.74"
"25","Cincinnati Bengals","WR","17","","","","","","","10","64","6.4","","300","184","2370","7.9","17","31.2","530.4"
"26","Philadelphia Eagles","WR","17","","","","","","","7","49","7","1","321","196","2202","6.859813084112149","17","31.123529411764707","529.1"
"27","Green Bay Packers","WR","17","1","1","","","","","7","22","3.142857142857143","1","293","197","2303","7.860068259385666","15","30.735294117647058","522.5"
"28","San Francisco 49ers","WR","17","1","1","","","","39.6","14","97","6.928571428571429","2","289","181","2157","7.463667820069205","17","30.670588235294122","521.4000000000001"
"29","Miami Dolphins","WR","17","2","2","","","","39.6","16","123","7.6875","","285","197","2309","8.101754385964913","13","30.6","520.2"
"30","New York Jets","WR","17","1","","","","","","14","61","4.357142857142857","2","293","183","2373","8.098976109215018","13","30.435294117647057","517.4"
"31","Tennessee Titans","WR","17","","","","","","","16","86","5.375","","280","187","2177","7.775","15","29.488235294117647","501.3"
"32","Chicago Bears","WR","17","","","","","","","20","60","3","","265","172","2401","9.060377358490566","13","29.064705882352943","494.1"
