"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Carolina Panthers","RB","17","","","","","","","486","2520","5.185185185185185","18","84","73","578","6.880952380952381","3","30.105882352941176","511.8"
"2","Jacksonville Jaguars","RB","17","","","","","","","405","1771","4.37283950617284","16","108","88","700","6.481481481481482","4","26.711764705882356","454.1"
"3","San Francisco 49ers","RB","17","1","","","","","","404","1740","4.306930693069307","18","91","81","624","6.857142857142857","2","25.670588235294115","436.4"
"4","Chicago Bears","RB","17","","","","","","","413","2037","4.932203389830509","18","81","69","544","6.716049382716049","","25.358823529411765","431.1"
"5","Buffalo Bills","RB","17","","","","","","","364","1628","4.472527472527473","10","116","92","750","6.4655172413793105","6","25.04705882352941","425.8"
"6","New York Giants","RB","17","","","","","","","416","1879","4.516826923076923","14","93","77","622","6.688172043010753","2","24.770588235294117","421.09999999999997"
"7","New Orleans Saints","RB","17","","","","","","","386","1870","4.844559585492228","18","82","66","489","5.963414634146342","1","24.523529411764706","416.9"
"8","Tennessee Titans","RB","17","1","1","1","3","1","118.8","403","1756","4.357320099255583","15","69","56","401","5.811594202898551","7","24.107058823529414","409.82000000000005"
"9","Indianapolis Colts","RB","17","","","","","","","435","1822","4.188505747126436","14","100","79","563","5.63","1","23.97058823529412","407.50000000000006"
"10","New England Patriots","RB","17","","","","","","","424","1965","4.634433962264151","14","66","54","389","5.893939393939394","6","23.96470588235294","407.4"
"11","Arizona Cardinals","RB","17","","","","","","","382","1793","4.693717277486911","12","85","74","578","6.8","3","23.476470588235294","399.1"
"12","Dallas Cowboys","RB","17","","","","","","","365","1608","4.405479452054794","15","82","68","644","7.853658536585366","2","23.18823529411765","394.20000000000005"
"13","Cincinnati Bengals","RB","17","","","","","","","359","1529","4.259052924791086","16","84","74","525","6.25","1","22.258823529411764","378.4"
"14","Green Bay Packers","RB","17","","","","","","","343","1399","4.078717201166181","11","107","86","642","6","4","22.18235294117647","377.1"
"15","Washington Commanders","RB","17","1","","","","","","392","1920","4.8979591836734695","16","60","47","377","6.283333333333333","1","22.041176470588233","374.7"
"16","Las Vegas Raiders","RB","17","","","","","","","378","1639","4.335978835978836","11","77","70","465","6.038961038961039","4","21.72941176470588","369.4"
"17","Miami Dolphins","RB","17","","","","","","","334","1461","4.374251497005988","12","93","69","550","5.913978494623656","4","21.65294117647059","368.1"
"18","Atlanta Falcons","RB","17","","","","","","","327","1440","4.4036697247706424","6","108","93","584","5.407407407407407","6","21.49411764705882","365.4"
"19","Los Angeles Rams","RB","17","","","","","","","382","1725","4.515706806282722","9","76","69","575","7.565789473684211","1","21.11764705882353","359"
"20","Seattle Seahawks","RB","17","","","","","","","369","1717","4.6531165311653115","8","88","68","574","6.5227272727272725","2","20.88823529411765","355.1"
"21","Denver Broncos","RB","17","","","","","","","344","1329","3.863372093023256","7","95","83","638","6.71578947368421","5","20.747058823529414","352.70000000000005"
"22","Pittsburgh Steelers","RB","17","","","","","","","344","1414","4.1104651162790695","12","83","70","533","6.421686746987952","1","19.98235294117647","339.7"
"23","Tampa Bay Buccaneers","RB","17","","","","","","","293","1238","4.225255972696246","7","98","85","661","6.744897959183674","4","19.876470588235296","337.90000000000003"
"24","Minnesota Vikings","RB","17","","","","","","","324","1344","4.148148148148148","11","84","69","445","5.2976190476190474","3","19.523529411764706","331.9"
"25","New York Jets","RB","17","1","1","","","","39.6","408","1660","4.068627450980392","11","69","57","413","5.9855072463768115","","19.429411764705883","330.3"
"26","Baltimore Ravens","RB","17","","","","","","","312","1086","3.480769230769231","8","100","78","633","6.33","4","18.994117647058825","322.90000000000003"
"27","Houston Texans","RB","17","","","","","","","373","1466","3.93029490616622","8","83","64","476","5.734939759036145","2","18.71764705882353","318.2"
"28","Cleveland Browns","RB","17","","","","","","","359","1480","4.1225626740947074","14","62","51","390","6.290322580645161","","18.705882352941178","318"
"29","Los Angeles Chargers","RB","17","","","","","","","342","1576","4.608187134502924","4","106","82","462","4.3584905660377355","2","18.694117647058825","317.8"
"30","Detroit Lions","RB","17","","","","","","","279","1167","4.182795698924731","12","68","60","583","8.573529411764707","1","18.41176470588235","313"
"31","Philadelphia Eagles","RB","17","","","","","","","333","1357","4.075075075075075","5","86","72","472","5.488372093023256","","16.582352941176474","281.90000000000003"
"32","Kansas City Chiefs","RB","17","","","","","","","314","1180","3.7579617834394905","9","78","61","413","5.294871794871795","","16.194117647058825","275.3"
