"Team Details","","","","Passing","","","","","","Rushing","","","Receiving","","","","","2PT","","","Fantasy Points","","","",""
"ID","Rank","Name","G","DB","ATT","CMP","YDS","TD","INT","TM ATT","YDS","TD","RTE","TM TGT","REC","YDS","TD","Pa2PT","Ru2PT","2PT","FP/G","FP","PaFP","RuFP","RecFP"
"16","1","Kansas City Chiefs","17","723","651","435","5250","41","12","417","1970","18","3116","594","435","5250","41","2","1","3","64.52941176470588","1097","366","305","1206"
"26","2","Philadelphia Eagles","17","625","536","350","4364","25","9","544","2509","32","2547","487","350","4364","25","","2","2","61.90941176470589","1052.46","263.56","444.9","930.4000000000001"
"11","3","Detroit Lions","17","627","588","383","4444","29","7","480","2179","23","2612","548","383","4444","29","1","3","4","60.33294117647058","1025.6599999999999","285.76","358.9","1002.4000000000001"
"21","4","Minnesota Vikings","17","733","672","448","4818","30","15","404","1661","18","3042","619","448","4818","30","3","","3","59.871764705882356","1017.82","299.72","271.1","1114.8"
"18","5","Los Angeles Chargers","17","773","711","485","4791","26","10","404","1524","15","3294","653","485","4791","26","2","","2","59.296470588235294","1008.04","286.64","240.4","1121.1"
"9","6","Dallas Cowboys","17","600","556","355","3911","28","18","531","2298","24","2551","524","355","3911","28","","","","57.30823529411765","974.24","250.44","372.8","912.1"
"7","7","Cincinnati Bengals","16","681","610","418","4520","35","12","399","1528","14","2978","562","418","4520","35","3","","3","60.225","963.6","311.8","236.8","1084"
"4","8","Buffalo Bills","16","658","574","361","4291","35","14","430","2232","15","2835","535","361","4291","35","1","1","2","60.1775","962.84","296.64","308.20000000000005","1000.1"
"29","9","San Francisco 49ers","17","556","512","338","4049","30","9","504","2360","20","2375","485","338","4049","30","","","","56.40941176470589","958.96","271.96000000000004","352","919.9000000000001"
"15","10","Jacksonville Jaguars","17","648","596","394","4148","25","9","448","2116","16","2705","558","394","4148","25","3","1","4","56.08941176470588","953.52","257.92","302.6","963.8"
"28","11","Seattle Seahawks","17","652","573","399","4282","30","12","425","2042","12","2814","540","399","4282","30","","","","55.498823529411766","943.48","277.28","273.20000000000005","1003.2"
"30","12","Tampa Bay Buccaneers","17","777","751","499","4746","26","10","386","1308","5","3335","705","499","4746","26","2","","2","55.03764705882354","935.6400000000001","285.84000000000003","157.8","1128.6"
"1","13","Arizona Cardinals","17","750","664","433","3966","17","17","434","1873","15","3139","615","433","3966","17","3","2","5","54.231764705882355","921.94","213.64000000000001","277.3","936.6"
"24","14","New York Giants","17","630","520","346","3431","17","6","520","2519","21","2632","472","346","3431","17","3","","3","54.06705882352941","919.14","202.24","376.9","794.1"
"8","15","Cleveland Browns","17","619","540","335","3710","19","12","532","2490","19","2706","486","335","3710","19","","1","1","53.141176470588235","903.4","209.4","363","817"
"20","16","Miami Dolphins","17","637","584","368","4765","30","15","390","1686","12","2709","547","368","4765","30","","","","52.83529411764706","898.2","293.6","238.60000000000002","1022.5"
"19","17","Las Vegas Raiders","17","646","586","359","4182","28","17","428","2059","12","2854","535","359","4182","28","","","","52.65764705882353","895.18","261.28","276.9","943.2"
"12","18","Green Bay Packers","17","608","563","364","3890","27","12","456","2113","12","2370","526","364","3890","27","2","","2","52.52352941176471","892.9000000000001","253.60000000000002","280.3","916"
"27","19","Pittsburgh Steelers","17","641","571","364","3661","12","14","500","2073","16","2788","532","364","3661","12","3","","3","49.92588235294118","848.74","185.44","302.3","807.1"
"3","20","Baltimore Ravens","17","567","488","300","3202","19","13","527","2720","14","2385","445","300","3202","19","1","1","2","49.59294117647059","843.08","191.08","355","733.2"
"23","21","New Orleans Saints","17","564","512","338","3969","24","14","465","1982","12","2487","472","337","3968","24","2","1","3","49.58588235294118","842.96","243.76","268.20000000000005","876.8"
"32","22","Washington Commanders","17","630","554","344","3783","24","16","538","2143","9","2693","508","344","3783","24","2","","2","49.448235294117644","840.62","229.32","267.3","870.3"
"14","23","Indianapolis Colts","17","686","604","398","3854","17","20","439","1866","8","3021","559","398","3854","17","","1","1","48.39764705882353","822.76","198.16","230.60000000000002","882.4000000000001"
"22","24","New England Patriots","17","602","540","358","3815","19","14","425","1812","12","2493","507","358","3815","19","1","","1","48.16470588235294","818.8","213.6","250.20000000000002","852.5"
"10","25","Denver Broncos","17","663","571","345","4007","18","15","444","1935","11","2886","514","345","4007","18","","1","1","47.92823529411765","814.78","214.28","258.5","853.7"
"25","26","New York Jets","17","688","627","357","4040","15","14","405","1686","13","2952","557","357","4040","15","","","","47.188235294117646","802.2","201.6","245.60000000000002","849"
"2","27","Atlanta Falcons","17","490","415","257","2927","17","9","559","2718","17","1900","394","257","2927","17","2","1","3","47.11058823529412","800.88","178.07999999999998","371.8","651.7"
"6","28","Chicago Bears","17","505","377","223","2598","19","15","558","3014","18","1990","340","223","2598","19","1","","1","46.430588235294124","789.32","164.92000000000002","407.40000000000003","594.8"
"17","29","Los Angeles Rams","17","613","531","347","3506","16","15","411","1661","15","2495","500","347","3506","16","","","","46.13764705882353","784.34","184.24","254.10000000000002","792.6"
"31","30","Tennessee Titans","17","529","456","285","3227","16","11","487","2131","16","2199","418","285","3227","16","1","","1","45.06941176470588","766.1800000000001","181.08","304.1","704.7"
"5","31","Carolina Panthers","17","512","457","267","3246","16","13","483","2210","16","2045","406","267","3246","16","","1","1","44.63764705882353","758.84","179.84","317","685.6"
"13","32","Houston Texans","17","638","579","352","3642","20","19","398","1476","7","2624","528","352","3642","20","1","","1","43.60470588235294","741.28","206.68","184.6","837.2"
