"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Denver Broncos","TE","17","","","","","","","4","8","2","","127","99","1091","8.590551181102363","10","15.758823529411764","267.9"
"2","Cincinnati Bengals","TE","17","","","","","","","","","","","134","107","1080","8.059701492537313","6","14.705882352941176","250"
"3","Tampa Bay Buccaneers","TE","17","3","1","1","13","","118.8","4","10","2.5","","148","101","1054","7.121621621621622","6","14.23058823529412","241.92000000000002"
"4","Houston Texans","TE","17","1","1","1","4","","83.3","1","2","2","","143","107","1024","7.160839160839161","5","14.103529411764706","239.76"
"5","Chicago Bears","TE","17","1","1","1","3","1","118.8","12","56","4.666666666666667","","136","101","823","6.051470588235294","7","13.883529411764707","236.02"
"6","Los Angeles Rams","TE","17","","","","","","","","","","","114","82","987","8.657894736842104","8","13.452941176470588","228.7"
"7","Miami Dolphins","TE","17","","","","","","","1","2","2","","120","91","904","7.533333333333333","7","13.270588235294118","225.60000000000002"
"8","Atlanta Falcons","TE","17","","","","","","","8","30","3.75","","134","96","1014","7.567164179104478","4","13.141176470588235","223.4"
"9","Pittsburgh Steelers","TE","17","","","","","","","","","","","118","86","864","7.322033898305085","7","12.611764705882353","214.4"
"10","Detroit Lions","TE","17","","","","","","","1","-4","-4","","118","83","940","7.966101694915254","6","12.505882352941176","212.6"
"11","Philadelphia Eagles","TE","17","","","","","","","1","2","2","","117","89","880","7.521367521367521","6","12.48235294117647","212.2"
"12","New Orleans Saints","TE","17","","","","","","","","","","","112","79","833","7.4375","8","12.370588235294118","210.3"
"13","Seattle Seahawks","TE","17","","","","","","","1","1","1","","114","86","941","8.25438596491228","5","12.36470588235294","210.2"
"14","Jacksonville Jaguars","TE","17","","","","","","","5","18","3.6","1","112","74","922","8.232142857142858","6","12.352941176470589","210"
"15","New York Jets","TE","17","","","","","","","1","","","","121","80","825","6.818181818181818","8","12.323529411764707","209.5"
"16","Green Bay Packers","TE","17","","","","","","","5","12","2.4","","104","72","868","8.346153846153847","7","12","204"
"17","Los Angeles Chargers","TE","17","","","","","","","","","","","113","85","882","7.8053097345132745","5","11.835294117647058","201.2"
"18","Indianapolis Colts","TE","17","","","","","","","1","2","2","","122","90","891","7.30327868852459","3","11.605882352941178","197.3"
"19","Minnesota Vikings","TE","17","1","","","","","","3","8","2.6666666666666665","","111","88","771","6.945945945945946","5","11.523529411764706","195.9"
"20","Las Vegas Raiders","TE","17","","","","","","","1","","","","120","90","839","6.991666666666666","3","11.229411764705883","190.9"
"21","Arizona Cardinals","TE","17","","","","","","","","","","","94","67","756","8.042553191489361","8","11.211764705882354","190.60000000000002"
"22","San Francisco 49ers","TE","17","","","","","","","","","","","121","88","827","6.8347107438016526","3","11.041176470588235","187.7"
"23","Kansas City Chiefs","TE","17","","","","","","","","","","","112","82","759","6.776785714285714","4","10.641176470588235","180.9"
"24","Baltimore Ravens","TE","17","","","","","","","2","4","2","","112","81","804","7.178571428571429","3","10.576470588235296","179.8"
"25","Washington Commanders","TE","17","","","","","","","1","","","","105","75","743","7.076190476190476","5","10.547058823529412","179.3"
"26","Buffalo Bills","TE","17","","","","","","","","","","","108","83","757","7.0092592592592595","3","10.452941176470588","177.7"
"27","New York Giants","TE","17","","","","","","","","","","","109","73","792","7.26605504587156","4","10.305882352941175","175.2"
"28","Dallas Cowboys","TE","17","","","","","","","1","2","2","","91","64","710","7.802197802197802","6","10.070588235294117","171.2"
"29","Carolina Panthers","TE","17","1","1","1","8","","100","10","76","7.6","","84","66","721","8.583333333333334","4","10.001176470588236","170.02"
"30","Tennessee Titans","TE","17","1","1","","","","39.6","7","10","1.4285714285714286","","97","75","744","7.670103092783505","3","9.905882352941177","168.4"
"31","New England Patriots","TE","17","2","1","","","","39.6","3","19","6.333333333333333","","108","73","696","6.444444444444445","2","9.441176470588236","160.5"
"32","Cleveland Browns","TE","17","","","","","","","","","","","85","64","559","6.576470588235294","6","9.170588235294119","155.9"
