"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Minnesota Vikings","WR","17","1","1","1","35","","118.8","19","135","7.105263157894737","2","376","251","3280","8.72340425531915","19","42.58235294117647","723.9"
"2","Tennessee Titans","WR","17","","","","","","","18","112","6.222222222222222","","378","248","3210","8.492063492063492","20","41.188235294117646","700.2"
"3","Baltimore Ravens","WR","17","2","","","","","","10","96","9.6","","341","214","3119","9.146627565982405","20","38.5","654.5"
"4","Arizona Cardinals","WR","17","1","1","1","31","","118.8","8","39","4.875","1","325","216","2576","7.926153846153846","27","38.22","649.74"
"5","Washington Football Team","WR","17","","","","","","","12","32","2.6666666666666665","","334","227","2915","8.72754491017964","19","37.33529411764706","634.7"
"6","Atlanta Falcons","WR","17","2","1","","","","39.6","14","93","6.642857142857143","1","337","229","2682","7.958456973293768","19","37.088235294117645","630.5"
"7","Los Angeles Rams","WR","17","1","1","1","24","1","158.3","25","100","4","3","354","240","2950","8.333333333333334","10","36.821176470588235","625.96"
"8","Jacksonville Jaguars","WR","17","","","","","","","15","126","8.4","1","304","225","2701","8.884868421052632","17","36.33529411764706","617.7"
"9","Houston Texans","WR","17","","","","","","","22","139","6.318181818181818","1","316","210","2877","9.104430379746836","16","36.094117647058816","613.5999999999999"
"10","San Francisco 49ers","WR","17","4","4","2","57","","95.8","10","95","9.5","","320","218","2745","8.578125","17","35.663529411764706","606.28"
"11","Indianapolis Colts","WR","17","1","1","","","","39.6","19","165","8.68421052631579","1","328","210","2499","7.6189024390243905","21","35.49411764705882","603.4"
"12","Tampa Bay Buccaneers","WR","17","4","4","2","45","","90.6","11","87","7.909090909090909","1","369","235","2702","7.322493224932249","14","35.45294117647059","602.7"
"13","Dallas Cowboys","WR","17","3","3","1","2","","42.4","19","144","7.578947368421052","","343","200","2870","8.36734693877551","16","35.32235294117647","600.48"
"14","Kansas City Chiefs","WR","17","4","3","2","35","","106.3","7","56","8","1","324","208","2687","8.29320987654321","19","35.2764705882353","599.7"
"15","Detroit Lions","WR","17","2","1","","","","39.6","12","98","8.166666666666666","1","317","209","2746","8.662460567823343","17","35.25882352941177","599.4000000000001"
"16","New Orleans Saints","WR","17","","","","","","","7","69","9.857142857142858","","334","219","2818","8.437125748502995","14","34.80588235294118","591.7"
"17","Green Bay Packers","WR","17","2","2","1","75","1","135.4","13","89","6.846153846153846","","343","201","2571","7.495626822157434","19","34.705882352941174","590"
"18","Cincinnati Bengals","WR","17","2","1","1","11","","112.5","21","77","3.6666666666666665","1","324","216","2646","8.166666666666666","15","34.690588235294115","589.74"
"19","Chicago Bears","WR","17","","","","","","","15","92","6.133333333333334","","276","184","2578","9.340579710144928","23","34.64705882352941","589"
"20","New York Giants","WR","17","1","1","1","22","","118.8","11","44","4","","329","220","2507","7.620060790273556","18","34.35176470588235","583.98"
"21","New York Jets","WR","17","3","3","2","71","1","149.3","14","110","7.857142857142857","2","308","204","2659","8.633116883116884","13","33.98470588235294","577.74"
"22","Miami Dolphins","WR","17","3","3","","","","39.6","6","59","9.833333333333334","1","329","210","2699","8.203647416413373","14","33.752941176470586","573.8"
"23","Seattle Seahawks","WR","17","","","","","","","13","82","6.3076923076923075","1","348","224","2690","7.7298850574712645","10","33.54117647058824","570.2"
"24","Pittsburgh Steelers","WR","17","","","","","","","10","35","3.5","1","306","198","2516","8.222222222222221","18","33.182352941176475","564.1"
"25","Cleveland Browns","WR","17","","","","","","","18","115","6.388888888888889","","328","202","2425","7.3932926829268295","16","32.35294117647059","550"
"26","Denver Broncos","WR","17","","","","","","","8","19","2.375","","328","198","2533","7.722560975609756","16","32.30588235294118","549.2"
"27","Carolina Panthers","WR","17","1","1","1","16","","118.8","10","67","6.7","1","276","198","2331","8.445652173913043","17","32.14352941176471","546.44"
"28","Las Vegas Raiders","WR","17","1","","","","","","15","49","3.2666666666666666","1","311","209","2334","7.504823151125402","12","30.958823529411763","526.3"
"29","Los Angeles Chargers","WR","17","1","1","1","1","","79.2","11","40","3.6363636363636362","","297","197","2359","7.942760942760943","11","29.525882352941178","501.94"
"30","New England Patriots","WR","17","","","","","","","7","73","10.428571428571429","1","300","179","2171","7.236666666666666","14","28.964705882352945","492.40000000000003"
"31","Philadelphia Eagles","WR","17","","","","","","","15","65","4.333333333333333","","281","186","2222","7.907473309608541","12","28.629411764705885","486.70000000000005"
"32","Buffalo Bills","WR","17","1","","","","","","18","124","6.888888888888889","","307","185","1925","6.270358306188925","6","24.876470588235293","422.9"
