"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Philadelphia Eagles","TE","17","","","","","","","","","","","135","107","1035","7.666666666666667","14","17.441176470588236","296.5"
"2","Los Angeles Chargers","TE","17","","","","","","","1","3","3","","133","92","1170","8.796992481203008","13","17.01764705882353","289.3"
"3","Baltimore Ravens","TE","17","","","","","","","","","","","154","105","1124","7.298701298701299","8","15.729411764705882","267.4"
"4","Indianapolis Colts","TE","17","","","","","","","1","2","2","","139","102","1027","7.388489208633094","8","15.170588235294117","257.9"
"5","Las Vegas Raiders","TE","17","","","","","","","1","3","3","","125","91","1018","8.144","10","15.123529411764707","257.1"
"6","New York Jets","TE","17","","","","","","","1","9","9","","122","92","1113","9.12295081967213","8","14.894117647058824","253.20000000000002"
"7","Cincinnati Bengals","TE","17","","","","","","","2","1","0.5","","128","96","1083","8.4609375","8","14.847058823529412","252.4"
"8","Seattle Seahawks","TE","17","","","","","","","2","6","3","1","117","91","964","8.239316239316238","9","14.529411764705882","247"
"9","Detroit Lions","TE","17","","","","","","","1","1","1","","128","93","1127","8.8046875","6","14.164705882352942","240.8"
"10","Houston Texans","TE","17","","","","","","","5","35","7","1","108","80","946","8.75925925925926","8","13.770588235294118","234.10000000000002"
"11","Green Bay Packers","TE","17","1","1","1","3","","79.2","4","10","2.5","","115","88","871","7.573913043478261","8","13.189411764705884","224.22000000000003"
"12","New York Giants","TE","17","3","3","2","9","","30.6","6","28","4.666666666666667","2","128","90","830","6.484375","6","13.009411764705883","221.16"
"13","Washington Football Team","TE","17","","","","","","","","","","","124","88","1010","8.14516129032258","5","12.882352941176471","219"
"14","Dallas Cowboys","TE","17","","","","","","","1","4","4","1","118","83","920","7.796610169491525","6","12.788235294117648","217.4"
"15","Miami Dolphins","TE","17","","","","","","","2","11","5.5","","109","82","990","9.082568807339449","6","12.770588235294117","217.1"
"16","Tampa Bay Buccaneers","TE","17","","","","","","","1","4","4","","118","92","862","7.305084745762712","6","12.623529411764707","214.60000000000002"
"17","Cleveland Browns","TE","17","","","","","","","1","2","2","","119","85","771","6.4789915966386555","8","12.488235294117647","212.3"
"18","Kansas City Chiefs","TE","17","","","","","","","","","","","113","84","897","7.938053097345133","6","12.335294117647058","209.7"
"19","Los Angeles Rams","TE","17","","","","","","","","","","","120","90","878","7.316666666666666","4","12.105882352941178","205.8"
"20","Jacksonville Jaguars","TE","17","","","","","","","2","","","","113","82","901","7.9734513274336285","5","11.88823529411765","202.10000000000002"
"21","Atlanta Falcons","TE","17","2","2","2","33","","118.8","1","4","4","","100","70","751","7.51","9","11.871764705882352","201.82"
"22","Carolina Panthers","TE","17","1","","","","","","5","23","4.6","","116","79","798","6.879310344827586","6","11.594117647058825","197.10000000000002"
"23","Pittsburgh Steelers","TE","17","","","","","","","1","","","","118","81","811","6.872881355932203","4","10.88823529411765","185.10000000000002"
"24","Minnesota Vikings","TE","17","","","","","","","1","","","","103","68","811","7.87378640776699","5","10.65294117647059","181.10000000000002"
"25","New Orleans Saints","TE","17","","","","","","","2","9","4.5","","115","74","714","6.208695652173913","3","9.664705882352942","164.3"
"26","San Francisco 49ers","TE","17","","","","","","","","","","","87","65","582","6.689655172413793","6","9.36470588235294","159.2"
"27","Tennessee Titans","TE","17","3","3","2","11","","72.9","4","32","8","","108","68","627","5.805555555555555","3","9.02","153.34"
"28","Chicago Bears","TE","17","","","","","","","","","","","91","60","582","6.395604395604396","5","8.717647058823529","148.2"
"29","Denver Broncos","TE","17","","","","","","","","","","","96","68","665","6.927083333333333","2","8.617647058823529","146.5"
"30","Buffalo Bills","TE","17","","","","","","","2","2","1","","87","54","629","7.2298850574712645","3","7.947058823529413","135.10000000000002"
"31","Arizona Cardinals","TE","17","","","","","","","","","","","92","59","611","6.641304347826087","2","7.829411764705882","133.1"
"32","New England Patriots","TE","17","1","","","","","","6","32","5.333333333333333","1","82","46","440","5.365853658536586","4","7.247058823529412","123.2"
