"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Arizona Cardinals","RB","17","1","1","1","17","","118.8","436","2024","4.6422018348623855","14","88","77","526","5.9772727272727275","8","27.216470588235296","462.68000000000006"
"2","Denver Broncos","RB","17","","","","","","","383","2013","5.2558746736292425","12","109","89","589","5.4036697247706424","6","26.835294117647063","456.20000000000005"
"3","Seattle Seahawks","RB","17","1","1","1","12","1","156.3","408","1815","4.448529411764706","19","103","81","615","5.970873786407767","2","26.67529411764706","453.48"
"4","Washington Commanders","RB","17","","","","","","","384","1705","4.440104166666667","14","112","90","697","6.223214285714286","5","26.129411764705882","444.2"
"5","Indianapolis Colts","RB","17","1","1","","","","39.6","435","1765","4.057471264367816","16","108","85","714","6.611111111111111","2","25.758823529411764","437.9"
"6","Carolina Panthers","RB","17","","","","","","","422","1852","4.388625592417061","20","92","67","323","3.510869565217391","4","25.147058823529417","427.50000000000006"
"7","New York Jets","RB","17","","","","","","","426","1699","3.988262910798122","12","112","82","620","5.535714285714286","6","24.7","419.9"
"8","Chicago Bears","RB","17","","","","","","","317","1181","3.725552050473186","7","125","105","1000","8","7","23.829411764705885","405.1"
"9","Las Vegas Raiders","RB","17","","","","","","","397","1660","4.181360201511335","13","107","83","561","5.242990654205608","2","23.064705882352943","392.1"
"10","New York Giants","RB","17","","","","","","","408","1876","4.598039215686274","16","67","58","447","6.6716417910447765","1","22.900000000000002","389.3"
"11","Los Angeles Chargers","RB","17","","","","","","","380","1528","4.021052631578947","10","117","96","711","6.076923076923077","1","22.582352941176474","383.90000000000003"
"12","Jacksonville Jaguars","RB","17","","","","","","","328","1309","3.9908536585365852","9","123","106","744","6.048780487804878","1","21.841176470588238","371.3"
"13","Green Bay Packers","RB","17","1","","","","","","389","1628","4.185089974293059","13","93","72","478","5.139784946236559","1","21.8","370.6"
"14","Pittsburgh Steelers","RB","17","1","1","1","6","1","131.3","386","1638","4.243523316062176","9","96","68","524","5.458333333333333","4","21.67294117647059","368.44000000000005"
"15","Cincinnati Bengals","RB","17","1","1","1","2","1","118.8","348","1603","4.60632183908046","12","87","69","468","5.379310344827586","2","21.30470588235294","362.18"
"16","Buffalo Bills","RB","17","1","","","","","","314","1393","4.436305732484076","9","106","84","686","6.471698113207547","2","20.994117647058825","356.90000000000003"
"17","New England Patriots","RB","17","1","1","1","4","1","122.9","378","1293","3.4206349206349205","9","98","84","577","5.887755102040816","3","20.538823529411765","349.16"
"18","Houston Texans","RB","17","","","","","","","388","1299","3.347938144329897","11","102","81","561","5.5","2","20.470588235294116","348"
"19","Minnesota Vikings","RB","17","","","","","","","363","1371","3.7768595041322315","10","92","83","493","5.358695652173913","1","19.788235294117644","336.4"
"20","Baltimore Ravens","RB","17","","","","","","","345","1542","4.469565217391304","5","101","84","511","5.0594059405940595","3","19.723529411764705","335.3"
"21","Philadelphia Eagles","RB","17","","","","","","","334","1340","4.0119760479041915","9","102","80","546","5.352941176470588","2","19.623529411764707","333.6"
"22","Cleveland Browns","RB","17","","","","","","","322","1415","4.394409937888199","9","94","71","477","5.074468085106383","3","19.48235294117647","331.2"
"23","Kansas City Chiefs","RB","17","","","","","","","321","1476","4.598130841121495","6","87","74","473","5.436781609195402","4","19.46470588235294","330.9"
"24","New Orleans Saints","RB","17","","","","","","","373","1559","4.1796246648793565","7","87","67","493","5.666666666666667","2","19.129411764705885","325.20000000000005"
"25","Miami Dolphins","RB","17","","","","","","","339","1303","3.8436578171091447","10","76","62","550","7.2368421052631575","2","18.723529411764705","318.3"
"26","Tennessee Titans","RB","17","","","","","","","396","1528","3.8585858585858586","8","77","59","437","5.675324675324675","2","18.558823529411764","315.5"
"27","Atlanta Falcons","RB","17","1","","","","","","389","1487","3.822622107969152","5","80","64","505","6.3125","4","18.541176470588237","315.20000000000005"
"28","San Francisco 49ers","RB","17","","","","","","","265","1097","4.139622641509434","8","112","90","625","5.580357142857143","1","18.48235294117647","314.2"
"29","Dallas Cowboys","RB","17","1","","","","","","363","1461","4.024793388429752","9","76","55","407","5.355263157894737","3","18.28235294117647","310.8"
"30","Tampa Bay Buccaneers","RB","17","","","","","","","349","1370","3.9255014326647566","5","79","69","425","5.379746835443038","2","17.264705882352942","293.5"
"31","Los Angeles Rams","RB","17","","","","","","","322","1317","4.090062111801243","6","88","73","357","4.056818181818182","1","16.67058823529412","283.40000000000003"
"32","Detroit Lions","RB","17","","","","","","","296","1028","3.472972972972973","9","76","55","492","6.473684210526316","","15.294117647058824","260"
