"Team Details","","","","Passing","","","","","","Rushing","","","","Receiving","","","","","FPTS",""
"Rank","Name","POS","G","DB","ATT","CMP","YDS","TD","RATE","ATT","YDS","YPC","TD","TGT","REC","YDS","YPT","TD","FP/G","FP"
"1","Dallas Cowboys","QB","17","596","511","349","4045","28","99.6","93","553","5.946236559139785","10","","","","","","21.947058823529414","373.1"
"2","Carolina Panthers","QB","17","591","527","358","4012","35","105.4","83","394","4.746987951807229","5","","","","","","21.16941176470588","359.88"
"3","Atlanta Falcons","QB","17","649","574","401","3947","34","100","100","495","4.95","3","","","","","","20.728235294117646","352.38"
"4","Jacksonville Jaguars","QB","17","656","579","388","4581","29","103.3","88","419","4.761363636363637","2","","","","","","20.478823529411763","348.14"
"5","Tampa Bay Buccaneers","QB","17","711","628","417","4447","27","96.6","81","354","4.37037037037037","6","","","","","","20.428235294117645","347.28"
"6","Cincinnati Bengals","QB","17","652","572","372","4016","30","92.1","108","526","4.87037037037037","4","","","","","","20.07294117647059","341.24"
"7","Baltimore Ravens","QB","17","705","624","395","4466","26","90.5","62","233","3.7580645161290325","3","2","2","4","2","1","18.784705882352938","319.34"
"8","Los Angeles Rams","QB","17","611","542","354","4101","29","95.9","73","359","4.917808219178082","3","","","","","","18.643529411764703","316.93999999999994"
"9","Detroit Lions","QB","17","684","609","373","4404","18","82.2","73","454","6.219178082191781","6","","","","","","18.503529411764706","314.56"
"10","Indianapolis Colts","QB","17","613","544","377","4120","27","95.7","76","322","4.2368421052631575","4","","","","","","18.41176470588235","313"
"11","Las Vegas Raiders","QB","17","627","561","370","3989","29","96.5","65","283","4.3538461538461535","3","","","","","","18.40352941176471","312.86"
"12","Houston Texans","QB","17","634","552","325","3749","31","83.8","60","400","6.666666666666667","3","","","-5","","","18.321176470588238","311.46000000000004"
"13","Kansas City Chiefs","QB","17","658","569","375","3970","24","90.6","88","434","4.931818181818182","4","","","","","","17.952941176470592","305.20000000000005"
"14","Cleveland Browns","QB","17","580","508","315","3860","26","100","97","437","4.505154639175258","1","","","","","","17.82941176470588","303.09999999999997"
"15","New York Giants","QB","17","577","503","349","3869","23","103.1","76","403","5.302631578947368","4","","","","","","17.76823529411765","302.06"
"16","Tennessee Titans","QB","17","545","472","313","3213","26","94.4","84","435","5.178571428571429","6","","","","","","17.589411764705883","299.02"
"17","Arizona Cardinals","QB","17","619","539","370","3930","20","95.1","69","303","4.391304347826087","6","","","","","","17.205882352941178","292.5"
"18","Buffalo Bills","QB","17","640","577","396","4100","28","93.5","53","263","4.962264150943396","2","","","","","","17.13529411764706","291.3"
"19","Seattle Seahawks","QB","17","644","568","370","3923","25","90.3","62","251","4.048387096774194","2","1","1","7","7","1","17.04235294117647","289.72"
"20","New York Jets","QB","17","594","520","327","3588","18","89.2","78","325","4.166666666666667","8","1","","","","","16.94235294117647","288.02"
"21","Los Angeles Chargers","QB","17","649","564","366","3759","24","87","72","392","5.444444444444445","3","","","","","","16.856470588235293","286.56"
"22","San Francisco 49ers","QB","17","568","515","338","3476","25","92.2","55","276","5.0181818181818185","4","","","7","","1","16.843529411764706","286.34"
"23","New Orleans Saints","QB","17","675","591","366","4295","19","84.8","80","434","5.425","1","","","","","","16.835294117647063","286.20000000000005"
"24","Denver Broncos","QB","17","702","604","392","4078","22","86.1","67","295","4.402985074626866","3","1","1","-1","-1","","16.795294117647057","285.52"
"25","New England Patriots","QB","17","591","533","346","3749","27","96.9","67","231","3.4477611940298507","1","","","","","","16.709411764705887","284.06000000000006"
"26","Pittsburgh Steelers","QB","17","636","582","382","4151","23","87.5","57","229","4.017543859649122","2","","","","","","16.11411764705882","273.93999999999994"
"27","Minnesota Vikings","QB","17","710","635","414","4446","24","82.4","50","160","3.2","1","","","","","","16.108235294117648","273.84000000000003"
"28","Washington Commanders","QB","17","568","494","306","3471","24","93.3","81","340","4.197530864197531","2","","","","","","16.049411764705884","272.84000000000003"
"29","Green Bay Packers","QB","17","645","564","381","3959","23","89.4","76","268","3.526315789473684","1","","","","","","15.421176470588236","262.16"
"30","Philadelphia Eagles","QB","17","620","542","337","3266","22","82.5","74","353","4.77027027027027","3","","","","","","15.40823529411765","261.94000000000005"
"31","Miami Dolphins","QB","17","628","570","365","3829","22","89","53","176","3.3207547169811322","","","","","","","14.632941176470588","248.76"
"32","Chicago Bears","QB","17","565","503","325","3959","17","90.9","51","218","4.2745098039215685","1","","","","","","14.068235294117649","239.16000000000003"
