"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"1","Justin Jefferson","MIN","WR","17","2022","639","0.258","2.77","0.27","27.9","21.3","4.5","2.0","10.3","179","128","1809","8","1471","9.8","443","0.269","2.41","0.26","29.3","191","0.236","3.68","0.29","24.6","","","","","0.0","5","0.200","1.40","0.60","20.0"
"2","Adam Thielen","MIN","WR","17","2022","600","0.087","1.17","0.17","19.8","16.8","2.7","0.3","13.8","103","70","716","6","859","8.9","401","0.097","1.26","0.17","20.7","199","0.065","0.98","0.17","18.1","","","","","0.0","","","","","0.0"
"3","Davante Adams","LV","WR","17","2022","592","0.211","2.54","0.28","28.2","23.6","3.2","1.4","12.7","169","100","1516","14","1655","7.8","416","0.166","2.51","0.30","27.4","173","0.324","2.62","0.23","30.6","","","","","0.0","3","0.000","1.33","0.67","0.0"
"4","Michael Pittman","IND","WR","16","2022","590","0.124","1.55","0.24","23.2","21.0","2.2","0.0","12.7","141","99","925","4","929","6.6","432","0.146","1.36","0.23","24.5","157","0.064","2.08","0.26","19.7","1","0.000","","","0.0","","","","","0.0"
"5","Diontae Johnson","PIT","WR","17","2022","585","0.202","1.47","0.23","30.6","25.3","5.1","0.2","14.9","140","86","882","0","1018","8.1","508","0.189","1.42","0.22","30.1","77","0.286","1.82","0.32","33.8","","","","","0.0","","","","","0.0"
"6","Mack Hollins","LV","WR","17","2022","567","0.101","1.21","0.16","21.5","19.2","1.9","0.4","14.1","89","57","690","4","844","7.9","491","0.084","1.17","0.15","20.8","76","0.211","1.45","0.18","26.3","","","","","0.0","","","","","0.0"
"7","Garrett Wilson","NYJ","WR","17","2022","563","0.249","1.92","0.25","30.9","25.6","5.0","0.4","11.0","141","83","1103","4","945","8.0","354","0.249","1.91","0.26","32.5","203","0.261","1.99","0.23","29.1","6","-0.167","-0.17","0.17","0.0","","","","","0.0"
"8","Parris Campbell","IND","WR","17","2022","560","0.079","1.09","0.15","18.0","15.9","1.6","0.5","12.7","86","63","623","3","434","5.8","105","-0.019","1.50","0.20","15.2","454","0.101","1.00","0.14","18.7","1","0.000","","","0.0","","","","","0.0"
"9","Mike Evans","TB","WR","15","2022","556","0.174","2.00","0.22","23.9","20.0","3.1","0.9","11.3","123","77","1124","6","1482","7.3","410","0.173","2.02","0.22","24.9","146","0.178","1.93","0.20","21.2","","","","","0.0","","","","","0.0"
"10","DK Metcalf","SEA","WR","17","2022","545","0.073","1.90","0.25","22.4","20.0","1.7","0.7","17.6","140","90","1048","6","1346","6.9","452","0.071","1.99","0.26","22.8","93","0.086","1.45","0.22","20.4","","","","","0.0","","","","","0.0"
