"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"1","Garrett Wilson","NYJ","WR","17","2023","627","0.214","1.64","0.26","24.9","20.1","4.1","0.6","8.8","163","95","1042","3","1747","7.2","424","0.229","1.72","0.25","26.9","203","0.182","1.49","0.27","20.7","","","","","0.0","","","","","0.0"
"2","Terry McLaurin","WAS","WR","17","2023","603","0.070","1.64","0.21","15.1","12.8","2.2","0.2","10.6","128","79","1002","4","1517","7.8","507","0.073","1.68","0.21","15.8","95","0.053","1.22","0.20","11.6","1","0.000","19.00","1.00","0.0","","","","","0.0"
"3","Jahan Dotson","WAS","WR","17","2023","599","0.088","0.85","0.13","16.5","14.0","2.2","0.3","10.0","78","49","518","4","758","8.6","344","0.096","0.83","0.13","17.4","255","0.078","0.88","0.13","15.3","","","","","0.0","","","","","0.0"
"4","Adam Thielen","CAR","WR","17","2023","592","0.157","1.69","0.23","21.5","18.1","3.0","0.3","9.3","137","103","1014","4","1050","6.6","184","0.201","2.07","0.27","28.8","404","0.134","1.48","0.20","17.8","","","","","0.0","","","","","0.0"
"5","Calvin Ridley","JAX","WR","17","2023","586","0.155","1.71","0.23","23.7","21.2","1.2","1.4","11.6","134","76","1016","8","1842","8.7","473","0.133","1.74","0.23","23.9","113","0.248","1.57","0.19","23.0","","","","","0.0","","","","","0.0"
"6","CeeDee Lamb","DAL","WR","17","2023","585","0.173","2.90","0.30","22.7","18.8","2.7","1.2","10.3","179","135","1749","12","1762","6.0","240","0.258","3.43","0.32","29.2","338","0.109","2.54","0.28","18.3","2","0.000","","0.50","0.0","","","","","0.0"
"7","Evan Engram","JAX","TE","17","2023","576","0.061","1.66","0.24","13.2","12.7","0.5","0.0","7.1","140","114","963","4","683","4.9","118","0.025","1.23","0.22","16.1","319","0.094","1.98","0.27","15.0","138","0.014","1.23","0.18","6.5","","","","","0.0"
"8","Ja'Marr Chase","CIN","WR","16","2023","561","0.109","2.14","0.25","16.4","13.7","2.3","0.4","8.2","142","100","1216","7","1291","6.3","417","0.106","2.01","0.22","17.3","140","0.121","2.62","0.35","14.3","","","","","0.0","","","","","0.0"
"9","Stefon Diggs","BUF","WR","17","2023","559","0.179","2.06","0.28","24.0","19.0","4.3","0.7","11.6","159","107","1183","8","1690","6.4","352","0.199","2.50","0.28","26.7","200","0.155","1.27","0.25","20.0","","","","","0.0","","","","","0.0"
"10","Jordan Addison","MIN","WR","17","2023","550","0.120","1.63","0.19","16.7","13.5","2.4","0.9","8.5","105","70","911","10","1334","10.3","395","0.106","1.76","0.21","16.7","152","0.151","1.18","0.14","16.4","","","","","0.0","","","","","0.0"
"11","D.J. Moore","CHI","WR","17","2023","542","0.100","2.46","0.24","18.8","16.1","2.0","0.7","12.4","133","96","1364","8","1555","7.9","425","0.108","2.29","0.23","20.0","115","0.070","3.13","0.29","14.8","","","","","0.0","","","","","0.0"
"12","DeVonta Smith","PHI","WR","16","2023","536","0.140","1.96","0.20","20.1","18.7","0.9","0.6","8.2","110","81","1066","7","1348","8.6","358","0.134","1.76","0.19","20.4","174","0.149","2.33","0.21","19.5","","","","","0.0","","","","","0.0"
"13","Davante Adams","LV","WR","17","2023","535","0.200","2.11","0.31","25.2","17.8","5.8","1.7","14.2","170","103","1144","8","1838","7.7","439","0.216","2.21","0.33","26.2","89","0.135","1.55","0.24","22.5","","","","","0.0","","","","","0.0"
"14","Amon-Ra St. Brown","DET","WR","16","2023","533","0.118","2.81","0.30","18.0","14.6","3.2","0.2","9.4","161","119","1515","10","1268","6.9","230","0.130","3.27","0.29","18.3","296","0.111","2.47","0.30","18.2","","","","","0.0","","","","","0.0"
