"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"1","Trey McBride","ARZ","TE","17","2025","656","0.037","1.86","0.25","9.3","8.4","0.8","0.2","6.6","165","126","1239","11","1158","6.0","63","0.143","2.22","0.27","23.8","407","0.022","1.76","0.23","7.9","184","0.033","1.94","0.28","7.6","2","0.000","4.00","0.50","0.0"
"2","Ja'Marr Chase","CIN","WR","16","2025","602","0.101","2.30","0.30","14.3","11.8","2.2","0.3","7.0","182","125","1412","8","1566","6.8","397","0.098","2.46","0.31","15.9","199","0.111","2.01","0.28","11.6","1","0.000","","","0.0","5","0.000","2.20","0.20","0.0"
"3","Michael Wilson","ARZ","WR","17","2025","596","0.099","1.67","0.21","14.4","12.4","1.8","0.2","6.7","124","78","1006","7","1494","8.2","425","0.118","1.86","0.24","16.5","171","0.053","1.21","0.12","9.4","","","","","0.0","","","","","0.0"
"4","George Pickens","DAL","WR","17","2025","581","0.077","2.45","0.22","15.8","13.9","1.9","0.0","10.0","131","93","1429","9","1574","8.8","523","0.071","2.50","0.23","15.7","58","0.138","1.98","0.17","17.2","","","","","0.0","","","","","0.0"
"5","Jameson Williams","DET","WR","17","2025","549","0.051","2.01","0.18","11.1","9.8","0.9","0.4","7.7","99","65","1117","7","1273","10.1","414","0.041","2.20","0.18","11.6","134","0.082","1.41","0.16","9.7","","","","","0.0","1","0.000","","1.00","0.0"
"6","Tre Tucker","LV","WR","17","2025","548","0.058","1.26","0.16","11.3","9.1","1.8","0.4","8.0","90","57","696","5","947","7.8","444","0.050","1.34","0.17","11.5","97","0.072","0.69","0.11","8.2","6","0.333","4.33","0.50","33.3","1","1.000","","","100.0"
"7","Chris Olave","NO","WR","16","2025","546","0.057","2.09","0.27","10.6","8.1","2.6","0.0","7.1","151","100","1163","9","1820","7.8","312","0.071","2.27","0.30","13.5","233","0.039","1.85","0.24","6.9","","","","","0.0","1","0.000","","","0.0"
"8","Jerry Jeudy","CLV","WR","17","2025","541","0.054","1.09","0.19","14.6","12.8","1.7","0.2","10.9","104","50","602","2","1271","8.8","440","0.016","1.07","0.18","13.0","100","0.220","1.17","0.24","22.0","1","0.000","","","0.0","","","","","0.0"
"9","Courtland Sutton","DEN","WR","17","2025","537","0.084","1.85","0.22","15.5","13.6","1.5","0.4","8.9","120","74","1017","7","1542","9.4","432","0.079","1.77","0.21","15.7","105","0.105","2.19","0.24","14.3","","","","","0.0","","","","","0.0"
"10","Justin Jefferson","MIN","WR","17","2025","525","0.070","1.96","0.26","13.0","11.0","1.7","0.2","7.6","138","84","1048","2","1460","9.5","383","0.050","1.97","0.26","12.5","136","0.125","1.90","0.24","14.0","","","","","0.0","6","0.167","2.83","0.50","16.7"
