"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"1","Stefon Diggs","BUF","WR","17","2021","617","0.25","1.99","0.46","11","0.36","2.09","0.48","42","0.19","1.10","0.25","30","0.23","1.80","0.38","0","","",""
"2","Marquise Brown","BLT","WR","16","2021","613","0.23","1.64","0.37","0","","","0.00","32","0.16","1.84","0.34","29","0.21","2.38","0.65","0","","",""
"3","Keenan Allen","LAC","WR","16","2021","612","0.24","1.86","0.42","15","0.27","1.47","0.35","17","0.47","4.59","0.81","19","0.32","2.53","0.52","0","","",""
"4","Justin Jefferson","MIN","WR","17","2021","608","0.27","2.66","0.55","20","0.15","1.45","0.25","27","0.22","1.56","0.28","32","0.22","2.25","0.36","0","","",""
"5","Mark Andrews","BLT","TE","17","2021","602","0.25","2.26","0.50","0","","","0.00","34","0.15","0.59","0.15","31","0.10","0.45","0.11","0","","",""
"6","D.J. Moore","CAR","WR","17","2021","599","0.26","1.93","0.40","13","0.08","1.00","0.18","19","0.37","3.53","0.62","21","0.19","2.48","0.39","0","","",""
"7","Diontae Johnson","PIT","WR","16","2021","598","0.28","1.94","0.46","14","0.36","1.43","0.29","13","0.31","0.85","0.24","20","0.30","1.25","0.28","0","","",""
"8","Robby Anderson","CAR","WR","17","2021","597","0.17","0.87","0.23","14","0.14","","0.00","16","0.06","3.56","0.79","20","0.10","","0.00","0","","",""
"9","Darnell Mooney","CHI","WR","17","2021","593","0.22","1.78","0.37","2","","","0.00","37","0.16","0.70","0.21","27","0.15","0.26","0.10","0","","",""
"10","Marvin Jones","JAX","WR","17","2021","591","0.20","1.41","0.30","3","0.67","6.00","0.93","37","0.14","1.49","0.23","7","0.43","7.29","1.01","0","","",""
"11","Cooper Kupp","LA","WR","17","2021","589","0.32","3.31","0.75","6","0.50","5.33","0.87","15","0.40","5.07","1.24","11","0.27","2.91","0.56","0","","",""
"12","Mike Evans","TB","WR","16","2021","586","0.19","1.77","0.45","19","0.11","0.53","0.11","22","0.18","0.64","0.15","21","0.14","0.48","0.10","0","","",""
"13","Travis Kelce","KC","TE","16","2021","581","0.22","1.94","0.45","5","","","0.00","28","0.18","2.04","0.35","16","0.06","0.75","0.14","0","","",""
"14","Jaylen Waddle","MIA","WR","16","2021","566","0.25","1.79","0.44","18","0.11","2.17","0.66","7","0.43","3.14","0.60","21","0.14","2.76","0.42","0","","",""
"15","Terry McLaurin","WAS","WR","17","2021","566","0.22","1.86","0.38","4","","","0.00","21","0.19","2.95","0.49","17","0.12","1.12","0.23","0","","",""
"16","Tyreek Hill","KC","WR","17","2021","566","0.28","2.19","0.53","6","0.50","2.83","0.62","28","0.43","6.43","1.18","18","0.50","4.17","0.75","0","","",""
"17","Ja'Marr Chase","CIN","WR","17","2021","564","0.21","2.58","0.54","6","0.17","2.17","0.38","20","0.30","4.40","0.94","11","0.09","1.18","0.21","0","","",""
"18","Mike Williams","LAC","WR","16","2021","557","0.22","2.06","0.44","16","0.25","1.63","0.29","19","0.37","2.79","0.54","23","0.30","2.00","0.37","0","","",""
"19","Davante Adams","GB","WR","16","2021","530","0.31","2.93","0.65","13","0.31","2.85","0.44","11","0.27","1.73","0.45","14","0.29","1.00","0.24","0","","",""
"20","Courtland Sutton","DEN","WR","17","2021","529","0.19","1.47","0.28","12","0.17","1.17","0.20","16","0.06","","0.00","17","0.12","0.82","0.14","0","","",""
