"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"24","Terry McLaurin","WAS","WR","17","2024","492","0.110","2.16","0.22","17.9","14.8","2.6","0.4","10.4","114","82","1096","13","1562","8.5","408","0.120","2.02","0.21","18.9","","","","","0.0","","","","","0.0","","","","","0.0"
"25","Calvin Ridley","TEN","WR","17","2024","492","0.098","2.03","0.23","15.7","13.0","2.6","0.0","8.5","117","64","1017","4","1838","8.8","393","0.115","1.87","0.23","16.3","","","","","0.0","","","","","0.0","1","0.000","4.00","1.00","0.0"
"26","Tyler Lockett","SEA","WR","17","2024","491","0.053","1.20","0.14","9.8","8.8","1.0","0.0","5.5","68","49","600","2","769","9.1","344","0.061","1.17","0.12","10.5","","","","","0.0","","","","","0.0","","","","","0.0"
"27","Brian Thomas","JAX","WR","17","2024","486","0.105","2.56","0.26","13.8","11.1","2.5","0.2","6.2","129","87","1282","10","1522","8.4","347","0.089","2.28","0.23","13.5","","","","","0.0","","","","","0.0","1","0.000","","","0.0"
"28","Courtland Sutton","DEN","WR","17","2024","481","0.100","2.13","0.26","17.3","14.8","2.3","0.2","9.6","133","81","1081","8","1822","9.8","397","0.118","2.33","0.27","19.1","","","","","0.0","","","","","0.0","1","0.000","","","0.0"
"29","Darnell Mooney","ATL","WR","16","2024","478","0.059","2.04","0.21","13.4","11.5","1.9","0.0","9.4","102","64","992","5","1308","9.3","268","0.071","2.46","0.23","15.7","","","","","0.0","","","","","0.0","7","0.286","2.38","0.38","28.6"
"30","Keenan Allen","CHI","WR","15","2024","477","0.082","1.52","0.23","14.7","12.4","2.1","0.2","9.0","112","70","744","7","1096","7.2","223","0.094","1.82","0.27","16.1","","","","","0.0","","","","","0.0","2","0.000","","","0.0"
"31","Tyreek Hill","MIA","WR","17","2024","473","0.101","1.99","0.25","14.0","11.0","2.3","0.6","7.2","119","81","959","6","1384","8.1","306","0.124","2.14","0.25","16.0","","","","","0.0","1","0.000","","","0.0","3","0.000","3.33","0.33","0.0"
"32","Davante Adams","LV, NYJ","WR","14","2024","471","0.057","2.19","0.27","12.7","11.0","1.5","0.2","8.9","133","85","1063","8","1189","6.4","252","0.052","2.37","0.26","13.9","","","","","0.0","","","","","0.0","1","0.000","3.00","1.00","0.0"
"33","Xavier Worthy","KC","WR","17","2024","468","0.051","1.33","0.20","10.3","7.9","2.1","0.2","7.3","96","59","638","6","913","6.8","288","0.066","1.42","0.19","11.1","","","","","0.0","","","","","0.0","7","-0.143","1.00","0.43","0.0"
"34","Demarcus Robinson","LA","WR","17","2024","466","0.107","1.07","0.13","16.3","13.5","1.9","0.9","8.8","60","31","505","7","975","8.8","300","0.093","1.18","0.14","16.7","","","","","0.0","","","","","0.0","","","","","0.0"
"35","Michael Wilson","ARZ","WR","16","2024","462","0.087","1.17","0.15","15.2","13.4","1.5","0.2","8.4","69","47","548","4","818","8.5","303","0.092","1.34","0.15","14.9","","","","","0.0","","","","","0.0","","","","","0.0"
"36","Jordan Addison","MIN","WR","15","2024","461","0.095","1.87","0.20","13.2","10.6","1.7","0.9","6.9","94","63","875","9","1300","11.3","307","0.117","1.91","0.21","15.3","","","","","0.0","","","","","0.0","2","0.000","","","0.0"
"37","Darius Slayton","NYG","WR","16","2024","455","0.064","1.23","0.15","12.7","10.8","2.0","0.0","8.1","70","39","573","2","953","9.0","360","0.069","1.52","0.17","14.2","","","","","0.0","","","","","0.0","","","","","0.0"
"38","Dalton Schultz","HST","TE","17","2024","451","0.047","1.16","0.18","9.5","8.6","0.9","0.0","5.8","84","53","532","2","649","4.2","54","0.000","0.72","0.17","7.4","","","","","0.0","259","0.039","1.31","0.17","7.3","19","0.000","1.05","0.26","0.0"
"39","Ladd McConkey","LAC","WR","16","2024","439","0.150","2.57","0.24","20.0","16.6","3.2","0.2","8.7","110","82","1155","7","1116","8.0","119","0.176","3.16","0.31","20.2","","","","","0.0","4","0.000","0.75","0.25","0.0","","","","","0.0"
"40","Zach Ertz","WAS","TE","17","2024","438","0.094","1.45","0.20","14.4","13.5","0.9","0.0","5.9","88","66","654","7","737","7.5","46","0.022","0.87","0.26","10.9","","","","","0.0","153","0.137","1.69","0.22","15.0","2","0.000","","0.50","0.0"
