"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"1","Ja'Marr Chase","CIN","WR","17","2024","698","0.25","2.45","0.58","239","0.24","1.60","0.45","418","0.26","3.11","0.64","316","0.28","2.94","0.71","382","0.22","2.04","0.46"
"2","Jerry Jeudy","CLV","WR","17","2024","669","0.21","1.84","0.36","198","0.21","1.51","0.31","456","0.22","2.04","0.38","339","0.22","2.07","0.40","330","0.20","1.60","0.30"
"3","D.J. Moore","CHI","WR","17","2024","631","0.22","1.53","0.38","194","0.19","1.16","0.25","418","0.23","1.56","0.37","358","0.23","1.55","0.37","273","0.21","1.51","0.35"
"4","Garrett Wilson","NYJ","WR","17","2024","610","0.25","1.81","0.42","202","0.25","2.05","0.45","373","0.25","1.80","0.38","279","0.28","2.03","0.44","331","0.22","1.63","0.39"
"5","Tre Tucker","LV","WR","17","2024","599","0.13","0.90","0.22","152","0.18","1.35","0.27","425","0.12","0.77","0.17","296","0.15","1.11","0.23","303","0.12","0.69","0.17"
"6","Justin Jefferson","MIN","WR","17","2024","577","0.26","2.66","0.55","142","0.27","2.71","0.51","404","0.26","2.77","0.54","266","0.25","3.03","0.56","311","0.27","2.33","0.54"
"7","Jaxon Smith-Njigba","SEA","WR","17","2024","576","0.23","1.96","0.44","136","0.32","2.75","0.53","423","0.20","1.74","0.38","284","0.23","1.65","0.36","292","0.24","2.26","0.51"
"8","Brock Bowers","LV","TE","17","2024","565","0.27","2.11","0.46","140","0.26","2.07","0.51","404","0.28","2.24","0.47","267","0.27","2.01","0.44","298","0.26","2.21","0.49"
"9","Elijah Moore","CLV","WR","17","2024","565","0.17","0.95","0.21","177","0.20","1.16","0.24","377","0.16","0.88","0.20","293","0.18","1.04","0.21","272","0.17","0.86","0.21"
"10","Jakobi Meyers","LV","WR","15","2024","551","0.23","1.86","0.40","142","0.24","1.82","0.43","388","0.22","1.98","0.39","256","0.26","1.95","0.40","295","0.20","1.79","0.38"
"11","Wan'Dale Robinson","NYG","WR","17","2024","546","0.24","1.28","0.33","165","0.28","1.05","0.38","367","0.23","1.42","0.32","286","0.26","1.45","0.34","260","0.22","1.09","0.32"
"12","Andrei Iosivas","CIN","WR","17","2024","544","0.11","0.88","0.22","204","0.13","1.15","0.31","306","0.09","0.75","0.13","242","0.11","0.73","0.18","302","0.11","1.00","0.26"
"13","Rome Odunze","CHI","WR","17","2024","536","0.18","1.37","0.27","174","0.17","1.26","0.23","344","0.19","1.49","0.28","301","0.17","1.46","0.24","235","0.20","1.25","0.30"
"14","Malik Nabers","NYG","WR","15","2024","523","0.32","2.30","0.52","150","0.37","2.61","0.66","360","0.29","2.24","0.46","267","0.35","2.36","0.52","256","0.29","2.24","0.51"
"15","Trey McBride","ARZ","TE","16","2024","511","0.27","2.24","0.48","141","0.23","1.57","0.41","351","0.28","2.58","0.50","260","0.26","2.38","0.47","251","0.28","2.10","0.46"
"16","Travis Kelce","KC","TE","16","2024","509","0.25","1.62","0.39","158","0.21","1.69","0.32","329","0.26","1.61","0.37","285","0.26","1.90","0.38","224","0.24","1.26","0.39"
"17","Ray-Ray McCloud","ATL","WR","17","2024","508","0.17","1.35","0.28","132","0.15","0.96","0.18","360","0.17","1.52","0.29","252","0.17","1.43","0.29","256","0.16","1.27","0.25"
"18","Marvin Harrison","ARZ","WR","17","2024","508","0.22","1.74","0.39","150","0.32","1.95","0.51","343","0.19","1.70","0.33","267","0.24","1.89","0.37","241","0.20","1.58","0.41"
"19","Courtland Sutton","DEN","WR","17","2024","508","0.26","2.13","0.48","127","0.30","3.09","0.72","362","0.25","1.87","0.39","286","0.28","2.70","0.54","221","0.24","1.39","0.39"
"20","Terry McLaurin","WAS","WR","17","2024","507","0.22","2.16","0.53","165","0.23","1.72","0.59","319","0.23","2.47","0.49","297","0.21","2.42","0.43","210","0.25","1.80","0.68"
"21","CeeDee Lamb","DAL","WR","16","2024","507","0.29","2.36","0.52","140","0.31","3.29","0.73","351","0.28","2.04","0.41","261","0.32","2.97","0.58","246","0.25","1.70","0.42"
"22","Drake London","ATL","WR","17","2024","505","0.30","2.52","0.56","127","0.40","3.16","0.80","362","0.27","2.32","0.46","259","0.32","2.54","0.53","246","0.28","2.49","0.58"
"23","Jalen Tolbert","DAL","WR","17","2024","504","0.15","1.21","0.30","147","0.14","1.30","0.29","340","0.15","1.14","0.23","262","0.14","1.35","0.22","242","0.16","1.06","0.39"
"24","DK Metcalf","SEA","WR","15","2024","503","0.21","1.97","0.38","120","0.27","2.15","0.49","368","0.20","1.98","0.36","241","0.25","1.96","0.37","262","0.18","1.98","0.40"
"25","Tyler Lockett","SEA","WR","17","2024","502","0.14","1.20","0.24","120","0.18","1.47","0.26","370","0.12","1.12","0.22","235","0.14","1.33","0.25","267","0.13","1.08","0.23"
"26","Brian Thomas","JAX","WR","17","2024","501","0.26","2.56","0.57","139","0.29","2.50","0.59","336","0.25","2.59","0.51","280","0.28","2.88","0.53","221","0.23","2.15","0.58"
"27","Calvin Ridley","TEN","WR","17","2024","500","0.23","2.03","0.40","142","0.33","3.13","0.55","339","0.19","1.58","0.31","254","0.28","2.54","0.47","246","0.19","1.51","0.28"
"28","Amon-Ra St. Brown","DET","WR","17","2024","500","0.28","2.53","0.63","105","0.25","2.22","0.80","380","0.28","2.63","0.54","290","0.26","2.55","0.55","210","0.30","2.50","0.75"
"29","Keenan Allen","CHI","WR","15","2024","489","0.23","1.52","0.38","163","0.22","1.09","0.30","315","0.23","1.76","0.39","271","0.21","1.41","0.27","218","0.25","1.66","0.51"
"30","Darnell Mooney","ATL","WR","16","2024","487","0.21","2.04","0.40","140","0.25","2.86","0.52","331","0.20","1.75","0.34","257","0.20","1.81","0.30","230","0.22","2.29","0.51"
"31","Davante Adams","LV, NYJ","WR","14","2024","486","0.27","2.19","0.50","136","0.35","2.43","0.60","322","0.24","2.24","0.44","220","0.32","2.52","0.47","266","0.24","1.91","0.51"
"32","Tyreek Hill","MIA","WR","17","2024","481","0.25","1.99","0.45","115","0.32","1.85","0.42","348","0.23","2.12","0.43","212","0.33","2.69","0.59","269","0.19","1.44","0.33"
"33","Xavier Worthy","KC","WR","17","2024","480","0.20","1.33","0.39","157","0.27","1.48","0.32","307","0.17","1.32","0.35","260","0.25","1.53","0.39","220","0.14","1.09","0.26"
"34","Demarcus Robinson","LA","WR","17","2024","471","0.13","1.07","0.26","157","0.17","1.09","0.38","292","0.10","1.10","0.17","268","0.13","1.10","0.24","203","0.12","1.03","0.29"
"35","Michael Wilson","ARZ","WR","16","2024","469","0.15","1.17","0.27","139","0.15","1.29","0.26","313","0.14","1.10","0.23","242","0.15","1.29","0.28","227","0.15","1.04","0.25"
"36","Jordan Addison","MIN","WR","15","2024","468","0.20","1.87","0.45","121","0.17","1.35","0.28","323","0.20","2.07","0.42","213","0.21","2.24","0.51","255","0.20","1.56","0.38"
