"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"37","Darius Slayton","NYG","WR","16","2024","465","0.15","1.23","0.24","140","0.14","1.31","0.24","311","0.15","1.25","0.24","245","0.14","1.32","0.24","220","0.16","1.14","0.23"
"38","Dalton Schultz","HST","TE","17","2024","459","0.18","1.16","0.26","125","0.17","1.08","0.28","308","0.20","1.27","0.26","225","0.19","1.35","0.30","234","0.18","0.98","0.21"
"39","Zach Ertz","WAS","TE","17","2024","451","0.20","1.45","0.39","159","0.16","0.89","0.40","270","0.21","1.78","0.36","277","0.16","1.31","0.26","174","0.25","1.67","0.58"
"40","Ladd McConkey","LAC","WR","16","2024","450","0.24","2.57","0.54","125","0.28","2.91","0.60","309","0.23","2.44","0.45","255","0.27","3.29","0.60","195","0.21","1.62","0.45"
"41","Zay Flowers","BLT","WR","17","2024","450","0.26","2.35","0.47","144","0.24","2.28","0.42","291","0.26","2.45","0.46","258","0.27","2.97","0.55","192","0.23","1.53","0.32"
"42","Michael Pittman","IND","WR","16","2024","444","0.24","1.82","0.38","138","0.23","1.64","0.35","284","0.26","2.02","0.37","223","0.24","1.87","0.33","221","0.24","1.76","0.42"
"43","Jameson Williams","DET","WR","15","2024","442","0.20","2.26","0.48","87","0.20","2.78","0.57","341","0.21","2.23","0.44","256","0.21","2.31","0.44","186","0.20","2.20","0.47"
"44","Hunter Henry","NE","TE","16","2024","437","0.20","1.54","0.33","156","0.22","1.31","0.28","260","0.18","1.69","0.35","266","0.20","1.39","0.31","171","0.19","1.78","0.37"
"45","Cole Kmet","CHI","TE","17","2024","436","0.13","1.09","0.28","138","0.08","0.52","0.20","283","0.14","1.30","0.27","244","0.12","1.07","0.25","192","0.13","1.10","0.30"
"46","Tee Higgins","CIN","WR","12","2024","430","0.24","2.12","0.52","147","0.27","2.12","0.66","264","0.23","2.15","0.41","206","0.26","1.96","0.41","224","0.23","2.27","0.62"
"47","Tyler Conklin","NYJ","TE","16","2024","428","0.16","1.05","0.28","147","0.10","0.27","0.16","258","0.20","1.52","0.31","202","0.13","0.88","0.22","226","0.18","1.20","0.33"
"48","Jaylen Waddle","MIA","WR","15","2024","428","0.19","1.74","0.35","112","0.17","1.85","0.33","299","0.20","1.82","0.34","185","0.18","1.60","0.30","243","0.20","1.84","0.37"
"49","Demario Douglas","NE","WR","17","2024","426","0.19","1.46","0.35","144","0.17","1.19","0.28","268","0.21","1.66","0.37","251","0.20","1.32","0.31","175","0.18","1.66","0.39"
"50","Kayshon Boutte","NE","WR","15","2024","424","0.16","1.39","0.29","129","0.20","2.22","0.46","278","0.14","0.97","0.20","244","0.15","1.27","0.28","180","0.17","1.54","0.29"
"51","Pat Freiermuth","PIT","TE","17","2024","421","0.18","1.56","0.40","113","0.12","1.33","0.35","287","0.20","1.67","0.37","229","0.14","1.39","0.31","192","0.22","1.75","0.51"
"52","Alec Pierce","IND","WR","16","2024","416","0.16","1.98","0.39","117","0.15","1.74","0.25","275","0.16","2.21","0.42","205","0.16","1.67","0.37","211","0.17","2.28","0.41"
"53","Tank Dell","HST","WR","14","2024","415","0.19","1.61","0.34","114","0.23","2.39","0.55","280","0.19","1.41","0.26","213","0.21","1.94","0.35","202","0.17","1.26","0.30"
"54","Rashod Bateman","BLT","WR","17","2024","413","0.16","1.83","0.42","146","0.17","1.50","0.39","254","0.17","2.11","0.46","247","0.15","1.43","0.34","166","0.19","2.43","0.55"
"55","George Pickens","PIT","WR","14","2024","412","0.24","2.18","0.40","117","0.34","2.94","0.52","274","0.21","2.04","0.38","211","0.32","3.25","0.61","201","0.16","1.07","0.19"
"56","Mike Gesicki","CIN","TE","17","2024","410","0.20","1.62","0.35","155","0.25","2.39","0.51","227","0.18","1.26","0.27","181","0.23","1.89","0.40","229","0.18","1.41","0.31"
"57","Sam LaPorta","DET","TE","16","2024","403","0.20","1.80","0.43","76","0.26","2.51","0.78","314","0.18","1.68","0.34","236","0.20","2.08","0.42","167","0.19","1.41","0.45"
"58","Kyle Pitts","ATL","TE","17","2024","403","0.17","1.49","0.33","116","0.10","0.87","0.17","273","0.20","1.77","0.40","202","0.17","2.07","0.42","201","0.18","0.92","0.23"
"59","Tyler Boyd","TEN","WR","16","2024","400","0.14","0.98","0.20","117","0.14","0.93","0.16","272","0.15","1.03","0.22","195","0.15","0.98","0.20","205","0.14","0.97","0.19"
"60","Nick Westbrook-Ikhine","TEN","WR","17","2024","398","0.14","1.25","0.34","118","0.17","1.36","0.32","264","0.12","1.22","0.28","194","0.12","0.89","0.24","204","0.16","1.59","0.43"
"61","Deebo Samuel","SF","WR","15","2024","397","0.20","1.69","0.39","119","0.21","1.66","0.39","260","0.20","1.77","0.34","204","0.21","1.80","0.35","193","0.19","1.56","0.34"
"62","Jonnu Smith","MIA","TE","17","2024","396","0.28","2.23","0.56","88","0.22","0.75","0.40","291","0.29","2.75","0.58","168","0.26","2.55","0.60","228","0.29","2.00","0.54"
"63","Jauan Jennings","SF","WR","15","2024","395","0.27","2.47","0.53","120","0.27","2.19","0.55","257","0.29","2.75","0.53","208","0.28","2.40","0.52","187","0.27","2.55","0.54"
"64","Xavier Legette","CAR","WR","16","2024","395","0.21","1.26","0.32","140","0.24","1.63","0.44","240","0.19","1.10","0.22","224","0.21","1.33","0.31","171","0.20","1.16","0.31"
"65","Cade Otton","TB","TE","14","2024","387","0.22","1.55","0.37","119","0.16","1.24","0.33","248","0.25","1.76","0.35","208","0.23","1.55","0.33","179","0.20","1.55","0.41"
"66","George Kittle","SF","TE","15","2024","384","0.24","2.88","0.62","115","0.22","2.37","0.46","250","0.24","3.14","0.54","195","0.23","3.09","0.52","189","0.25","2.67","0.72"
"67","Juwan Johnson","NO","TE","17","2024","381","0.17","1.44","0.32","72","0.22","1.71","0.34","298","0.16","1.42","0.31","188","0.20","1.80","0.39","193","0.14","1.08","0.25"
"68","Jahan Dotson","PHI","WR","17","2024","377","0.08","0.57","0.11","129","0.09","0.83","0.13","236","0.08","0.46","0.10","219","0.09","0.78","0.14","158","0.07","0.29","0.07"
"69","Mike Evans","TB","WR","14","2024","377","0.28","2.66","0.64","117","0.28","2.50","0.62","241","0.27","2.93","0.61","200","0.31","3.20","0.66","177","0.25","2.06","0.62"
"70","Tucker Kraft","GB","TE","17","2024","373","0.17","1.90","0.44","101","0.12","1.27","0.33","261","0.20","2.14","0.45","213","0.16","1.87","0.39","160","0.19","1.93","0.49"
"71","Quentin Johnston","LAC","WR","15","2024","370","0.24","1.92","0.47","96","0.27","1.04","0.21","261","0.23","2.24","0.58","212","0.27","1.58","0.45","158","0.19","2.37","0.50"
"72","Allen Lazard","NYJ","WR","12","2024","369","0.17","1.44","0.34","129","0.16","1.87","0.43","222","0.18","1.26","0.27","164","0.15","1.27","0.26","205","0.18","1.57","0.41"
"73","Josh Palmer","LAC","WR","15","2024","369","0.17","1.58","0.29","109","0.21","1.49","0.26","245","0.14","1.65","0.29","189","0.17","1.53","0.27","180","0.16","1.64","0.29"
"74","David Njoku","CLV","TE","11","2024","366","0.25","1.38","0.41","107","0.26","1.18","0.42","250","0.24","1.45","0.36","176","0.24","1.45","0.45","190","0.26","1.32","0.35"
"75","DeVonta Smith","PHI","WR","13","2024","364","0.23","2.29","0.55","130","0.26","1.99","0.62","224","0.21","2.53","0.49","201","0.25","2.60","0.59","163","0.21","1.91","0.50"
"76","Calvin Austin","PIT","WR","17","2024","364","0.15","1.51","0.32","110","0.15","1.35","0.33","234","0.15","1.67","0.33","189","0.15","1.34","0.26","175","0.15","1.69","0.38"
"77","Jayden Reed","GB","WR","17","2024","361","0.21","2.37","0.55","110","0.21","1.13","0.31","239","0.21","3.00","0.53","199","0.19","2.56","0.44","162","0.23","2.14","0.55"
"78","Khalil Shakir","BUF","WR","15","2024","361","0.27","2.27","0.51","122","0.20","1.67","0.41","228","0.31","2.68","0.57","219","0.27","2.21","0.52","142","0.26","2.38","0.48"
"79","Noah Fant","SEA","TE","14","2024","359","0.17","1.39","0.29","93","0.13","0.72","0.16","257","0.19","1.68","0.35","181","0.19","1.54","0.33","178","0.15","1.24","0.25"
"80","Jalen Nailor","MIN","WR","17","2024","356","0.12","1.16","0.29","91","0.14","1.64","0.39","244","0.10","0.90","0.17","174","0.12","1.43","0.30","182","0.12","0.91","0.29"
"81","Chig Okonkwo","TEN","TE","17","2024","354","0.19","1.35","0.32","105","0.10","0.50","0.12","236","0.23","1.82","0.42","182","0.14","0.79","0.17","172","0.24","1.95","0.47"
"82","Amari Cooper","CLV, BUF","WR","14","2024","353","0.24","1.55","0.35","113","0.28","1.86","0.50","226","0.23","1.49","0.30","205","0.27","1.56","0.39","148","0.20","1.53","0.30"
"83","Jake Ferguson","DAL","TE","14","2024","353","0.23","1.40","0.30","113","0.19","0.81","0.20","227","0.26","1.78","0.37","196","0.21","1.04","0.24","157","0.26","1.85","0.38"
"84","Parker Washington","JAX","WR","17","2024","352","0.14","1.11","0.26","106","0.15","0.89","0.32","234","0.15","1.26","0.23","195","0.13","0.83","0.14","157","0.16","1.45","0.39"
"85","Josh Downs","IND","WR","14","2024","352","0.30","2.28","0.52","114","0.25","2.49","0.56","222","0.32","2.31","0.52","166","0.27","2.61","0.56","186","0.32","1.98","0.48"
"86","Van Jefferson","PIT","WR","17","2024","351","0.11","0.79","0.18","109","0.16","1.04","0.24","227","0.09","0.67","0.12","189","0.11","0.60","0.16","162","0.12","1.01","0.21"
"87","Jalen McMillan","TB","WR","13","2024","347","0.16","1.33","0.39","100","0.21","2.02","0.50","227","0.13","1.04","0.30","190","0.16","1.24","0.31","157","0.17","1.44","0.46"
"88","Justin Watson","KC","WR","17","2024","344","0.09","0.84","0.18","118","0.09","0.78","0.23","207","0.09","0.92","0.16","202","0.09","0.95","0.19","142","0.09","0.69","0.17"
"89","Nico Collins","HST","WR","12","2024","342","0.29","2.94","0.62","74","0.35","4.08","0.62","247","0.26","2.76","0.51","150","0.32","3.67","0.69","192","0.27","2.38","0.56"
"90","Mack Hollins","BUF","WR","17","2024","338","0.14","1.12","0.29","122","0.13","0.57","0.28","206","0.15","1.43","0.24","199","0.15","1.13","0.27","139","0.14","1.11","0.33"
"91","A.J. Brown","PHI","WR","13","2024","335","0.29","3.22","0.65","119","0.39","4.49","0.98","207","0.24","2.60","0.45","195","0.35","3.94","0.79","140","0.20","2.22","0.44"
"92","DeAndre Hopkins","TEN, KC","WR","16","2024","334","0.24","1.83","0.44","119","0.24","1.66","0.42","201","0.23","1.95","0.40","206","0.25","2.13","0.48","128","0.22","1.34","0.38"
"93","Cooper Kupp","LA","WR","12","2024","332","0.29","2.14","0.53","113","0.28","2.10","0.50","201","0.29","2.29","0.51","197","0.29","1.83","0.47","135","0.30","2.59","0.61"
"94","Theo Johnson","NYG","TE","12","2024","330","0.12","1.00","0.21","101","0.12","0.83","0.16","222","0.13","1.11","0.23","178","0.13","0.75","0.15","152","0.12","1.30","0.27"
"95","Mark Andrews","BLT","TE","17","2024","329","0.21","2.05","0.57","115","0.23","2.02","0.53","199","0.20","2.16","0.53","189","0.21","2.13","0.59","140","0.21","1.93","0.55"
"96","David Moore","CAR","WR","17","2024","320","0.17","1.10","0.27","121","0.21","1.17","0.31","180","0.16","1.12","0.22","180","0.17","0.92","0.18","140","0.17","1.33","0.38"
"97","Romeo Doubs","GB","WR","13","2024","316","0.22","1.90","0.42","99","0.21","1.97","0.53","206","0.23","1.92","0.34","181","0.24","2.16","0.40","135","0.21","1.56","0.42"
"98","Sterling Shepard","TB","WR","14","2024","312","0.16","1.07","0.26","93","0.20","1.25","0.31","201","0.15","1.08","0.21","169","0.18","0.99","0.24","143","0.14","1.16","0.21"
"99","Tim Patrick","DET","WR","16","2024","310","0.15","1.27","0.30","74","0.11","0.95","0.34","223","0.16","1.45","0.29","169","0.14","1.35","0.31","141","0.16","1.18","0.27"
"100","Mike Williams","NYJ, PIT","WR","18","2024","308","0.11","0.97","0.18","107","0.18","1.36","0.29","189","0.07","0.81","0.14","145","0.10","1.25","0.24","163","0.12","0.72","0.13"
"101","Keon Coleman","BUF","WR","13","2024","297","0.19","1.87","0.38","116","0.27","2.08","0.52","173","0.14","1.82","0.28","191","0.22","2.49","0.47","106","0.13","0.76","0.18"
"102","Adam Thielen","CAR","WR","10","2024","293","0.21","2.10","0.48","96","0.21","2.77","0.44","180","0.21","1.76","0.47","163","0.20","2.02","0.39","130","0.22","2.19","0.58"
"103","Ja'Tavion Sanders","CAR","TE","16","2024","292","0.15","1.17","0.25","103","0.07","0.63","0.12","173","0.19","1.54","0.30","151","0.09","0.89","0.17","141","0.21","1.47","0.34"
"104","Jordan Akins","CLV","TE","17","2024","288","0.19","1.35","0.32","89","0.16","0.61","0.18","189","0.20","1.71","0.35","154","0.18","1.19","0.28","134","0.21","1.54","0.36"
"105","Colby Parkinson","LA","TE","17","2024","286","0.16","1.03","0.23","88","0.13","0.81","0.22","183","0.19","1.22","0.25","169","0.15","1.04","0.23","117","0.18","1.02","0.22"
"106","Puka Nacua","LA","WR","11","2024","276","0.38","3.59","0.75","84","0.45","4.11","0.86","177","0.36","3.64","0.70","165","0.43","4.33","0.80","111","0.30","2.49","0.57"
"107","T.J. Hockenson","MIN","TE","10","2024","275","0.21","1.65","0.31","57","0.28","2.81","0.49","204","0.20","1.45","0.29","105","0.25","2.13","0.38","170","0.19","1.36","0.27"
"108","Ricky Pearsall","SF","WR","11","2024","275","0.16","1.45","0.34","88","0.22","2.02","0.43","175","0.13","1.23","0.25","147","0.16","1.86","0.38","128","0.16","0.99","0.26"
"109","Marquez Valdes-Scantling","NO, BUF","WR","14","2024","271","0.15","1.52","0.31","66","0.17","1.20","0.29","200","0.15","1.65","0.29","167","0.19","2.14","0.41","104","0.11","0.51","0.15"
"110","Devaughn Vele","DEN","WR","13","2024","270","0.20","1.76","0.39","76","0.20","0.92","0.17","187","0.20","2.10","0.42","151","0.21","1.36","0.32","118","0.19","2.28","0.50"
"111","Olamide Zaccheaus","WAS","WR","17","2024","270","0.23","1.87","0.42","103","0.20","1.67","0.41","156","0.26","2.12","0.41","164","0.20","1.91","0.37","106","0.28","1.81","0.49"
"112","Noah Gray","KC","TE","17","2024","269","0.17","1.62","0.42","80","0.20","1.36","0.51","178","0.16","1.83","0.36","145","0.16","1.13","0.31","124","0.19","2.20","0.56"
"113","Greg Dortch","ARZ","WR","17","2024","268","0.18","1.28","0.34","80","0.19","1.35","0.49","178","0.17","1.23","0.26","139","0.17","1.19","0.33","129","0.19","1.36","0.33"
"114","Will Dissly","LAC","TE","15","2024","268","0.23","1.79","0.41","78","0.22","0.94","0.31","176","0.25","2.32","0.49","141","0.20","1.63","0.36","127","0.27","1.98","0.47"
"115","Grant Calcaterra","PHI","TE","17","2024","267","0.11","1.12","0.22","96","0.06","0.22","0.13","166","0.14","1.67","0.29","153","0.12","0.94","0.22","114","0.10","1.35","0.23"
"116","Austin Hooper","NE","TE","17","2024","265","0.23","1.80","0.41","77","0.17","0.74","0.33","180","0.26","2.33","0.47","166","0.20","1.34","0.31","99","0.27","2.56","0.59"
"117","Brandin Cooks","DAL","WR","10","2024","265","0.19","0.98","0.26","69","0.23","0.80","0.15","188","0.18","1.06","0.24","144","0.25","1.31","0.33","121","0.12","0.58","0.18"
"118","Brenton Strange","JAX","TE","17","2024","263","0.21","1.56","0.35","74","0.22","1.38","0.30","178","0.20","1.71","0.35","143","0.22","1.77","0.42","120","0.18","1.32","0.27"
"119","Dawson Knox","BUF","TE","16","2024","263","0.12","1.18","0.22","96","0.13","0.94","0.25","161","0.12","1.37","0.22","163","0.13","1.47","0.28","100","0.09","0.72","0.13"
"120","Isaiah Likely","BLT","TE","16","2024","262","0.22","1.82","0.48","88","0.17","1.41","0.32","159","0.23","2.09","0.46","158","0.22","1.76","0.40","104","0.22","1.91","0.59"
"121","Jalen Coker","CAR","WR","11","2024","261","0.17","1.83","0.35","77","0.23","3.01","0.51","168","0.15","1.40","0.31","131","0.19","2.24","0.45","130","0.15","1.42","0.26"
"122","Kendrick Bourne","NE","WR","12","2024","260","0.15","1.17","0.25","76","0.13","1.00","0.18","174","0.16","1.32","0.29","148","0.15","1.26","0.28","112","0.14","1.05","0.21"
"123","Dalton Kincaid","BUF","TE","13","2024","254","0.28","1.76","0.40","84","0.31","1.67","0.33","158","0.26","1.81","0.35","149","0.26","1.38","0.28","105","0.30","2.31","0.56"
"124","Lil'Jordan Humphrey","DEN","WR","17","2024","253","0.17","1.16","0.26","68","0.21","0.51","0.13","173","0.17","1.49","0.33","144","0.15","1.40","0.29","109","0.20","0.83","0.21"
"125","Cedric Tillman","CLV","WR","11","2024","253","0.18","1.34","0.32","66","0.23","2.32","0.60","180","0.17","1.03","0.23","125","0.22","1.48","0.40","128","0.15","1.20","0.24"
"126","Stefon Diggs","HST","WR","8","2024","252","0.25","1.97","0.48","60","0.25","1.63","0.36","180","0.24","2.09","0.43","114","0.28","2.21","0.56","138","0.22","1.77","0.42"
"127","Jonathan Mingo","CAR, DAL","WR","17","2024","249","0.16","0.67","0.13","72","0.13","0.15","0.06","170","0.18","0.92","0.17","135","0.16","0.41","0.07","114","0.18","0.98","0.21"
"128","Dontayvion Wicks","GB","WR","17","2024","249","0.30","1.67","0.44","73","0.41","1.22","0.53","168","0.26","1.94","0.43","127","0.30","1.67","0.37","122","0.30","1.66","0.52"
"129","Troy Franklin","DEN","WR","16","2024","249","0.20","1.06","0.27","64","0.30","0.80","0.30","181","0.16","1.13","0.22","140","0.19","0.86","0.18","108","0.21","1.31","0.38"
"130","Foster Moreau","NO","TE","17","2024","246","0.17","1.68","0.42","39","0.21","2.21","0.71","198","0.15","1.57","0.30","130","0.22","2.34","0.57","116","0.12","0.94","0.25"
"131","Noah Brown","WAS","WR","11","2024","246","0.22","1.84","0.35","76","0.18","0.79","0.16","158","0.24","2.11","0.38","155","0.22","1.75","0.35","91","0.22","1.99","0.35"
"132","Tutu Atwell","LA","WR","17","2024","246","0.25","2.28","0.40","80","0.30","1.83","0.35","163","0.23","2.55","0.43","146","0.27","2.50","0.43","100","0.22","1.97","0.35"
"133","Xavier Hutchinson","HST","WR","16","2024","244","0.10","0.48","0.10","83","0.11","0.48","0.11","147","0.10","0.52","0.10","146","0.09","0.45","0.10","98","0.11","0.53","0.09"
"134","Diontae Johnson","CAR, HST, BLT","WR","12","2024","240","0.27","1.56","0.37","83","0.39","2.35","0.57","148","0.22","1.22","0.28","137","0.29","1.91","0.45","103","0.24","1.10","0.27"
"135","Christian Watson","GB","WR","15","2024","234","0.22","2.65","0.45","76","0.34","3.51","0.59","151","0.16","2.34","0.38","150","0.25","2.63","0.38","84","0.17","2.69","0.53"
"136","Dyami Brown","WAS","WR","16","2024","234","0.17","1.32","0.29","81","0.20","2.63","0.47","144","0.15","0.66","0.19","133","0.21","1.84","0.39","101","0.11","0.62","0.13"
"137","Tommy Tremble","CAR","TE","12","2024","232","0.13","1.01","0.25","76","0.17","0.93","0.29","145","0.12","1.12","0.24","135","0.13","0.86","0.27","97","0.13","1.22","0.21"
"138","Evan Engram","JAX","TE","9","2024","232","0.27","1.57","0.39","64","0.27","1.13","0.27","158","0.28","1.85","0.45","128","0.27","1.58","0.38","104","0.27","1.57","0.38"
"139","Ja'Lynn Polk","NE","WR","15","2024","231","0.13","0.38","0.14","84","0.15","0.15","0.04","136","0.10","0.49","0.11","148","0.12","0.36","0.08","83","0.16","0.40","0.24"
"140","Gabe Davis","JAX","WR","10","2024","228","0.18","1.05","0.24","58","0.16","0.57","0.09","154","0.18","1.35","0.28","128","0.19","0.87","0.16","100","0.18","1.28","0.35"
"141","D.J. Turner","LV","WR","12","2024","223","0.12","0.71","0.21","67","0.15","0.81","0.24","151","0.11","0.69","0.14","130","0.08","0.62","0.11","93","0.18","0.84","0.26"
"142","Mason Tipton","NO","WR","11","2024","223","0.12","0.44","0.11","48","0.06","","0.00","172","0.13","0.58","0.14","96","0.09","0.26","0.07","127","0.13","0.58","0.14"
"143","JuJu Smith-Schuster","KC","WR","14","2024","222","0.12","1.04","0.24","82","0.11","1.06","0.31","130","0.13","1.11","0.21","123","0.13","1.15","0.29","99","0.10","0.90","0.17"
"144","John Metchie","HST","WR","13","2024","221","0.16","1.15","0.25","72","0.18","0.93","0.19","132","0.16","1.39","0.31","133","0.17","1.32","0.24","88","0.15","0.90","0.26"
