"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"1","Garrett Wilson","NYJ","WR","17","2023","634","0.26","1.64","0.34","174","0.25","1.66","0.38","437","0.26","1.70","0.32","317","0.28","1.83","0.38","317","0.23","1.46","0.29"
"2","Terry McLaurin","WAS","WR","17","2023","612","0.21","1.64","0.33","200","0.23","1.92","0.33","393","0.21","1.56","0.35","326","0.21","1.96","0.35","286","0.21","1.27","0.31"
"3","Jahan Dotson","WAS","WR","17","2023","608","0.13","0.85","0.21","211","0.10","0.88","0.21","377","0.14","0.85","0.19","332","0.13","0.84","0.20","276","0.12","0.86","0.21"
"4","CeeDee Lamb","DAL","WR","17","2023","604","0.30","2.90","0.67","179","0.35","4.60","0.93","402","0.27","2.17","0.47","298","0.34","3.72","0.73","306","0.25","2.09","0.53"
"5","Adam Thielen","CAR","WR","17","2023","601","0.23","1.69","0.38","166","0.28","2.25","0.54","421","0.21","1.50","0.33","341","0.24","1.93","0.37","260","0.22","1.37","0.39"
"6","Calvin Ridley","JAX","WR","17","2023","594","0.23","1.71","0.39","136","0.26","1.88","0.40","436","0.21","1.72","0.37","317","0.27","2.18","0.44","277","0.18","1.17","0.32"
"7","Evan Engram","JAX","TE","17","2023","580","0.24","1.66","0.40","124","0.24","2.03","0.47","435","0.25","1.61","0.38","297","0.26","1.93","0.39","283","0.22","1.38","0.41"
"8","Stefon Diggs","BUF","WR","17","2023","573","0.28","2.06","0.48","187","0.26","1.96","0.45","368","0.29","2.16","0.49","291","0.30","2.16","0.49","282","0.25","1.96","0.45"
"9","Ja'Marr Chase","CIN","WR","16","2023","567","0.25","2.14","0.46","139","0.22","1.93","0.57","409","0.26","2.30","0.44","263","0.27","1.91","0.42","304","0.23","2.35","0.50"
"10","Jordan Addison","MIN","WR","17","2023","559","0.19","1.63","0.40","130","0.22","1.80","0.48","400","0.17","1.65","0.35","300","0.17","1.25","0.32","259","0.21","2.07","0.49"
"11","D.J. Moore","CHI","WR","17","2023","555","0.24","2.46","0.52","141","0.30","4.26","0.75","392","0.21","1.89","0.38","301","0.24","2.91","0.52","254","0.24","1.92","0.48"
"12","DeVonta Smith","PHI","WR","16","2023","544","0.20","1.96","0.42","148","0.20","1.67","0.48","388","0.20","2.11","0.41","260","0.18","1.42","0.32","284","0.22","2.45","0.51"
"13","Davante Adams","LV","WR","17","2023","542","0.31","2.11","0.49","146","0.38","1.73","0.54","368","0.29","2.29","0.44","255","0.35","2.39","0.56","287","0.28","1.86","0.43"
"14","Amon-Ra St. Brown","DET","WR","16","2023","540","0.30","2.81","0.61","142","0.28","1.92","0.43","379","0.30","3.24","0.66","306","0.29","2.66","0.53","234","0.31","3.00","0.72"
"15","Puka Nacua","LA","WR","17","2023","540","0.29","2.75","0.55","156","0.28","2.94","0.56","362","0.29","2.80","0.53","302","0.28","2.50","0.52","238","0.30","3.07","0.56"
"16","Alec Pierce","IND","WR","17","2023","537","0.12","0.96","0.18","170","0.15","1.32","0.23","353","0.10","0.82","0.16","306","0.12","0.73","0.13","231","0.11","1.26","0.25"
"17","Elijah Moore","CLV","WR","17","2023","536","0.19","1.19","0.25","111","0.22","1.52","0.33","409","0.17","1.10","0.21","283","0.21","1.20","0.23","253","0.16","1.19","0.27"
"18","Darius Slayton","NYG","WR","17","2023","527","0.14","1.46","0.29","134","0.19","2.40","0.45","380","0.13","1.18","0.24","321","0.14","1.46","0.28","206","0.15","1.46","0.30"
"19","Tyler Lockett","SEA","WR","17","2023","526","0.22","1.70","0.38","131","0.24","1.40","0.47","383","0.22","1.85","0.36","266","0.23","1.61","0.36","260","0.22","1.79","0.39"
"20","Michael Pittman","IND","WR","16","2023","526","0.29","2.19","0.48","175","0.31","2.18","0.53","339","0.27","2.24","0.45","298","0.30","2.09","0.46","228","0.27","2.32","0.49"
"21","A.J. Brown","PHI","WR","17","2023","526","0.29","2.77","0.55","142","0.39","3.42","0.75","374","0.26","2.59","0.49","257","0.37","3.75","0.73","269","0.22","1.83","0.39"
"22","Chris Godwin","TB","WR","17","2023","524","0.24","1.95","0.40","95","0.25","1.80","0.38","406","0.24","2.10","0.40","240","0.23","1.88","0.40","284","0.26","2.02","0.36"
"23","Tyler Boyd","CIN","WR","17","2023","521","0.17","1.28","0.28","128","0.20","1.41","0.38","377","0.17","1.27","0.25","240","0.18","1.24","0.31","281","0.17","1.31","0.25"
"24","Jonathan Mingo","CAR","WR","15","2023","517","0.16","0.81","0.16","143","0.13","0.71","0.12","362","0.17","0.88","0.19","295","0.16","0.98","0.19","222","0.16","0.59","0.13"
"25","Chris Olave","NO","WR","16","2023","515","0.27","2.18","0.45","115","0.31","3.37","0.63","379","0.26","1.94","0.41","276","0.31","2.81","0.56","239","0.21","1.45","0.31"
"26","K.J. Osborn","MIN","WR","16","2023","512","0.14","1.05","0.23","125","0.19","1.41","0.36","360","0.13","0.94","0.19","277","0.16","1.15","0.27","235","0.13","0.94","0.19"
"27","Mike Evans","TB","WR","17","2023","511","0.26","2.46","0.55","91","0.34","3.11","0.83","398","0.24","2.43","0.50","231","0.29","2.96","0.63","280","0.23","2.04","0.49"
"28","Cade Otton","TB","TE","17","2023","510","0.13","0.89","0.23","86","0.08","0.49","0.10","402","0.14","0.96","0.21","226","0.10","0.69","0.13","284","0.15","1.05","0.30"
"29","George Pickens","PIT","WR","17","2023","507","0.21","2.25","0.41","102","0.26","3.51","0.66","383","0.19","2.03","0.36","241","0.25","3.40","0.59","266","0.17","1.21","0.24"
"30","Amari Cooper","CLV","WR","15","2023","506","0.25","2.47","0.45","102","0.30","2.62","0.58","390","0.24","2.51","0.42","271","0.26","2.81","0.51","235","0.23","2.08","0.38"
"31","Zay Flowers","BLT","WR","16","2023","504","0.21","1.70","0.41","152","0.24","1.68","0.32","334","0.19","1.73","0.36","308","0.23","2.07","0.41","196","0.18","1.12","0.35"
"32","DK Metcalf","SEA","WR","16","2023","502","0.23","2.22","0.45","128","0.34","2.79","0.60","360","0.19","2.06","0.37","254","0.29","2.71","0.50","248","0.16","1.72","0.39"
"33","Gabe Davis","BUF","WR","17","2023","498","0.16","1.50","0.33","164","0.18","1.06","0.22","321","0.15","1.78","0.37","252","0.17","1.25","0.26","246","0.15","1.75","0.38"
"34","Brandin Cooks","DAL","WR","16","2023","496","0.16","1.32","0.35","156","0.18","1.58","0.50","323","0.16","1.25","0.27","253","0.19","1.78","0.40","243","0.14","0.85","0.27"
"35","David Njoku","CLV","TE","16","2023","496","0.24","1.78","0.41","93","0.22","1.59","0.44","379","0.25","1.84","0.38","259","0.24","1.65","0.40","237","0.24","1.92","0.42"
"36","Jake Ferguson","DAL","TE","17","2023","494","0.20","1.54","0.36","153","0.21","1.61","0.34","318","0.19","1.56","0.32","243","0.16","1.12","0.27","251","0.23","1.94","0.45"
"37","Keenan Allen","LAC","WR","13","2023","485","0.31","2.56","0.58","157","0.32","2.33","0.60","308","0.30","2.79","0.57","290","0.32","2.72","0.59","195","0.28","2.33","0.56"
"38","Jakobi Meyers","LV","WR","16","2023","482","0.22","1.67","0.45","130","0.21","1.72","0.48","331","0.22","1.65","0.33","228","0.23","1.55","0.41","254","0.21","1.78","0.46"
"39","T.J. Hockenson","MIN","TE","15","2023","477","0.27","2.01","0.46","112","0.23","2.35","0.48","339","0.29","2.02","0.46","259","0.24","1.98","0.43","218","0.30","2.05","0.50"
"40","Logan Thomas","WAS","TE","16","2023","475","0.16","1.04","0.27","164","0.13","0.73","0.25","294","0.17","1.17","0.25","260","0.12","0.77","0.18","215","0.20","1.38","0.37"
"41","DeAndre Hopkins","TEN","WR","17","2023","466","0.29","2.27","0.48","86","0.31","2.28","0.54","357","0.28","2.38","0.47","234","0.32","2.32","0.43","232","0.25","2.22","0.53"
"42","Travis Kelce","KC","TE","15","2023","465","0.26","2.12","0.47","115","0.21","1.93","0.40","323","0.28","2.31","0.47","229","0.27","2.21","0.47","236","0.25","2.02","0.48"
