"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"33","Courtland Sutton","DEN","WR","15","2022","499","0.21","1.66","0.32","99","0.28","2.76","0.48","384","0.20","1.43","0.27","258","0.25","2.10","0.37","241","0.18","1.19","0.26"
"34","Ja'Marr Chase","CIN","WR","12","2022","495","0.26","2.11","0.49","118","0.31","3.15","0.73","354","0.25","1.85","0.41","196","0.32","3.11","0.68","299","0.21","1.46","0.37"
"35","JuJu Smith-Schuster","KC","WR","16","2022","484","0.20","1.93","0.39","178","0.16","1.59","0.28","275","0.24","2.32","0.46","261","0.17","1.73","0.33","223","0.24","2.16","0.45"
"36","Brandon Aiyuk","SF","WR","17","2022","479","0.24","2.12","0.48","123","0.30","2.32","0.61","333","0.22","2.18","0.43","292","0.27","2.52","0.53","187","0.19","1.50","0.38"
"37","Evan Engram","JAX","TE","17","2022","477","0.20","1.61","0.37","123","0.19","1.89","0.42","322","0.22","1.65","0.35","245","0.18","1.33","0.30","232","0.23","1.90","0.43"
"38","Elijah Moore","NYJ","WR","16","2022","474","0.13","0.94","0.19","147","0.10","0.78","0.12","309","0.15","1.09","0.23","269","0.11","0.68","0.15","205","0.15","1.29","0.24"
"39","Curtis Samuel","WAS","WR","17","2022","471","0.18","1.39","0.38","128","0.23","1.52","0.38","322","0.17","1.43","0.32","224","0.17","1.42","0.35","247","0.19","1.37","0.31"
"40","Amon-Ra St. Brown","DET","WR","16","2022","454","0.31","2.56","0.59","125","0.38","3.01","0.82","315","0.29","2.42","0.46","266","0.34","2.96","0.68","188","0.28","1.98","0.42"
"41","DeAndre Carter","LAC","WR","17","2022","452","0.14","1.19","0.26","104","0.12","1.25","0.20","323","0.15","1.18","0.28","212","0.14","1.32","0.24","240","0.14","1.08","0.27"
"42","D.J. Moore","CAR","WR","17","2022","447","0.24","1.99","0.45","107","0.28","2.46","0.50","326","0.23","1.87","0.36","296","0.23","1.99","0.41","151","0.28","1.99","0.48"
"43","Marquise Brown","ARZ","WR","12","2022","442","0.24","1.60","0.35","104","0.27","1.77","0.46","331","0.23","1.59","0.33","239","0.24","1.62","0.36","203","0.23","1.59","0.34"
"44","Marvin Jones","JAX","WR","16","2022","440","0.18","1.20","0.27","126","0.16","1.15","0.20","283","0.18","1.23","0.23","222","0.19","1.23","0.26","218","0.17","1.17","0.27"
"45","Alec Pierce","IND","WR","16","2022","438","0.17","1.35","0.26","136","0.23","1.71","0.33","289","0.15","1.25","0.24","242","0.20","1.46","0.28","196","0.14","1.22","0.23"
"46","Mike Williams","LAC","WR","13","2022","432","0.21","2.07","0.41","101","0.33","3.57","0.62","307","0.18","1.71","0.34","224","0.25","2.65","0.50","208","0.16","1.45","0.31"
"47","Tyler Conklin","NYJ","TE","17","2022","431","0.19","1.28","0.31","117","0.17","1.17","0.22","296","0.19","1.34","0.30","246","0.20","1.41","0.27","185","0.16","1.10","0.35"
"48","Jerry Jeudy","DEN","WR","15","2022","428","0.23","2.27","0.48","78","0.23","3.92","0.73","335","0.22","1.86","0.35","214","0.27","3.14","0.62","214","0.19","1.41","0.32"
"49","Gerald Everett","LAC","TE","16","2022","425","0.19","1.31","0.33","100","0.24","2.24","0.57","296","0.19","1.09","0.24","219","0.21","1.43","0.41","206","0.17","1.17","0.23"
"50","Dawson Knox","BUF","TE","15","2022","425","0.15","1.22","0.32","134","0.15","1.01","0.44","276","0.16","1.37","0.27","231","0.16","1.03","0.25","194","0.15","1.44","0.40"
"51","Chris Olave","NO","WR","15","2022","420","0.27","2.48","0.48","101","0.32","3.25","0.65","298","0.25","2.35","0.41","214","0.26","2.61","0.52","206","0.28","2.34","0.42"
"52","Robert Woods","TEN","WR","17","2022","418","0.20","1.26","0.28","96","0.17","1.04","0.25","308","0.21","1.36","0.28","229","0.22","1.57","0.32","189","0.17","0.89","0.23"
"53","Noah Brown","DAL","WR","16","2022","418","0.17","1.33","0.28","100","0.20","1.69","0.39","296","0.17","1.29","0.25","224","0.19","1.75","0.29","194","0.15","0.84","0.26"
"54","Pat Freiermuth","PIT","TE","16","2022","414","0.23","1.77","0.36","120","0.17","0.83","0.15","276","0.26","2.23","0.41","213","0.22","1.50","0.28","201","0.24","2.05","0.44"
"55","Mark Andrews","BLT","TE","15","2022","412","0.26","2.06","0.46","115","0.30","2.50","0.62","279","0.24","1.92","0.35","251","0.29","2.63","0.53","161","0.20","1.16","0.34"
"56","Allen Lazard","GB","WR","15","2022","410","0.24","1.92","0.43","158","0.28","2.44","0.56","240","0.20","1.65","0.32","237","0.25","2.53","0.54","173","0.22","1.09","0.27"
"57","Cade Otton","TB","TE","16","2022","409","0.15","0.96","0.23","93","0.24","0.99","0.38","295","0.13","1.00","0.19","188","0.11","0.73","0.15","221","0.19","1.15","0.30"
"58","Michael Gallup","DAL","WR","14","2022","402","0.18","1.05","0.26","90","0.27","0.96","0.25","293","0.15","1.04","0.20","215","0.21","1.13","0.26","187","0.14","0.96","0.26"
"59","Brandin Cooks","HST","WR","13","2022","402","0.22","1.74","0.36","108","0.27","1.94","0.34","276","0.20","1.71","0.33","233","0.24","1.48","0.28","169","0.19","2.10","0.46"
"60","Chase Claypool","CHI, PIT","WR","15","2022","399","0.20","1.13","0.27","103","0.21","1.40","0.28","288","0.19","1.09","0.24","225","0.20","1.24","0.29","174","0.20","0.98","0.20"
"61","Austin Ekeler","LAC","RB","17","2022","398","0.31","1.81","0.94","79","0.18","1.09","0.24","286","0.34","2.18","0.56","187","0.28","1.64","0.45","211","0.34","1.97","0.59"
"62","Tyler Higbee","LA","TE","17","2022","395","0.26","1.57","0.38","94","0.17","0.71","0.21","283","0.29","1.87","0.42","246","0.24","1.57","0.35","149","0.29","1.56","0.44"
"63","Chris Moore","HST","WR","16","2022","393","0.19","1.39","0.29","120","0.16","1.78","0.33","251","0.21","1.33","0.30","225","0.19","1.56","0.30","168","0.18","1.17","0.28"
"64","Drake London","ATL","WR","17","2022","393","0.29","2.20","0.46","79","0.33","2.13","0.52","291","0.28","2.33","0.44","227","0.32","2.56","0.54","166","0.26","1.71","0.34"
"65","George Kittle","SF","TE","15","2022","388","0.21","1.97","0.52","103","0.17","1.76","0.61","265","0.22","2.18","0.49","233","0.17","1.91","0.45","155","0.28","2.06","0.63"
"66","Dalton Schultz","DAL","TE","15","2022","388","0.22","1.49","0.37","81","0.15","1.04","0.29","286","0.23","1.63","0.36","188","0.16","1.11","0.24","200","0.28","1.85","0.49"
"67","David Njoku","CLV","TE","14","2022","383","0.20","1.64","0.37","105","0.21","1.55","0.38","254","0.20","1.77","0.37","204","0.17","1.51","0.32","179","0.23","1.79","0.44"
"68","Jakobi Meyers","NE","WR","14","2022","378","0.25","2.13","0.48","112","0.33","2.46","0.62","253","0.22","1.97","0.40","224","0.28","2.66","0.52","154","0.21","1.36","0.43"
"69","Nick Westbrook-Ikhine","TEN","WR","17","2022","377","0.12","1.05","0.22","82","0.18","0.71","0.30","284","0.11","1.19","0.20","196","0.13","1.05","0.20","181","0.12","1.06","0.24"
"70","Corey Davis","NYJ","WR","13","2022","375","0.16","1.43","0.26","108","0.19","0.81","0.20","249","0.15","1.78","0.30","207","0.19","1.46","0.30","168","0.12","1.39","0.22"
"71","Hayden Hurst","CIN","TE","13","2022","371","0.18","1.12","0.28","104","0.09","0.26","0.07","248","0.22","1.55","0.36","154","0.16","0.79","0.18","217","0.19","1.35","0.36"
"72","Leonard Fournette","TB","RB","16","2022","369","0.21","1.42","0.62","81","0.10","0.46","0.14","268","0.25","1.71","0.42","163","0.17","1.14","0.31","206","0.25","1.64","0.45"
"73","Ben Skowronek","LA","WR","14","2022","368","0.16","1.02","0.23","87","0.21","2.16","0.38","268","0.15","0.70","0.16","213","0.15","1.24","0.23","155","0.17","0.72","0.17"
"74","Cole Kmet","CHI","TE","17","2022","368","0.18","1.48","0.40","99","0.10","0.63","0.38","261","0.20","1.80","0.39","245","0.18","1.49","0.41","123","0.18","1.46","0.37"
"75","Trent Sherfield","MIA","WR","17","2022","367","0.13","1.14","0.23","73","0.05","0.40","0.08","271","0.15","1.35","0.26","155","0.10","1.50","0.31","212","0.16","0.87","0.17"
"76","Darius Slayton","NYG","WR","16","2022","366","0.19","1.98","0.35","90","0.20","2.58","0.44","266","0.19","1.83","0.33","222","0.24","2.67","0.47","144","0.11","0.91","0.17"
"77","Hunter Henry","NE","TE","17","2022","365","0.16","1.39","0.28","107","0.15","1.30","0.28","240","0.16","1.54","0.31","211","0.17","1.38","0.27","154","0.15","1.42","0.30"
"78","Isaiah McKenzie","BUF","WR","15","2022","362","0.18","1.17","0.33","127","0.20","1.14","0.33","224","0.16","1.19","0.23","197","0.18","1.06","0.25","165","0.17","1.30","0.36"
