"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"1","Jahmyr Gibbs","RB","DET","2026","3","NYJ","25.8"
"2","Josh Allen","QB","BUF","2026","3","LAC","24.3"
"3","Kenneth Walker III","RB","KC","2026","3","MIA","21.7"
"4","Bijan Robinson","RB","ATL","2026","3","GB","21.3"
"5","Brock Purdy","QB","SF","2026","3","ARZ","20.7"
"6","Lamar Jackson","QB","BLT","2026","3","DAL","20.7"
"7","Davante Adams","WR","LA","2026","3","DEN","20.6"
"8","Patrick Mahomes","QB","KC","2026","3","MIA","20.1"
"9","Jaxon Smith-Njigba","WR","SEA","2026","3","WAS","20.0"
"10","Christian McCaffrey","RB","SF","2026","3","ARZ","19.9"
"11","Dak Prescott","QB","DAL","2026","3","BLT","19.9"
"12","Tyler Shough","QB","NO","2026","3","LV","19.7"
"13","Jonathan Taylor","RB","IND","2026","3","HST","19.4"
"14","Amon-Ra St. Brown","WR","DET","2026","3","NYJ","19.3"
"15","Derrick Henry","RB","BLT","2026","3","DAL","19.2"
"16","Trevor Lawrence","QB","JAX","2026","3","NE","18.9"
"17","Jalen Hurts","QB","PHI","2026","3","CHI","18.7"
"18","Drake Maye","QB","NE","2026","3","JAX","18.7"
"19","Ashton Jeanty","RB","LV","2026","3","NO","18.5"
"20","Jared Goff","QB","DET","2026","3","NYJ","18.3"
"21","De'Von Achane","RB","MIA","2026","3","KC","18.2"
"22","Kyler Murray","QB","MIN","2026","3","TB","17.8"
"23","CeeDee Lamb","WR","DAL","2026","3","BLT","17.8"
"24","Jaylen Warren","RB","PIT","2026","3","CIN","17.7"
"25","Jordan Love","QB","GB","2026","3","ATL","17.6"
"26","Joe Burrow","QB","CIN","2026","3","PIT","17.6"
"27","Bo Nix","QB","DEN","2026","3","LA","17.4"
"28","Justin Herbert","QB","LAC","2026","3","BUF","17.0"
"29","Justin Jefferson","WR","MIN","2026","3","TB","16.9"
"30","Parker Washington","WR","JAX","2026","3","NE","16.9"
"31","Bryce Young","QB","CAR","2026","3","CLV","16.9"
"32","Ja'Marr Chase","WR","CIN","2026","3","PIT","16.8"
"33","Chase Brown","RB","CIN","2026","3","PIT","16.8"
"34","Chris Olave","WR","NO","2026","3","LV","16.8"
"35","Matthew Stafford","QB","LA","2026","3","DEN","16.6"
"36","Chuba Hubbard","RB","CAR","2026","3","CLV","16.6"
"37","Trey McBride","TE","ARZ","2026","3","SF","16.6"
"38","James Cook","RB","BUF","2026","3","LAC","16.6"
"39","Baker Mayfield","QB","TB","2026","3","MIN","16.4"
"40","C.J. Stroud","QB","HST","2026","3","IND","16.3"
"41","Bucky Irving","RB","TB","2026","3","MIN","16.2"
"42","Deshaun Watson","QB","CLV","2026","3","CAR","16.0"
"43","Geno Smith","QB","NYJ","2026","3","DET","15.9"
"44","Sam Darnold","QB","SEA","2026","3","WAS","15.9"
"45","Malik Willis","QB","MIA","2026","3","KC","15.8"
"46","DeVonta Smith","WR","PHI","2026","3","CHI","15.7"
"47","Christian Watson","WR","GB","2026","3","ATL","15.7"
"48","Javonte Williams","RB","DAL","2026","3","BLT","15.7"
"49","Breece Hall","RB","NYJ","2026","3","DET","15.6"
"50","Saquon Barkley","RB","PHI","2026","3","CHI","15.4"
"51","Jacoby Brissett","QB","ARZ","2026","3","SF","15.1"
"52","Aaron Jones","RB","MIN","2026","3","TB","15.0"
"53","Garrett Wilson","WR","NYJ","2026","3","DET","14.9"
"54","George Pickens","WR","DAL","2026","3","BLT","14.6"
"55","Cam Skattebo","RB","NYG","2026","3","TEN","14.6"
"56","Drake London","WR","ATL","2026","3","GB","14.4"
"57","Kirk Cousins","QB","LV","2026","3","NO","14.3"
"58","Marcus Mariota","QB","WAS","2026","3","SEA","14.3"
"59","Daniel Jones","QB","IND","2026","3","HST","14.2"
"60","Aaron Rodgers","QB","PIT","2026","3","CIN","14.2"
"61","Michael Penix Jr.","QB","ATL","2026","3","GB","14.1"
"62","Rashee Rice","WR","KC","2026","3","MIA","14.0"
"63","Zay Flowers","WR","BLT","2026","3","DAL","13.9"
"64","David Montgomery","RB","HST","2026","3","IND","13.8"
"65","Jaylen Waddle","WR","DEN","2026","3","LA","13.7"
"66","Travis Kelce","TE","KC","2026","3","MIA","13.7"
"67","Tetairoa McMillan","WR","CAR","2026","3","CLV","13.7"
"68","Ladd McConkey","WR","LAC","2026","3","BUF","13.7"
"69","Brock Bowers","TE","LV","2026","3","NO","13.6"
"70","Omarion Hampton","RB","LAC","2026","3","BUF","13.6"
"71","Kyren Williams","RB","LA","2026","3","DEN","13.5"
"72","Jameis Winston","QB","NYG","2026","3","TEN","13.4"
"73","DK Metcalf","WR","PIT","2026","3","CIN","13.4"
"74","Jalen Coker","WR","CAR","2026","3","CLV","13.4"
"75","Matthew Golden","WR","GB","2026","3","ATL","13.3"
"76","Mike Evans","WR","SF","2026","3","ARZ","13.2"
"77","D'Andre Swift","RB","CHI","2026","3","PHI","13.2"
"78","Tee Higgins","WR","CIN","2026","3","PIT","13.0"
"79","Dalton Kincaid","TE","BUF","2026","3","LAC","12.9"
"80","Case Keenum","QB","CHI","2026","3","PHI","12.8"
"81","Dalton Schultz","TE","HST","2026","3","IND","12.7"
"82","DJ Moore","WR","BUF","2026","3","LAC","12.7"
"83","Quinshon Judkins","RB","CLV","2026","3","CAR","12.6"
"84","Sam LaPorta","TE","DET","2026","3","NYJ","12.5"
"85","Josh Downs","WR","IND","2026","3","HST","12.2"
"86","Tyler Warren","TE","IND","2026","3","HST","12.1"
"87","Mark Andrews","TE","BLT","2026","3","DAL","12.0"
"88","Jeremiyah Love","RB","ARZ","2026","3","SF","12.0"
"89","Terry McLaurin","WR","WAS","2026","3","SEA","12.0"
"90","Malik Nabers","WR","NYG","2026","3","TEN","11.9"
"91","Cam Ward","QB","TEN","2026","3","NYG","11.7"
"92","Tucker Kraft","TE","GB","2026","3","ATL","11.6"
"93","Bhayshul Tuten","RB","JAX","2026","3","NE","11.6"
"94","George Kittle","TE","SF","2026","3","ARZ","11.5"
"95","Jameson Williams","WR","DET","2026","3","NYJ","11.4"
"96","Adonai Mitchell","WR","NYJ","2026","3","DET","11.4"
"97","Devaughn Vele","WR","NO","2026","3","LV","11.3"
