"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"1","Jahmyr Gibbs","RB","DET","2026","1","NO","24.5"
"2","Puka Nacua","WR","LA","2026","1","SF","21.0"
"3","Josh Allen","QB","BUF","2026","1","HST","20.9"
"4","Joe Burrow","QB","CIN","2026","1","TB","20.7"
"5","Justin Herbert","QB","LAC","2026","1","ARZ","20.5"
"6","Christian McCaffrey","RB","SF","2026","1","LA","20.5"
"7","Jalen Hurts","QB","PHI","2026","1","WAS","20.3"
"8","Lamar Jackson","QB","BLT","2026","1","IND","20.2"
"9","Ja'Marr Chase","WR","CIN","2026","1","TB","20.2"
"10","Jaxson Dart","QB","NYG","2026","1","DAL","19.7"
"11","Bijan Robinson","RB","ATL","2026","1","PIT","19.4"
"12","Jonathan Taylor","RB","IND","2026","1","BLT","19.3"
"13","Trevor Lawrence","QB","JAX","2026","1","CLV","19.3"
"14","Jared Goff","QB","DET","2026","1","NO","19.3"
"15","Brock Purdy","QB","SF","2026","1","LA","19.1"
"16","De'Von Achane","RB","MIA","2026","1","LV","19.1"
"17","Kyler Murray","QB","MIN","2026","1","GB","19.1"
"18","Dak Prescott","QB","DAL","2026","1","NYG","19.0"
"19","Amon-Ra St. Brown","WR","DET","2026","1","NO","18.9"
"20","Matthew Stafford","QB","LA","2026","1","SF","18.8"
"21","Drake Maye","QB","NE","2026","1","SEA","18.7"
"22","Caleb Williams","QB","CHI","2026","1","CAR","18.6"
"23","Jaxon Smith-Njigba","WR","SEA","2026","1","NE","18.6"
"24","Patrick Mahomes","QB","KC","2026","1","DEN","18.3"
"25","Tyler Shough","QB","NO","2026","1","DET","18.3"
"26","Jayden Daniels","QB","WAS","2026","1","PHI","18.1"
"27","Saquon Barkley","RB","PHI","2026","1","WAS","17.6"
"28","Baker Mayfield","QB","TB","2026","1","CIN","17.6"
"29","Malik Willis","QB","MIA","2026","1","LV","17.5"
"30","Chris Olave","WR","NO","2026","1","DET","17.4"
"31","Bo Nix","QB","DEN","2026","1","KC","17.3"
"32","Derrick Henry","RB","BLT","2026","1","IND","17.2"
"33","Jordan Love","QB","GB","2026","1","MIN","17.1"
"34","Javonte Williams","RB","DAL","2026","1","NYG","17.1"
"35","Ashton Jeanty","RB","LV","2026","1","MIA","16.9"
"36","James Cook","RB","BUF","2026","1","HST","16.7"
"37","Omarion Hampton","RB","LAC","2026","1","ARZ","16.6"
"38","Daniel Jones","QB","IND","2026","1","BLT","16.5"
"39","C.J. Stroud","QB","HST","2026","1","BUF","16.3"
"40","Rhamondre Stevenson","RB","NE","2026","1","SEA","16.2"
"41","Justin Jefferson","WR","MIN","2026","1","GB","16.2"
"42","CeeDee Lamb","WR","DAL","2026","1","NYG","16.1"
"43","Chase Brown","RB","CIN","2026","1","TB","16.0"
"44","Sam Darnold","QB","SEA","2026","1","NE","15.9"
"45","Bryce Young","QB","CAR","2026","1","CHI","15.6"
"46","Jacoby Brissett","QB","ARZ","2026","1","LAC","15.6"
"47","Nico Collins","WR","HST","2026","1","BUF","15.5"
"48","Aaron Rodgers","QB","PIT","2026","1","ATL","15.5"
"49","Zay Flowers","WR","BLT","2026","1","IND","15.3"
"50","George Pickens","WR","DAL","2026","1","NYG","15.3"
"51","Breece Hall","RB","NYJ","2026","1","TEN","15.2"
"52","Rashee Rice","WR","KC","2026","1","DEN","15.0"
"53","Kenneth Walker III","RB","KC","2026","1","DEN","14.9"
"54","A.J. Brown","WR","NE","2026","1","SEA","14.9"
"55","DeVonta Smith","WR","PHI","2026","1","WAS","14.9"
"56","Ladd McConkey","WR","LAC","2026","1","ARZ","14.8"
"57","Tee Higgins","WR","CIN","2026","1","TB","14.7"
"58","Garrett Wilson","WR","NYJ","2026","1","TEN","14.6"
"59","Bucky Irving","RB","TB","2026","1","CIN","14.5"
"60","Travis Etienne","RB","NO","2026","1","DET","14.4"
"61","D'Andre Swift","RB","CHI","2026","1","CAR","14.3"
"62","Cam Ward","QB","TEN","2026","1","NYJ","14.3"
"63","Malik Nabers","WR","NYG","2026","1","DAL","14.2"
"64","Trey McBride","TE","ARZ","2026","1","LAC","14.2"
"65","Emeka Egbuka","WR","TB","2026","1","CIN","14.0"
"66","Geno Smith","QB","NYJ","2026","1","TEN","13.9"
"67","David Montgomery","RB","HST","2026","1","BUF","13.7"
"68","Deshaun Watson","QB","CLV","2026","1","JAX","13.7"
"69","Davante Adams","WR","LA","2026","1","SF","13.6"
"70","Kyren Williams","RB","LA","2026","1","SF","13.6"
"71","Kirk Cousins","QB","LV","2026","1","MIA","13.5"
"72","Drake London","WR","ATL","2026","1","PIT","13.5"
"73","Tetairoa McMillan","WR","CAR","2026","1","CHI","13.4"
"74","Luther Burden III","WR","CHI","2026","1","CAR","13.1"
"75","Mike Evans","WR","SF","2026","1","LA","13.1"
"76","Jaylen Waddle","WR","DEN","2026","1","KC","13.0"
"77","Cam Skattebo","RB","NYG","2026","1","DAL","12.9"
"78","Christian Watson","WR","GB","2026","1","MIN","12.9"
"79","Jaylen Warren","RB","PIT","2026","1","ATL","12.8"
"80","Sam LaPorta","TE","DET","2026","1","NO","12.7"
"81","Jadarian Price","RB","SEA","2026","1","NE","12.6"
"82","Parker Washington","WR","JAX","2026","1","CLV","12.6"
"83","DK Metcalf","WR","PIT","2026","1","ATL","12.4"
"84","Colston Loveland","TE","CHI","2026","1","CAR","12.3"
"85","Jameson Williams","WR","DET","2026","1","NO","12.3"
"86","Tyler Warren","TE","IND","2026","1","BLT","12.3"
"87","Quentin Johnston","WR","LAC","2026","1","ARZ","12.2"
"88","Chuba Hubbard","RB","CAR","2026","1","CHI","12.0"
"89","Chris Godwin Jr.","WR","TB","2026","1","CIN","12.0"
"90","Cooper Rush","QB","ATL","2026","1","PIT","12.0"
"91","Rico Dowdle","RB","PIT","2026","1","ATL","11.9"
"92","Aaron Jones","RB","MIN","2026","1","GB","11.9"
"93","Michael Pittman","WR","PIT","2026","1","ATL","11.9"
"94","Quinshon Judkins","RB","CLV","2026","1","JAX","11.8"
"95","Rome Odunze","WR","CHI","2026","1","CAR","11.7"
"96","MarShawn Lloyd","RB","GB","2026","1","MIN","11.7"
"97","Courtland Sutton","WR","DEN","2026","1","KC","11.6"
"98","Bhayshul Tuten","RB","JAX","2026","1","CLV","11.6"
"99","Terry McLaurin","WR","WAS","2026","1","PHI","11.6"
"100","Travis Kelce","TE","KC","2026","1","DEN","11.6"
"101","Tony Pollard","RB","TEN","2026","1","NYJ","11.5"
"102","Marvin Harrison Jr.","WR","ARZ","2026","1","LAC","11.4"
"103","Jeremiyah Love","RB","ARZ","2026","1","LAC","11.4"
"104","DJ Moore","WR","BUF","2026","1","HST","11.3"
"105","Tre Tucker","WR","LV","2026","1","MIA","11.3"
"106","Michael Mayer","TE","LV","2026","1","MIA","11.2"
"107","Jalen Coker","WR","CAR","2026","1","CHI","11.0"
"108","Josh Downs","WR","IND","2026","1","BLT","11.0"
"109","Jordan Addison","WR","MIN","2026","1","GB","10.9"
"110","Juwan Johnson","TE","NO","2026","1","DET","10.7"
"111","Jayden Reed","WR","GB","2026","1","MIN","10.7"
"112","Brian Thomas Jr.","WR","JAX","2026","1","CLV","10.7"
"113","Jakobi Meyers","WR","JAX","2026","1","CLV","10.6"
"114","Carnell Tate","WR","TEN","2026","1","NYJ","10.6"
"115","Tucker Kraft","TE","GB","2026","1","MIN","10.4"
"116","Michael Wilson","WR","ARZ","2026","1","LAC","10.4"
"117","J.K. Dobbins","RB","DEN","2026","1","KC","10.3"
"118","Dallas Goedert","TE","PHI","2026","1","WAS","10.1"
"119","Wan'Dale Robinson","WR","TEN","2026","1","NYJ","10.1"
"120","Harold Fannin Jr.","TE","CLV","2026","1","JAX","10.0"
"121","Xavier Worthy","WR","KC","2026","1","DEN","9.7"
"122","George Kittle","TE","SF","2026","1","LA","9.6"
"123","Stefon Diggs","WR","WAS","2026","1","PHI","9.6"
"124","Jake Ferguson","TE","DAL","2026","1","NYG","9.5"
"125","Jacksonville Jaguars","DST","JAX","2026","1","CLV","9.5"
"126","Mark Andrews","TE","BLT","2026","1","IND","9.5"
"127","Brenton Strange","TE","JAX","2026","1","CLV","9.4"
"128","Kyle Pitts","TE","ATL","2026","1","PIT","9.4"
"129","Kenny Gainwell","RB","TB","2026","1","CIN","9.3"
"130","Dalton Schultz","TE","HST","2026","1","BUF","9.3"
"131","Romeo Doubs","WR","NE","2026","1","SEA","9.1"
"132","Jalen Nailor","WR","LV","2026","1","MIA","9.1"
"133","Khalil Shakir","WR","BUF","2026","1","HST","9.1"
"134","Jonathon Brooks","RB","CAR","2026","1","CHI","9.1"
"135","Rachaad White","RB","WAS","2026","1","PHI","9.1"
"136","Dontayvion Wicks","WR","PHI","2026","1","WAS","9.1"
"137","Deebo Samuel Sr.","WR","SF","2026","1","LA","9.1"
"138","Devaughn Vele","WR","NO","2026","1","DET","9.0"
"139","Alec Pierce","WR","IND","2026","1","BLT","9.0"
"140","Matthew Golden","WR","GB","2026","1","MIN","8.9"
"141","Isaiah Likely","TE","NYG","2026","1","DAL","8.8"
"142","T.J. Hockenson","TE","MIN","2026","1","GB","8.8"
"143","Cade Otton","TE","TB","2026","1","CIN","8.8"
"144","Jordan Mason","RB","MIN","2026","1","GB","8.8"
"145","Cooper Kupp","WR","SEA","2026","1","NE","8.7"
"146","Tennessee Titans","DST","TEN","2026","1","NYJ","8.7"
"147","Keenan Allen","WR","IND","2026","1","BLT","8.7"
"148","Tyjae Spears","RB","TEN","2026","1","NYJ","8.6"
"149","Hunter Henry","TE","NE","2026","1","SEA","8.6"
"150","Dalton Kincaid","TE","BUF","2026","1","HST","8.4"
"151","Jacory Croskey-Merritt","RB","WAS","2026","1","PHI","8.4"
"152","Jerry Jeudy","WR","CLV","2026","1","JAX","8.3"
"153","AJ Barner","TE","SEA","2026","1","NE","8.1"
"154","Seattle Seahawks","DST","SEA","2026","1","NE","8.1"
"155","Adonai Mitchell","WR","NYJ","2026","1","TEN","8.0"
"156","Los Angeles Chargers","DST","LAC","2026","1","ARZ","8.0"
"157","Harrison Mevis","K","LA","2026","1","SF","8.0"
"158","KC Concepcion","WR","CLV","2026","1","JAX","7.9"
"159","Las Vegas Raiders","DST","LV","2026","1","MIA","7.8"
"160","Blake Corum","RB","LA","2026","1","SF","7.8"
"161","Kyle Monangai","RB","CHI","2026","1","CAR","7.8"
"162","Evan McPherson","K","CIN","2026","1","TB","7.7"
"163","Cameron Dicker","K","LAC","2026","1","ARZ","7.7"
"164","Tyler Loop","K","BLT","2026","1","IND","7.7"
"165","Cam Little","K","JAX","2026","1","CLV","7.7"
"166","New York Jets","DST","NYJ","2026","1","TEN","7.7"
"167","Brandon Aubrey","K","DAL","2026","1","NYG","7.6"
"168","Jake Bates","K","DET","2026","1","NO","7.6"
"169","Cairo Santos","K","CHI","2026","1","CAR","7.6"
"170","Rashid Shaheed","WR","SEA","2026","1","NE","7.6"
"171","Jake Elliott","K","PHI","2026","1","WAS","7.6"
"172","Jason Myers","K","SEA","2026","1","NE","7.5"
"173","Detroit Lions","DST","DET","2026","1","NO","7.5"
"174","Will Reichard","K","MIN","2026","1","GB","7.5"
"175","RJ Harvey","RB","DEN","2026","1","KC","7.5"
"176","Chris Boswell","K","PIT","2026","1","ATL","7.5"
"177","Matt Gay","K","LV","2026","1","MIA","7.5"
"178","Chase McLaughlin","K","TB","2026","1","CIN","7.5"
"179","Eddy Pineiro","K","SF","2026","1","LA","7.5"
"180","Harrison Butker","K","KC","2026","1","DEN","7.5"
"181","Dominic Zvada","K","NYG","2026","1","DAL","7.4"
"182","Pat Freiermuth","TE","PIT","2026","1","ATL","7.4"
"183","Spencer Shrader","K","IND","2026","1","BLT","7.3"
"184","Chig Okonkwo","TE","WAS","2026","1","PHI","7.3"
"185","Trey Smack","K","GB","2026","1","MIN","7.3"
"186","Ryan Fitzgerald","K","CAR","2026","1","CHI","7.3"
"187","Ka'imi Fairbairn","K","HST","2026","1","BUF","7.2"
"188","Kayshon Boutte","WR","HST","2026","1","BUF","7.2"
"189","Rashod Bateman","WR","BLT","2026","1","IND","7.1"
"190","Ryan Flournoy","WR","DAL","2026","1","NYG","7.1"
"191","Tyler Bass","K","BUF","2026","1","HST","7.1"
"192","De'Zhaun Stribling","WR","SF","2026","1","LA","7.1"
"193","Daniel Carlson","K","NO","2026","1","DET","7.1"
"194","Pittsburgh Steelers","DST","PIT","2026","1","ATL","7.0"
"195","Andy Borregales","K","NE","2026","1","SEA","7.0"
"196","Wil Lutz","K","DEN","2026","1","KC","7.0"
"197","Caleb Douglas","WR","MIA","2026","1","LV","6.9"
"198","Calvin Ridley","WR","TEN","2026","1","NYJ","6.9"
"199","Philadelphia Eagles","DST","PHI","2026","1","WAS","6.9"
"200","Buffalo Bills","DST","BUF","2026","1","HST","6.9"
"201","Mason Taylor","TE","NYJ","2026","1","TEN","6.8"
"202","Woody Marks","RB","HST","2026","1","BUF","6.8"
"203","Malik Washington","WR","MIA","2026","1","LV","6.8"
"204","Chicago Bears","DST","CHI","2026","1","CAR","6.8"
"205","Joey Slye","K","TEN","2026","1","NYJ","6.8"
"206","Dallas Cowboys","DST","DAL","2026","1","NYG","6.7"
"207","Drew Stevens","K","WAS","2026","1","PHI","6.7"
"208","Jauan Jennings","WR","MIN","2026","1","GB","6.7"
"209","Tre Harris","WR","LAC","2026","1","ARZ","6.6"
"210","Chris Rodriguez Jr.","RB","JAX","2026","1","CLV","6.6"
"211","Riley Patterson","K","MIA","2026","1","LV","6.6"
"212","Baltimore Ravens","DST","BLT","2026","1","IND","6.6"
"213","Los Angeles Rams","DST","LA","2026","1","SF","6.6"
"214","Chad Ryland","K","ARZ","2026","1","LAC","6.5"
"215","Blake Grupe","K","NYJ","2026","1","TEN","6.5"
"216","Tyler Allgeier","RB","ARZ","2026","1","LAC","6.5"
"217","George Holani","RB","SEA","2026","1","NE","6.4"
"218","Pat Bryant","WR","DEN","2026","1","KC","6.4"
"219","Samaje Perine","RB","CIN","2026","1","TB","6.4"
"220","Cincinnati Bengals","DST","CIN","2026","1","TB","6.4"
"221","New England Patriots","DST","NE","2026","1","SEA","6.4"
"222","Nick Folk","K","ATL","2026","1","PIT","6.3"
"223","Dylan Sampson","RB","CLV","2026","1","JAX","6.2"
"224","Jaylin Noel","WR","HST","2026","1","BUF","6.2"
"225","Malachi Fields","WR","NYG","2026","1","DAL","6.1"
"226","Colby Parkinson","TE","LA","2026","1","SF","6.1"
"227","Denver Broncos","DST","DEN","2026","1","KC","6.1"
"228","Justice Hill","RB","BLT","2026","1","IND","6.0"
"229","Terrance Ferguson","TE","LA","2026","1","SF","6.0"
"230","Mike Gesicki","TE","CIN","2026","1","TB","6.0"
"231","Evan Engram","TE","DEN","2026","1","KC","6.0"
"232","Green Bay Packers","DST","GB","2026","1","MIN","5.9"
"233","Chris Brooks","RB","GB","2026","1","MIN","5.9"
"234","Denzel Boston","WR","CLV","2026","1","JAX","5.8"
"235","Miami Dolphins","DST","MIA","2026","1","LV","5.8"
"236","Chris Bell","WR","MIA","2026","1","LV","5.7"
"237","Atlanta Falcons","DST","ATL","2026","1","PIT","5.7"
"238","Andre Szmyt","K","CLV","2026","1","JAX","5.7"
"239","Kansas City Chiefs","DST","KC","2026","1","DEN","5.7"
"240","Charlie Kolar","TE","LAC","2026","1","ARZ","5.7"
"241","Ja'Kobi Lane","WR","BLT","2026","1","IND","5.6"
"242","Keaton Mitchell","RB","LAC","2026","1","ARZ","5.6"
"243","Xavier Legette","WR","CAR","2026","1","CHI","5.6"
"244","Greg Dulcich","TE","MIA","2026","1","LV","5.6"
"245","Andrei Iosivas","WR","CIN","2026","1","TB","5.6"
"246","Gunnar Helm","TE","TEN","2026","1","NYJ","5.5"
"247","Cleveland Browns","DST","CLV","2026","1","JAX","5.5"
"248","Minnesota Vikings","DST","MIN","2026","1","GB","5.5"
"249","Houston Texans","DST","HST","2026","1","BUF","5.4"
"250","Keon Coleman","WR","BUF","2026","1","HST","5.3"
"251","Jack Bech","WR","LV","2026","1","MIA","5.2"
"252","Makai Lemon","WR","PHI","2026","1","WAS","5.2"
"253","Tampa Bay Buccaneers","DST","TB","2026","1","CIN","5.2"
"254","New York Giants","DST","NYG","2026","1","DAL","5.2"
"255","Kendrick Bourne","WR","ARZ","2026","1","LAC","5.1"
"256","Isaac TeSlaa","WR","DET","2026","1","NO","5.1"
"257","Ray Davis","RB","BUF","2026","1","HST","5.0"
"258","Tyquan Thornton","WR","KC","2026","1","DEN","5.0"
"259","Mike Washington Jr.","RB","LV","2026","1","MIA","5.0"
"260","Brian Robinson","RB","ATL","2026","1","PIT","5.0"
"261","Bryce Lance","WR","NO","2026","1","DET","4.9"
"262","Carolina Panthers","DST","CAR","2026","1","CHI","4.9"
"263","Indianapolis Colts","DST","IND","2026","1","BLT","4.9"
"264","Tez Johnson","WR","TB","2026","1","CIN","4.9"
"265","Washington Commanders","DST","WAS","2026","1","PHI","4.9"
"266","Ted Hurst III","WR","TB","2026","1","CIN","4.8"
"267","Darren Waller","TE","CAR","2026","1","CHI","4.8"
"268","DeMario Douglas","WR","NE","2026","1","SEA","4.8"
"269","Kendre Miller","RB","NO","2026","1","DET","4.8"
"270","San Francisco 49ers","DST","SF","2026","1","LA","4.8"
"271","Jahan Dotson","WR","ATL","2026","1","PIT","4.7"
"272","Darnell Washington","TE","PIT","2026","1","ATL","4.6"
"273","Dawson Knox","TE","BUF","2026","1","HST","4.6"
"274","Najee Harris","RB","NYG","2026","1","DAL","4.5"
"275","Treylon Burks","WR","WAS","2026","1","PHI","4.3"
"276","Olamide Zaccheaus","WR","ATL","2026","1","PIT","4.3"
"277","Roman Wilson","WR","PIT","2026","1","ATL","4.3"
"278","Brashard Smith","RB","KC","2026","1","DEN","4.3"
"279","Oronde Gadsden II","TE","LAC","2026","1","ARZ","4.3"
"280","Arizona Cardinals","DST","ARZ","2026","1","LAC","4.2"
"281","Braelon Allen","RB","NYJ","2026","1","TEN","4.2"
"282","KaVontae Turpin","WR","DAL","2026","1","NYG","4.2"
"283","Darnell Mooney","WR","NYG","2026","1","DAL","4.0"
"284","New Orleans Saints","DST","NO","2026","1","DET","3.9"
"285","Theo Johnson","TE","NYG","2026","1","DAL","3.9"
"286","Xavier Hutchinson","WR","HST","2026","1","BUF","3.9"
"287","Cole Kmet","TE","CHI","2026","1","CAR","3.8"
"288","Elic Ayomanor","WR","TEN","2026","1","NYJ","3.6"
"289","Omar Cooper Jr.","WR","NYJ","2026","1","TEN","3.6"
