"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"428","Brayden Willis","TE","SF","2026","2","MIA","0.4"
"429","Chris Myarick","TE","LV","2026","2","LAC","0.3"
"430","Tahj Brooks","RB","CIN","2026","2","HST","0.3"
"431","Darius Cooper","WR","PHI","2026","2","TEN","0.3"
"432","Josh Cuevas","TE","BLT","2026","2","NO","0.3"
"433","Greg Dortch","WR","BUF","2026","2","DET","0.3"
"434","Robert Tonyan","TE","PIT","2026","2","NE","0.3"
"435","Tylan Wallace","WR","CLV","2026","2","TB","0.3"
"436","Chris Blair","WR","ATL","2026","2","CAR","0.3"
"437","Payne Durham","TE","TB","2026","2","CLV","0.3"
"438","Cyrus Allen","WR","KC","2026","2","IND","0.3"
"439","Corey Kiner","RB","NE","2026","2","PIT","0.3"
"440","Michael Burton","RB","CLV","2026","2","TB","0.3"
"441","Colbie Young","WR","CIN","2026","2","HST","0.3"
"442","Kameron Johnson","WR","TB","2026","2","CLV","0.3"
"443","KhaDarel Hodge","WR","SF","2026","2","MIA","0.2"
"444","Dareke Young","WR","LV","2026","2","LAC","0.2"
"445","Elijah Sarratt","WR","BLT","2026","2","NO","0.2"
"446","Keleki Latu","TE","BUF","2026","2","DET","0.2"
"447","Gavin Bartholomew","TE","MIN","2026","2","CHI","0.2"
"448","Arian Smith","WR","NYJ","2026","2","GB","0.2"
"449","Riley Nowakowski","TE","PIT","2026","2","NE","0.2"
"450","Carsen Ryan","TE","CLV","2026","2","TB","0.2"
"451","Rasheen Ali","RB","BLT","2026","2","NO","0.2"
"452","Eli Heidenreich","RB","PIT","2026","2","NE","0.2"
"453","Marquise Brown","WR","PHI","2026","2","TEN","0.2"
"454","Simi Fehoko","WR","ARZ","2026","2","SEA","0.2"
"455","Roschon Johnson","RB","CHI","2026","2","MIN","0.1"
"456","Dillon Bell","WR","MIN","2026","2","CHI","0.1"
"457","Reggie Gilliam","RB","NE","2026","2","PIT","0.1"
"458","Seydou Traore","TE","MIA","2026","2","SF","0.1"
"459","Feleipe Franks","TE","CAR","2026","2","ATL","0.1"
"460","Mark Redman","TE","GB","2026","2","NYJ","0.1"
"461","Max Bredeson","RB","MIN","2026","2","CHI","0.1"
"462","Bauer Sharp","TE","TB","2026","2","CLV","0.1"
"463","Ryan Miller","WR","MIA","2026","2","SF","0.1"
"464","Nikko Remigio","WR","KC","2026","2","IND","0.1"
"465","Gary Jennings","WR","LAC","2026","2","LV","0.1"
"466","Tanner Arkin","TE","NE","2026","2","PIT","0.1"
"467","Montorie Foster Jr","WR","SEA","2026","2","ARZ","0.0"
"468","Britain Covey","WR","PHI","2026","2","TEN","0.0"
"469","Devin Duvernay","WR","ARZ","2026","2","SEA","0.0"
"470","Kaden Wetjen","WR","PIT","2026","2","NE","0.0"
"471","British Brooks","RB","HST","2026","2","CIN","0.0"
"472","David Martin-Robinson","TE","TEN","2026","2","PHI","0.0"
"473","Shedeur Sanders","QB","CLV","2026","2","TB","0.0"
"474","Jared Wiley","TE","KC","2026","2","IND","0.0"
"475","Tua Tagovailoa","QB","ATL","2026","2","CAR","0.0"
"476","Ko Kieft","TE","TB","2026","2","CLV","0.0"
"477","Cameron Latu","TE","NE","2026","2","PIT","0.0"
"478","Camden Brown","WR","DAL","2026","2","WAS","0.0"
"479","Nick Muse","TE","ATL","2026","2","CAR","0.0"
"480","Ty Johnson","RB","BUF","2026","2","DET","0.0"
"481","Jake Tonges","TE","SF","2026","2","MIA","0.0"
"482","Nicholas Singleton","RB","TEN","2026","2","PHI","0.0"
"483","Malik Davis","RB","DAL","2026","2","WAS","0.0"
"484","Jack Endries","TE","CIN","2026","2","HST","0.0"
"485","Jordan James","RB","SF","2026","2","MIA","0.0"
"486","Jordan Whittington","WR","LA","2026","2","NYG","0.0"
"487","RJ Harvey","RB","DEN","2026","2","JAX","0.0"
"488","Kene Nwangwu","RB","NYJ","2026","2","GB","0.0"
"489","Ke'Shawn Williams","WR","CIN","2026","2","HST","0.0"
"490","Tanner Koziol","TE","JAX","2026","2","DEN","0.0"
"491","Isiah Pacheco","RB","DET","2026","2","BUF","0.0"
"492","Najee Harris","RB","NYG","2026","2","LA","0.0"
"493","Elijah Moore","WR","PHI","2026","2","TEN","0.0"
"494","Treyton Welch","TE","NO","2026","2","BLT","0.0"
"495","Jabari Small","RB","DET","2026","2","BUF","0.0"
"496","Ashton Dulin","WR","IND","2026","2","KC","0.0"
"497","Velus Jones Jr.","RB","SEA","2026","2","ARZ","0.0"
"498","Dallen Bentley","TE","DEN","2026","2","JAX","0.0"
"499","CJ Daniels","WR","LA","2026","2","NYG","0.0"
"500","Jalen Tolbert","WR","MIA","2026","2","SF","0.0"
"501","Jalen Royals","WR","KC","2026","2","IND","0.0"
"502","Michael Pittman","WR","PIT","2026","2","NE","0.0"
"503","A.J. Brown","WR","NE","2026","2","PIT","0.0"
"504","Lucky Jackson","WR","DET","2026","2","BUF","0.0"
"505","Audric Estimé","RB","NO","2026","2","BLT","0.0"
"506","Jalen Milroe","QB","SEA","2026","2","ARZ","0.0"
"507","Zach Charbonnet","RB","SEA","2026","2","ARZ","0.0"
"508","Reggie Virgil","WR","ARZ","2026","2","SEA","0.0"
"509","Ben VanSumeren","RB","KC","2026","2","IND","0.0"
"510","Chig Okonkwo","TE","WAS","2026","2","DAL","0.0"
"511","Jordan Mason","RB","MIN","2026","2","CHI","0.0"
"512","Ja'Tavion Sanders","TE","CAR","2026","2","ATL","0.0"
"513","Jauan Jennings","WR","MIN","2026","2","CHI","0.0"
"514","Dylan Sampson","RB","CLV","2026","2","TB","0.0"
"515","Israel Abanikanda","RB","DAL","2026","2","WAS","0.0"
"516","Justin Joly","TE","MIA","2026","2","SF","0.0"
"517","Brock Bowers","TE","LV","2026","2","LAC","0.0"
"518","Michael Penix Jr.","QB","ATL","2026","2","CAR","0.0"
"519","Kyler Murray","QB","MIN","2026","2","CHI","0.0"
"520","Kylen Granson","TE","TEN","2026","2","PHI","0.0"
"521","Jalen Moreno-Cropper","WR","NO","2026","2","BLT","0.0"
"522","Ricky White III","WR","SEA","2026","2","ARZ","0.0"
"523","KeAndre Lambert-Smith","WR","LAC","2026","2","LV","0.0"
"524","E.J. Jenkins","TE","PHI","2026","2","TEN","0.0"
"525","Marvin Mims Jr.","WR","DEN","2026","2","JAX","0.0"
"526","J. Michael Sturdivant","WR","GB","2026","2","NYJ","0.0"
"527","Max Klare","TE","LA","2026","2","NYG","0.0"
"528","Jackson Meeks","TE","DET","2026","2","BUF","0.0"
"529","Zay Flowers","WR","BLT","2026","2","NO","0.0"
"530","Omar Cooper Jr.","WR","NYJ","2026","2","GB","0.0"
"531","Nick Kallerup","TE","SEA","2026","2","ARZ","0.0"
"532","Jawhar Jordan","RB","HST","2026","2","CIN","0.0"
"533","Tank Dell","WR","HST","2026","2","CIN","0.0"
"534","Brevin Jordan","TE","HST","2026","2","CIN","0.0"
"535","Luke McCaffrey","WR","WAS","2026","2","DAL","0.0"
"536","Julian Hill","TE","NE","2026","2","PIT","0.0"
"537","Eli Stowers","TE","PHI","2026","2","TEN","0.0"
"538","Ben Yurosek","TE","MIN","2026","2","CHI","0.0"
"539","DJ Giddens","RB","IND","2026","2","KC","0.0"
"540","Skyler Bell","WR","BUF","2026","2","DET","0.0"
"541","Pierre Strong","RB","GB","2026","2","NYJ","0.0"
"542","Ja'Kobi Lane","WR","BLT","2026","2","NO","0.0"
"543","C.J. Williams","WR","JAX","2026","2","DEN","0.0"
"544","Treylon Burks","WR","WAS","2026","2","DAL","0.0"
"545","Thomas Fidone II","TE","NYG","2026","2","LA","0.0"
"546","Julius Chestnut","RB","TEN","2026","2","PHI","0.0"
"547","Sam Darnold","QB","SEA","2026","2","ARZ","0.0"
"548","De'Zhaun Stribling","WR","SF","2026","2","MIA","0.0"
"549","Nico Collins","WR","HST","2026","2","CIN","0.0"
"550","Kaden Davis","WR","CHI","2026","2","MIN","0.0"
"551","Josh Jacobs","RB","GB","2026","2","NYJ","0.0"
"552","Josh Williams","RB","TB","2026","2","CLV","-0.0"
"553","Anthony Gould","WR","IND","2026","2","KC","-0.0"
"554","Malachi Corley","WR","CLV","2026","2","TB","-0.0"
"555","Lan Larison","RB","NE","2026","2","PIT","-0.0"
