"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"99","Romeo Doubs","WR","NE","2026","2","PIT","11.1"
"100","Rico Dowdle","RB","PIT","2026","2","NE","10.9"
"101","Tyler Warren","TE","IND","2026","2","KC","10.9"
"102","Jakobi Meyers","WR","JAX","2026","2","DEN","10.9"
"103","Dalton Schultz","TE","HST","2026","2","CIN","10.9"
"104","Courtland Sutton","WR","DEN","2026","2","JAX","10.8"
"105","Tucker Kraft","TE","GB","2026","2","NYJ","10.7"
"106","Quentin Johnston","WR","LAC","2026","2","LV","10.7"
"107","Bhayshul Tuten","RB","JAX","2026","2","DEN","10.6"
"108","Josh Downs","WR","IND","2026","2","KC","10.6"
"109","Matthew Golden","WR","GB","2026","2","NYJ","10.6"
"110","Chris Godwin Jr.","WR","TB","2026","2","CLV","10.5"
"111","Khalil Shakir","WR","BUF","2026","2","DET","10.5"
"112","Tre Tucker","WR","LV","2026","2","LAC","10.5"
"113","Juwan Johnson","TE","NO","2026","2","BLT","10.4"
"114","Jordan Addison","WR","MIN","2026","2","CHI","10.4"
"115","Jacory Croskey-Merritt","RB","WAS","2026","2","DAL","10.3"
"116","Michael Wilson","WR","ARZ","2026","2","SEA","10.3"
"117","George Kittle","TE","SF","2026","2","MIA","10.3"
"118","Jayden Reed","WR","GB","2026","2","NYJ","10.3"
"119","Deebo Samuel Sr.","WR","SF","2026","2","MIA","10.1"
"120","Devaughn Vele","WR","NO","2026","2","BLT","10.1"
"121","Tony Pollard","RB","TEN","2026","2","PHI","10.0"
"122","Carnell Tate","WR","TEN","2026","2","PHI","9.9"
"123","Rashod Bateman","WR","BLT","2026","2","NO","9.9"
"124","San Francisco 49ers","DST","SF","2026","2","MIA","9.8"
"125","Rome Odunze","WR","CHI","2026","2","MIN","9.8"
"126","Isaiah Likely","TE","NYG","2026","2","LA","9.7"
"127","Harold Fannin Jr.","TE","CLV","2026","2","TB","9.6"
"128","Wan'Dale Robinson","WR","TEN","2026","2","PHI","9.5"
"129","Travis Etienne","RB","NO","2026","2","BLT","9.5"
"130","Tampa Bay Buccaneers","DST","TB","2026","2","CLV","9.5"
"131","Brian Thomas Jr.","WR","JAX","2026","2","DEN","9.5"
"132","Xavier Hutchinson","WR","HST","2026","2","CIN","9.5"
"133","Hunter Henry","TE","NE","2026","2","PIT","9.4"
"134","Marvin Harrison Jr.","WR","ARZ","2026","2","SEA","9.4"
"135","DeMario Douglas","WR","NE","2026","2","PIT","9.4"
"136","KC Concepcion","WR","CLV","2026","2","TB","9.3"
"137","Alec Pierce","WR","IND","2026","2","KC","9.3"
"138","Kayshon Boutte","WR","HST","2026","2","CIN","9.3"
"139","Kenny Gainwell","RB","TB","2026","2","CLV","9.2"
"140","Pat Freiermuth","TE","PIT","2026","2","NE","9.1"
"141","Kyle Monangai","RB","CHI","2026","2","MIN","8.9"
"142","Caleb Douglas","WR","MIA","2026","2","SF","8.9"
"143","T.J. Hockenson","TE","MIN","2026","2","CHI","8.9"
"144","Kyle Pitts","TE","ATL","2026","2","CAR","8.9"
"145","Keenan Allen","WR","IND","2026","2","KC","8.8"
"146","Brenton Strange","TE","JAX","2026","2","DEN","8.8"
"147","Malik Washington","WR","MIA","2026","2","SF","8.7"
"148","Jake Ferguson","TE","DAL","2026","2","WAS","8.6"
"149","George Holani","RB","SEA","2026","2","ARZ","8.6"
"150","Baltimore Ravens","DST","BLT","2026","2","NO","8.6"
"151","Philadelphia Eagles","DST","PHI","2026","2","TEN","8.5"
"152","Pat Bryant","WR","DEN","2026","2","JAX","8.5"
"153","Mack Hollins","WR","NE","2026","2","PIT","8.4"
"154","Blake Corum","RB","LA","2026","2","NYG","8.4"
"155","Tyjae Spears","RB","TEN","2026","2","PHI","8.3"
"156","Ryan Flournoy","WR","DAL","2026","2","WAS","8.3"
"157","Jaylin Noel","WR","HST","2026","2","CIN","8.2"
"158","Dontayvion Wicks","WR","PHI","2026","2","TEN","8.1"
"159","Kaelon Black","RB","SF","2026","2","MIA","8.1"
"160","Jalen Nailor","WR","LV","2026","2","LAC","8.1"
"161","Eddy Pineiro","K","SF","2026","2","MIA","8.1"
"162","Cade Otton","TE","TB","2026","2","CLV","8.0"
"163","Rachaad White","RB","WAS","2026","2","DAL","8.0"
"164","Adonai Mitchell","WR","NYJ","2026","2","GB","8.0"
"165","Woody Marks","RB","HST","2026","2","CIN","8.0"
"166","Roman Wilson","WR","PIT","2026","2","NE","7.9"
"167","Seattle Seahawks","DST","SEA","2026","2","ARZ","7.9"
"168","Harrison Mevis","K","LA","2026","2","NYG","7.9"
"169","Makai Lemon","WR","PHI","2026","2","TEN","7.8"
"170","Tyler Loop","K","BLT","2026","2","NO","7.8"
"171","Tyler Allgeier","RB","ARZ","2026","2","SEA","7.7"
"172","Tre Harris","WR","LAC","2026","2","LV","7.7"
"173","Justice Hill","RB","BLT","2026","2","NO","7.7"
"174","Los Angeles Rams","DST","LA","2026","2","NYG","7.7"
"175","Brandon Aubrey","K","DAL","2026","2","WAS","7.7"
"176","Cairo Santos","K","CHI","2026","2","MIN","7.7"
"177","Cameron Dicker","K","LAC","2026","2","LV","7.7"
"178","Jerry Jeudy","WR","CLV","2026","2","TB","7.7"
"179","Harrison Butker","K","KC","2026","2","IND","7.6"
"180","Ka'imi Fairbairn","K","HST","2026","2","CIN","7.6"
"181","Chase McLaughlin","K","TB","2026","2","CLV","7.6"
"182","Cooper Kupp","WR","SEA","2026","2","ARZ","7.6"
"183","Kansas City Chiefs","DST","KC","2026","2","IND","7.6"
"184","Jake Bates","K","DET","2026","2","BUF","7.6"
"185","Tyler Bass","K","BUF","2026","2","DET","7.6"
"186","Green Bay Packers","DST","GB","2026","2","NYJ","7.6"
"187","Denzel Boston","WR","CLV","2026","2","TB","7.6"
"188","Evan Engram","TE","DEN","2026","2","JAX","7.5"
"189","Trey Smack","K","GB","2026","2","NYJ","7.5"
"190","Jake Elliott","K","PHI","2026","2","TEN","7.5"
"191","Ryan Fitzgerald","K","CAR","2026","2","ATL","7.4"
"192","Andy Borregales","K","NE","2026","2","PIT","7.4"
"193","Wil Lutz","K","DEN","2026","2","JAX","7.4"
"194","Jason Myers","K","SEA","2026","2","ARZ","7.3"
"195","Cam Little","K","JAX","2026","2","DEN","7.3"
"196","Nick Folk","K","ATL","2026","2","CAR","7.2"
"197","Will Reichard","K","MIN","2026","2","CHI","7.2"
"198","TreVeyon Henderson","RB","NE","2026","2","PIT","7.2"
"199","Drew Stevens","K","WAS","2026","2","DAL","7.1"
"200","Evan McPherson","K","CIN","2026","2","HST","7.1"
"201","Colby Parkinson","TE","LA","2026","2","NYG","7.1"
"202","Pittsburgh Steelers","DST","PIT","2026","2","NE","7.0"
"203","New England Patriots","DST","NE","2026","2","PIT","7.0"
"204","Los Angeles Chargers","DST","LAC","2026","2","LV","7.0"
"205","Dominic Zvada","K","NYG","2026","2","LA","7.0"
"206","Chicago Bears","DST","CHI","2026","2","MIN","7.0"
"207","Devontez Walker","WR","BLT","2026","2","NO","7.0"
"208","Jason Sanders","K","NYJ","2026","2","GB","6.9"
"209","Spencer Shrader","K","IND","2026","2","KC","6.9"
"210","Gunnar Helm","TE","TEN","2026","2","PHI","6.9"
"211","Demarcus Robinson","WR","SF","2026","2","MIA","6.9"
"212","Houston Texans","DST","HST","2026","2","CIN","6.8"
"213","Kendrick Bourne","WR","ARZ","2026","2","SEA","6.8"
"214","Chris Brooks","RB","GB","2026","2","NYJ","6.8"
"215","Arizona Cardinals","DST","ARZ","2026","2","SEA","6.7"
"216","Daniel Carlson","K","NO","2026","2","BLT","6.7"
"217","Carolina Panthers","DST","CAR","2026","2","ATL","6.6"
"218","Jalen McMillan","WR","TB","2026","2","CLV","6.5"
"219","Matt Gay","K","LV","2026","2","LAC","6.5"
"220","Chad Ryland","K","ARZ","2026","2","SEA","6.5"
"221","Keaton Mitchell","RB","LAC","2026","2","LV","6.4"
"222","Denver Broncos","DST","DEN","2026","2","JAX","6.4"
"223","Greg Dulcich","TE","MIA","2026","2","SF","6.4"
"224","Rashid Shaheed","WR","SEA","2026","2","ARZ","6.4"
"225","AJ Barner","TE","SEA","2026","2","ARZ","6.4"
"226","Braelon Allen","RB","NYJ","2026","2","GB","6.4"
"227","Atlanta Falcons","DST","ATL","2026","2","CAR","6.3"
"228","Jonathon Brooks","RB","CAR","2026","2","ATL","6.2"
"229","Chris Boswell","K","PIT","2026","2","NE","6.1"
"230","Samaje Perine","RB","CIN","2026","2","HST","6.1"
"231","Andre Szmyt","K","CLV","2026","2","TB","6.1"
"232","Bryce Lance","WR","NO","2026","2","BLT","6.0"
"233","Mason Taylor","TE","NYJ","2026","2","GB","5.9"
"234","Joey Slye","K","TEN","2026","2","PHI","5.9"
"235","Devin Singletary","RB","NYG","2026","2","LA","5.9"
"236","Alvin Kamara","RB","NO","2026","2","BLT","5.8"
"237","Kenyon Sadiq","TE","NYJ","2026","2","GB","5.8"
"238","Malachi Fields","WR","NYG","2026","2","LA","5.8"
"239","Cincinnati Bengals","DST","CIN","2026","2","HST","5.8"
"240","Mike Gesicki","TE","CIN","2026","2","HST","5.8"
"241","Riley Patterson","K","MIA","2026","2","SF","5.8"
"242","Calvin Ridley","WR","TEN","2026","2","PHI","5.7"
"243","Cleveland Browns","DST","CLV","2026","2","TB","5.7"
"244","David Njoku","TE","LAC","2026","2","LV","5.6"
"245","Jacksonville Jaguars","DST","JAX","2026","2","DEN","5.6"
"246","Dallas Cowboys","DST","DAL","2026","2","WAS","5.5"
"247","Kalif Raymond","WR","CHI","2026","2","MIN","5.5"
"248","Tennessee Titans","DST","TEN","2026","2","PHI","5.5"
"249","Emmett Johnson","RB","KC","2026","2","IND","5.5"
"250","Xavier Legette","WR","CAR","2026","2","ATL","5.5"
"251","Terrance Ferguson","TE","LA","2026","2","NYG","5.4"
"252","Darnell Mooney","WR","NYG","2026","2","LA","5.3"
"253","Chris Rodriguez Jr.","RB","JAX","2026","2","DEN","5.2"
"254","Las Vegas Raiders","DST","LV","2026","2","LAC","5.2"
"255","New York Jets","DST","NYJ","2026","2","GB","5.2"
"256","Chris Bell","WR","MIA","2026","2","SF","5.1"
"257","Jahan Dotson","WR","ATL","2026","2","CAR","5.1"
"258","Tyquan Thornton","WR","KC","2026","2","IND","5.1"
"259","Minnesota Vikings","DST","MIN","2026","2","CHI","5.1"
"260","Brian Robinson","RB","ATL","2026","2","CAR","5.1"
"261","Antonio Williams","WR","WAS","2026","2","DAL","5.0"
"262","Buffalo Bills","DST","BUF","2026","2","DET","5.0"
"263","Ben Sinnott","TE","WAS","2026","2","DAL","4.9"
"264","Keon Coleman","WR","BUF","2026","2","DET","4.9"
"265","Cole Kmet","TE","CHI","2026","2","MIN","4.9"
"266","LaJohntay Wester","WR","BLT","2026","2","NO","4.8"
"267","Darren Waller","TE","CAR","2026","2","ATL","4.7"
"268","Jack Bech","WR","LV","2026","2","LAC","4.7"
