"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"99","Rico Dowdle","RB","PIT","2026","2","NE","11.1"
"100","Romeo Doubs","WR","NE","2026","2","PIT","11.0"
"101","Chris Godwin Jr.","WR","TB","2026","2","CLV","11.0"
"102","Michael Mayer","TE","LV","2026","2","LAC","10.9"
"103","Tre Tucker","WR","LV","2026","2","LAC","10.8"
"104","Matthew Golden","WR","GB","2026","2","NYJ","10.6"
"105","RJ Harvey","RB","DEN","2026","2","JAX","10.6"
"106","George Kittle","TE","SF","2026","2","MIA","10.5"
"107","Dalton Kincaid","TE","BUF","2026","2","DET","10.5"
"108","Courtland Sutton","WR","DEN","2026","2","JAX","10.4"
"109","Jacory Croskey-Merritt","RB","WAS","2026","2","DAL","10.4"
"110","Aaron Jones","RB","MIN","2026","2","CHI","10.3"
"111","J.K. Dobbins","RB","DEN","2026","2","JAX","10.3"
"112","Juwan Johnson","TE","NO","2026","2","BLT","10.3"
"113","Jeremiyah Love","RB","ARZ","2026","2","SEA","10.3"
"114","Brian Thomas Jr.","WR","JAX","2026","2","DEN","10.3"
"115","Devaughn Vele","WR","NO","2026","2","BLT","10.3"
"116","Marvin Harrison Jr.","WR","ARZ","2026","2","SEA","10.3"
"117","Bhayshul Tuten","RB","JAX","2026","2","DEN","10.3"
"118","Jakobi Meyers","WR","JAX","2026","2","DEN","10.1"
"119","Khalil Shakir","WR","BUF","2026","2","DET","10.1"
"120","Jake Ferguson","TE","DAL","2026","2","WAS","9.9"
"121","Tre Harris","WR","LAC","2026","2","LV","9.9"
"122","Kyle Pitts","TE","ATL","2026","2","CAR","9.9"
"123","Carnell Tate","WR","TEN","2026","2","PHI","9.8"
"124","Jordan Mason","RB","MIN","2026","2","CHI","9.8"
"125","Deebo Samuel Sr.","WR","SF","2026","2","MIA","9.8"
"126","Jayden Reed","WR","GB","2026","2","NYJ","9.8"
"127","San Francisco 49ers","DST","SF","2026","2","MIA","9.7"
"128","DeMario Douglas","WR","NE","2026","2","PIT","9.7"
"129","KC Concepcion","WR","CLV","2026","2","TB","9.6"
"130","Dalton Schultz","TE","HST","2026","2","CIN","9.6"
"131","Josh Downs","WR","IND","2026","2","KC","9.6"
"132","Kyle Monangai","RB","CHI","2026","2","MIN","9.5"
"133","Wan'Dale Robinson","WR","TEN","2026","2","PHI","9.5"
"134","Tampa Bay Buccaneers","DST","TB","2026","2","CLV","9.5"
"135","Kenny Gainwell","RB","TB","2026","2","CLV","9.4"
"136","Tyler Warren","TE","IND","2026","2","KC","9.4"
"137","Caleb Douglas","WR","MIA","2026","2","SF","9.4"
"138","Dontayvion Wicks","WR","PHI","2026","2","TEN","9.3"
"139","Michael Wilson","WR","ARZ","2026","2","SEA","9.3"
"140","Tucker Kraft","TE","GB","2026","2","NYJ","9.2"
"141","Cooper Kupp","WR","SEA","2026","2","ARZ","9.1"
"142","Cade Otton","TE","TB","2026","2","CLV","9.0"
"143","Tyler Allgeier","RB","ARZ","2026","2","SEA","9.0"
"144","Harold Fannin Jr.","TE","CLV","2026","2","TB","9.0"
"145","Malik Washington","WR","MIA","2026","2","SF","8.9"
"146","Ryan Flournoy","WR","DAL","2026","2","WAS","8.8"
"147","Isaiah Likely","TE","NYG","2026","2","LA","8.8"
"148","Hunter Henry","TE","NE","2026","2","PIT","8.8"
"149","Keenan Allen","WR","IND","2026","2","KC","8.8"
"150","Makai Lemon","WR","PHI","2026","2","TEN","8.6"
"151","T.J. Hockenson","TE","MIN","2026","2","CHI","8.6"
"152","Jordan Addison","WR","MIN","2026","2","CHI","8.5"
"153","Philadelphia Eagles","DST","PHI","2026","2","TEN","8.5"
"154","Baltimore Ravens","DST","BLT","2026","2","NO","8.5"
"155","Brenton Strange","TE","JAX","2026","2","DEN","8.4"
"156","David Njoku","TE","LAC","2026","2","LV","8.4"
"157","Adonai Mitchell","WR","NYJ","2026","2","GB","8.4"
"158","Demarcus Robinson","WR","SF","2026","2","MIA","8.4"
"159","Rome Odunze","WR","CHI","2026","2","MIN","8.3"
"160","Pat Freiermuth","TE","PIT","2026","2","NE","8.3"
"161","George Holani","RB","SEA","2026","2","ARZ","8.3"
"162","Mack Hollins","WR","NE","2026","2","PIT","8.3"
"163","Tyjae Spears","RB","TEN","2026","2","PHI","8.2"
"164","Justice Hill","RB","BLT","2026","2","NO","8.1"
"165","Chris Brooks","RB","GB","2026","2","NYJ","8.1"
"166","Ted Hurst III","WR","TB","2026","2","CLV","8.1"
"167","Rashod Bateman","WR","BLT","2026","2","NO","8.1"
"168","Rachaad White","RB","WAS","2026","2","DAL","8.1"
"169","Denzel Boston","WR","CLV","2026","2","TB","8.0"
"170","Kayshon Boutte","WR","HST","2026","2","CIN","7.9"
"171","Jerry Jeudy","WR","CLV","2026","2","TB","7.8"
"172","Seattle Seahawks","DST","SEA","2026","2","ARZ","7.8"
"173","Harrison Mevis","K","LA","2026","2","NYG","7.8"
"174","Kendrick Bourne","WR","ARZ","2026","2","SEA","7.8"
"175","Tyler Loop","K","BLT","2026","2","NO","7.7"
"176","Harrison Butker","K","KC","2026","2","IND","7.7"
"177","Brandon Aubrey","K","DAL","2026","2","WAS","7.7"
"178","Ka'imi Fairbairn","K","HST","2026","2","CIN","7.7"
"179","Cameron Dicker","K","LAC","2026","2","LV","7.7"
"180","Cairo Santos","K","CHI","2026","2","MIN","7.7"
"181","Keaton Mitchell","RB","LAC","2026","2","LV","7.6"
"182","Jake Bates","K","DET","2026","2","BUF","7.6"
"183","Chase McLaughlin","K","TB","2026","2","CLV","7.6"
"184","Tyler Bass","K","BUF","2026","2","DET","7.6"
"185","Eddy Pineiro","K","SF","2026","2","MIA","7.5"
"186","Trey Smack","K","GB","2026","2","NYJ","7.5"
"187","Green Bay Packers","DST","GB","2026","2","NYJ","7.5"
"188","Pat Bryant","WR","DEN","2026","2","JAX","7.5"
"189","Jake Elliott","K","PHI","2026","2","TEN","7.5"
"190","Los Angeles Rams","DST","LA","2026","2","NYG","7.5"
"191","Andy Borregales","K","NE","2026","2","PIT","7.4"
"192","Alec Pierce","WR","IND","2026","2","KC","7.4"
"193","Jason Myers","K","SEA","2026","2","ARZ","7.4"
"194","Wil Lutz","K","DEN","2026","2","JAX","7.4"
"195","Jalen Nailor","WR","LV","2026","2","LAC","7.3"
