"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"428","Cyrus Allen","WR","KC","2026","2","IND","0.3"
"429","Robert Tonyan","TE","PIT","2026","2","NE","0.3"
"430","Efton Chism III","WR","NE","2026","2","PIT","0.3"
"431","Josh Williams","RB","TB","2026","2","CLV","0.3"
"432","Michael Burton","RB","CLV","2026","2","TB","0.3"
"433","Eli Heidenreich","RB","PIT","2026","2","NE","0.3"
"434","Josh Cuevas","TE","BLT","2026","2","NO","0.3"
"435","Corey Kiner","RB","NE","2026","2","PIT","0.3"
"436","Colbie Young","WR","CIN","2026","2","HST","0.3"
"437","Gary Jennings","WR","LAC","2026","2","LV","0.3"
"438","Kameron Johnson","WR","TB","2026","2","CLV","0.2"
"439","Gavin Bartholomew","TE","MIN","2026","2","CHI","0.2"
"440","Keleki Latu","TE","BUF","2026","2","DET","0.2"
"441","Arian Smith","WR","NYJ","2026","2","GB","0.2"
"442","Riley Nowakowski","TE","PIT","2026","2","NE","0.2"
"443","Rasheen Ali","RB","BLT","2026","2","NO","0.2"
"444","Marquise Brown","WR","PHI","2026","2","TEN","0.2"
"445","Carsen Ryan","TE","CLV","2026","2","TB","0.2"
"446","Max Bredeson","RB","MIN","2026","2","CHI","0.2"
"447","Simi Fehoko","WR","ARZ","2026","2","SEA","0.2"
"448","Roschon Johnson","RB","CHI","2026","2","MIN","0.2"
"449","Kaden Davis","WR","CHI","2026","2","MIN","0.1"
"450","Seydou Traore","TE","MIA","2026","2","SF","0.1"
"451","Reggie Gilliam","RB","NE","2026","2","PIT","0.1"
"452","Feleipe Franks","TE","CAR","2026","2","ATL","0.1"
"453","Mark Redman","TE","GB","2026","2","NYJ","0.1"
"454","Bauer Sharp","TE","TB","2026","2","CLV","0.1"
"455","Tanner Arkin","TE","NE","2026","2","PIT","0.1"
"456","Jordan Watkins","WR","SF","2026","2","MIA","0.0"
"457","Kaleb Johnson","RB","GB","2026","2","NYJ","0.0"
"458","Tyler Goodson","RB","ATL","2026","2","CAR","0.0"
"459","British Brooks","RB","HST","2026","2","CIN","0.0"
"460","J. Michael Sturdivant","WR","GB","2026","2","NYJ","0.0"
"461","Jack Endries","TE","CIN","2026","2","HST","0.0"
"462","Tory Horton","WR","SEA","2026","2","ARZ","0.0"
"463","Tua Tagovailoa","QB","ATL","2026","2","CAR","0.0"
"464","Lucky Jackson","WR","DET","2026","2","BUF","0.0"
"465","Michael Penix Jr.","QB","ATL","2026","2","CAR","0.0"
"466","Eli Stowers","TE","PHI","2026","2","TEN","0.0"
"467","Max Klare","TE","LA","2026","2","NYG","0.0"
"468","Ty Johnson","RB","BUF","2026","2","DET","0.0"
"469","Zavion Thomas","WR","CHI","2026","2","MIN","0.0"
"470","Treylon Burks","WR","WAS","2026","2","DAL","0.0"
"471","Ja'Tavion Sanders","TE","CAR","2026","2","ATL","0.0"
"472","Ko Kieft","TE","TB","2026","2","CLV","0.0"
"473","Jalen Milroe","QB","SEA","2026","2","ARZ","0.0"
"474","Dallen Bentley","TE","DEN","2026","2","JAX","0.0"
"475","Jalen McMillan","WR","TB","2026","2","CLV","0.0"
"476","DJ Giddens","RB","IND","2026","2","KC","0.0"
"477","Luke McCaffrey","WR","WAS","2026","2","DAL","0.0"
"478","Reggie Virgil","WR","ARZ","2026","2","SEA","0.0"
"479","Israel Abanikanda","RB","DAL","2026","2","WAS","0.0"
"480","Jordan James","RB","SF","2026","2","MIA","0.0"
"481","Nick Muse","TE","ATL","2026","2","CAR","0.0"
"482","Ricky White III","WR","SEA","2026","2","ARZ","0.0"
"483","Audric Estimé","RB","NO","2026","2","BLT","0.0"
"484","Kene Nwangwu","RB","NYJ","2026","2","GB","0.0"
"485","Camden Brown","WR","DAL","2026","2","WAS","0.0"
"486","Lil'Jordan Humphrey","WR","DEN","2026","2","JAX","0.0"
"487","Jared Wiley","TE","KC","2026","2","IND","0.0"
"488","Josh Jacobs","RB","GB","2026","2","NYJ","0.0"
"489","John Metchie III","WR","CAR","2026","2","ATL","0.0"
"490","Isiah Pacheco","RB","DET","2026","2","BUF","0.0"
"491","Oscar Delp","TE","NO","2026","2","BLT","0.0"
"492","A.J. Brown","WR","NE","2026","2","PIT","0.0"
"493","Tank Dell","WR","HST","2026","2","CIN","0.0"
"494","Ja'Kobi Lane","WR","BLT","2026","2","NO","0.0"
"495","Zach Charbonnet","RB","SEA","2026","2","ARZ","0.0"
"496","Jalen Tolbert","WR","MIA","2026","2","SF","0.0"
"497","Cameron Latu","TE","NE","2026","2","PIT","0.0"
"498","KeAndre Lambert-Smith","WR","LAC","2026","2","LV","0.0"
"499","Pierre Strong","RB","GB","2026","2","NYJ","0.0"
"500","Thomas Fidone II","TE","NYG","2026","2","LA","0.0"
"501","Julian Hill","TE","NE","2026","2","PIT","0.0"
"502","Brock Bowers","TE","LV","2026","2","LAC","0.0"
"503","Sean Tucker","RB","TB","2026","2","CLV","0.0"
"504","Jabari Small","RB","DET","2026","2","BUF","0.0"
"505","Ben Skowronek","WR","PIT","2026","2","NE","0.0"
"506","Velus Jones Jr.","RB","SEA","2026","2","ARZ","0.0"
"507","CJ Donaldson","RB","NO","2026","2","BLT","0.0"
"508","Brevin Jordan","TE","HST","2026","2","CIN","0.0"
"509","Jalen Moreno-Cropper","WR","NO","2026","2","BLT","0.0"
"510","E.J. Jenkins","TE","PHI","2026","2","TEN","0.0"
"511","C.J. Williams","WR","JAX","2026","2","DEN","0.0"
"512","Sam Darnold","QB","SEA","2026","2","ARZ","0.0"
"513","Ladd McConkey","WR","LAC","2026","2","LV","0.0"
"514","Montorie Foster Jr","WR","SEA","2026","2","ARZ","0.0"
"515","Ben Yurosek","TE","MIN","2026","2","CHI","0.0"
"516","Tanner Koziol","TE","JAX","2026","2","DEN","0.0"
"517","CJ Daniels","WR","LA","2026","2","NYG","0.0"
"518","Jake Tonges","TE","SF","2026","2","MIA","0.0"
"519","Jalen Royals","WR","KC","2026","2","IND","0.0"
"520","Skyler Bell","WR","BUF","2026","2","DET","0.0"
"521","Chig Okonkwo","TE","WAS","2026","2","DAL","0.0"
"522","Jawhar Jordan","RB","HST","2026","2","CIN","0.0"
"523","Justin Joly","TE","MIA","2026","2","SF","0.0"
"524","Omar Cooper Jr.","WR","NYJ","2026","2","GB","0.0"
"525","Demond Claiborne","RB","MIN","2026","2","CHI","0.0"
"526","Ke'Shawn Williams","WR","CIN","2026","2","HST","0.0"
"527","Jackson Meeks","TE","DET","2026","2","BUF","0.0"
"528","Ryan Miller","WR","MIA","2026","2","SF","0.0"
"529","Tutu Atwell","WR","LA","2026","2","NYG","0.0"
"530","Malik Davis","RB","DAL","2026","2","WAS","0.0"
"531","Elijah Moore","WR","PHI","2026","2","TEN","0.0"
"532","Kylen Granson","TE","TEN","2026","2","PHI","0.0"
"533","David Martin-Robinson","TE","TEN","2026","2","PHI","0.0"
"534","Tyler Badie","RB","DEN","2026","2","JAX","0.0"
"535","De'Zhaun Stribling","WR","SF","2026","2","MIA","0.0"
"536","Deion Burks","WR","IND","2026","2","KC","0.0"
"537","Nick Kallerup","TE","SEA","2026","2","ARZ","0.0"
"538","Julius Chestnut","RB","TEN","2026","2","PHI","0.0"
"539","Nicholas Singleton","RB","TEN","2026","2","PHI","0.0"
"540","Shedeur Sanders","QB","CLV","2026","2","TB","0.0"
"541","Kyler Murray","QB","MIN","2026","2","CHI","0.0"
"542","Najee Harris","RB","NYG","2026","2","LA","0.0"
"543","Malachi Corley","WR","CLV","2026","2","TB","-0.0"
"544","Nikko Remigio","WR","KC","2026","2","IND","-0.0"
"545","Dylan Sampson","RB","CLV","2026","2","TB","-0.0"
"546","Lan Larison","RB","NE","2026","2","PIT","-0.0"
"547","Kaden Wetjen","WR","PIT","2026","2","NE","-0.1"
"548","Britain Covey","WR","PHI","2026","2","TEN","-0.1"
"549","Myles Price","WR","MIN","2026","2","CHI","-0.1"
"550","Devin Duvernay","WR","ARZ","2026","2","SEA","-0.1"
