,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB
2023,16,Dak Prescott,DAL,QB,1,9,PHI,8.079268292682928,53,65.9,8.5,3,0,115.2,0.21,0.54,25,60.9,8.35,2,0,116.6,0.288,0.63,27,70,8.1,1,0,110.8,0.208,0.44,34,60,7.73,3,0,117.6,0.031,0.64,19,78.6,10.14,0,0,108.9,0.528,0.35
2023,17,Lamar Jackson,BLT,QB,1,14,LA,9.464285714285714,53,55.8,7.35,3,1,92.8,0.276,0.57,7,33.3,11,1,0,115.3,0.362,1.11,46,59.5,6.76,2,1,86.5,0.263,0.49,25,60,7.3,1,0,99.2,0.225,0.5,28,52.2,7.39,2,1,87.2,0.321,0.64
2023,18,C.J. Stroud,HST,QB,1,1,BLT,9.464285714285714,53,63.6,5.5,0,0,78,-0.222,0.22,15,77.8,8.33,0,0,101.4,-0.681,0.23,35,62.5,5,0,0,75,-0.047,0.23,21,56.3,5.81,0,0,73.2,-0.262,0.2,32,67.9,5.32,0,0,80.8,-0.195,0.24
2023,19,Derek Carr,NO,QB,1,6,HST,8.843537414965986,52,64,7.06,1,1,83.2,0.1,0.33,13,45.5,5.64,0,1,25.6,-0.226,0.11,37,73,7.86,1,0,104.7,0.269,0.42,22,65,6.8,0,1,63.8,0,0.2,30,63.3,7.23,1,0,96.1,0.174,0.42
2023,20,Jalen Hurts,PHI,QB,1,13,SF,8.360128617363344,52,57.8,6.62,1,0,85.2,0.161,0.34,12,50,7.5,1,0,108.3,0.443,0.64,40,60,6.37,0,0,78.6,0.076,0.26,18,56.3,9.06,0,0,86.7,0.491,0.38,34,58.6,5.28,1,0,84.4,-0.014,0.32
2023,21,Sam Howell,WAS,QB,1,11,NYG,7.334273624823695,52,68.9,5.69,1,3,62.8,-0.148,0.4,8,66.7,5,1,1,78.5,-0.377,0.88,42,71.1,5.95,0,2,64.1,-0.163,0.17,25,95.5,8.45,1,0,117,0.632,0.57,27,43.5,3.04,0,3,11.4,-0.87,0.24
2023,22,Kenny Pickett,PIT,QB,1,1,SF,14.40443213296399,52,67.4,5.04,1,2,68.4,-0.386,0.22,5,40,8.2,0,1,30,-0.567,0.13,41,71.4,5.09,0,1,70.9,-0.365,0.16,19,55.6,5.78,0,1,49.3,-0.303,0.19,33,75,4.57,1,1,80.7,-0.434,0.25
2023,23,Desmond Ridder,ATL,QB,1,6,WAS,11.87214611872146,52,59.6,6.53,2,3,66.5,-0.117,0.37,13,46.2,5.92,0,2,25.6,-0.323,0.08,37,65.6,6.91,1,1,82.9,-0.089,0.37,22,50,6.25,1,1,65.6,-0.244,0.39,30,66.7,6.74,1,2,67.2,-0.025,0.35
2023,24,Trevor Siemian,NYJ,QB,1,16,WAS,30.538922155688624,51,55.1,4.43,1,1,64.8,-0.306,0.26,12,45.5,1.73,1,0,82.8,-0.545,0.42,35,61.8,5.79,0,0,77.7,0.089,0.26,13,50,3.5,0,0,58.3,-0.343,0.15,38,56.8,4.73,1,1,66.8,-0.293,0.3
2023,25,Justin Herbert,LAC,QB,1,12,BLT,9.883720930232558,51,65.9,4.93,1,1,75.7,-0.389,0.32,10,40,1.5,1,0,81.3,-0.665,0.46,39,75.8,6.12,0,0,90.7,-0.283,0.31,31,71.4,5.39,0,0,84.1,-0.258,0.32,20,56.3,4.13,1,1,60.9,-0.593,0.32
