,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB
2026,17,Kirk Cousins,LV,QB,1,2,LAC,100,32,65.5,8.72,3,1,113.1,0.186,0.67,4,75,6.25,1,0,130.2,0.2,1.25,26,65.2,9.35,1,1,91.8,0.098,0.46,15,80,11.93,2,1,128.2,0.711,0.94,17,50,5.29,1,0,89.6,-0.277,0.43
2026,18,Jordan Love,GB,QB,1,2,NYJ,100,32,55.2,5,2,0,91.9,-0.099,0.43,9,37.5,3.25,1,0,86.5,-0.241,0.56,22,60,5.65,0,0,75.6,-0.138,0.21,8,14.3,2.57,0,0,39.6,-0.697,0.09,24,68.2,5.77,2,0,113.3,0.1,0.55
2026,19,Caleb Williams,CHI,QB,1,2,MIN,100,32,57.7,5.31,0,1,56.2,0.049,0.23,1,100,3,0,0,79.2,2.149,0.12,29,54.2,5.29,0,1,51.9,-0.087,0.23,11,33.3,2.78,0,1,2.8,-0.461,0,21,70.6,6.65,0,0,88.6,0.317,0.34
2026,20,Jacoby Brissett,ARZ,QB,1,2,SEA,100,31,60.7,3.39,1,1,63.8,-0.286,0.24,1,100,8,0,0,100,0.653,0.32,29,57.7,3.27,0,1,47.8,-0.456,0.11,10,55.6,2.67,0,1,21.3,-0.62,0,21,63.2,3.74,1,0,87.8,-0.126,0.36
2026,21,Justin Herbert,LAC,QB,1,2,LV,100,31,55.6,7.11,1,2,59.5,-0.027,0.32,5,66.7,6.67,0,0,85.4,-0.325,0.16,26,54.2,7.17,1,2,56.3,0.031,0.35,13,75,10.67,1,2,97.2,0.303,0.55,18,40,4.27,0,0,53.2,-0.264,0.15
2026,22,Trevor Lawrence,JAX,QB,1,2,DEN,100,31,58.6,6.52,0,1,63.7,-0.133,0.21,13,45.5,5.36,0,0,62.3,-0.414,0.18,17,70.6,7.65,0,1,68.3,0.153,0.25,15,50,4.21,0,0,61.3,-0.33,0.16,16,66.7,8.67,0,1,66,0.052,0.26
2026,23,Bo Nix,DEN,QB,1,2,JAX,100,31,71,9.29,1,1,97.2,0.272,0.47,8,50,11.38,0,1,51.6,-0.075,0.33,21,85.7,9.38,1,0,121.6,0.486,0.57,20,65,8.95,1,0,110.2,0.419,0.56,11,81.8,9.91,0,1,70.1,0.004,0.31
2026,24,Jameis Winston,NYG,QB,1,2,LA,100,29,40.7,4.11,0,1,37.7,-0.569,0.12,12,36.4,4.73,0,1,14.2,-0.829,0.09,17,43.8,3.69,0,0,53.9,-0.385,0.14,16,35.7,4.86,0,1,22.3,-0.732,0.11,13,46.2,3.31,0,0,54.3,-0.368,0.13
2026,25,Malik Willis,MIA,QB,1,2,SF,100,28,60.9,8.57,1,0,103,0.158,0.44,0,0,0,0,0,0,0,0,28,60.9,8.57,1,0,103,0.158,0.44,20,64.7,10.59,1,0,119.7,0.441,0.58,8,50,2.83,0,0,56.3,-0.551,0.09
2026,26,Drew Lock,SEA,QB,1,2,ARZ,100,27,73.1,9.04,3,0,139.1,0.596,0.79,3,66.7,5.33,1,0,119.4,0.882,1.55,22,72.7,9.41,1,0,117,0.493,0.56,9,77.8,3.67,0,0,81.9,0.109,0.15,18,70.6,11.88,3,0,150,0.839,1.12
2026,27,Drake Maye,NE,QB,1,2,PIT,100,27,63.6,9.45,0,1,75.6,-0.13,0.35,7,66.7,13,0,0,109.7,0.771,0.63,18,62.5,8.13,0,1,62,-0.393,0.27,14,66.7,7.58,0,1,54.5,-0.467,0.28,13,60,11.7,0,0,100.8,0.233,0.41
2026,28,Brock Purdy,SF,QB,1,2,MIA,100,25,90.9,13.05,2,0,149.1,1.058,1.14,6,75,9,1,0,141.7,0.873,2.24,18,94.1,14.65,1,0,138.4,1.212,0.83,12,90,10.7,2,0,150.8,1.108,1.26,13,91.7,15,0,0,118.8,1.011,1.03
2026,29,Carson Wentz,MIN,QB,1,2,CHI,100,24,55,7.15,0,0,77.7,0.005,0.26,10,77.8,12,0,0,116.7,0.43,0.47,14,36.4,3.18,0,0,45.6,-0.299,0.1,18,64.7,8.41,0,0,91.1,0.3,0.32,6,0,0,0,0,39.6,-0.882,0.07
2026,30,Cam Ward,TEN,QB,1,2,PHI,100,24,65,9.15,0,0,94.4,0.055,0.58,3,50,3,0,0,56.3,-0.28,2.11,19,68.8,10.13,0,0,101.6,0.119,0.36,12,100,14,0,0,118.8,0.558,0.5,12,30,4.3,0,0,45,-0.449,0.65
2026,31,Jayden Daniels,WAS,QB,1,2,DAL,100,23,64.7,5.65,1,0,99.1,0.249,0.64,5,25,1,1,0,79.2,-0.538,1.11,17,83.3,7.67,0,0,98.6,0.517,0.54,12,57.1,4.86,1,0,109.5,0.709,1.01,11,70,6.2,0,0,86.3,-0.253,0.23
2026,32,Cooper Rush,ATL,QB,1,2,CAR,100,20,58.8,5.06,0,2,32.6,-0.759,0.17,3,33.3,1,0,1,2.8,-1.976,-0.29,17,64.3,5.93,0,1,50.6,-0.544,0.25,14,53.8,4.92,0,2,27.9,-0.66,0.12,6,75,5.5,0,0,87.5,-0.988,0.3
2026,33,Jack Strand,ATL,QB,1,2,CAR,100,19,53.3,3.93,0,1,35.1,-0.599,0.16,3,0,0,0,1,0,-3.194,-0.33,16,61.5,4.54,0,0,72.3,-0.112,0.25,15,41.7,3.25,0,1,15.6,-0.777,0.09,4,100,6.67,0,0,94.4,0.07,0.4
2026,34,Marcus Mariota,WAS,QB,1,2,DAL,100,17,68.8,6.94,1,0,109.1,0.118,0.51,4,50,5.75,0,0,67.7,0.255,0.23,13,75,7.33,1,0,122.9,0.076,0.6,11,70,8.1,1,0,127.5,0.151,0.69,6,66.7,5,0,0,78.5,0.058,0.2
2026,35,Tyson Bagent,CHI,QB,1,2,MIN,100,10,55.6,6,0,0,73.4,-0.284,0.22,1,0,0,0,0,39.6,-0.335,0,4,100,13.25,0,0,118.8,0.651,0.53,6,80,10.6,0,0,110.8,-0.037,0.35,4,25,0.25,0,0,39.6,-0.656,0.01
2026,36,Jaxson Dart,NYG,QB,1,2,LA,100,5,60,4,0,0,68.8,-0.223,0.16,3,66.7,6,0,0,82.6,0.122,0.24,2,50,1,0,0,56.3,-0.741,0.04,4,50,4.5,0,0,62.5,-0.046,0.18,1,100,2,0,0,79.2,-0.933,0.08
2026,37,Mason Rudolph,PIT,QB,1,2,NE,100,2,0,0,0,0,39.6,-0.557,0.15,1,0,0,0,0,0,-0.696,0.3,1,0,0,0,0,39.6,-0.418,0,0,0,0,0,0,0,0,0,2,0,0,0,0,39.6,-0.557,0.15
Exported from Data Suite 2.0 by michaelgingrave (user 380) on 2026-09-23 21:55 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
