,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,G,ALIGN,RTE %,TGT %,RTE,TGT,YPRR,TPRR,aDOT,AY,YDS,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,51,Tennessee Titans,17,Slot,100,31,2071,124,0.51,0.06,7.81,968,1066,8.6,11.46,93,75,481,5.17,152,1.63,10,9.54,17,8,6,48,0.023,123.9,93,0,11,8.9,106,85.5,12,15.4,1,0.8,19,8,42.1,1,14,0.15,0,1.13,0.429,158.1,100,62.1,2.4,259.6,248.9,15.27,14.64,0.63,0.13,0.12,248.9
2025,52,Tampa Bay Buccaneers,17,Slot,100,32.50564334085779,2255,144,0.47,0.06,8.66,1247,1049,7.28,10.09,104,72.2,413,3.97,141,1.36,8,6.97,16,10,6,61,0.027,99.6,113,0,13,9,119,82.6,15,12.9,7,4.9,27,16,59.3,0,14,0.13,0,-0.42,0.313,153.5,100,50.7,3.5,256.9,256.4,15.11,15.08,0.03,0.11,0.11,256.4
2025,53,Las Vegas Raiders,17,Slot,100,35.54987212276215,2041,139,0.51,0.07,8.86,1231,1046,7.53,10.16,103,74.1,399,3.87,148,1.44,9,10.44,27,12,5,52,0.025,110.8,105,0,14,10.1,113,81.3,15,11.8,5,3.6,15,9,60,0,14,0.14,0,-0.12,0.386,145.3,100,33.1,2.9,261.6,271,15.39,15.94,-0.55,0.13,0.13,271
2025,54,Jacksonville Jaguars,17,Slot,100,32.857142857142854,2465,161,0.39,0.07,9.52,1533,967,6.01,9.87,98,60.9,360,3.67,116,1.18,4,3.93,20,10,2,51,0.021,68,128,0,17,10.6,120,74.5,22,12.6,9,5.6,33,17,51.5,1,15,0.15,0,-1.93,-0.049,158.4,100,42.2,3.7,218.7,232.9,12.86,13.7,-0.84,0.09,0.09,232.9
2025,55,New England Patriots,17,Slot,100,34.52685421994885,2021,135,0.48,0.07,8.07,1090,967,7.16,10.18,95,70.4,399,4.2,112,1.18,9,8.71,17,11,6,44,0.022,97.4,102,0,15,11.1,109,80.7,13,12.6,6,4.4,23,13,56.5,3,10,0.11,0,-0.45,0.151,145.2,99.3,40.7,3.7,245.7,246.6,14.45,14.51,-0.06,0.12,0.12,246.6
2025,56,Los Angeles Chargers,17,Slot,100,35.07853403141361,2069,134,0.45,0.06,8.69,1164,940,7.01,10.56,89,66.4,430,4.83,148,1.66,6,6.22,19,10,3,46,0.022,86,104,0,19,14.2,99,73.9,20,13.8,5,3.7,13,7,53.8,0,15,0.17,0,-0.56,0.289,147.8,100,33.6,3,219,217.8,12.88,12.81,0.07,0.11,0.11,217.8
2025,57,Kansas City Chiefs,17,Slot,100,38.402061855670105,1949,149,0.48,0.08,6.7,998,935,6.28,8.66,108,72.5,441,4.08,135,1.25,6,5.92,14,4,4,48,0.025,93.7,126,0,23,15.4,120,80.5,10,9.2,9,6,21,19,90.5,3,9,0.08,0,-0.93,0.115,120.8,100,36.2,3.4,237.5,238.7,13.97,14.04,-0.07,0.12,0.12,238.7
2025,58,Buffalo Bills,17,Slot,100,41.08761329305136,1825,136,0.51,0.07,8.96,1218,931,6.85,11.22,83,61,358,4.31,142,1.71,6,6.8,23,16,5,45,0.025,93.1,105,0,15,11,99,72.8,14,16.9,9,6.6,24,15,62.5,1,13,0.16,0,-0.98,0.216,122.1,100,19.9,1.5,212.1,220.2,12.48,12.95,-0.47,0.12,0.12,220.2
2025,59,Los Angeles Rams,17,Slot,100,36.21867881548975,2319,159,0.4,0.07,7.68,1221,929,5.84,8.68,107,67.3,338,3.16,116,1.08,8,5.87,29,10,4,48,0.021,88.8,123,0,17,10.7,120,75.5,12,8.6,4,2.5,27,17,63,0,14,0.13,0,-1.69,0.065,132.7,100,42.1,1.3,247.9,235.5,14.58,13.85,0.73,0.11,0.1,235.5
2025,60,New Orleans Saints,17,Slot,100,32.36842105263158,1969,123,0.45,0.06,8.42,1036,878,7.14,10.33,85,69.1,357,4.2,112,1.32,3,4.52,10,3,2,42,0.021,94.2,95,0,11,8.9,97,78.9,13,16.5,6,4.9,20,12,60,1,11,0.13,0,-0.64,0.245,151.2,100,53.7,4.1,190.8,206.9,11.22,12.17,-0.95,0.1,0.11,206.9
