,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,,League Avg,,,,,,,,68.73802816901407,25.3682092555332,69.10623742454729,6.022132796780684,18.703018108651925,2.28,0.24,10.828490945674051,62.267605633802816,25.82253521126761,57.80281690140845,25.033802816901392,9.6,13.46,4.293762575452717,71.3,21.281690140845072,4.96,6.987927565392354,1.63,0.37424547283702214,0.36597585513078446,18.432997987927568,0.8008048289738431,0.47484909456740443,0.21730382293762576,2.7706237424547284,0.109,105.23239436619734,4.710261569416499,22.601609657947673,0.4647887323943662,7.7,4.9476861167002015,82.2,0.9175050301810865,23.8,0.2776659959758551,4.6,1.1710261569416498,0.7364185110663984,62.9,0.096579476861167,0.5231388329979879,0.12,26.8,1.45,0.5,48.145674044265554,37.7394366197183,13.393158953722338,0.723138832997988,12.433199195171031,11.664587525150909,12.433239436619724,11.664124748490933,0.7691146881287712,0.49,0.46,11.568812877263586
2025,1,Puka Nacua,LA,WR,1,16,SEA,9.865470852017937,9.815950920245399,80.7,44,86.3,16,32.7,5.11,0.36,9.75,156,35.2,225,49.2,14.06,18.75,12,75,128,10.67,55,4.58,2,1.19,66.7,2,1,1,7,0.159,156.3,13,48.1,1,6.3,13,81.3,2,40,0,0,3,2,66.7,0,3,0.25,39,6.2,1.082,68.2,27.3,2.3,2.3,46.5,33,46.5,33.02,13.48,1.06,0.75,33
2025,2,Puka Nacua,LA,WR,1,15,DET,5.829596412556054,6.748466257668712,55.1,26,63.4,11,28.9,6.96,0.42,12.73,140,31.5,181,49.2,16.45,20.11,9,81.8,62,6.89,38,4.22,0,0.11,0,0,0,0,8,0.308,118.8,11,34.4,0,0,11,100,2,44.4,1,9.1,2,1,50,1,3,0.33,47.8,7.98,1.439,65.4,34.6,0,0,27.9,26.3,27.9,26.27,1.63,1.04,0.97,25.3
2025,3,Puka Nacua,LA,WR,1,14,ARZ,4.484304932735426,6.748466257668712,46.3,20,64.5,11,35.5,8.35,0.55,13.91,153,63,167,59.4,15.18,23.86,7,63.6,30,4.29,17,2.43,2,1.67,66.7,0,0,0,7,0.35,146.8,10,43.5,0,0,9,81.8,4,71.4,1,9.1,6,5,83.3,4,0,0,50,6.3,1.007,45,55,0,0,35.7,28.8,35.7,28.82,6.88,1.79,1.44,28.8
2025,4,Kyle Pitts,ATL,TE,1,15,TB,7.920792079207921,10.344827586206897,95.5,40,88.9,12,27.3,4.15,0.3,7.25,87,24.9,166,44.5,13.83,15.09,11,91.7,82,7.45,9,0.82,3,2.11,100,3,1,1,8,0.2,158.3,5,20,0,0,12,100,0,25,0,0,2,1,50,0,2,0.18,30,6.45,1.204,17.5,42.5,40,0,45.6,34.2,45.6,34.15,11.45,1.14,0.85,34.2
2025,5,Amon-Ra St. Brown,DET,WR,1,15,LA,7.7798861480075905,10.843373493975903,95.2,41,97.6,18,43.9,4,0.44,7.94,143,32.6,164,49.7,9.11,12.62,13,72.2,71,5.46,17,1.31,2,1.64,66.7,7,1,1,9,0.22,139.1,16,55.2,1,5.6,13,72.2,1,11.1,0,0,1,1,100,0,4,0.31,48.6,1.66,0.589,39,58.5,0,2.4,41.4,34.3,41.4,34.26,7.14,1.01,0.84,34.3
2025,6,DK Metcalf,PIT,WR,1,14,BLT,7.459207459207459,12.244897959183673,82.4,32,91.4,12,35.3,4.63,0.38,14.5,174,87.4,148,52.1,12.33,21.14,7,58.3,38,5.43,9,1.29,0,0.44,0,4,3,0,3,0.094,102.1,10,50,1,8.3,10,83.3,3,50,0,0,4,1,25,0,0,0,38.7,3.03,0.568,84.4,15.6,0,0,21.8,24.4,21.8,24.36,-2.56,0.68,0.76,24.4
2025,7,Chris Olave,NO,WR,1,16,NYJ,7.899461400359066,10.596026490066226,78.2,44,80,16,32,3.36,0.36,15.38,246,63.2,148,42.8,9.25,14.8,10,62.5,33,3.3,4,0.4,2,1.87,100,1,1,0,7,0.159,132.3,16,41,0,0,11,68.8,6,30,1,6.3,1,0,0,0,1,0.1,39,-0.25,0.73,59.1,40.9,0,0,36.8,35.7,36.8,35.65,1.15,0.84,0.81,35.7
2025,8,Parker Washington,JAX,WR,1,16,DEN,7.349081364829396,10,55.9,28,65.1,9,25,5.18,0.32,14.11,127,47.9,145,52,16.11,24.17,6,66.7,82,13.67,2,0.33,1,1.06,33.3,1,1,1,5,0.179,146.8,5,23.8,0,0,8,88.9,3,80,1,11.1,4,3,75,1,4,0.67,40.9,7.28,1.632,28.6,71.4,0,0,26.5,21.9,26.5,21.92,4.58,0.95,0.78,21.9
2025,9,Jameson Williams,DET,WR,1,13,GB,5.39568345323741,10.1010101010101,95,30,96.8,10,37,4.8,0.33,8.2,82,48.8,144,56.3,14.4,20.57,7,70,86,12.29,67,9.57,1,0.05,50,0,0,0,6,0.2,145.8,7,43.8,2,20,8,80,0,57.1,1,10,0,0,0,0,3,0.43,41.7,6.57,0.71,83.3,16.7,0,0,26.9,17.6,26.9,17.59,9.31,0.91,0.57,17.1
2025,10,Michael Wilson,ARZ,WR,1,14,LA,6.655574043261231,12.903225806451612,78.7,40,80,16,36.4,3.55,0.4,12.06,193,55.5,142,52.4,8.88,12.91,11,68.8,35,3.18,22,2,2,1.38,100,3,2,1,9,0.225,109.9,16,53.3,0,0,12,75,2,22.2,0,0,4,3,75,2,1,0.09,45.7,0.42,0.383,82.5,17.5,0,0,37.2,28.2,37.2,28.23,8.97,0.93,0.71,28.2
2025,11,Amon-Ra St. Brown,DET,WR,1,18,CHI,7.590132827324478,8.433734939759036,94.4,40,88.9,14,33.3,3.48,0.35,10.64,149,69.6,139,42,9.93,12.64,11,78.6,46,4.18,10,0.91,0,0.24,0,2,1,0,8,0.2,78.3,11,44,0,0,12,85.7,2,18.2,0,0,1,0,0,0,1,0.09,43.8,2.12,0.466,27.5,72.5,0,0,24.9,26,24.9,26.03,-1.13,0.62,0.65,26
2025,12,Stefon Diggs,NE,WR,1,16,BLT,9.975062344139651,10,57.7,40,78.4,10,22.7,3.45,0.25,9.1,91,20.8,138,36.3,13.8,15.33,9,90,52,5.78,11,1.22,0,0.04,0,0,0,0,7,0.175,118.8,8,26.7,0,0,9,90,2,44.4,0,0,1,1,100,0,5,0.56,30.3,6.46,1.26,30,70,0,0,22.8,19.1,22.8,19.13,3.67,0.57,0.48,19.1
2025,13,Zay Flowers,BLT,WR,1,18,PIT,4.310344827586207,5.128205128205128,97.9,20,95.2,6,33.3,6.9,0.3,16.5,99,60.4,138,58,23,34.5,4,66.7,59,14.75,0,0,2,0.88,66.7,0,0,0,3,0.15,149.3,5,50,1,16.7,6,100,2,50,2,33.3,0,0,0,0,0,0,46.2,13.21,1.761,65,35,0,0,29.8,22.9,29.8,22.95,6.85,1.49,1.15,22.9
