,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2025,,League Avg,,,,,,,,29.910994764397905,0.2,1.59,0.35,8.06457242582897,0.21,1.54,0.38,20.851657940663177,0.2,1.65,0.34,15.31588132635253,0.21,1.66,0.36,14.595113438045376,0.19,1.51,0.35
2025,1,CeeDee Lamb,DAL,WR,1,2,NYG,12.272727272727273,9.734513274336283,54,0.2,2.07,0.37,26,0.19,1.85,0.3,26,0.23,2.46,0.48,31,0.23,1.74,0.34,23,0.17,2.52,0.43
2025,2,George Pickens,DAL,WR,1,2,NYG,9.090909090909092,6.106870229007633,53,0.15,1.28,0.34,26,0.19,1.92,0.31,25,0.04,0.48,0.09,29,0.17,1.55,0.47,24,0.13,0.96,0.18
2025,3,Hunter Renfrow,CAR,WR,1,2,ARZ,36.36363636363637,39.130434782608695,52,0.17,0.92,0.46,5,0.4,1,2.9,41,0.12,0.63,0.14,26,0.12,0.92,0.44,26,0.23,0.92,0.48
2025,4,Justin Jefferson,MIN,WR,1,4,PIT,9.719626168224298,7.971014492753622,52,0.21,2.42,0.43,21,0.24,1.95,0.39,30,0.2,2.83,0.48,29,0.28,3.31,0.57,23,0.13,1.3,0.26
2025,5,Tetairoa McMillan,CAR,WR,1,2,ARZ,9.961685823754788,7.563025210084033,52,0.17,1.92,0.31,6,0.33,8.33,1.17,40,0.17,1.25,0.23,23,0.26,3.35,0.51,29,0.1,0.79,0.15
2025,6,Ladd McConkey,LAC,WR,1,3,DEN,9.514925373134329,6.730769230769231,51,0.14,0.8,0.16,24,0.29,1.71,0.34,26,0,0,0,30,0.17,0.97,0.2,21,0.1,0.57,0.1
2025,7,Jerry Jeudy,CLV,WR,1,6,PIT,9.025270758122744,12.5,50,0.26,0.86,0.19,22,0.18,0.77,0.17,28,0.32,0.93,0.2,30,0.27,0.67,0.17,20,0.25,1.15,0.21
2025,8,Quentin Johnston,LAC,WR,1,3,DEN,10.638297872340425,11.39240506329114,50,0.18,1.78,0.3,23,0.09,1.61,0.2,27,0.26,1.93,0.38,29,0.1,1.34,0.2,21,0.29,2.38,0.43
2025,9,Isaiah Bond,CLV,WR,1,6,PIT,15.384615384615385,12.195121951219512,50,0.1,0.18,0.06,21,0.19,0.1,0.06,29,0.03,0.24,0.06,32,0.09,0.06,0.04,18,0.11,0.39,0.09
2025,10,Garrett Wilson,NYJ,WR,1,5,DAL,22.477064220183486,18.181818181818183,49,0.2,1.45,0.39,6,0.33,4.17,1.75,43,0.19,1.07,0.2,15,0.27,1.87,0.32,34,0.18,1.26,0.42
2025,11,Jordan Addison,MIN,WR,1,4,PIT,12.25,9.58904109589041,49,0.14,2.33,0.31,22,0.05,1,0.15,27,0.22,3.41,0.45,29,0.14,0.76,0.11,20,0.15,4.6,0.61
2025,12,Terry McLaurin,WAS,WR,1,2,GB,19.183673469387756,15.517241379310345,47,0.19,1.02,0.21,12,0.42,0.58,0.14,35,0.11,1.17,0.23,21,0.33,1.1,0.25,26,0.08,0.96,0.17
2025,13,Ja'Marr Chase,CIN,WR,1,2,JAX,7.6672104404567705,8.83977900552486,47,0.34,3.51,0.78,9,0.22,1.56,1.04,36,0.36,4,0.71,14,0.29,1.64,0.31,33,0.36,4.3,0.98
