,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2023,,League Avg,,,,,,,,17.00572655690766,0.19,1.56,0.34,4.390837508947746,0.2,1.5,0.35,11.985683607730852,0.19,1.63,0.33,8.763063707945598,0.2,1.6,0.34,8.24266284896206,0.19,1.51,0.34
2023,1,Calvin Ridley,JAX,WR,1,14,CLV,21.63265306122449,22.033898305084744,53,0.25,1,0.18,13,0.46,2.15,0.37,39,0.18,0.64,0.12,25,0.32,2.12,0.37,28,0.18,0,0
2023,2,DeVonta Smith,PHI,WR,1,13,SF,32.5,30.555555555555557,52,0.21,1.85,0.47,12,0.25,0.67,0.73,40,0.2,2.2,0.4,18,0.17,1.56,0.32,34,0.24,2,0.55
2023,3,Zay Flowers,BLT,WR,1,14,LA,39.69465648854962,35.714285714285715,52,0.19,1.15,0.35,7,0.14,0,0,45,0.2,1.33,0.4,25,0.2,0.96,0.22,27,0.19,1.33,0.47
2023,4,Zay Jones,JAX,WR,1,14,CLV,33.55263157894737,35.8974358974359,51,0.27,0.57,0.15,13,0.31,0.15,0.09,37,0.27,0.73,0.18,23,0.3,0.43,0.13,28,0.25,0.68,0.18
2023,5,Calvin Ridley,JAX,WR,1,16,TB,20,16.94915254237288,49,0.2,1.84,0.55,11,0.36,1.27,0.85,36,0.17,2.11,0.49,21,0.24,3.19,0.75,28,0.18,0.82,0.4
2023,6,Garrett Wilson,NYJ,WR,1,16,WAS,21.238938053097346,27.27272727272727,48,0.31,1.58,0.35,12,0.17,0.58,0.23,32,0.38,2.16,0.43,12,0.33,1.25,0.29,36,0.31,1.69,0.36
2023,7,Travis Kelce,KC,TE,1,16,LV,26.704545454545453,24.242424242424242,47,0.17,0.94,0.2,9,0,0,0,35,0.17,1.2,0.23,20,0.1,0.25,0.07,27,0.22,1.44,0.29
2023,8,Evan Engram,JAX,TE,1,14,CLV,19.747899159663866,19.672131147540984,47,0.26,2.02,0.69,11,0.09,0.18,0.65,35,0.29,2.37,0.49,22,0.18,2.23,0.4,25,0.32,1.84,0.94
2023,9,Deebo Samuel,SF,WR,1,16,BLT,29.375,27.500000000000004,47,0.23,1,0.19,7,0.29,1.29,0.27,38,0.24,1,0.18,17,0.29,1.35,0.25,30,0.2,0.8,0.15
2023,10,Quentin Johnston,LAC,WR,1,14,DEN,23.26732673267327,13.333333333333334,47,0.09,1.94,0.26,14,0,0,0,33,0.12,2.76,0.37,31,0.03,0,0,16,0.19,5.69,0.76
