,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,71,Jerry Jeudy,CLV,WR,1,2,TB,100,100,23,-0.043,0,0.04,4.3,7.1,8.5,3.3,4.3,0,0,8.7,1,0,0,0,10,9,-0.111,0,0,11.1,14,0,0,0.07,0,0,0,0,0,0,4,0,0,7,0,0,3,0,0,0,0,0
2026,72,Trey McBride,ARZ,TE,1,2,SEA,100,100,23,0.13,1.78,0.43,13,33.3,4.8,35.7,13,0,0,0,10,8,41,1,48,1,0,0,0,0,21,0.095,1.86,0.43,9.5,1,1,2,1,100,4,0,0,7,0.286,28.6,3,0,0,7,0,0
2026,73,Darren Waller,CAR,TE,1,2,ATL,100,100,22,0.182,1.5,0.14,27.3,27.3,5.9,8.3,27.3,0,0,9.1,3,3,33,2,30,5,0.2,1.4,0.2,40,13,0.308,2,0.15,30.8,4,-0.25,0,0,0,1,0,0,10,0.4,40,2,0,0,0,0,0
2026,74,Tee Higgins,CIN,WR,1,2,HST,88,100,22,-0.136,4.32,0.45,0,0,8.3,32.3,0,0,0,13.6,10,5,95,0,92,1,-1,46,2,0,21,-0.095,2.33,0.38,0,0,0,0,0,0,3,0,0,11,-0.091,0,3,-0.333,0,4,0,0
2026,75,Quentin Johnston,LAC,WR,1,2,LV,95.65217391304348,100,22,-0.136,0.32,0.18,0,0,6.9,14.8,0,0,0,13.6,4,1,7,0,33,3,-0.333,0,0,0,19,-0.105,0.37,0.21,0,0,0,0,0,0,1,0,0,9,0,0,4,-0.5,0,5,0,0
2026,76,Brian Thomas,JAX,WR,1,2,DEN,100,100,22,-0.045,1.82,0.32,13.6,20,10.6,24.1,13.6,0,0,18.2,7,3,40,0,93,8,-0.125,0,0.38,25,13,0,3.08,0.31,7.7,1,0,0,0,0,3,0,0,2,0.5,50,2,0,0,6,-0.167,0
2026,77,Antonio Williams,WAS,WR,1,2,DAL,95.65217391304348,100,22,0.091,1.09,0.14,9.1,10.5,6.1,8.6,9.1,0,0,0,3,3,24,0,16,4,0,0,0,0,17,0.118,1.41,0.18,11.8,1,0,0,0,0,0,0,0,10,0.1,10,4,0.25,25,3,0,0
2026,78,Ted Hurst,TB,WR,1,2,CLV,100,100,22,0.091,1.23,0.32,27.3,18.8,9,20.6,27.3,0,0,18.2,7,2,27,0,153,16,0.063,0.38,0.25,31.3,6,0.167,3.5,0.5,16.7,0,0,0,0,0,2,0,0,3,0,0,1,1,100,0,0,0
2026,79,Stefon Diggs,WAS,WR,1,2,DAL,95.45454545454545,100,21,-0.095,2.24,0.29,9.5,10.5,10.6,17.1,9.5,0,0,19,6,5,47,2,78,5,-0.2,1.8,0.6,0,15,0,2.53,0.2,13.3,1,-1,0,0,0,0,0,0,7,-0.143,14.3,5,0.2,20,3,0,0
2026,80,Hunter Henry,NE,TE,1,2,PIT,100,100,21,0.19,1.9,0.19,9.5,22.2,4.8,18.2,0,9.5,0,0,4,3,40,0,45,6,0.333,4.83,0.17,16.7,13,0,0.85,0.23,0,2,1,0,0,50,6,0,0,3,0,0,4,0,0,0,0,0
2026,81,Juwan Johnson,NO,TE,1,2,BLT,95.45454545454545,100,21,-0.143,3.14,0.19,0,0,3,11.8,0,0,0,14.3,4,4,66,0,11,6,-0.167,5.17,0.33,0,15,-0.133,2.33,0.13,0,0,0,0,0,0,5,0,0,5,0,0,4,-0.5,0,1,0,0
2026,82,Jaylen Waddle,DEN,WR,1,2,JAX,95.45454545454545,100,21,0.286,6.57,0.48,19,44.4,6.2,32.3,9.5,9.5,0,0,10,8,138,0,147,5,0.2,7.4,0.6,20,16,0.313,6.31,0.44,18.8,0,0,0,0,0,0,0,0,8,0.5,25,5,0.2,20,3,0,0
2026,83,Drake London,ATL,WR,1,2,CAR,100,100,21,0.095,2.43,0.24,19,40,7.1,15.6,19,0,0,9.5,5,4,51,0,11,4,-0.5,0,0,0,17,0.235,3,0.29,23.5,0,0,0,0,0,0,0,0,11,0.364,36.4,3,0,0,3,0,0
2026,84,Jordan Addison,MIN,WR,1,2,CHI,100,100,21,-0.143,1,0.24,9.5,20,8.3,25,4.8,4.8,0,28.6,5,2,21,0,41,8,-0.125,2.63,0.5,25,13,-0.154,0,0.08,0,0,0,0,0,0,2,0,0,8,-0.25,0,2,0,0,1,0,0
2026,85,Malik Washington,MIA,WR,1,2,SF,100,100,21,0.095,2.05,0.24,14.3,30,7.2,21.7,14.3,0,0,4.8,5,4,43,0,25,0,0,0,0,0,21,0.095,2.05,0.24,14.3,0,0,0,0,0,5,0,0,14,0.143,21.4,2,0,0,0,0,0
2026,86,Ladd McConkey,LAC,WR,1,2,LV,100,100,21,-0.048,1.67,0.14,9.5,28.6,7.2,11.1,9.5,0,0,9.5,3,3,35,0,34,3,0,4,0.33,33.3,18,-0.056,1.28,0.11,5.6,0,0,0,0,0,2,0.5,50,7,0,0,3,0,0,6,-0.333,0
2026,87,Pat Bryant,DEN,WR,1,2,JAX,100,100,21,0,0,0.05,4.8,11.1,9.8,3.2,4.8,0,0,4.8,1,0,0,0,5,7,0.143,0,0.14,14.3,13,-0.077,0,0,0,1,0,0,0,0,1,0,0,8,-0.125,0,2,0,0,2,0,0
2026,88,Tre Harris,LAC,WR,1,2,LV,95.45454545454545,100,21,0.095,2.52,0.14,4.8,14.3,10.2,11.1,0,4.8,0,0,3,1,53,0,56,4,0,0,0,0,17,0.118,3.12,0.18,5.9,0,0,0,0,0,2,0,0,6,0,0,4,0.5,25,5,0,0
2026,89,Terrance Ferguson,LA,TE,1,2,NYG,95.45454545454545,100,21,0.143,2.57,0.43,14.3,23.1,5.8,29,14.3,0,0,0,9,6,54,1,60,4,0.5,0,0.75,50,15,0.067,3.27,0.33,6.7,2,0,2.5,0.5,0,2,0,0,9,0.111,11.1,1,0,0,3,0,0
2026,90,Mack Hollins,NE,WR,1,2,PIT,100,100,20,-0.05,0.9,0.1,0,0,9.3,9.1,0,0,0,5,2,2,18,0,11,4,0,0,0,0,14,-0.071,1.29,0.14,0,2,0,0,0,0,7,-0.143,0,4,0,0,3,0,0,0,0,0
2026,91,Deebo Samuel,SF,WR,1,2,MIA,100,100,20,0.05,1.55,0.2,10,15.4,3.4,18.2,10,0,0,5,4,3,31,0,19,5,0.4,0,0,40,14,-0.071,2.21,0.29,0,1,0,0,0,0,4,0,0,7,-0.143,0,2,0,0,1,0,0
2026,92,Khalil Shakir,BUF,WR,1,2,DET,100,100,20,0,1.9,0.3,0,0,4.8,19.4,0,0,0,0,6,3,38,0,56,1,0,0,0,0,19,0,2,0.32,0,0,0,0,0,0,3,0,0,13,0,0,1,0,0,2,0,0
2026,93,Jaxon Smith-Njigba,SEA,WR,1,2,ARZ,90.9090909090909,100,20,0.25,7.75,0.55,30,50,10.2,42.3,20,10,0,15,11,9,155,3,129,3,1.667,5.33,1,100,16,-0.062,7.94,0.44,12.5,1,1,12,1,100,3,0,0,5,0,0,2,-0.5,0,6,0,33.3
2026,94,Tre Tucker,LV,WR,1,2,LAC,95.23809523809523,100,20,0.15,5.95,0.35,15,37.5,7.5,24.1,10,5,0,5,7,5,119,1,136,2,1,4.5,0.5,50,16,0.063,6.88,0.38,12.5,2,0,0,0,0,3,0,0,8,0,12.5,3,0,0,2,0.5,50
2026,95,Andrei Iosivas,CIN,WR,1,2,HST,95.23809523809523,100,20,-0.05,0.35,0.05,0,0,5.2,3.2,0,0,0,5,1,1,7,0,6,1,-1,0,0,0,19,0,0.37,0.05,0,0,0,0,0,0,4,0,0,9,0,0,4,0,0,2,0,0
2026,96,LaJohntay Wester,BLT,WR,1,2,NO,100,100,20,-0.05,0.7,0.1,10,11.1,7.1,6.5,10,0,0,15,2,1,14,0,10,3,-0.333,0,0,33.3,17,0,0.82,0.12,5.9,0,0,0,0,0,0,0,0,15,0,6.7,1,0,0,1,0,0
2026,97,Caleb Douglas,MIA,WR,1,2,SF,100,100,20,0,0.95,0.15,15,30,9.2,13,10,5,0,20,3,2,19,0,15,0,0,0,0,0,20,0,0.95,0.15,15,0,0,0,0,0,5,0,0,14,0,21.4,1,0,0,0,0,0
2026,98,Keenan Allen,IND,WR,1,2,KC,100,100,19,0.158,0.26,0.26,21.1,19,6.2,16.1,10.5,5.3,5.3,21.1,5,1,5,0,34,9,0.222,0,0.44,22.2,10,0.1,0.5,0.1,20,0,0,0,0,0,1,0,0,5,0.4,40,2,-0.5,0,2,0,0
2026,99,Olamide Zaccheaus,ATL,WR,1,2,CAR,100,100,19,0.053,0.16,0.16,10.5,20,4.7,9.4,10.5,0,0,5.3,3,1,3,0,7,5,0,0,0,20,14,0.071,0.21,0.21,7.1,0,0,0,0,0,0,0,0,10,0.1,10,2,0,0,2,0,0
2026,100,Rashid Shaheed,SEA,WR,1,2,ARZ,90.47619047619048,100,19,0.053,1.84,0.32,10.5,16.7,9.6,23.1,10.5,0,0,5.3,6,3,35,0,68,3,0,0,0,33.3,15,0.067,2.33,0.4,6.7,1,0,0,0,0,4,0,0,4,0,0,2,0,0,5,0.2,20
2026,101,Romeo Doubs,NE,WR,1,2,PIT,95,100,19,0.263,5.05,0.21,21.1,44.4,6.4,18.2,15.8,5.3,0,0,4,3,96,0,75,5,0.6,0,0.2,60,12,0.167,8,0.25,8.3,2,0,0,0,0,4,0.5,25,4,0,0,4,0,0,0,0,0
2026,102,Konata Mumpfield,LA,WR,1,2,NYG,95,100,19,0.105,0.63,0.11,10.5,15.4,9.7,6.5,5.3,5.3,0,5.3,2,1,12,0,23,5,0.6,0,0,40,13,-0.077,0.92,0.15,0,1,0,0,0,0,1,0,0,10,-0.1,0,0,0,0,2,0,0
2026,103,Mason Taylor,NYJ,TE,1,2,GB,95,0,19,-0.053,0,0,0,0,6.7,0,0,0,0,5.3,0,0,0,0,0,1,0,0,0,0,18,-0.056,0,0,0,0,0,0,0,0,3,0,0,5,0,0,9,0,0,1,-1,0
2026,104,Mike Evans,SF,WR,1,2,MIA,100,100,18,0.056,3,0.17,16.7,23.1,9.3,13.6,16.7,0,0,11.1,3,3,54,0,40,4,0.25,0,0,50,13,0,4.15,0.23,7.7,1,0,0,0,0,2,0,0,7,0,14.3,2,0,0,2,0,0
2026,105,Austin Hooper,ATL,TE,1,2,CAR,100,100,18,0,1.11,0.22,5.6,10,5.1,12.5,5.6,0,0,5.6,4,2,20,0,12,2,0.5,0,0.5,50,16,-0.062,1.25,0.19,0,0,0,0,0,0,0,0,0,13,-0.077,0,0,0,0,3,0,0
2026,106,Chris Moore,BLT,WR,1,2,NO,100,100,18,0.111,0.33,0.17,22.2,22.2,8.1,9.7,22.2,0,0,11.1,3,1,6,0,95,4,0,0,0,25,14,0.143,0.43,0.21,21.4,0,0,0,0,0,0,0,0,13,0.154,23.1,0,0,0,1,0,0
2026,107,Jalen Nailor,LV,WR,1,2,LAC,100,100,18,0,0.5,0.17,5.6,12.5,10.5,10.3,5.6,0,0,5.6,3,1,9,0,32,3,0.333,0,0,33.3,14,-0.071,0.64,0.14,0,1,0,0,1,0,4,0,0,6,0,0,1,0,0,3,-0.333,0
2026,108,Jake Ferguson,DAL,TE,1,2,WAS,90,100,18,0,2.39,0.22,5.6,7.1,4.9,12.9,5.6,0,0,5.6,4,4,43,2,34,3,0,0,0,0,12,0,1.75,0.17,8.3,3,0,7.33,0.67,0,3,0,0,1,0,0,6,-0.167,0,2,0.5,50
2026,109,DeMario Douglas,NE,WR,1,2,PIT,100,100,18,0,0.5,0.06,11.1,22.2,7.9,4.5,5.6,5.6,0,16.7,1,1,9,0,5,6,0.333,1.5,0.17,33.3,10,0,0,0,0,2,-1,0,0,0,5,0,0,3,0,0,2,0,0,0,0,0
2026,110,AJ Barner,SEA,TE,1,2,ARZ,100,100,18,0.111,0.44,0.06,11.1,16.7,4,3.8,11.1,0,0,0,1,1,8,0,8,2,0,0,0,0,16,0.125,0.5,0.06,12.5,0,0,0,0,0,3,0,0,5,0.4,40,2,0,0,6,0,0
2026,111,T.J. Hockenson,MIN,TE,1,2,CHI,94.44444444444444,100,17,0,1.71,0.24,5.9,10,4.1,20,0,5.9,0,11.8,4,3,29,0,30,6,0.333,3.17,0.17,16.7,11,-0.182,0.91,0.27,0,0,0,0,0,0,2,-0.5,0,7,-0.143,0,1,0,0,1,0,0
2026,112,Chris Blair,ATL,WR,1,2,CAR,100,100,17,0.059,0.35,0.18,5.9,10,9.4,9.4,0,5.9,0,5.9,3,1,6,0,23,2,1,0,0,50,15,-0.067,0.4,0.2,0,0,0,0,0,0,0,0,0,11,-0.091,0,1,0,0,3,0,0
2026,113,Tommy Tremble,CAR,TE,1,2,ATL,100,100,17,0.118,0.24,0.12,11.8,9.1,2.5,5.6,5.9,5.9,0,5.9,2,1,4,0,17,5,-0.2,0.8,0.2,0,11,0.273,0,0.09,18.2,1,0,0,0,0,4,0,0,4,0.5,25,3,0.333,33.3,0,0,0
2026,114,Ben Sinnott,WAS,TE,1,2,DAL,100,100,17,0.059,0.35,0.06,5.9,5.3,5.9,2.9,5.9,0,0,0,1,1,6,0,3,3,0,0,0,0,14,0.071,0.43,0.07,7.1,0,0,0,0,0,0,0,0,7,0.143,14.3,3,0,0,4,0,0
2026,115,Gunnar Helm,TEN,TE,1,2,PHI,100,100,17,-0.059,0.76,0.12,0,0,4.9,10,0,0,0,5.9,2,2,13,0,0,3,-0.333,0,0,0,14,0,0.93,0.14,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,5,0,0
2026,116,Jack Bech,LV,WR,1,2,LAC,94.44444444444444,100,17,-0.059,1.47,0.12,0,0,6.4,6.9,0,0,0,5.9,2,2,25,0,18,4,-0.25,1.25,0.25,0,12,0,1.67,0.08,0,1,0,0,0,0,3,0,0,5,0,0,2,0,0,2,0,0
2026,117,Kenyon Sadiq,NYJ,TE,1,2,GB,94.44444444444444,100,17,0.059,1,0.12,5.9,10,5.6,4.9,5.9,0,0,0,2,2,17,0,1,3,0,0,0,0,14,0.071,1.21,0.14,7.1,0,0,0,0,0,1,1,100,3,0,0,6,0,0,4,0,0
2026,118,Mike Gesicki,CIN,TE,1,2,HST,88.88888888888889,0,16,0,0,0,6.3,33.3,5.6,0,6.3,0,0,6.3,0,0,0,0,0,2,0,0,0,50,14,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,2,0,0
2026,119,Dawson Knox,BUF,TE,1,2,DET,100,100,16,0.125,0.31,0.13,12.5,20,5.2,6.5,12.5,0,0,0,2,2,5,1,3,1,0,0,0,0,14,0.143,0.29,0.07,14.3,1,0,1,1,0,4,0.25,25,8,0.125,12.5,1,0,0,1,0,0
2026,120,Kyle Pitts,ATL,TE,1,2,CAR,94.11764705882352,100,16,-0.25,0.94,0.19,0,0,6.8,9.4,0,0,0,25,3,1,15,0,25,4,-1,0,0.25,0,12,0,1.25,0.17,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0
2026,121,Skyy Moore,GB,WR,1,2,NYJ,100,100,16,-0.062,0.38,0.19,0,0,3.4,10.3,0,0,0,6.3,3,2,6,0,43,6,-0.167,0,0,0,9,0,0.67,0.33,0,1,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,0
2026,122,Colson Yankoff,WAS,TE,1,2,DAL,100,100,16,0,0.88,0.06,6.3,5.3,6.1,2.9,6.3,0,0,6.3,1,1,14,0,4,5,0,0,0,0,11,0,1.27,0.09,9.1,0,0,0,0,0,0,0,0,6,-0.167,0,2,0,0,3,0.333,33.3
2026,123,Tez Johnson,TB,WR,1,2,CLV,100,100,16,0,3.06,0.25,18.8,9.4,10.4,11.8,12.5,6.3,0,25,4,1,49,0,143,10,-0.1,0,0.1,10,6,0.167,8.17,0.5,33.3,0,0,0,0,0,0,0,0,5,0,20,1,1,100,0,0,0
2026,124,Myles Price,MIN,WR,1,2,CHI,100,100,16,-0.062,0,0.06,6.3,10,4.1,5,6.3,0,0,12.5,1,0,0,0,2,4,0,0,0,0,12,-0.083,0,0.08,8.3,0,0,0,0,0,1,-1,0,8,0.125,12.5,2,0,0,1,-1,0
2026,125,Johnny Mundt,PHI,TE,1,2,TEN,93.75,100,15,-0.067,0.53,0.2,0,0,4.7,8.1,0,0,0,6.7,3,2,8,0,7,4,-0.25,0,0,0,11,0,0.73,0.27,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,2,0,0
2026,126,Xavier Smith,LA,WR,1,2,NYG,93.75,100,15,0.067,0,0.07,6.7,7.7,6.9,3.2,0,6.7,0,6.7,1,0,0,0,0,3,0,0,0,0,10,0.1,0,0,10,2,0,0,0.5,0,1,0,0,8,-0.125,0,0,0,0,1,2,100
2026,127,Carnell Tate,TEN,WR,1,2,PHI,83.33333333333334,100,15,-0.133,1.8,0.33,0,0,4.9,25,0,0,0,13.3,5,3,27,0,51,1,0,6,1,0,14,-0.143,0.43,0.21,0,0,0,0,0,0,0,0,0,10,-0.1,0,0,0,0,4,-0.25,0
2026,128,Greg Dulcich,MIA,TE,1,2,SF,100,100,14,-0.071,1.21,0.21,0,0,5.5,13,0,0,0,7.1,3,2,17,0,10,0,0,0,0,0,14,-0.071,1.21,0.21,0,0,0,0,0,0,3,0,0,9,-0.111,0,1,0,0,1,0,0
2026,129,Devontez Walker,BLT,WR,1,2,NO,100,100,14,-0.214,3.36,0.14,7.1,5.6,11.4,6.5,7.1,0,0,28.6,2,1,47,0,58,2,0,0,0,0,12,-0.25,3.92,0.17,8.3,0,0,0,0,0,0,0,0,10,-0.3,10,1,0,0,1,0,0
2026,130,Cole Kmet,CHI,TE,1,2,MIN,92.85714285714286,100,13,0,0,0.08,0,0,1.4,2.9,0,0,0,0,1,0,0,0,9,0,0,0,0,0,9,0,0,0.11,0,4,0,0,0,0,4,0,0,3,0,0,0,0,0,2,0,0
2026,131,Noah Gray,KC,TE,1,2,IND,100,100,13,0.308,0,0.08,15.4,10,7.5,2.1,7.7,0,7.7,0,1,0,0,0,16,2,0,0,0,0,11,0.364,0,0.09,18.2,0,0,0,0,0,4,0,0,4,0.75,25,1,0,0,2,0.5,50
2026,132,Josh Palmer,BUF,WR,1,2,DET,92.85714285714286,100,13,0.077,3.31,0.23,15.4,20,9.2,9.7,15.4,0,0,7.7,3,1,43,1,38,0,0,0,0,0,13,0.077,3.31,0.23,15.4,0,0,0,0,0,1,0,0,9,-0.111,0,2,0.5,50,1,1,100
2026,133,Oronde Gadsden,LAC,TE,1,2,LV,92.85714285714286,100,13,0.154,1.38,0.15,7.7,14.3,4.5,7.4,0,7.7,0,0,2,2,18,1,23,3,0.667,0,0,33.3,10,0,1.8,0.2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0
2026,134,George Kittle,SF,TE,1,2,MIA,92.3076923076923,100,12,0.417,6.67,0.33,25,23.1,4.5,18.2,8.3,8.3,8.3,8.3,4,4,80,1,42,3,1,4,0.33,33.3,8,0.25,8.25,0.25,25,1,0,2,1,0,2,0,0,3,-0.333,0,1,0,0,2,1.5,100
2026,135,Cooper Kupp,SEA,WR,1,2,ARZ,100,100,12,-0.083,1.67,0.17,0,0,5.8,7.7,0,0,0,8.3,2,2,20,0,14,0,0,0,0,0,11,-0.091,1.82,0.18,0,1,0,0,0,0,2,0,0,4,0,0,1,0,0,4,-0.25,0
2026,136,Wan'Dale Robinson,TEN,WR,1,2,PHI,75,100,12,0,0.75,0.08,0,0,4.2,5,0,0,0,0,1,1,9,0,6,1,0,0,0,0,11,0,0.82,0.09,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0
2026,137,Mitchell Evans,CAR,TE,1,2,ATL,100,100,12,-0.167,1.08,0.08,0,0,3.7,2.8,0,0,0,16.7,1,1,13,0,-2,3,0,0,0,0,8,-0.125,1.63,0.13,0,1,-1,0,0,0,3,0,0,3,-0.333,0,1,0,0,1,0,0
2026,138,Kevin Coleman,MIA,WR,1,2,SF,100,0,12,-0.083,0,0,0,0,7.8,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,12,-0.083,0,0,0,0,0,0,0,0,1,0,0,9,-0.111,0,2,0,0,0,0,0
2026,139,Evan Engram,DEN,TE,1,2,JAX,100,100,11,-0.091,1.55,0.09,9.1,11.1,4,3.2,9.1,0,0,18.2,1,1,17,0,17,4,-0.25,0,0,0,6,0,2.83,0.17,16.7,1,0,0,0,0,0,0,0,4,0,25,1,0,0,1,0,0
2026,140,Durham Smythe,BLT,TE,1,2,NO,100,100,11,-0.091,0,0.09,0,0,3.8,3.2,0,0,0,9.1,1,0,0,0,-3,1,0,0,0,0,10,-0.1,0,0.1,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,3,-0.333,0
2026,141,Drew Sample,CIN,TE,1,2,HST,91.66666666666666,0,11,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,2,0,0
2026,142,Charlie Woerner,ATL,TE,1,2,CAR,100,100,11,0,0,0.09,0,0,6.7,3.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0.09,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,0
2026,143,Darnell Washington,PIT,TE,1,2,NE,100,100,11,-0.182,0.64,0.18,0,0,3.5,5,0,0,0,18.2,2,1,7,0,4,6,-0.333,1.17,0.17,0,5,0,0,0.2,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0
2026,144,Darius Cooper,PHI,WR,1,2,TEN,91.66666666666666,100,11,0.091,2.36,0.27,9.1,6.7,10.4,8.1,9.1,0,0,0,3,2,26,1,26,1,0,3,1,0,10,0.1,2.3,0.2,10,0,0,0,0,0,1,0,0,1,1,100,4,0,0,4,0,0
2026,145,Elic Ayomanor,TEN,WR,1,2,PHI,91.66666666666666,100,11,0.455,6.27,0.27,27.3,75,9.7,15,9.1,18.2,0,0,3,2,69,0,41,2,2,0,0.5,100,9,0.111,7.67,0.22,11.1,0,0,0,0,0,0,0,0,5,0,0,1,1,100,3,0,0
2026,146,Chris Bell,MIA,WR,1,2,SF,100,100,11,0,0,0.09,27.3,30,11.7,4.3,27.3,0,0,27.3,1,0,0,0,12,0,0,0,0,0,11,0,0,0.09,27.3,0,0,0,0,0,1,0,0,8,0.125,37.5,1,-1,0,1,0,0
2026,147,Noah Fant,NO,TE,1,2,BLT,100,0,10,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0
2026,148,Colby Parkinson,LA,TE,1,2,NYG,100,100,10,0,1.5,0.2,0,0,4.9,6.5,0,0,0,0,2,2,15,0,-3,2,0,0,0,0,6,0,2.5,0.33,0,2,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0
2026,149,Luke Farrell,SF,TE,1,2,MIA,90.9090909090909,0,10,-0.1,0,0,0,0,4.3,0,0,0,0,10,0,0,0,0,0,2,-0.5,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,2,0,0
2026,150,Treylon Burks,WAS,WR,1,2,DAL,100,100,10,0.2,0,0.1,30,15.8,11.8,2.9,20,10,0,20,1,0,0,0,53,1,-1,0,0,0,9,0.333,0,0.11,33.3,0,0,0,0,0,0,0,0,5,0.4,40,1,1,100,3,0,0
2026,151,Jeremy Ruckert,NYJ,TE,1,2,GB,100,100,10,0,0.5,0.2,0,0,3.5,4.9,0,0,0,0,2,2,5,0,-10,1,0,0,0,0,9,0,0.56,0.22,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,0,0
2026,152,Charlie Kolar,LAC,TE,1,2,LV,100,100,10,0,2.1,0.3,0,0,1.7,11.1,0,0,0,0,3,3,21,0,10,1,0,8,1,0,9,0,1.44,0.22,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,3,0,0
2026,153,Elijah Arroyo,SEA,TE,1,2,ARZ,90.9090909090909,100,10,0.1,1.7,0.1,20,16.7,9.4,3.8,20,0,0,10,1,1,17,0,14,2,0,0,0,50,7,0.143,2.43,0.14,14.3,1,0,0,0,0,2,0,0,3,0,0,1,0,0,1,1,100
2026,154,Matthew Hibner,BLT,TE,1,2,NO,100,0,10,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0
2026,155,Dallas Goedert,PHI,TE,1,2,TEN,90,100,9,-0.222,0.44,0.22,0,0,2,5.4,0,0,0,22.2,2,1,4,0,3,1,-1,0,0,0,6,-0.167,0.67,0.33,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,2,-0.5,0
2026,156,DJ Moore,BUF,WR,1,2,DET,100,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0
2026,157,Calvin Ridley,TEN,WR,1,2,PHI,75,100,9,0.111,3.89,0.22,11.1,25,9.1,10,11.1,0,0,0,2,2,35,0,27,0,0,0,0,0,9,0.111,3.89,0.22,11.1,0,0,0,0,0,0,0,0,6,0.167,16.7,0,0,0,3,0,0
2026,158,Tutu Atwell,LA,WR,1,2,NYG,100,100,9,0.444,2.11,0.22,22.2,15.4,7.8,6.5,0,22.2,0,0,2,1,19,0,61,1,0,0,0,0,8,0.5,2.38,0.25,25,0,0,0,0,0,0,0,0,6,0.333,16.7,0,0,0,2,1,50
2026,159,Kyle Williams,NE,WR,1,2,PIT,100,100,9,-0.111,1.11,0.22,0,0,6.2,9.1,0,0,0,11.1,2,1,10,0,24,3,0,3.33,0.33,0,6,-0.167,0,0.17,0,0,0,0,0,0,4,0,0,1,-1,0,1,0,0,0,0,0
2026,160,E.J. Jenkins,PHI,TE,1,2,TEN,88.88888888888889,0,8,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,4,0,0
2026,161,Troy Franklin,DEN,WR,1,2,JAX,100,100,8,0,3.38,0.25,12.5,11.1,8.5,6.5,12.5,0,0,12.5,2,1,27,0,35,3,0.333,9,0.33,33.3,4,0,0,0,0,1,-1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
2026,162,Will Kacmarek,MIA,TE,1,2,SF,100,100,8,0,0.5,0.13,0,0,1.4,4.3,0,0,0,0,1,1,4,0,3,0,0,0,0,0,8,0,0.5,0.13,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0
2026,163,David Njoku,LAC,TE,1,2,LV,100,100,7,0,1.29,0.43,0,0,2.9,11.1,0,0,0,0,3,1,9,0,15,1,0,0,0,0,6,0,1.5,0.5,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0
