,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,15,Jaylin Noel,HST,WR,1,2,CIN,89.74358974358975,100,35,0.086,0.89,0.11,8.6,10.3,6.3,7.1,2.9,5.7,0,5.7,4,1,31,0,42,4,-0.25,0,0.25,25,29,0.138,1.07,0.1,6.9,2,0,0,0,0,8,0,0,9,0.222,11.1,3,0,0,9,0.222,11.1
2026,16,Terry McLaurin,WAS,WR,1,2,DAL,100,100,34,0,1.47,0.26,17.6,31.6,9.1,25.7,17.6,0,0,17.6,9,2,50,0,162,7,0.286,0,0.29,42.9,26,-0.038,1.92,0.23,11.5,1,-1,0,1,0,0,0,0,13,0,15.4,7,-0.286,0,6,0.167,16.7
2026,17,Rome Odunze,CHI,WR,1,2,MIN,100,100,34,0.176,1.26,0.12,11.8,57.1,12.1,11.4,5.9,5.9,0,0,4,3,43,0,47,2,0,0,0,0,27,0.185,1.59,0.15,11.1,5,0.2,0,0,20,7,0,0,12,0.417,25,2,0,0,6,0,0
2026,18,Germie Bernard,PIT,WR,1,2,NE,97.14285714285714,100,34,-0.088,1.03,0.24,8.8,27.3,5,20,8.8,0,0,17.6,8,4,35,0,63,20,-0.15,0.8,0.35,15,14,0,1.36,0.07,0,0,0,0,0,0,6,0,0,6,0,0,1,0,0,1,0,0
2026,19,Rashee Rice,KC,WR,1,2,IND,91.66666666666666,100,33,0,2.52,0.15,15.2,25,7.2,10.6,15.2,0,0,15.2,5,4,83,0,38,9,0.111,0,0.11,44.4,24,-0.042,2.17,0.13,4.2,0,0,0,0,0,7,0,0,10,0,10,3,-0.333,0,4,0,0
2026,20,Devaughn Vele,NO,WR,1,2,BLT,97.05882352941177,100,33,-0.061,1.94,0.21,3,14.3,8.5,20.6,3,0,0,9.1,7,5,64,0,74,8,-0.25,0,0.13,0,25,0,2.56,0.24,4,0,0,0,0,0,9,0,0,9,0,0,6,0,16.7,1,0,0
2026,21,Jalen Coker,CAR,WR,1,2,ATL,100,100,33,0.121,2,0.27,18.2,27.3,5.5,25,12.1,6.1,0,12.1,9,8,66,0,52,8,0.125,1,0.25,37.5,20,0.2,2.75,0.25,15,5,-0.2,0.6,0.4,0,2,0,0,12,0.333,25,4,0,0,2,0,0
2026,22,Isaac TeSlaa,DET,WR,1,2,BUF,100,100,33,-0.061,0.79,0.15,6.1,8,6.6,13.2,6.1,0,0,12.1,5,2,26,0,78,5,-0.2,0,0.2,0,27,-0.037,0.96,0.15,7.4,1,0,0,0,0,4,0,0,12,0,16.7,6,0,0,5,-0.2,0
2026,23,Chris Godwin,TB,WR,1,2,CLV,100,100,32,0.125,1.44,0.09,18.8,18.8,8.8,8.8,15.6,3.1,0,9.4,3,3,46,0,33,22,0.091,2.09,0.14,22.7,10,0.2,0,0,10,0,0,0,0,0,2,0,0,6,0,0,2,1,50,0,0,0
2026,24,Chris Olave,NO,WR,1,2,BLT,94.11764705882352,100,32,-0.031,2.69,0.28,12.5,57.1,8.5,26.5,9.4,3.1,0,18.8,9,8,86,1,81,7,0.286,4.86,0.43,42.9,25,-0.12,2.08,0.24,4,0,0,0,0,0,9,0,0,9,-0.333,0,6,0,16.7,1,0,0
2026,25,Tetairoa McMillan,CAR,WR,1,2,ATL,91.42857142857143,100,32,-0.094,3.16,0.28,12.5,18.2,6.7,25,9.4,3.1,0,25,9,5,101,0,136,9,-0.333,1.33,0.33,11.1,18,0,4.94,0.28,11.1,5,0,0,0.2,20,2,0,0,11,0.182,18.2,5,-0.4,0,0,0,0
2026,26,Rashod Bateman,BLT,WR,1,2,NO,100,100,31,0.161,2.84,0.29,19.4,33.3,12.7,29,12.9,6.5,0,9.7,9,7,88,1,124,5,0.2,0,0.2,40,26,0.154,3.38,0.31,15.4,0,0,0,0,0,0,0,0,19,0.053,10.5,3,0.333,33.3,4,0.5,25
2026,27,Ja'Marr Chase,CIN,WR,1,2,HST,91.17647058823529,100,31,0.065,2.42,0.29,6.5,66.7,7.4,29,0,6.5,0,6.5,9,7,75,2,85,2,1,0,0,50,29,0,2.59,0.31,3.4,0,0,0,0,0,5,0,0,13,0.077,7.7,6,-0.167,0,5,0,0
2026,28,Jahan Dotson,ATL,WR,1,2,CAR,100,100,31,0.032,0.35,0.13,6.5,20,7.3,12.5,3.2,3.2,0,6.5,4,2,11,0,47,6,0,0,0.17,16.7,25,0.04,0.44,0.12,4,0,0,0,0,0,0,0,0,18,0.056,5.6,3,0,0,4,0,0
2026,29,Michael Wilson,ARZ,WR,1,2,SEA,100,100,31,0,0.58,0.19,12.9,44.4,8.2,21.4,12.9,0,0,12.9,6,2,18,0,55,1,1,0,0,100,29,-0.034,0.62,0.21,10.3,1,0,0,0,0,7,0,14.3,9,-0.222,0,4,0,25,9,0.111,11.1
2026,30,Darnell Mooney,NYG,WR,1,2,LA,100,100,30,0.167,1.6,0.1,20,30,9.6,9.4,16.7,0,3.3,10,3,2,48,0,38,14,0.357,3.43,0.21,35.7,16,0,0,0,6.3,0,0,0,0,0,2,0,0,5,0,0,8,0.125,12.5,1,-1,0
2026,31,Tyquan Thornton,KC,WR,1,2,IND,96.7741935483871,100,30,0.167,2.87,0.13,23.3,35,6.8,8.5,13.3,10,0,16.7,4,4,86,0,83,11,0.545,3.27,0.18,45.5,19,-0.053,2.63,0.11,10.5,0,0,0,0,0,7,0,0,7,-0.143,14.3,3,0,0,2,0,50
