,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2023,,League Avg,,,,,,,9.129485179407176,37.890015600624025,4.15,0.2581903276131045,0.0452418096723869,82,57,33.6,9.7,4.1,2.2,0.8,0.43837753510140404,20.675975039001553,0.7854914196567863,26.586427457098285,1.534321372854914,30.602652106084236,0,0,0,2.3174726989079564,6.971918876755076,1.8681747269890796,13.477379095163807,5.951794071762872,7.21,5.82,80.6,0.06942277691107644,3.9231669266770686,0.09594383775351015,0.2581903276131045,0.0109204368174727,9.464820592823651,8.970358814352574,8.970312012480498
2023,1,Devon Achane,MIA,RB,1,3,DEN,17.475728155339805,18,203,11.28,2,0,94.4,83.3,55.6,22.2,16.7,16.7,11.1,1,33.3,4,66.7,6,66.7,0,0,0,4,14.3,4,30,8,7.5,7.5,100,2,40,2,2,0,21.3,51.3,51.3
2023,2,Jonathan Taylor,IND,RB,1,18,HST,17.75147928994083,30,188,6.27,1,0,80,60,43.3,26.7,6.7,6.7,3.3,0,0,0,0,3,100,0,0,0,2,8.3,2,8,5.7,4,4,100,0,0,0,0,0,20.4,27.6,27.6
2023,3,James Cook,BUF,RB,1,15,DAL,10.548523206751055,25,179,7.16,1,0,100,68,52,28,12,8,0,0,0,1,16.7,2,25,0,0,0,3,20,2,42,44.7,21,14,66.7,1,100,1,2,0,20.1,36.1,36.1
2023,4,Breece Hall,NYJ,RB,1,18,NE,16.591928251121075,37,178,4.81,1,0,81.1,56.8,35.1,10.8,2.7,2.7,2.7,0,0,1,100,2,100,0,0,0,2,10,2,12,17.1,6,6,100,0,0,0,0,0,23.1,29,29
2023,5,Breece Hall,NYJ,RB,1,5,DEN,9.865470852017937,22,177,8.05,1,0,86.4,63.6,40.9,13.6,13.6,4.5,4.5,0,0,4,80,7,77.8,0,0,0,3,11.5,3,17,8.5,5.67,5.67,100,0,0,0,0,0,21.1,28.4,28.4
2023,6,D'Andre Swift,PHI,RB,1,2,MIN,12.22707423580786,28,175,6.25,1,0,100,75,46.4,10.7,3.6,3.6,3.6,3,60,6,66.7,7,70,0,0,0,3,13,3,6,3.1,2,2,100,0,0,0,0,0,24.1,27.1,27.1
2023,7,Zack Moss,IND,RB,1,5,TEN,12.568306010928962,23,165,7.17,2,0,82.6,78.3,47.8,21.7,4.3,4.3,4.3,1,100,3,75,8,72.7,0,0,0,2,7.7,2,30,11.9,15,15,100,0,0,0,0,0,20.9,33.5,33.5
2023,8,Kyren Williams,LA,RB,1,6,ARZ,8.771929824561402,20,158,7.9,1,0,85,75,65,25,15,10,5,2,100,3,100,6,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,21.8,21.8
2023,9,Derrick Henry,TEN,RB,1,18,JAX,6.785714285714286,19,153,8.05,1,0,89.5,57.9,36.8,21.1,15.8,5.3,5.3,1,50,2,66.7,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,21.3,21.3
2023,10,Christian McCaffrey,SF,RB,1,1,PIT,8.088235294117647,22,152,6.91,1,0,77.3,63.6,45.5,18.2,9.1,4.5,4.5,0,0,0,0,2,100,0,0,0,4,13.8,3,17,7.7,5.67,4.25,75,0,0,0,0,0,18.6,25.9,25.9
2023,11,Kyren Williams,LA,RB,1,15,WAS,11.842105263157894,27,152,5.63,1,2,88.9,70.4,44.4,18.5,3.7,3.7,0,1,50,2,50,3,42.9,0,0,0,7,21.2,5,3,1.2,0.6,0.43,71.4,0,0,1,2,1,27.9,26.5,26.5
2023,12,Jahmyr Gibbs,DET,RB,1,8,LV,14.285714285714285,26,152,5.85,1,0,88.5,61.5,38.5,15.4,11.5,7.7,0,0,0,1,33.3,3,42.9,0,0,0,5,13.5,5,37,13.6,7.4,7.4,100,0,0,0,0,0,22.9,29.9,29.9
2023,13,Devon Achane,MIA,RB,1,5,NYG,10.679611650485436,11,151,13.73,1,1,90.9,72.7,72.7,36.4,18.2,18.2,9.1,1,50,1,33.3,4,66.7,0,0,0,1,3.3,1,14,4.5,14,14,100,0,0,0,0,0,10.2,22.5,22.5
2023,14,James Conner,ARZ,RB,1,18,SEA,12.980769230769232,27,150,5.56,1,0,70.4,44.4,33.3,18.5,11.1,11.1,0,1,50,1,50,3,60,0,0,0,4,13.3,4,54,20.6,13.5,13.5,100,0,0,0,0,0,21.9,30.4,30.4
2023,15,Devin Singletary,HST,RB,1,10,CIN,13.88888888888889,30,150,5,1,0,93.3,66.7,40,16.7,3.3,3.3,0,1,100,2,50,3,60,0,0,0,2,5.1,1,11,3.1,11,5.5,50,0,0,0,1,0,21.1,23.1,23.1
2023,16,Christian McCaffrey,SF,RB,1,14,SEA,5.88235294117647,16,145,9.06,0,0,81.3,43.8,37.5,25,18.8,18.8,6.3,0,0,0,0,1,33.3,0,0,0,1,3.7,1,8,2.2,8,8,100,0,0,0,0,0,10.3,16.3,16.3
2023,17,Zamir White,LV,RB,1,16,KC,21.153846153846153,22,145,6.59,0,0,90.9,86.4,40.9,13.6,13.6,4.5,4.5,0,0,0,0,1,25,0,0,0,1,4.8,0,0,0,0,0,0,0,0,0,0,0,13.3,14.5,14.5
2023,18,Kyren Williams,LA,RB,1,12,ARZ,7.017543859649122,16,143,8.94,0,0,93.8,68.8,56.3,12.5,12.5,12.5,6.3,0,0,2,66.7,4,57.1,0,0,0,6,18.2,6,61,26.6,10.17,10.17,100,2,50,2,3,0,22.4,38.4,38.4
2023,19,Keaton Mitchell,BLT,RB,1,9,SEA,19.148936170212767,9,138,15.33,1,0,77.8,77.8,77.8,33.3,22.2,22.2,22.2,0,0,0,0,0,0,0,0,0,1,3,1,-4,-1.8,-4,-4,100,0,0,0,0,0,6,20.4,20.4
2023,20,Travis Etienne,JAX,RB,1,5,BUF,9.737827715355806,26,136,5.23,2,0,73.1,42.3,34.6,15.4,7.7,7.7,7.7,1,100,2,100,3,50,0,0,0,5,13.5,4,48,15.2,12,9.6,80,0,0,0,0,0,22.9,36.4,36.4
2023,21,Ty Chandler,MIN,RB,1,15,CIN,22.54901960784314,23,132,5.74,1,0,87,60.9,34.8,8.7,8.7,8.7,4.3,1,100,1,100,3,75,0,0,0,4,11.8,3,25,8.3,8.33,6.25,75,0,0,0,1,0,20.6,24.7,24.7
2023,22,D'Andre Swift,PHI,RB,1,3,TB,6.986899563318777,16,130,8.13,0,0,93.8,62.5,62.5,25,12.5,12.5,0,0,0,2,40,3,30,0,0,0,2,5.4,1,8,2.9,8,4,50,0,0,0,0,0,13.4,14.8,14.8
2023,23,Isiah Pacheco,KC,RB,1,17,CIN,8.780487804878048,18,130,7.22,0,0,100,61.1,50,11.1,11.1,11.1,11.1,0,0,2,100,4,100,0,0,0,7,24.1,7,35,14.3,5,5,100,1,100,2,3,0,24.9,29.5,29.5
2023,24,Jaylen Warren,PIT,RB,1,11,CLV,6.0402684563758395,9,129,14.33,1,0,77.8,77.8,66.7,44.4,22.2,22.2,11.1,0,0,0,0,1,100,0,0,0,3,10.7,3,16,15.1,5.33,5.33,100,0,0,0,0,0,9.8,23.5,23.5
2023,25,James Conner,ARZ,RB,1,17,PHI,12.5,26,128,4.92,1,0,92.3,61.5,42.3,19.2,3.8,3.8,0,2,50,3,50,8,66.7,0,0,0,1,3.2,1,5,2.2,5,5,100,1,33.3,1,1,0,21.6,26.3,26.3
