,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2023,,League Avg,,,,,,,,54.275734676742324,6.486146095717884,50.22644836272036,1.837951301427372,14.205121746431544,2.28,0.28,6.452989084802687,21.564231738035264,14.514693534844653,14.797649034424854,14.167842149454236,8.05,12.78,1.1578505457598656,63,5.069689336691855,4.38,1.9445843828715366,1.68,0.08480268681780016,0.08150293870696923,6.800923593618808,0.1964735516372796,0.13937867338371115,0.04785894206549118,0.6884970612930311,0.106,48.5663308144416,1.5113350125944585,14.22661628883291,0.16288832913518053,8.9,1.4055415617128464,76.5,0.3224181360201511,19.7,0.07808564231738035,4.2,0.2871536523929471,0.12846347607052896,44.7,0.037783375314861464,0.16204869857262805,0.14,24.9,-0.35,0.195,44.638874895046186,38.23350125944585,16.26708648194794,0.8617968094038624,3.1355163727959687,3.1889168765743037,3.1355163727959687,3.18916876574307,-0.053652392947103424,0.49,0.49,3.1889168765743037
2023,1,Tank Dell,HST,WR,1,11,ARZ,27.906976744186046,25.64102564102564,76.1,24,85.7,10,35.7,6.21,0.42,16.3,163,47.1,149,50.5,14.9,18.63,8,80,17,2.13,5,0.63,1,0.84,50,0,1,1,8,0.333,112.5,7,30.4,0,0,8,80,1,37.5,0,0,1,1,100,1,1,0.13,41.7,5.12,1.049,66.7,33.3,0,0,28.9,24.7,28.9,24.66,4.24,1.2,1.03,24.7
2023,2,Tyreek Hill,MIA,WR,1,11,LV,26.5625,34.48275862068966,57.4,17,70.8,10,41.7,8.59,0.59,10.5,105,42.5,146,57.3,14.6,14.6,10,100,41,4.1,5,0.5,1,0.23,100,2,0,0,6,0.353,152.1,10,45.5,2,20,10,100,2,50,0,0,1,1,100,0,4,0.4,58.8,6.32,0.91,64.7,29.4,0,5.9,30.6,24.3,30.6,24.28,6.32,1.8,1.43,24.3
2023,3,A.J. Brown,PHI,WR,1,7,MIA,26.41509433962264,32.432432432432435,80.9,14,73.7,12,63.2,9.79,0.86,11.92,143,73.7,137,65.9,11.42,13.7,10,83.3,33,3.3,27,2.7,1,0.77,50,1,0,0,4,0.286,142,12,63.2,0,0,11,91.7,3,22.2,1,8.3,1,1,100,1,2,0.2,75,3.58,0.871,92.9,7.1,0,0,29.7,25.9,29.7,25.88,3.82,2.12,1.85,25.9
2023,4,Amari Cooper,CLV,WR,1,9,ARZ,9.859154929577464,11.11111111111111,78.9,7,70,4,40,17.43,0.57,23.5,94,72.3,122,83,30.5,30.5,4,100,31,7.75,6,1.5,1,1.46,100,1,1,1,3,0.429,158.3,4,40,0,0,4,100,2,66.7,0,0,0,0,0,0,0,0,40,19.23,2.749,57.1,42.9,0,0,22.2,22.4,22.2,22.36,-0.16,3.17,3.19,22.4
2023,5,Puka Nacua,LA,WR,1,7,PIT,22.033898305084744,29.03225806451613,93.5,13,100,9,69.2,9.31,0.69,6.11,55,52.4,121,80.7,13.44,20.17,6,66.7,89,14.83,22,3.67,0,0.05,0,0,0,0,4,0.308,109.7,6,66.7,1,11.1,9,100,0,66.7,0,0,2,0,0,0,1,0.17,69.2,6.49,0.734,92.3,7.7,0,0,18.1,15,18.1,15.03,3.07,1.39,1.16,15
2023,6,Odell Beckham,BLT,WR,1,11,CIN,16.666666666666664,22.22222222222222,33.3,6,54.5,6,54.5,19.33,1,23.17,139,68.5,116,86.6,19.33,29,4,66.7,56,14,32,8,0,0.08,0,0,1,0,4,0.667,109.7,4,57.1,0,0,4,66.7,3,75,0,0,0,0,0,0,3,0.75,75,9.35,1.112,100,0,0,0,15.6,11.8,15.6,11.76,3.84,2.6,1.96,11.8
2023,7,Mike Evans,TB,WR,1,10,TEN,15.584415584415584,17.94871794871795,73.8,12,80,7,46.7,9.33,0.58,21.43,150,64.1,112,65.9,16,28,4,57.1,27,6.75,11,2.75,1,1.4,100,1,1,0,4,0.333,141.4,6,50,0,0,5,71.4,2,100,1,14.3,2,2,100,0,0,0,53.8,4.95,1.268,75,25,0,0,21.2,20.4,21.2,20.39,0.81,1.77,1.7,20.4
2023,8,Rashid Shaheed,NO,WR,1,8,IND,14.583333333333334,14.285714285714285,27.3,7,53.8,2,15.4,15.57,0.29,40.5,81,49.4,109,59.6,54.5,54.5,2,100,28,14,5,2.5,1,0.37,100,0,0,0,2,0.286,158.3,2,15.4,0,0,2,100,2,100,0,0,0,0,0,0,0,0,28.6,41.14,4.777,57.1,42.9,0,0,18.9,13.2,18.9,13.18,5.72,2.7,1.88,13.2
