,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,TGT %,TGT,TGT %,REC,YDS,TM YDS %,YPR,YPT,CR %,TD,TM TD %,i10,i20 TGT,FUM,FP,FP/G
2023,,League Avg,,,,,,,3.5375399361022364,10.37420127795524,2.371405750798722,28.084664536741215,11.732987220447262,11.84,7.94,67,0.16533546325878595,9.330990415335458,0.18929712460063897,0.4217252396166134,0.019968051118210862,6.262140575079869,6.26210862619808
2023,1,CeeDee Lamb,DAL,WR,1,9,PHI,26.666666666666668,16,36.4,11,191,51.1,17.36,11.94,68.8,0,0,1,1,1,29.1,29.1
2023,2,Travis Kelce,KC,TE,1,7,LAC,31.70731707317073,13,31,12,179,42.2,14.92,13.77,92.3,1,25,1,1,0,35.9,35.9
2023,3,Keenan Allen,LAC,WR,1,10,DET,18.91891891891892,14,35,11,175,54.2,15.91,12.5,78.6,2,50,0,0,0,40.5,40.5
2023,4,Brandin Cooks,DAL,WR,1,10,NYG,40,10,22.7,9,173,36.7,19.22,17.3,90,1,25,1,1,0,32.3,32.3
2023,5,Noah Brown,HST,WR,1,10,CIN,44.44444444444444,8,20.5,7,172,48.3,24.57,21.5,87.5,0,0,0,0,0,24.2,24.2
2023,6,CeeDee Lamb,DAL,WR,1,8,LA,23.333333333333332,14,41.2,12,158,51.5,13.17,11.29,85.7,2,50,1,2,0,41,41
2023,7,Brandon Aiyuk,SF,WR,1,11,TB,21.428571428571427,6,24,5,156,46.8,31.2,26,83.3,1,33.3,0,0,0,26.6,26.6
2023,8,Amon-Ra St. Brown,DET,WR,1,10,LAC,15.517241379310345,9,27.3,8,156,46.8,19.5,17.33,88.9,1,50,1,2,0,30.5,30.5
2023,9,Puka Nacua,LA,WR,1,7,PIT,30,12,41.4,8,154,66.7,19.25,12.83,66.7,0,0,0,0,0,23.4,23.4
2023,10,Noah Brown,HST,WR,1,9,TB,33.33333333333333,6,14.3,6,153,32.6,25.5,25.5,100,1,20,0,0,0,27.3,27.3
2023,11,Rashid Shaheed,NO,WR,1,8,IND,10.714285714285714,3,10.3,3,153,43.2,51,51,100,1,50,0,0,0,24.3,24.3
2023,12,CeeDee Lamb,DAL,WR,1,10,NYG,21.666666666666668,13,29.5,11,151,32,13.73,11.62,84.6,1,25,2,4,0,39.5,39.5
2023,13,George Kittle,SF,TE,1,8,CIN,30.555555555555557,11,35.5,9,149,40.8,16.56,13.55,81.8,0,0,0,3,0,23.9,23.9
2023,14,Tank Dell,HST,WR,1,11,ARZ,21.27659574468085,10,26.3,8,149,44.1,18.63,14.9,80,1,50,0,0,0,28.9,28.9
2023,15,Tyreek Hill,MIA,WR,1,11,LV,18.0327868852459,11,28.2,10,146,44.9,14.6,13.27,90.9,1,50,1,2,0,30.6,30.6
2023,16,Mike Evans,TB,WR,1,10,TEN,20,10,34.5,6,143,51.4,23.83,14.3,60,1,50,1,1,0,26.3,26.3
2023,17,Amari Cooper,CLV,WR,1,9,ARZ,10.869565217391305,5,16.7,5,139,63.5,27.8,27.8,100,1,50,0,1,0,24.9,24.9
2023,18,A.J. Brown,PHI,WR,1,7,MIA,30.23255813953488,13,41.9,10,137,49.1,13.7,10.54,76.9,1,50,0,1,0,29.7,29.7
2023,19,T.J. Hockenson,MIN,TE,1,10,NO,24.59016393442623,15,44.1,11,134,50,12.18,8.93,73.3,1,100,1,1,0,30.4,30.4
2023,20,Josh Palmer,LAC,WR,1,7,KC,66.66666666666666,6,20,5,133,51.4,26.6,22.17,83.3,0,0,0,0,0,18.3,18.3
2023,21,Trey McBride,ARZ,TE,1,10,ATL,18.367346938775512,9,28.1,8,131,52.6,16.38,14.56,88.9,0,0,0,0,0,21.1,21.1
2023,22,Dalton Schultz,HST,TE,1,9,TB,44,11,26.2,10,130,27.7,13,11.82,90.9,1,20,1,3,1,28,28
2023,23,A.J. Brown,PHI,WR,1,8,WAS,18.6046511627907,8,21.1,8,130,40.8,16.25,16.25,100,2,50,0,1,0,33,33
2023,24,DeAndre Hopkins,TEN,WR,1,8,ATL,14.705882352941178,5,17.2,4,128,53.8,32,25.6,80,3,75,0,1,0,34.8,34.8
2023,25,Josh Downs,IND,WR,1,7,CLV,19.35483870967742,6,26.1,5,125,41,25,20.83,83.3,1,50,0,0,0,23.5,23.5
2023,26,Ja'Marr Chase,CIN,WR,1,10,HST,15.789473684210526,6,15,5,124,35.7,24.8,20.67,83.3,1,50,0,0,0,23.4,23.4
2023,27,Jordan Addison,MIN,WR,1,7,SF,20.833333333333336,10,22.2,7,123,32.5,17.57,12.3,70,2,100,2,3,0,31.3,31.3
2023,28,Jaylen Waddle,MIA,WR,1,8,NE,30,12,26.7,7,121,37.3,17.29,10.08,58.3,1,33.3,0,1,0,25.1,25.1
