,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,TGT %,TGT,TGT %,REC,YDS,TM YDS %,YPR,YPT,CR %,TD,TM TD %,i10,i20 TGT,FUM,FP,FP/G
2024,,League Avg,,,,,,,3.4471153846153846,10.578685897435895,2.374198717948718,28.66025641025641,12.038621794871798,12.07,8.31,68.9,0.17467948717948717,9.152964743589738,0.21794871794871795,0.4551282051282051,0.009615384615384616,6.400080128205131,6.400096153846157
2024,1,Ja'Marr Chase,CIN,WR,1,10,BLT,28.07017543859649,16,28.6,11,264,61.7,24,16.5,68.8,3,75,2,2,0,55.4,55.4
2024,2,Jaxon Smith-Njigba,SEA,WR,1,9,LA,28.57142857142857,12,35.3,7,180,49.6,25.71,15,58.3,2,66.7,1,2,0,37,37
2024,3,Jordan Addison,MIN,WR,1,12,CHI,27.27272727272727,9,25.7,8,162,47.1,20.25,18,88.9,1,50,2,2,0,30.2,30.2
2024,4,Amon-Ra St. Brown,DET,WR,1,11,JAX,25.581395348837212,11,33.3,11,161,36.6,14.64,14.64,100,2,50,1,2,0,38.7,38.7
2024,5,Christian Watson,GB,WR,1,11,CHI,18.181818181818183,4,23.5,4,150,57.5,37.5,37.5,100,0,0,0,0,0,19,19
2024,6,Tee Higgins,CIN,WR,1,11,LAC,61.904761904761905,13,26,9,148,41.6,16.44,11.38,69.2,1,33.3,0,3,0,29.8,29.8
2024,7,CeeDee Lamb,DAL,WR,1,8,SF,27.11864406779661,16,42.1,13,146,60.1,11.23,9.13,81.3,2,100,1,4,0,39.6,39.6
2024,8,Jaylen Waddle,MIA,WR,1,12,NE,32.142857142857146,9,22.5,8,144,45.4,18,16,88.9,1,25,1,1,0,28.4,28.4
2024,9,Calvin Ridley,TEN,WR,1,8,DET,28.30188679245283,15,39.5,10,143,53.8,14.3,9.53,66.7,0,0,1,2,0,23.6,23.6
2024,10,Jerry Jeudy,CLV,WR,1,11,NO,25,10,21.3,6,142,35.9,23.67,14.2,60,1,50,0,1,0,26.2,26.2
2024,11,Justin Jefferson,MIN,WR,1,9,IND,18.75,9,25.7,7,137,43.9,19.57,15.22,77.8,0,0,0,1,0,21.6,21.58
2024,12,Trey McBride,ARZ,TE,1,12,SEA,39.473684210526315,15,40.5,12,133,46.7,11.08,8.87,80,0,0,1,1,0,25.3,25.3
2024,13,George Kittle,SF,TE,1,8,DAL,29.166666666666668,7,26.9,6,128,49.2,21.33,18.29,85.7,1,100,1,1,0,24.8,24.8
2024,14,Zay Flowers,BLT,WR,1,9,DEN,15.384615384615385,6,31.6,5,127,45.4,25.4,21.17,83.3,2,66.7,2,2,0,29.7,29.7
2024,15,Tank Dell,HST,WR,1,9,NYJ,23.684210526315788,9,29,6,126,66,21,14,66.7,0,0,0,1,0,18.6,18.6
2024,16,Brock Bowers,LV,TE,1,11,MIA,32.6530612244898,16,37.2,13,126,44.7,9.69,7.88,81.3,1,50,1,2,0,31.3,31.3
2024,17,Terry McLaurin,WAS,WR,1,8,CHI,25.806451612903224,8,21.1,5,125,38.3,25,15.63,62.5,0,0,0,0,0,17.5,17.5
2024,18,Keon Coleman,BUF,WR,1,7,TEN,43.75,7,21.2,4,125,38.7,31.25,17.86,57.1,0,0,1,2,0,16.5,16.5
2024,19,Jameson Williams,DET,WR,1,11,JAX,31.57894736842105,6,18.2,4,124,28.2,31,20.67,66.7,1,25,0,0,0,22.6,22.6
2024,20,Trey McBride,ARZ,TE,1,8,MIA,23.684210526315788,9,25,9,124,40.4,13.78,13.78,100,0,0,0,1,0,21.4,21.4
2024,21,Puka Nacua,LA,WR,1,11,NE,18.367346938775512,9,33.3,7,123,41.7,17.57,13.67,77.8,1,25,0,2,0,25.3,25.3
2024,22,Ladd McConkey,LAC,WR,1,11,CIN,24.324324324324326,9,25,6,123,41.4,20.5,13.67,66.7,0,0,0,0,0,18.3,18.3
2024,23,Courtland Sutton,DEN,WR,1,9,BLT,20.833333333333336,10,29.4,7,122,54.2,17.43,12.2,70,0,0,1,2,0,23.3,23.28
2024,24,Jakobi Meyers,LV,WR,1,12,DEN,37.142857142857146,13,24.5,10,121,36.9,12.1,9.31,76.9,0,0,1,3,0,22.1,22.1
2024,25,Rashod Bateman,BLT,WR,1,7,TB,16,4,18.2,4,121,43.1,30.25,30.25,100,1,20,0,0,0,22.1,22.1
2024,26,Quentin Johnston,LAC,WR,1,9,CLV,25,5,18.5,4,118,43.9,29.5,23.6,80,1,50,0,0,0,22,22
2024,27,Nick Westbrook-Ikhine,TEN,WR,1,11,MIN,18.51851851851852,5,16.1,2,117,39.7,58.5,23.4,40,1,100,0,0,0,19.7,19.7
2024,28,Puka Nacua,LA,WR,1,12,PHI,26.53061224489796,13,36.1,9,117,48.1,13,9,69.2,0,0,0,0,0,20.7,20.7
2024,29,Justin Jefferson,MIN,WR,1,8,LA,18.75,9,36,8,115,47.9,14.38,12.78,88.9,0,0,1,2,0,19.5,19.5
2024,30,Tylan Wallace,BLT,WR,1,10,CIN,60,3,9.1,3,115,39.7,38.33,38.33,100,1,25,0,0,0,20.5,20.5
2024,31,Zay Flowers,BLT,WR,1,8,CLV,30.76923076923077,12,31.6,7,115,39.8,16.43,9.58,58.3,0,0,0,0,0,18.5,18.5
2024,32,T.J. Hockenson,MIN,TE,1,12,CHI,33.33333333333333,8,22.9,7,114,33.1,16.29,14.25,87.5,0,0,0,0,0,18.4,18.4
2024,33,Terry McLaurin,WAS,WR,1,10,PIT,19.35483870967742,6,17.6,5,113,55.9,22.6,18.83,83.3,0,0,0,1,0,16.3,16.3
2024,34,Garrett Wilson,NYJ,WR,1,8,NE,19.51219512195122,8,28.6,5,113,48.5,22.6,14.13,62.5,0,0,0,1,0,16.3,16.3
2024,35,Jayden Reed,GB,WR,1,9,DET,33.33333333333333,6,15.4,5,113,41.4,22.6,18.83,83.3,0,0,0,0,0,16.3,16.3
2024,36,Amon-Ra St. Brown,DET,WR,1,7,MIN,18.6046511627907,8,32,8,112,40,14,14,100,1,50,0,0,0,25.2,25.2
2024,37,George Pickens,PIT,WR,1,7,NYJ,22.5,9,31,5,111,42,22.2,12.33,55.6,1,50,2,3,0,22.1,22.1
2024,38,Marvin Harrison,ARZ,WR,1,8,MIA,25,7,19.4,6,111,36.2,18.5,15.86,85.7,1,50,0,0,0,23.1,23.1
2024,39,Ladd McConkey,LAC,WR,1,8,NO,16.216216216216218,6,18.8,6,111,39.8,18.5,18.5,100,2,100,2,2,0,29.1,29.1
2024,40,Jaxon Smith-Njigba,SEA,WR,1,11,SF,26.190476190476193,11,34.4,10,110,49.8,11,10,90.9,0,0,0,0,0,21.8,21.8
2024,41,Marquez Valdes-Scantling,NO,WR,1,10,ATL,37.5,3,12,3,109,40.5,36.33,36.33,100,2,100,1,1,0,25.9,25.9
2024,42,A.J. Brown,PHI,WR,1,10,DAL,18.91891891891892,7,31.8,5,109,52.7,21.8,15.57,71.4,0,0,0,1,0,15.9,15.9
2024,43,A.J. Brown,PHI,WR,1,12,LA,18.91891891891892,7,31.8,6,109,60.9,18.17,15.57,85.7,1,100,1,1,0,22.9,22.9
2024,44,Josh Downs,IND,WR,1,8,HST,19.51219512195122,8,25,4,109,62.3,27.25,13.63,50,1,100,0,0,0,20.9,20.9
2024,45,Darius Slayton,NYG,WR,1,8,PIT,46.666666666666664,7,18.4,4,108,40.9,27,15.43,57.1,0,0,0,0,0,14.8,14.8
