,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2026,,League Avg,,,,,,,9.819444444444445,43.458333333333336,4.43,0.375,0.08333333333333333,84.3,61.2,36.6,10.6,3.4,1.7,0.7,0.5138888888888888,20.4875,0.8333333333333334,28.183333333333334,1.5833333333333333,30.897222222222215,0,0,0,2.1805555555555554,7.0291666666666694,1.8055555555555556,12.875,6.222222222222223,7.13,5.9,82.8,0.1111111111111111,5.323611111111111,0.06944444444444445,0.2916666666666667,0.05555555555555555,9.66944444444444,10.27222222222222,10.27222222222222
2026,1,Kenneth Walker,KC,RB,1,1,DEN,100,23,173,7.52,1,0,87,60.9,43.5,17.4,8.7,8.7,4.3,1,100,2,66.7,3,33.3,0,0,0,6,22.2,3,18,9.8,6,3,50,1,50,1,1,0,23.6,34.1,34.1
2026,2,Jahmyr Gibbs,DET,RB,1,1,NO,100,29,156,5.38,2,1,89.7,58.6,48.3,24.1,10.3,3.4,0,5,100,5,100,8,88.9,0,0,0,5,12.8,5,30,14.6,6,6,100,0,0,0,0,1,28.4,34.6,34.6
2026,3,Derrick Henry,BLT,RB,1,1,IND,100,24,144,6,3,0,95.8,62.5,33.3,16.7,8.3,8.3,4.2,2,66.7,5,83.3,6,85.7,0,0,0,1,4,1,19,5.9,19,19,100,0,0,0,0,0,18.3,35.3,35.3
2026,4,D'Andre Swift,CHI,RB,1,1,CAR,100,18,124,6.89,3,0,100,72.2,50,11.1,11.1,11.1,5.6,3,75,4,50,6,60,0,0,0,1,3.4,1,10,3.7,10,10,100,0,0,0,0,0,15.3,32.4,32.4
2026,5,Breece Hall,NYJ,RB,1,1,TEN,100,22,102,4.64,1,0,90.9,77.3,40.9,13.6,0,0,0,2,66.7,2,66.7,4,66.7,0,0,0,2,8.3,2,16,7.4,8,8,100,0,0,0,0,0,17.2,19.8,19.8
2026,6,Ashton Jeanty,LV,RB,1,1,MIA,100,23,102,4.43,0,0,73.9,73.9,52.2,13,4.3,0,0,0,0,0,0,3,75,0,0,0,6,20,6,45,28.1,7.5,7.5,100,2,66.7,0,4,0,25.9,32.7,32.7
2026,7,Kyle Monangai,CHI,RB,1,1,CAR,100,10,100,10,1,0,80,70,40,20,10,10,10,0,0,1,12.5,1,10,0,0,0,2,6.9,2,24,8.9,12,12,100,0,0,0,0,0,8.8,20.4,20.4
2026,8,Jonathan Taylor,IND,RB,1,1,BLT,100,19,98,5.16,2,1,73.7,57.9,42.1,26.3,10.5,5.3,0,3,100,4,100,5,100,0,0,0,4,12.9,3,23,13.9,7.67,5.75,75,0,0,0,0,1,19.5,26.1,26.1
