,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,15,Jacory Croskey-Merritt,WAS,RB,1,11,68.75,52.1,11,57.9,0,43,3.91,0,0.05,0,5,9.1,11,25.6,0,0,54.5,45.5,-7,2.09,45.5,1.82,46.5,1,0.09,0.149,1.6,10,90.9,43,0,4.3,60,1,9.1,0,0,0,0,4.3,5.3,4.3,5.32,-1.02
2026,16,Jahmyr Gibbs,DET,RB,1,12,27.586206896551722,85.7,8,88.9,0,42,5.25,0,0.08,0,1,14.3,18,42.9,100,0,50,50,10.1,3.5,12.5,1.75,33.3,2,0.25,-0.071,-0.6,7,87.5,38,0,5.43,42.9,1,12.5,4,0,4,100,4.2,3.7,4.2,3.68,0.52
2026,17,Ashton Jeanty,LV,RB,1,12,30.434782608695656,75,7,77.8,0,42,6,0,0.1,0,3,14.3,10,23.8,0,0,85.7,14.3,11.2,2,28.6,4,66.7,3,0.43,0.256,1.8,1,14.3,-3,0,-3,0,6,85.7,45,0,7.5,100,4.2,3.7,4.2,3.7,0.5
2026,18,Kaelon Black,SF,RB,1,21,57.14285714285714,44.4,8,47.1,0,42,5.25,0,0.07,0,1,12.5,14,33.3,0,0,62.5,25,5.3,4.38,25,0.88,16.7,0,0,0.052,0.4,5,62.5,30,0,6,60,3,37.5,12,0,4,66.7,4.2,4.1,4.2,4.07,0.13
2026,19,Tyler Allgeier,ARZ,RB,1,11,47.05882352941176,54.3,8,50,0,41,5.13,0,0.3,0,2,12.5,11,26.8,0,0,62.5,25,3.7,1.75,25,3.38,65.9,2,0.25,0.048,0.4,5,62.5,22,0,4.4,60,3,37.5,19,0,6.33,66.7,4.1,5.5,4.1,5.52,-1.42
2026,20,Breece Hall,NYJ,RB,1,11,40.909090909090914,60.7,9,75,0,40,4.44,0,0.05,0,1,12.5,12,30,100,0,44.4,33.3,2.9,2,11.1,2.44,55,3,0.33,-0.061,-0.5,5,55.6,26,0,5.2,40,4,44.4,14,0,3.5,50,4,4,4,4,0
2026,21,Bijan Robinson,ATL,RB,1,12,38.095238095238095,63.2,8,61.5,0,40,5,0,0.01,0,3,12.5,20,50,0,0,50,50,4.3,2.25,37.5,2.75,55,1,0.13,0.175,1.4,4,50,25,0,6.25,50,4,50,15,0,3.75,50,4,3.6,4,3.62,0.38
2026,22,Chuba Hubbard,CAR,RB,1,12,80,90,8,80,0,39,4.88,1,0.53,0,2,16.7,11,28.2,100,12.5,62.5,37.5,8.7,3.88,12.5,1,20.5,0,0,0.149,1.2,7,87.5,36,1,5.14,71.4,1,12.5,3,0,3,0,9.9,6.2,9.9,6.19,3.71
2026,23,Bhayshul Tuten,JAX,RB,1,12,60,63.6,9,64.3,0,39,4.33,0,0.15,0,2,22.2,22,56.4,0,0,66.7,33.3,-16.9,1.78,44.4,2.56,59,4,0.44,-0.169,-1.5,4,44.4,29,0,7.25,100,4,44.4,11,0,2.75,50,3.9,6.5,3.9,6.46,-2.56
2026,24,Kenneth Walker,KC,RB,1,11,39.130434782608695,54.5,9,69.2,0,38,4.22,0,0.02,0,1,11.1,13,34.2,0,0,33.3,55.6,-0.8,0.89,55.6,3.33,78.9,7,0.78,-0.176,-1.6,7,77.8,16,0,2.29,14.3,2,22.2,22,0,11,100,3.8,4,3.8,3.98,-0.18
2026,25,Rhamondre Stevenson,NE,RB,1,11,38.88888888888889,92.5,7,87.5,0,36,5.14,0,0.01,0,1,14.3,12,33.3,0,0,71.4,28.6,1.1,1.86,28.6,3.29,63.9,1,0.14,-0.277,-1.9,0,0,0,0,0,0,7,100,36,0,5.14,71.4,3.6,3.6,3.6,3.56,0.04
2026,26,Bucky Irving,TB,RB,1,11,75,60.5,6,54.5,0,36,6,1,0.08,1,2,16.7,10,27.8,0,16.7,66.7,16.7,9.4,3.17,33.3,2.83,47.2,2,0.33,0.607,3.6,4,66.7,25,0,6.25,75,2,33.3,11,1,5.5,50,8.6,3.2,8.6,3.15,5.45
