,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2025,,League Avg,,,,,,37.79948892674617,20.131175468483818,41.2390119250426,0,87.54003407155025,4.35,0.6473594548551959,0.6572061328790437,0.10391822827938671,4.6592844974446335,10.9,35.29301533219761,40.3,24.04548551959115,3.2,49.5,45.5,3.1897785349233363,2.09,37.1,2.26,51.9,3.020442930153322,0.15,-0.052,-1.0374787052810912,11.049403747870528,54.9,47.54514480408859,0.25383304940374785,4.3,48.3,8.722316865417376,43.3,38.34923339011925,0.3798977853492334,4.4,50.6,12.534241908006837,12.375809199318564,1.6475979557069849,1.6941396933560497,-0.046541737649063115
2025,1,Bijan Robinson,ATL,RB,14,12,54.70383275261324,74.6,157,69.8,0,958,6.1,4,2.12,2,37,13.9,505,52.7,30,2.5,54.1,39.5,281.2,2.27,36.3,3.83,62.7,47,0.3,0.036,5.6,129,82.2,843,4,6.53,54.3,25,15.9,96,0,3.84,52,117.8,80.4,8.41,5.74,2.67
2025,2,Jonathan Taylor,IND,RB,16,11,56.03715170278638,80.8,181,79.7,0,921,5.09,8,7.82,1,40,12.7,438,47.6,56.3,4.4,48.1,43.6,86.3,2.62,37.6,2.46,48.4,31,0.17,0.003,0.5,85,47,355,1,4.18,41.2,94,51.9,556,6,5.91,53.2,139.1,130.4,8.69,8.15,0.54
2025,3,Javonte Williams,DAL,RB,16,11,53.96825396825397,65.1,136,66,0,791,5.82,2,1.92,2,35,13.8,361,45.6,42.9,1.5,56.6,36.8,175.2,2.1,31.6,3.71,63.8,25,0.18,0.089,12.2,70,51.5,342,1,4.89,58.6,63,46.3,437,1,6.94,55.6,89.1,73.1,5.57,4.57,1
2025,4,Jahmyr Gibbs,DET,RB,17,11,46.913580246913575,69.5,114,59.7,0,671,5.89,5,3.03,0,35,16,427,63.6,50,4.4,50,44.7,173,4.45,33.3,1.44,24.4,26,0.23,0.059,6.7,66,57.9,249,1,3.77,53,47,41.2,403,4,8.57,44.7,97.1,68,5.71,4,1.71
2025,5,Rico Dowdle,CAR,RB,17,11,50.42372881355932,53.2,119,56.1,0,650,5.46,1,2.37,1,27,14.9,344,52.9,66.7,0.8,47.1,43.7,116.4,2.28,31.9,3.18,58.3,28,0.24,0.042,5,65,54.6,310,0,4.77,38.5,51,42.9,329,1,6.45,58.8,70,67.6,4.12,3.97,0.15
2025,6,Kyren Williams,LA,RB,17,11,47.87644787644788,75.4,124,68.1,0,632,5.1,3,4.39,2,42,13.3,223,35.3,66.7,2.4,62.9,29.8,113.8,2.7,25,2.4,47,22,0.18,0.021,2.6,63,50.8,349,1,5.54,61.9,61,49.2,283,2,4.64,63.9,79.2,78.1,4.66,4.6,0.06
2025,7,Ashton Jeanty,LV,RB,16,11,49.24812030075188,71.8,131,76.2,0,630,4.81,2,0.87,0,25,13.5,309,49,50,1.5,45,46.6,47.9,1.76,44.3,3.05,63.5,27,0.21,-0.07,-9.2,90,68.7,477,2,5.3,46.7,40,30.5,153,0,3.83,42.5,75,63.5,4.69,3.97,0.72
2025,8,Chase Brown,CIN,RB,17,11,55.603448275862064,61.6,129,62,0,628,4.87,1,2.02,0,27,9.9,212,33.8,80,0.8,54.3,38,50.1,2.26,25.6,2.61,53.7,22,0.17,0.012,1.6,68,52.7,298,0,4.38,52.9,61,47.3,330,1,5.41,55.7,68.8,69.9,4.05,4.11,-0.06
