,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2025,,League Avg,,,,,,,9.326756116811366,40.55722178374112,4.35,0.2999210734017364,0.04814522494080505,82.9,58.5,34.7,10,4.3,2.2,1,0.48539857932123126,22.35232833464877,0.8271507498026835,27.88382004735595,1.627466456195738,32.418547750591955,0,0,0,2.1002367797947907,6.544356748224155,1.7095501183898973,12.797947908445146,5.8250986582478275,7.49,6.09,81.4,0.07576953433307025,4.0037095501183915,0.09550118389897395,0.27624309392265195,0.009471191791633781,9.325572217837339,9.282872928176797,9.282857142857143
2025,1,Jonathan Taylor,IND,RB,1,10,ATL,9.907120743034056,32,244,7.63,3,0,93.8,65.6,40.6,15.6,9.4,6.3,3.1,2,100,3,75,8,72.7,0,0,0,3,11.5,3,42,16.5,14,14,100,0,0,0,0,0,26.9,49.6,49.6
2025,2,Jahmyr Gibbs,DET,RB,1,12,NYG,6.172839506172839,15,219,14.6,2,0,93.3,86.7,60,26.7,20,20,20,0,0,0,0,0,0,0,0,0,12,28.6,11,45,16.1,4.09,3.75,91.7,1,50,1,1,0,26.3,55.4,55.4
2025,3,Derrick Henry,BLT,RB,1,17,GB,11.726384364820847,36,216,6,4,0,91.7,77.8,47.2,11.1,5.6,5.6,2.8,4,100,6,75,13,72.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,45.6,45.6
2025,4,James Cook,BUF,RB,1,8,CAR,6.148867313915858,19,216,11.37,2,0,94.7,89.5,78.9,36.8,15.8,15.8,5.3,0,0,0,0,2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,33.6,33.6
2025,5,Rico Dowdle,CAR,RB,1,5,MIA,9.745762711864407,23,206,8.96,1,0,91.3,60.9,39.1,26.1,17.4,13,8.7,1,50,2,66.7,4,66.7,0,0,0,4,13.3,3,28,14.1,9.33,7,75,0,0,0,0,0,20.7,32.4,32.4
2025,6,Bijan Robinson,ATL,RB,1,17,LA,7.665505226480835,22,195,8.86,1,0,90.9,72.7,36.4,13.6,9.1,9.1,9.1,1,100,2,100,2,66.7,0,0,0,7,35,5,34,27,6.8,4.86,71.4,1,100,1,1,0,23.9,39.9,39.9
2025,7,Rico Dowdle,CAR,RB,1,6,DAL,12.711864406779661,30,183,6.1,0,0,100,83.3,56.7,13.3,3.3,0,0,0,0,0,0,2,33.3,0,0,0,5,20,4,56,28.1,14,11.2,80,1,33.3,1,1,0,24.9,33.9,33.9
2025,8,Kyle Monangai,CHI,RB,1,9,CIN,15.384615384615385,26,176,6.77,0,0,100,69.2,53.8,11.5,7.7,3.8,3.8,2,100,4,80,9,81.8,0,0,0,4,10.8,3,22,7.3,7.33,5.5,75,0,0,0,0,0,26.2,22.8,22.8
