,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,,League Avg,,,,,,,55.70208333333334,45.888888888888886,54.1148148148148,8.900462962962964,19.015740740740746,1.47,0.19,6.7808333333333355,56.61805555555556,20.223379629629644,67.34722222222223,21.242361111111094,7.57,10.14,6.641203703703703,74.6,33.726851851851855,5.08,11.409722222222221,1.72,0.5347222222222222,0.5081249999999998,13.50023148148148,1.412037037037037,0.5578703703703703,0.28703703703703703,3.3958333333333335,0.074,94.17314814814812,6.212962962962963,20.57731481481481,0.6782407407407407,7.6,7.631944444444445,85.7,0.5069444444444444,13,0.5115740740740741,5.7,1.4490740740740742,0.8912037037037037,61.5,0.07175925925925926,0.6574074074074074,0.1,19.5,0.25,0.286,12.88240740740741,25.77638888888887,58.032638888888876,2.847685185185185,16.58425925925926,15.96759259259262,3.0182407407407346,2.932453703703704,0.08578703703703684,0.36,0.35,15.96759259259262
2025,1,Dalton Schultz,HST,TE,17,11,87.89808917197452,91.2621359223301,79.3,414,77,94,19.3,1.76,0.23,6,564,15.6,729,21.7,7.76,9.47,77,81.9,336,4.36,93,1.21,2,1.84,9.1,6,3,2,36,0.087,106.1,64,19,1,1.1,83,88.3,3,6.8,2,2.1,9,5,55.6,1,6,0.08,23.3,0.6,0.439,7.7,37.7,53.4,1.2,161.9,155,9.52,9.12,0.4,0.39,0.37,155
2025,2,Juwan Johnson,NO,TE,17,11,82.93650793650794,81,80.9,418,78.9,81,17.3,1.74,0.19,7.72,625,16.7,728,22.2,8.99,11.38,64,79,282,4.41,93,1.45,3,1.39,17.6,6,1,0,34,0.081,116.5,61,19.4,2,2.5,75,92.6,5,16.7,6,7.4,14,10,71.4,3,6,0.09,21.4,1.49,0.415,15.6,61.7,20.3,2.4,154.8,146.4,9.11,8.61,0.5,0.37,0.35,146.4
2025,3,Kyle Pitts,ATL,TE,17,11,59.603960396039604,65.51724137931035,86.7,301,87.2,76,24.1,2,0.25,5.57,423,17.3,602,31.2,7.92,9.71,62,81.6,284,4.58,144,2.32,4,2.87,40,8,3,2,33,0.11,100.8,49,25.1,6,7.9,66,86.8,3,8.6,1,1.3,11,7,63.6,0,9,0.15,27.7,0.91,0.188,12.3,35.5,52.2,0,146.2,129.2,8.6,7.6,1,0.49,0.43,129.2
2025,4,Trey McBride,ARZ,TE,17,11,50.97451274362819,47.27272727272727,88.2,340,85.6,78,22.2,1.77,0.23,6.47,505,20.5,601,27.3,7.71,9.54,63,80.8,273,4.33,129,2.05,6,4.94,37.5,16,8,3,30,0.088,124.4,62,27.9,13,16.7,69,88.5,1,5.7,0,0,18,12,66.7,1,13,0.21,26.2,0.36,0.553,9.4,79.7,10.9,0,159.1,137.7,9.36,8.1,1.26,0.47,0.4,137.7
2025,5,Jake Ferguson,DAL,TE,17,11,81.05263157894737,83,77.9,385,74,83,17.3,1.31,0.22,4.89,406,10.6,505,13.8,6.08,7.43,68,81.9,242,3.56,108,1.59,3,4.31,17.6,18,5,2,25,0.065,99,59,19.3,5,6,78,94,3,1.7,4,4.8,15,9,60,1,7,0.1,22.2,-0.8,0.126,7.5,61,30.6,0.8,136.5,145.4,8.03,8.55,-0.52,0.35,0.38,145.4
2025,6,Hunter Henry,NE,TE,16,11,62.75395033860045,57.14285714285714,83.6,278,74.7,48,15.4,1.71,0.17,7.71,370,12.6,475,16,9.9,12.84,37,77.1,216,5.84,44,1.19,4,2.55,22.2,10,1,0,27,0.097,126.6,36,16.6,3,6.3,40,83.3,2,20,1,2.1,13,10,76.9,1,1,0.03,18.8,2.14,0.602,16.9,49.3,29.5,4.3,108.5,84.7,6.78,5.29,1.49,0.39,0.3,84.7
2025,7,Travis Kelce,KC,TE,17,11,61.839530332681015,58.65384615384615,80.7,316,73.3,61,16.5,1.5,0.19,5,305,10.7,474,18.8,7.77,10.09,47,77,281,5.98,70,1.49,3,2.52,25,5,2,2,24,0.076,87.7,41,17.2,5,8.2,52,85.2,2,7,5,8.2,5,4,80,0,8,0.17,21.5,0.88,0.265,25.3,49.1,25.6,0,112.4,105.2,6.61,6.19,0.42,0.36,0.33,105.2
2025,8,Chig Okonkwo,TEN,TE,17,11,76.86170212765957,79.22077922077922,64.3,289,56.3,61,13.4,1.61,0.21,4.89,298,10,464,17.9,7.61,10.09,46,75.4,303,6.59,89,1.93,2,1.05,28.6,5,1,0,20,0.069,100.7,47,16.7,15,24.6,52,85.2,4,11.6,5,8.2,4,3,75,0,9,0.2,22.4,0.47,0.215,14.2,50.2,35.6,0,104.4,96.2,6.14,5.66,0.48,0.36,0.33,96.2
2025,9,Tyler Warren,IND,TE,17,11,73.125,65.09433962264151,88.1,351,85.8,69,18.4,1.3,0.2,5.04,348,12.4,455,17.4,6.59,9.29,49,71,274,5.59,88,1.8,1,2.89,6.7,11,4,1,23,0.066,87.5,57,20.1,9,13,61,88.4,0,8.9,2,2.9,17,6,35.3,0,3,0.06,21.2,-0.44,0.068,14.8,54.1,30.5,0.6,100.5,113.9,5.91,6.7,-0.79,0.29,0.32,113.9
2025,10,Oronde Gadsden,LAC,TE,14,11,83.2,76.47058823529412,68.6,312,71.6,52,14.3,1.43,0.17,8.6,447,15.3,447,18.4,8.6,12.42,36,69.2,163,4.53,76,2.11,2,2.54,12.5,12,5,1,16,0.051,100.4,32,14.1,1,1.9,43,82.7,5,22.6,2,3.8,6,1,16.7,1,4,0.11,19.1,0.61,0.227,17.9,48.7,32.4,1,92.7,96.8,6.62,6.91,-0.29,0.3,0.31,96.8
