,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2025,137,Bijan Robinson,ATL,RB,1,6,BUF,5.957446808510639,61.8,14,63.6,0,75,5.36,0,0.03,0,3,15.4,33,44,0,0,57.1,42.9,15.6,0.93,50,4.43,82.7,5,0.36,0.003,0,11,78.6,55,0,5,45.5,3,21.4,20,0,6.67,100,10.5,7.6,10.5,7.62,2.88
2025,138,Tank Bigsby,PHI,RB,1,18,WAS,26.31578947368421,72.7,15,93.8,0,75,5,1,0.59,0,5,25,37,49.3,100,6.7,53.3,46.7,20.9,1.8,40,3.2,64,4,0.27,0.12,1.8,9,60,46,0,5.11,66.7,6,40,29,1,4.83,33.3,17.6,10.6,17.6,10.61,6.99
2025,139,Tank Bigsby,PHI,RB,1,8,NYG,14.035087719298245,34.1,8,33.3,0,75,9.38,0,0.07,0,4,50,57,76,0,0,75,25,38.2,4.5,25,4.88,52,5,0.63,0.528,4.2,1,12.5,0,0,0,0,7,87.5,75,0,10.71,85.7,7.5,4.1,7.5,4.1,3.4
2025,140,Blake Corum,LA,RB,1,13,CAR,4.878048780487805,34.3,6,33.3,0,75,12.5,1,0.48,0,5,60,61,81.3,100,16.7,100,0,52.1,5.33,16.7,7.17,57.3,5,0.83,0.997,6,2,33.3,19,0,9.5,100,4,66.7,56,1,14,100,13.5,5.2,13.5,5.19,8.31
2025,141,RJ Harvey,DEN,RB,1,14,LV,14.529914529914532,75.5,17,58.6,0,75,4.41,1,0.85,0,6,13.3,26,34.7,100,5.9,76.5,23.5,13.5,1.94,52.9,2.47,56,4,0.24,0.141,2.4,6,35.3,41,1,6.83,83.3,11,64.7,34,0,3.09,72.7,17.8,15.9,17.8,15.87,1.93
2025,142,TreVeyon Henderson,NE,RB,1,8,CLV,6.024096385542169,28.6,10,41.7,0,75,7.5,0,0.24,1,6,33.3,57,76,0,0,60,30,31.3,6,20,1.5,20,1,0.1,-0.072,-0.7,1,10,6,0,6,100,7,70,48,0,6.86,57.1,6.5,5.8,6.5,5.8,0.7
2025,143,J.K. Dobbins,DEN,RB,1,7,NYG,9.923664122137405,69.2,13,76.5,0,74,5.69,0,0.08,0,3,8.3,32,43.2,100,0,46.2,53.8,21.9,2.62,46.2,3.08,54.1,5,0.38,0.101,1.3,6,46.2,49,0,8.17,50,7,53.8,25,0,3.57,42.9,7.4,5.7,7.4,5.68,1.72
2025,144,Breece Hall,NYJ,RB,1,10,CLV,9.35960591133005,80,19,79.2,0,74,3.89,0,0.09,0,4,16.7,64,86.5,0,0,26.3,63.2,2.6,2.68,36.8,1.21,31.1,4,0.21,-0.179,-3.4,17,89.5,71,0,4.18,23.5,2,10.5,3,0,1.5,50,18.6,9.3,18.6,9.29,9.31
2025,145,Zach Charbonnet,SEA,RB,1,18,SF,10.119047619047619,55.4,17,51.5,0,74,4.35,1,0.57,0,4,14.3,38,51.4,0,5.9,29.4,47.1,3.7,2.41,35.3,1.94,44.6,5,0.29,-0.192,-3.3,10,58.8,56,1,5.6,30,7,41.2,18,0,2.57,28.6,18.7,15.4,18.7,15.39,3.31
2025,146,Kareem Hunt,KC,RB,1,12,IND,18.4,81.4,23,82.1,0,73,3.17,1,0.75,1,8,5,10,13.7,75,4.3,56.5,43.5,-6.5,1.3,39.1,1.87,58.9,0,0,-0.205,-4.7,14,60.9,51,0,3.64,50,7,30.4,19,1,2.71,57.1,12.3,12.5,12.3,12.46,-0.16
2025,147,Travis Etienne,JAX,RB,1,17,IND,8,73.8,16,69.6,0,73,4.56,0,0.08,0,4,18.8,35,47.9,0,0,62.5,37.5,8.1,1.69,37.5,2.88,63,3,0.19,-0.037,-0.6,7,43.8,24,0,3.43,57.1,8,50,51,0,6.38,75,10.9,10.2,10.9,10.22,0.68
