Coach,Coach,Coach,Coach,Coach,Record,Record,Record,Record,Points,Points,Points,Points,Points,Plays,Plays,Plays,Plays,Plays,Plays,Plays,Plays
RANK,COACH,ROLE,TEAM,G,W,L,T,WIN %,PF,PA,DIFF,PF/G,PA/G,PLAYS,PLAYS/G,YDS,Y/P,EPA/P,SUCC %,PASS %,RUN %
,,,,,8.21875,8.1875,0.0625,49.38437499999999,379.34375,378.375,0.96875,23.031249999999996,22.978125000000002,971.125,58.909375,5625.21875,5.794062500000001,0.06925,49.003125,57.5125,42.4875
1,Aden Durde,DC,SEA,17,14,3,0,82.4,483,292,191,28.4,17.2,1018,59.9,5182,5.09,-0.047,45,63.2,36.8
2,Chris Shula,DC,LA,17,12,5,0,70.6,518,346,172,30.5,20.4,1025,60.3,5872,5.73,0.015,47.3,60,40
3,Terrell Williams,DC,NE,17,14,3,0,82.4,490,320,170,28.8,18.8,938,55.2,5241,5.59,0.014,50.1,59.3,40.7
4,Anthony Campanile,DC,JAX,17,13,4,0,76.5,474,336,138,27.9,19.8,1004,59.1,5388,5.37,-0.055,48.1,66.7,33.3
5,Bobby Babich,DC,BUF,17,12,5,0,70.6,481,365,116,28.3,21.5,914,53.8,5209,5.7,0.058,48.2,54,46
6,Matt Burke,DC,HST,17,12,5,0,70.6,404,295,109,23.8,17.4,938,55.2,5079,5.41,-0.038,43.4,61.1,38.9
7,Vance Joseph,DC,DEN,17,14,3,0,82.4,401,311,90,23.6,18.3,993,58.4,5154,5.19,0.012,44.6,63.4,36.6
8,Kelvin Sheppard,DC,DET,17,9,8,0,52.9,481,413,68,28.3,24.3,1001,58.9,5974,5.97,0.065,46.5,58.5,41.5
9,Robert Saleh,DC,SF,17,12,5,0,70.6,437,371,66,25.7,21.8,1008,59.3,5943,5.9,0.105,52,60.9,39.1
10,Lou Anarumo,DC,IND,17,8,9,0,47.1,466,412,54,27.4,24.2,1075,63.2,6194,5.76,0.058,50.3,61.1,38.9
11,Vic Fangio,DC,PHI,17,11,6,0,64.7,379,325,54,22.3,19.1,1038,61.1,5591,5.39,-0.025,46.9,56.8,43.2
12,Steve Spagnuolo,DC,KC,17,6,11,0,35.3,362,328,34,21.3,19.3,957,56.3,5284,5.52,0.025,47.8,57.1,42.9
13,Jeff Hafley,DC,GB,17,9,7,1,52.9,391,360,31,23,21.2,1025,60.3,5517,5.38,0.093,49.4,56.4,43.6
14,Jesse Minter,DC,LAC,17,11,6,0,64.7,368,340,28,21.6,20,921,54.2,5102,5.54,-0.017,48,59.1,40.9
15,Dennis Allen,DC,CHI,17,11,6,0,64.7,441,415,26,25.9,24.4,990,58.2,6354,6.42,0.083,53.5,56.6,43.4
16,Zach Orr,DC,BLT,17,8,9,0,47.1,424,398,26,24.9,23.4,1059,62.3,6216,5.87,0.072,48.7,62.7,37.3
17,Charlie Bullen,DC,NYG,5,2,3,0,40,117,105,12,23.4,21,274,54.8,1572,5.74,0.07,47.8,50.7,49.3
18,Brian Flores,DC,MIN,17,9,8,0,52.9,344,333,11,20.2,19.6,976,57.4,5131,5.26,-0.022,49.2,48.9,51.1
19,Teryl Austin,DC,PIT,17,10,7,0,58.8,397,387,10,23.4,22.8,1064,62.6,6359,5.98,0.098,49.2,60.2,39.8
20,Matt Eberflus,DC,DAL,17,7,9,1,41.2,471,511,-40,27.7,30.1,1008,59.3,6654,6.6,0.221,52.5,59.3,40.7
21,Jeff Ulbrich,DC,ATL,17,8,9,0,47.1,353,401,-48,20.8,23.6,995,58.5,5919,5.95,0.088,50.6,57.2,42.8
22,Ejiro Evero,DC,CAR,17,8,9,0,47.1,311,380,-69,18.3,22.4,986,58,5753,5.83,0.112,48.1,54.3,45.7
23,Shane Bowen,DC,NYG,12,2,10,0,16.7,264,334,-70,22,27.8,741,61.8,4806,6.49,0.164,51,60.2,39.8
24,Anthony Weaver,DC,MIA,17,7,10,0,41.2,347,424,-77,20.4,24.9,984,57.9,6171,6.27,0.156,52.5,56.2,43.8
25,Brandon Staley,DC,NO,17,6,11,0,35.3,306,383,-77,18,22.5,1008,59.3,5386,5.34,0.014,46.2,52.1,47.9
26,Al Golden,DC,CIN,17,6,11,0,35.3,414,492,-78,24.4,28.9,1013,59.6,6675,6.59,0.182,52.6,56.6,43.4
27,Joe Whitt Jr.,DC,WAS,17,5,12,0,29.4,356,451,-95,20.9,26.5,1044,61.4,6777,6.49,0.181,53.2,55.1,44.9
28,Jim Schwartz,DC,CLV,17,5,12,0,29.4,279,379,-100,16.4,22.3,962,56.6,5199,5.4,-0.017,44.6,53.1,46.9
29,Nick Rallis,DC,ARZ,17,3,14,0,17.6,355,488,-133,20.9,28.7,1061,62.4,6286,5.92,0.137,51.5,56.2,43.8
30,Patrick Graham,DC,LV,17,3,14,0,17.6,241,432,-191,14.2,25.4,1035,60.9,5630,5.44,0.076,50,53.7,46.3
31,Dennard Wilson,DC,TEN,17,3,14,0,17.6,284,478,-194,16.7,28.1,967,56.9,6169,6.38,0.165,50.8,57.3,42.7
32,Steve Wilks,DC,NYJ,17,3,14,0,17.6,300,503,-203,17.6,29.6,1054,62,6220,5.9,0.173,48.5,52.4,47.6
Exported from Data Suite 2.0 by michaelgingrave (user 380) on 2026-09-10 04:43 UTC,,,,,,,,,,,,,,,,,,,,,
