,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,11,Dalton Schultz,HST,TE,1,11,87.09677419354838,87.5,83.3,27,79.4,7,23.3,1.3,0.26,1.57,11,4.8,35,14.7,5,8.75,4,57.1,27,6.75,7,1.75,0,0.01,0,0,0,0,1,0.037,70.5,5,18.5,0,0,6,85.7,0,0,2,28.6,3,2,66.7,0,2,0.5,26.9,-1.55,-0.299,18.5,55.6,22.2,3.7,7.5,8,7.5,8.03,-0.53,0.28,0.3,8
2026,12,Cole Kmet,CHI,TE,1,13,38.88888888888889,100,100,7,100,3,75,5,0.43,16.33,49,100,35,100,11.67,17.5,2,66.7,8,4,1,0.5,1,0.72,100,0,1,1,2,0.286,145.8,3,100,0,0,2,66.7,2,50,0,0,1,1,100,1,0,0,100,1.29,1.192,28.6,0,57.1,14.3,11.5,8,11.5,8.05,3.45,1.64,1.15,8
2026,13,Evan Engram,DEN,TE,1,11,85,75,75.9,17,70.8,3,15.8,2,0.18,9.33,28,25.5,34,31.8,11.33,11.33,3,100,8,2.67,8,2.67,1,0.98,100,1,1,1,3,0.176,153.5,2,20,1,33.3,3,100,1,0,0,0,0,0,0,0,1,0.33,21.4,2.73,1.318,29.4,5.9,64.7,0,12.4,11.7,12.4,11.71,0.69,0.73,0.69,11.7
2026,14,David Njoku,LAC,TE,1,12,35.294117647058826,60,100,6,85.7,3,42.9,5.67,0.5,5,15,24.6,34,40.5,11.33,11.33,3,100,19,6.33,3,1,0,0.03,0,1,0,0,2,0.333,113.9,2,40,1,33.3,3,100,0,0,0,0,0,0,0,0,0,0,42.9,4.05,-0.37,33.3,16.7,50,0,6.4,5.8,6.4,5.75,0.65,1.07,0.96,5.8
2026,15,Oronde Gadsden,LAC,TE,1,11,60,100,14.3,3,16.7,2,14.3,10.67,0.67,3,6,3.7,32,40,16,16,2,100,26,13,6,3,0,0,0,0,0,0,1,0.333,118.8,2,16.7,0,0,2,100,0,50,0,0,0,0,0,0,0,0,66.7,9.68,0.171,33.3,33.3,33.3,0,5.2,3.4,5.2,3.35,1.85,1.73,1.12,3.4
2026,16,Isaiah Likely,NYG,TE,1,12,26.08695652173913,25,100,6,85.7,2,33.3,5.17,0.33,12.5,25,40.3,31,47.7,15.5,15.5,2,100,6,3,0,0,0,0.01,0,0,0,0,2,0.333,118.8,2,33.3,0,0,2,100,0,0,0,0,1,1,100,0,0,0,33.3,5.99,1.79,50,50,0,0,5.1,3.9,5.1,3.88,1.22,0.85,0.65,3.9
2026,17,Mark Andrews,BLT,TE,1,13,23.809523809523807,33.33333333333333,82.4,5,100,2,40,6,0.4,11,22,78.6,30,52.6,15,15,2,100,8,4,4,2,0,0.01,0,0,0,0,2,0.4,118.8,2,40,0,0,2,100,0,0,0,0,0,0,0,0,0,0,40,6.39,1.796,20,60,20,0,5,4.7,5,4.66,0.34,1,0.93,4.7
2026,18,Tucker Kraft,GB,TE,1,13,18.181818181818183,16.666666666666664,100,4,100,1,25,7.5,0.25,19,19,44.2,30,38,30,30,1,100,11,11,3,3,0,0.02,0,0,0,0,1,0.25,118.8,1,33.3,0,0,1,100,0,100,0,0,0,0,0,0,0,0,33.3,19.4,1.858,0,25,75,0,4,3.5,4,3.48,0.52,1,0.87,3.5
2026,19,Sam LaPorta,DET,TE,1,11,72.72727272727273,71.42857142857143,75.6,24,77.4,5,17.2,1.21,0.21,3.5,14,10.4,29,19.2,5.8,7.25,4,80,15,3.75,8,2,0,0.19,0,1,0,0,1,0.042,90.8,3,15,1,20,4,80,0,0,0,0,0,0,0,0,0,0,22.7,0.92,0.435,12.5,41.7,41.7,4.2,6.9,7.9,6.9,7.85,-0.95,0.29,0.33,7.9
2026,20,Gunnar Helm,TEN,TE,1,11,95.45454545454545,100,80.6,21,67.7,5,20,1.33,0.24,1.75,7,6.5,28,23.3,5.6,7,4,80,21,5.25,9,2.25,0,0.01,0,1,0,0,1,0.048,90,3,20,1,20,4,80,0,0,0,0,1,1,100,0,0,0,27.8,0.99,-0.172,23.8,52.4,19,4.8,6.8,5.7,6.8,5.7,1.1,0.32,0.27,5.7
2026,21,Pat Freiermuth,PIT,TE,1,11,61.29032258064516,60,56.8,19,65.5,3,11.1,1.42,0.16,8.67,26,8.2,27,32.1,9,9,3,100,10,3.33,1,0.33,1,0.92,100,2,1,1,2,0.105,143.8,1,5.9,1,33.3,3,100,0,0,0,0,1,1,100,0,0,0,21.4,-0.2,0.794,21.1,63.2,15.8,0,11.7,10.5,11.7,10.49,1.21,0.62,0.55,10.5
2026,22,Tommy Tremble,CAR,TE,1,12,45,100,90,9,90,3,30,2.78,0.33,5,15,15.3,25,16.2,8.33,8.33,3,100,10,3.33,6,2,0,0.01,0,0,0,0,2,0.222,101.4,2,25,0,0,3,100,0,0,0,0,0,0,0,0,1,0.33,37.5,1.82,0.545,0,22.2,77.8,0,5.5,5.5,5.5,5.48,0.02,0.61,0.61,5.5
2026,23,Mike Gesicki,CIN,TE,1,12,41.17647058823529,28.57142857142857,45,7,70,2,20,3.43,0.29,16.5,33,37.1,24,27.3,12,24,1,50,1,1,0,0,0,0.02,0,1,1,0,1,0.143,93.8,1,14.3,0,0,1,50,1,100,0,0,0,0,0,0,0,0,28.6,2.27,1.168,14.3,85.7,0,0,3.4,3.9,3.4,3.88,-0.48,0.49,0.55,3.9
2026,24,Tucker Kraft,GB,TE,1,11,40.909090909090914,33.33333333333333,50,9,31,2,7.4,2.56,0.22,9.5,19,6.9,23,8.7,11.5,23,1,50,9,9,4,4,0,0.01,0,0,0,0,1,0.111,91.7,1,4.3,0,0,1,50,0,100,0,0,0,0,0,0,0,0,18.2,3.12,0.413,11.1,66.7,22.2,0,3.3,2.9,3.3,2.87,0.43,0.37,0.32,2.9
2026,25,Michael Mayer,LV,TE,1,21,37.5,57.14285714285714,79.2,9,64.3,4,30.8,2.33,0.44,6.25,25,20.8,21,24.7,5.25,7,3,75,11,3.67,5,1.67,0,0,0,1,1,0,2,0.222,86.5,1,12.5,0,0,3,75,0,0,0,0,0,0,0,0,0,0,36.4,-2.17,0.067,0,11.1,88.9,0,5.1,5.1,5.1,5.1,0,0.57,0.57,5.1
2026,26,Pat Freiermuth,PIT,TE,1,12,32.25806451612903,40,100,10,100,2,20,1.9,0.2,1.5,3,6.4,19,16,9.5,9.5,2,100,16,8,10,5,0,0.01,0,0,0,0,1,0.1,106.3,1,20,0,0,2,100,0,0,0,0,0,0,0,0,0,0,22.2,3.83,0.677,10,60,30,0,3.9,3.4,3.9,3.37,0.53,0.39,0.34,3.4
2026,27,Sam LaPorta,DET,TE,1,21,6.0606060606060606,14.285714285714285,100,2,100,1,50,9.5,0.5,11,11,84.6,19,63.3,19,19,1,100,8,8,3,3,0,0,0,0,0,0,1,0.5,118.8,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,50,10.26,2.055,0,0,100,0,2.9,2.1,2.9,2.14,0.76,1.45,1.07,2.1
2026,28,Greg Dulcich,MIA,TE,1,21,13.636363636363635,100,35.7,3,37.5,2,28.6,6,0.67,0,0,0,18,100,9,9,2,100,18,9,5,2.5,0,0,0,0,0,0,1,0.333,104.2,1,20,1,50,2,100,0,0,0,0,0,0,0,0,0,0,66.7,3.39,0.82,0,0,100,0,3.8,3.2,3.8,3.24,0.56,1.27,1.08,3.2
2026,29,Darnell Washington,PIT,TE,1,12,53.333333333333336,100,100,8,80,2,20,2.25,0.25,2.5,5,10.6,18,15.1,9,9,2,100,13,6.5,10,5,0,0,0,0,0,0,1,0.125,104.2,1,20,0,0,2,100,0,0,0,0,0,0,0,0,1,0.5,22.2,2.65,0.318,0,25,75,0,3.8,3.4,3.8,3.39,0.41,0.47,0.42,3.4
2026,30,Darren Waller,CAR,TE,1,12,28.57142857142857,50,35,4,40,1,10,4.25,0.25,4,4,4.1,17,11,17,17,1,100,13,13,5,5,0,0,0,0,0,0,1,0.25,118.8,1,12.5,0,0,1,100,0,0,0,0,0,0,0,0,0,0,20,10.93,1.085,0,75,25,0,2.7,1.7,2.7,1.67,1.03,0.68,0.42,1.7
2026,31,Noah Fant,NO,TE,1,12,55.55555555555556,50,94.7,10,71.4,4,30.8,1.7,0.4,5.25,21,16.3,17,17.7,4.25,8.5,2,50,7,3.5,1,0.5,1,0.9,50,1,1,1,1,0.1,61.5,3,27.3,0,0,2,50,0,0,0,0,0,0,0,0,0,0,33.3,-2.45,-1.121,30,10,60,0,9.7,8.6,9.7,8.63,1.07,0.97,0.86,8.6
2026,32,Cade Otton,TB,TE,1,11,89.65517241379311,80,97.7,26,81.3,4,16.7,0.62,0.15,5.25,21,18.4,16,8.4,4,8,2,50,16,8,4,2,0,0.06,0,1,0,0,2,0.077,60.4,4,22.2,1,25,3,75,0,0,1,25,0,0,0,0,0,0,17.4,-3.47,-0.148,19.2,38.5,42.3,0,3.6,5.7,3.6,5.65,-2.05,0.14,0.22,5.7
2026,33,Marlin Klein,HST,TE,1,13,50,100,46.7,1,50,1,50,16,1,14,14,53.8,16,57.1,16,16,1,100,2,2,1,1,0,0,0,0,0,0,1,1,118.8,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,100,5.72,1.046,0,100,0,0,2.6,2.6,2.6,2.6,0,2.6,2.6,2.6
