,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2025,,League Avg,,,,,,,,30.139489194499017,0.2,1.63,0.36,7.783889980353635,0.21,1.53,0.38,21.19842829076621,0.2,1.7,0.34,15.233791748526523,0.21,1.76,0.36,14.905697445972494,0.19,1.49,0.36
2025,1,Chris Olave,NO,WR,1,8,TB,10.412926391382406,7.9470198675496695,58,0.21,1.09,0.25,9,0.11,0.78,0.19,49,0.22,1.14,0.26,21,0.19,0.29,0.17,37,0.22,1.54,0.29
2025,2,Ladd McConkey,LAC,WR,1,7,IND,10.634328358208956,13.461538461538462,57,0.25,1.18,0.28,16,0.25,1.19,0.24,37,0.22,1.22,0.28,19,0.11,0.74,0.13,38,0.32,1.39,0.35
2025,3,Quentin Johnston,LAC,WR,1,7,IND,11.48936170212766,6.329113924050633,54,0.09,0.56,0.2,14,0.14,0.5,0.55,36,0.08,0.64,0.09,20,0.05,1.15,0.16,34,0.12,0.21,0.23
2025,4,Trey McBride,ARZ,TE,1,12,JAX,7.946026986506746,6.0606060606060606,53,0.19,1.49,0.32,11,0.18,1.27,0.31,42,0.19,1.55,0.32,25,0.2,1.2,0.32,28,0.18,1.75,0.32
2025,5,Tre Tucker,LV,WR,1,12,CLV,9.386281588447654,11.11111111111111,52,0.19,0.54,0.11,14,0.43,1.36,0.21,38,0.11,0.24,0.08,30,0.23,1.1,0.18,22,0.14,-0.23,0.02
2025,6,Michael Wilson,ARZ,WR,1,10,SEA,8.48585690515807,5.64516129032258,51,0.14,0.67,0.15,12,0.08,0.5,0.13,33,0.12,0.73,0.13,27,0.15,0.33,0.07,24,0.13,1.04,0.23
2025,7,Marvin Harrison,ARZ,WR,1,10,SEA,14.206128133704734,16.43835616438356,51,0.24,0.65,0.24,11,0.36,0.82,0.72,35,0.23,0.69,0.13,26,0.27,0,0,25,0.2,1.32,0.49
2025,8,Michael Pittman,IND,WR,1,9,PIT,9.900990099009901,10.185185185185185,50,0.22,2.3,0.41,13,0.15,1.15,0.19,37,0.24,2.7,0.49,27,0.26,2,0.39,23,0.17,2.65,0.44
