,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,TGT %,TGT,TGT %,REC,YDS,TM YDS %,YPR,YPT,CR %,TD,TM TD %,i10,i20 TGT,FUM,FP,FP/G
2025,,League Avg,,,,,,,6.022132796780684,18.703018108651925,4.293762575452717,57.80281690140845,25.033802816901392,13.46,9.6,71.3,0.37424547283702214,18.432997987927568,0.36619718309859156,0.8008048289738431,0.02414486921529175,12.433199195171031,12.433239436619724
2025,1,Puka Nacua,LA,WR,1,16,SEA,9.815950920245399,16,32.7,12,225,49.2,18.75,14.06,75,2,66.7,2,2,0,46.5,46.5
2025,2,Puka Nacua,LA,WR,1,15,DET,6.748466257668712,11,28.9,9,181,49.2,20.11,16.45,81.8,0,0,0,0,0,27.9,27.9
2025,3,Puka Nacua,LA,WR,1,14,ARZ,6.748466257668712,11,35.5,7,167,59.4,23.86,15.18,63.6,2,66.7,0,0,0,35.7,35.7
2025,4,Kyle Pitts,ATL,TE,1,15,TB,10.344827586206897,12,27.3,11,166,44.5,15.09,13.83,91.7,3,100,2,3,0,45.6,45.6
2025,5,Amon-Ra St. Brown,DET,WR,1,15,LA,10.843373493975903,18,43.9,13,164,49.7,12.62,9.11,72.2,2,66.7,4,7,0,41.4,41.4
2025,6,DK Metcalf,PIT,WR,1,14,BLT,12.244897959183673,12,35.3,7,148,52.1,21.14,12.33,58.3,0,0,2,4,0,21.8,21.8
2025,7,Chris Olave,NO,WR,1,16,NYJ,10.596026490066226,16,32,10,148,42.8,14.8,9.25,62.5,2,100,0,1,0,36.8,36.8
2025,8,Parker Washington,JAX,WR,1,16,DEN,10,9,25,6,145,52,24.17,16.11,66.7,1,33.3,0,1,0,26.5,26.5
2025,9,Jameson Williams,DET,WR,1,13,GB,10.1010101010101,10,37,7,144,56.3,20.57,14.4,70,1,50,0,0,0,26.9,26.9
2025,10,Michael Wilson,ARZ,WR,1,14,LA,12.903225806451612,16,36.4,11,142,52.4,12.91,8.88,68.8,2,100,0,3,0,37.2,37.2
2025,11,Amon-Ra St. Brown,DET,WR,1,18,CHI,8.433734939759036,14,33.3,11,139,42,12.64,9.93,78.6,0,0,0,2,0,24.9,24.9
2025,12,Stefon Diggs,NE,WR,1,16,BLT,10,10,22.7,9,138,36.3,15.33,13.8,90,0,0,0,0,0,22.8,22.8
2025,13,Zay Flowers,BLT,WR,1,18,PIT,5.128205128205128,6,33.3,4,138,58,34.5,23,66.7,2,66.7,0,0,0,29.8,29.8
2025,14,Luther Burden,CHI,WR,1,17,SF,15,9,21.4,8,138,43,17.25,15.33,88.9,1,50,0,0,0,27.8,27.8
