,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,10,Nico Collins,HST,WR,1,15,ARZ,16.666666666666664,28.57142857142857,74.6,5,100,2,40,16.2,0.4,0.5,1,25,81,65.9,40.5,40.5,2,100,80,40,44,22,1,0.11,100,0,0,0,2,0.4,158.3,2,50,0,0,2,100,0,100,0,0,1,1,100,0,1,0.5,40,34.71,3.34,60,40,0,0,16.1,4.5,16.1,4.55,11.55,3.22,0.91,4.5
2025,11,Drake London,ATL,WR,1,18,NO,52.63157894736842,75,95.1,10,100,6,60,7.8,0.6,18.33,110,78,78,73.6,13,19.5,4,66.7,10,2.5,4,1,1,1.04,100,2,2,1,4,0.4,149.3,5,62.5,0,0,4,66.7,2,33.3,0,0,1,0,0,0,0,0,60,2.64,1.127,30,70,0,0,17.8,16.6,17.8,16.58,1.22,1.78,1.66,16.6
2025,12,Mike Gesicki,CIN,TE,1,14,BUF,16.216216216216218,25,39.3,6,46.2,4,30.8,12.67,0.67,16,64,67.4,76,55.9,19,19,4,100,16,4,8,2,1,1,100,1,1,1,4,0.667,158.3,3,27.3,0,0,4,100,1,33.3,0,0,1,1,100,1,0,0,66.7,8.77,2.241,0,100,0,0,17.6,15.3,17.6,15.3,2.3,2.93,2.55,15.3
2025,13,Chris Olave,NO,WR,1,16,NYJ,23.52941176470588,26.666666666666668,78.2,12,75,4,25,6.25,0.33,21.5,86,63.2,75,44.6,18.75,25,3,75,9,3,0,0,2,1.78,100,1,1,0,3,0.25,156.3,4,30.8,0,0,4,100,3,66.7,1,25,1,0,0,0,0,0,28.6,7.56,2.396,50,50,0,0,22.5,21,22.5,20.98,1.52,1.88,1.75,21
2025,14,Zay Flowers,BLT,WR,1,18,PIT,14.000000000000002,17.647058823529413,97.9,7,87.5,3,37.5,10.43,0.43,7.67,23,31.1,73,46.5,24.33,36.5,2,66.7,53,26.5,0,0,1,0.36,50,0,0,0,1,0.143,149.3,3,42.9,1,33.3,3,100,1,50,1,33.3,0,0,0,0,0,0,37.5,17.1,1.697,28.6,71.4,0,0,15.3,9.8,15.3,9.76,5.54,2.19,1.39,9.8
2025,15,Rashee Rice,KC,WR,1,13,DAL,36.11111111111111,40,90,13,92.9,6,42.9,5.38,0.46,4.83,29,26.4,70,53.8,11.67,14,5,83.3,59,11.8,6,1.2,2,0.68,50,1,1,1,3,0.231,154.9,4,40,3,50,5,83.3,0,50,0,0,1,1,100,0,1,0.2,46.2,4.61,1.006,38.5,61.5,0,0,24,11.2,24,11.16,12.84,1.85,0.86,11.2
2025,16,Stefon Diggs,NE,WR,1,17,NYJ,20.689655172413794,25,48.4,6,85.7,4,57.1,11.17,0.67,8,32,54.2,67,62.6,16.75,16.75,4,100,35,8.75,10,2.5,0,0.14,0,0,0,0,3,0.5,118.8,4,66.7,0,0,4,100,0,50,0,0,0,0,0,0,1,0.25,66.7,9.19,1.183,33.3,66.7,0,0,10.7,9.6,10.7,9.6,1.1,1.78,1.6,9.6
2025,17,Stefon Diggs,NE,WR,1,16,BLT,34.48275862068966,31.25,57.7,10,90.9,5,45.5,6.6,0.5,7.2,36,38.7,66,57.4,13.2,13.2,5,100,30,6,8,1.6,0,0.03,0,0,0,0,4,0.4,118.8,3,50,0,0,5,100,1,40,0,0,0,0,0,0,3,0.6,50,6.58,1.736,20,80,0,0,11.6,10.6,11.6,10.55,1.05,1.16,1.06,10.6
2025,18,Josh Downs,IND,WR,1,16,SF,26.923076923076923,33.33333333333333,77.6,14,87.5,9,56.3,4.64,0.64,13.78,124,74.7,65,75.6,7.22,13,5,55.6,26,5.2,7,1.4,0,0.01,0,0,0,0,4,0.286,78.5,9,56.3,0,0,6,66.7,2,0,0,0,2,1,50,0,1,0.2,60,-1.42,0.364,21.4,78.6,0,0,11.5,10.3,11.5,10.28,1.22,0.82,0.73,10.3
2025,19,Ja'Marr Chase,CIN,WR,1,16,MIA,22.950819672131146,33.33333333333333,86.9,14,100,7,50,4.57,0.5,5,35,35,64,47.8,9.14,10.67,6,85.7,32,5.33,10,1.67,0,0.06,0,0,0,0,4,0.286,104.8,5,45.5,0,0,7,100,0,16.7,1,14.3,0,0,0,0,1,0.17,50,2.68,0.283,42.9,57.1,0,0,12.4,13.1,12.4,13.09,-0.69,0.89,0.93,13.1
