,Player Details,Player Details,Player Details,Player Details,Player Details,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,17,Nico Collins,HST,WR,1,33,0.03,2.27,0.3,21.2,46.7,8.8,26.3,12.1,9.1,0,27.3,10,7,75,1,122,5,0.2,1.8,0.2,40,28,0,2.36,0.32,17.9,0,0,0,0,0,4,0,0,11,-0.182,18.2,6,0.5,33.3,7,-0.143,14.3
2026,18,Sam LaPorta,DET,TE,1,33,-0.061,1.45,0.21,0,0,3.7,17.9,0,0,0,6.1,7,5,48,0,35,1,0,0,0,0,30,-0.033,1.6,0.2,0,2,-0.5,0,0.5,0,2,0,0,17,-0.059,0,3,0,0,8,0,0
2026,19,Marvin Harrison,ARZ,WR,1,32,0.031,1.03,0.09,3.1,9.1,7.8,8.1,3.1,0,0,0,3,1,33,0,69,4,0.25,8.25,0.25,25,27,0,0,0.07,0,1,0,0,0,0,5,0,0,8,0,0,10,0,0,4,0,0
2026,20,Dalton Schultz,HST,TE,1,31,-0.097,1.13,0.26,3.2,6.7,4.1,21.1,3.2,0,0,12.9,8,4,35,0,25,6,-0.167,0,0.33,16.7,25,-0.08,1.4,0.24,0,0,0,0,0,0,4,0,0,8,-0.125,0,5,-0.2,0,8,0,0
2026,21,Tee Higgins,CIN,WR,1,31,-0.032,1.9,0.19,12.9,36.4,8.2,17.1,12.9,0,0,16.1,6,3,59,0,111,9,0.111,6.56,0.56,33.3,21,-0.095,0,0.05,4.8,1,0,0,0,0,3,0.333,33.3,17,-0.176,0,1,0,0,0,0,0
2026,22,Pat Freiermuth,PIT,TE,1,31,-0.065,1.48,0.16,0,0,4.4,12.2,0,0,0,6.5,5,5,46,1,29,5,0,0.4,0.2,0,24,-0.083,1.58,0.13,0,2,0,3,0.5,0,1,0,0,14,0,0,6,-0.167,0,3,-0.333,0
2026,23,Trey McBride,ARZ,TE,1,31,0.097,3.06,0.39,12.9,36.4,2.9,32.4,12.9,0,0,3.2,12,9,95,1,79,4,0,1.5,0.25,25,25,0.08,3.44,0.36,8,2,0.5,1.5,1,50,3,0,0,9,0.111,11.1,10,0.1,10,3,0,0
2026,24,Wan'Dale Robinson,TEN,WR,1,31,0,1.23,0.19,0,0,5.1,18.8,0,0,0,0,6,5,38,0,24,7,0,0,0,0,23,0,1.65,0.26,0,1,0,0,0,0,8,0,0,6,0,0,2,0,0,7,0,0
2026,25,DeMario Douglas,NE,WR,1,31,0,0.65,0.23,6.5,25,5.2,21.2,6.5,0,0,6.5,7,5,20,0,40,3,0,0,0,0,28,0,0.71,0.25,7.1,0,0,0,0,0,2,0,0,12,0.083,16.7,3,-0.333,0,11,0,0
2026,26,Carnell Tate,TEN,WR,1,31,-0.097,1.23,0.19,3.2,33.3,8.3,18.8,3.2,0,0,12.9,6,4,38,0,58,8,-0.25,0,0.13,12.5,22,-0.045,1.73,0.23,0,1,0,0,0,0,8,0,0,6,0,0,2,0,0,6,-0.167,0
2026,27,Chris Godwin,TB,WR,1,30,-0.2,1.33,0.13,6.7,12.5,6.4,14.3,6.7,0,0,26.7,4,4,40,0,0,10,-0.3,0.5,0.1,20,16,-0.125,2.19,0.19,0,4,-0.25,0,0,0,1,0,0,6,0,0,0,0,0,9,-0.222,0
2026,28,Caleb Douglas,MIA,WR,1,30,0.1,3.13,0.2,16.7,38.5,11.5,22.2,10,3.3,3.3,16.7,6,5,94,0,98,2,1.5,0,0,100,26,0,3.62,0.23,11.5,2,0,0,0,0,3,0,0,17,0,17.6,1,0,0,5,0,0
2026,29,Kendrick Bourne,ARZ,WR,1,29,0.034,2.59,0.28,6.9,18.2,6.8,21.6,6.9,0,0,3.4,8,8,75,0,42,4,0.5,3,0.25,50,24,-0.042,2.63,0.29,0,1,0,0,0,0,4,0,0,7,0,0,9,-0.111,0,4,0,0
2026,30,Justin Jefferson,MIN,WR,1,29,-0.069,3.17,0.31,6.9,40,7.3,37.5,6.9,0,0,13.8,9,8,92,2,88,3,-0.333,6,0.67,0,25,-0.04,2.76,0.24,8,1,0,5,1,0,7,-0.143,0,4,0,0,7,0.143,14.3,7,-0.143,14.3
2026,31,George Pickens,DAL,WR,1,29,0.069,0.97,0.21,20.7,28.6,7.7,17.6,17.2,0,3.4,20.7,6,3,28,0,101,9,0.444,2.11,0.44,44.4,20,-0.1,0.45,0.1,10,0,0,0,0,0,2,0,0,4,0,25,13,-0.154,7.7,1,0,0
2026,32,Cade Otton,TB,TE,1,29,-0.138,0.9,0.17,6.9,12.5,4.2,17.9,6.9,0,0,20.7,5,3,26,0,21,9,-0.333,1.11,0.11,11.1,17,-0.059,0.76,0.18,0,3,0,1,0.33,33.3,2,0,0,6,-0.167,0,0,0,0,9,0,0
2026,33,Josh Downs,IND,WR,1,29,0.207,1.28,0.14,17.2,38.5,9.6,12.9,10.3,6.9,0,3.4,4,2,37,0,41,6,0.5,6.17,0.5,50,22,0.136,0,0.05,9.1,1,0,0,0,0,2,0,0,6,0.333,16.7,10,0.1,10,4,0,0
2026,34,Jayden Reed,GB,WR,1,29,0,0.69,0.24,0,0,6.1,16.7,0,0,0,0,7,3,20,0,42,2,0,0,0,0,24,0,0.83,0.25,0,3,0,0,0.33,0,4,0,0,10,0,0,5,0,0,5,0,0
2026,35,Emeka Egbuka,TB,WR,1,29,0.069,2.17,0.21,17.2,31.3,6.8,21.4,17.2,0,0,10.3,6,5,63,0,84,11,0.273,3.45,0.36,45.5,14,-0.071,1.79,0.14,0,4,0,0,0,0,1,0,0,5,0,0,0,0,0,8,-0.125,0
2026,36,Isaac TeSlaa,DET,WR,1,29,0.034,0,0,10.3,30,4.8,0,10.3,0,0,6.9,0,0,0,0,0,1,0,0,0,0,26,0.038,0,0,11.5,2,0,0,0,0,1,0,0,18,0,11.1,3,0,0,4,0.25,25
2026,37,CeeDee Lamb,DAL,WR,1,28,0,1.57,0.29,21.4,28.6,6.9,23.5,21.4,0,0,21.4,8,5,44,1,92,7,0.143,0.14,0.29,42.9,21,-0.048,2.05,0.29,14.3,0,0,0,0,0,3,0,0,5,0,20,11,0,18.2,2,-0.5,0
2026,38,DeVonta Smith,PHI,WR,1,28,-0.071,1.89,0.18,3.6,11.1,8.7,20,3.6,0,0,10.7,5,3,53,0,80,5,-0.4,6.2,0.2,20,23,0,0.96,0.17,0,0,0,0,0,0,10,0,0,5,0,0,4,0,0,4,0,0
2026,39,Romeo Doubs,NE,WR,1,28,0,0,0.11,7.1,25,7.4,9.1,7.1,0,0,7.1,3,0,0,0,65,2,0,0,0.5,0,26,0,0,0.08,7.7,0,0,0,0,0,4,0,0,8,0,12.5,2,0,0,12,0,8.3
2026,40,Colston Loveland,CHI,TE,1,28,-0.036,0,0.07,7.1,18.2,6.9,6.9,3.6,3.6,0,14.3,2,0,0,0,27,2,-0.5,0,0,0,25,-0.04,0,0.08,4,1,1,0,0,100,6,0,0,15,-0.067,6.7,3,0,0,1,0,0
2026,41,Tyler Warren,IND,TE,1,28,-0.107,0.46,0.18,3.6,7.7,3.3,16.1,3.6,0,0,14.3,5,3,13,1,24,4,0,0,0,25,23,-0.13,0.17,0.17,0,1,0,9,1,0,2,0,0,6,0,0,10,-0.2,0,5,-0.2,0
2026,42,Ted Hurst,TB,WR,1,28,-0.107,1.29,0.11,17.9,31.3,6.6,10.7,17.9,0,0,28.6,3,3,36,0,34,12,-0.25,1.33,0.08,25,14,0.071,1.43,0.14,14.3,2,-0.5,0,0,0,2,0,0,4,-0.25,0,0,0,0,8,0.25,25
2026,43,Kayshon Boutte,HST,WR,1,27,-0.111,0.78,0.07,11.1,20,9.8,5.3,7.4,3.7,0,25.9,2,1,21,0,32,5,-0.8,0,0,0,22,0.045,0.95,0.09,13.6,0,0,0,0,0,4,0,0,9,-0.222,11.1,2,0,0,7,0.429,28.6
2026,44,Rashee Rice,KC,WR,1,27,-0.259,0.7,0.07,0,0,7,7.4,0,0,0,25.9,2,2,19,1,7,9,-0.444,1.44,0.11,0,18,-0.167,0.33,0.06,0,0,0,0,0,0,4,0,0,7,-0.286,0,1,0,0,6,-0.167,0
2026,45,Makai Lemon,PHI,WR,1,27,0.037,-0.19,0.15,11.1,33.3,5.6,16,11.1,0,0,7.4,4,3,-5,0,-1,4,0.25,0,0,50,23,0,-0.22,0.17,4.3,0,0,0,0,0,11,0,0,5,0,0,3,0,0,4,0,25
2026,46,Denzel Boston,CLV,WR,1,27,0.111,2.19,0.15,14.8,44.4,11.3,18.2,11.1,3.7,0,7.4,4,2,59,1,115,4,-0.25,0,0,0,22,0.182,2.68,0.14,18.2,1,0,0,1,0,0,0,0,7,0,14.3,9,0.444,33.3,6,0,0
2026,47,Rashod Bateman,BLT,WR,1,26,0.077,0,0.04,19.2,23.8,9.2,4,15.4,3.8,0,15.4,1,0,0,0,16,15,0.133,0,0.07,26.7,10,0,0,0,10,1,0,0,0,0,3,0,0,3,0.333,33.3,3,0,0,1,-1,0
2026,48,Dontayvion Wicks,PHI,WR,1,26,0.115,2.81,0.15,15.4,44.4,10.7,16,7.7,7.7,0,7.7,4,2,73,1,86,5,-0.2,1.8,0.4,20,21,0.19,3.05,0.1,14.3,0,0,0,0,0,10,0,0,5,0.2,20,2,0.5,50,4,0.5,25
2026,49,Jaxon Smith-Njigba,SEA,WR,1,26,0.231,4.69,0.42,23.1,66.7,7,45.8,15.4,7.7,0,7.7,11,8,122,1,78,9,0.222,0,0.33,33.3,17,0.235,7.18,0.47,17.6,0,0,0,0,0,8,0,0,5,0.8,60,4,0,0,0,0,0
2026,50,Tre Tucker,LV,WR,1,26,-0.192,1.04,0.15,7.7,12.5,9,13.3,7.7,0,0,26.9,4,2,27,0,49,6,-0.167,0,0,0,17,-0.176,1.59,0.18,11.8,3,-0.333,0,0.33,0,2,0,0,11,-0.182,18.2,0,0,0,4,-0.25,0
2026,51,Xavier Legette,CAR,WR,1,26,-0.231,0,0.08,11.5,12.5,9.4,5.3,11.5,0,0,34.6,2,0,0,0,21,12,-0.417,0,0.17,8.3,12,0.083,0,0,16.7,2,-1,0,0,0,5,0,0,4,0,25,2,0,0,1,1,100
2026,52,Roman Wilson,PIT,WR,1,26,0.038,1,0.23,11.5,16.7,4,14.6,7.7,3.8,0,11.5,6,3,26,0,121,8,0.375,0,0.25,37.5,16,-0.062,1.63,0.25,0,2,-0.5,0,0,0,0,0,0,11,-0.091,0,3,0,0,2,0,0
2026,53,Xavier Worthy,KC,WR,1,26,-0.154,0.69,0.23,3.8,11.1,5.9,22.2,3.8,0,0,19.2,6,3,18,0,42,8,0,1.13,0.5,12.5,18,-0.222,0.5,0.11,0,0,0,0,0,0,4,0,0,8,-0.375,0,1,-1,0,5,0,0
2026,54,Tre Harris,LAC,WR,1,26,-0.038,0.77,0.23,0,0,8.8,22.2,0,0,0,3.8,6,3,20,0,45,0,0,0,0,0,22,-0.045,0.91,0.27,0,4,0,0,0,0,0,0,0,7,-0.143,0,5,0,0,10,0,0
2026,55,Keenan Allen,IND,WR,1,25,-0.12,1.28,0.24,8,15.4,5.8,19.4,4,4,0,24,6,6,32,0,21,7,-0.429,0.43,0.14,0,17,0,1.71,0.29,11.8,1,0,0,0,0,2,0,0,3,-0.333,0,8,-0.125,12.5,4,0.5,25
2026,56,Darnell Mooney,NYG,WR,1,25,0,1.08,0.08,12,30,7.5,6.9,8,4,0,16,2,2,27,0,25,4,0.5,0,0,50,20,-0.1,1.35,0.1,5,1,0,0,0,0,1,0,0,9,-0.222,11.1,8,0,0,2,0,0
2026,57,Quentin Johnston,LAC,WR,1,25,-0.04,0.68,0.2,8,28.6,9.2,18.5,8,0,0,12,5,2,17,0,54,0,0,0,0,0,20,-0.05,0.85,0.25,5,5,0,0,0,20,0,0,0,5,0.2,20,5,-0.2,0,10,-0.1,0
2026,58,Travis Kelce,KC,TE,1,24,0.042,2.96,0.21,12.5,33.3,4.8,18.5,12.5,0,0,8.3,5,3,71,0,30,7,0.286,9.29,0.29,42.9,17,-0.059,0.35,0.18,0,0,0,0,0,0,2,0,0,8,-0.125,0,2,0,0,5,0,0
2026,59,Stefon Diggs,WAS,WR,1,24,0.333,2.29,0.38,29.2,28,6.7,26.5,12.5,16.7,0,12.5,9,4,55,1,81,5,0.8,2,0.2,40,16,0.188,2.81,0.5,25,3,0.333,0,0,33.3,0,0,0,6,0.833,66.7,6,-0.167,0,4,-0.25,0
2026,60,Dallas Goedert,PHI,TE,1,24,-0.042,3.21,0.21,4.2,11.1,3.5,20,4.2,0,0,8.3,5,4,77,2,57,5,-0.2,0,0,20,19,0,4.05,0.26,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,4,0,0
2026,61,DJ Moore,BUF,WR,1,24,-0.042,4.17,0.29,12.5,37.5,8.8,24.1,12.5,0,0,16.7,7,5,100,1,149,5,-0.2,3.4,0.4,20,19,0,4.37,0.26,10.5,0,0,0,0,0,4,0,0,13,0,15.4,1,0,0,1,0,0
2026,62,Jerry Jeudy,CLV,WR,1,24,0,1.08,0.17,4.2,11.1,10.5,18.2,0,4.2,0,4.2,4,2,26,0,44,4,-0.5,0,0,0,19,0.105,1.37,0.21,5.3,1,0,0,0,0,0,0,0,5,0,0,9,0.222,11.1,5,0,0
2026,63,Jaylen Waddle,DEN,WR,1,24,0,0.08,0.13,0,0,7.1,10.7,0,0,0,0,3,1,2,0,12,7,0,0.29,0.14,0,17,0,0,0.12,0,0,0,0,0,0,5,0,0,4,0,0,6,0,0,2,0,0
2026,64,Drake London,ATL,WR,1,24,0.042,1.21,0.13,4.2,25,9.1,13.6,4.2,0,0,0,3,2,29,0,25,0,0,0,0,0,24,0.042,1.21,0.13,4.2,0,0,0,0,0,0,0,0,10,0.1,10,12,0,0,2,0,0
2026,65,Jake Ferguson,DAL,TE,1,24,-0.083,0.25,0.08,4.2,4.8,6.3,5.9,4.2,0,0,12.5,2,2,6,0,5,4,0,0,0.25,0,20,-0.1,0.3,0.05,5,0,0,0,0,0,2,0,0,3,0,0,13,-0.154,7.7,2,0,0
2026,66,Michael Mayer,LV,TE,1,24,-0.083,1.33,0.29,12.5,18.8,4.4,23.3,12.5,0,0,16.7,7,6,32,0,29,6,0.167,2.33,0.33,33.3,16,-0.062,1.13,0.31,6.3,2,-1,0,0,0,1,0,0,10,-0.2,0,1,0,0,4,0.25,25
2026,67,Ryan Flournoy,DAL,WR,1,24,-0.042,0.92,0.17,12.5,14.3,5,11.8,12.5,0,0,16.7,4,2,22,0,22,8,-0.25,2.13,0.13,12.5,16,0.063,0.31,0.19,12.5,0,0,0,0,0,2,0,0,2,0,0,10,0.1,20,2,0,0
2026,68,Luther Burden,CHI,WR,1,24,0.083,2.63,0.21,16.7,36.4,6.1,17.2,16.7,0,0,8.3,5,5,63,0,36,2,1,7.5,0.5,100,21,-0.048,2.29,0.19,4.8,1,1,0,0,100,3,0,0,14,0,7.1,2,-0.5,0,2,0,0
2026,69,Courtland Sutton,DEN,WR,1,23,-0.087,0.48,0.17,4.3,11.1,10.7,14.3,4.3,0,0,13,4,2,11,0,32,8,-0.125,0,0.13,12.5,15,-0.067,0.73,0.2,0,0,0,0,0,0,4,0,0,4,-0.25,0,5,0,0,2,0,0
2026,70,Xavier Hutchinson,HST,WR,1,23,-0.174,1.39,0.26,13,20,9.9,15.8,8.7,4.3,0,34.8,6,3,32,0,50,3,-1,6.67,0.67,0,20,-0.05,0.6,0.2,15,0,0,0,0,0,3,0,0,7,-0.286,14.3,6,0.167,16.7,4,0,25
2026,71,Andrei Iosivas,CIN,WR,1,23,0.043,0.52,0.13,8.7,18.2,6.2,8.6,8.7,0,0,4.3,3,2,12,0,14,5,-0.2,0,0.2,0,17,0.118,0.71,0.12,11.8,1,0,0,0,0,4,0,0,10,0.2,20,3,0,0,0,0,0
2026,72,Jordan Addison,MIN,WR,1,23,0,0,0.09,4.3,20,11.8,8.3,0,4.3,0,8.7,2,0,0,0,23,2,-0.5,0,0,0,21,0.048,0,0.1,4.8,0,0,0,0,0,5,0,0,4,0,0,5,0.4,20,7,-0.143,0
2026,73,Malik Nabers,NYG,WR,1,23,-0.087,3,0.39,4.3,10,7.8,31,4.3,0,0,13,9,6,69,0,101,4,0.25,2,0.5,25,19,-0.158,3.21,0.37,0,0,0,0,0,0,1,0,0,7,-0.286,0,8,-0.125,0,3,0,0
2026,74,Mike Evans,SF,WR,1,22,0.318,2.23,0.32,27.3,54.5,9.3,20.6,18.2,4.5,4.5,9.1,7,6,49,1,61,5,0.8,3.4,0.6,60,17,0.176,1.88,0.24,17.6,0,0,0,0,0,0,0,0,5,0,0,9,0.222,22.2,3,0.333,33.3
2026,75,Dyami Brown,WAS,WR,1,22,-0.182,0,0.09,9.1,8,8.6,5.9,9.1,0,0,27.3,2,0,0,0,62,3,-0.667,0,0.33,0,18,-0.111,0,0.06,11.1,1,0,0,0,0,0,0,0,9,-0.111,11.1,4,0,0,5,-0.2,20
2026,76,Greg Dulcich,MIA,TE,1,22,-0.136,0.82,0.09,0,0,4.5,7.4,0,0,0,13.6,2,2,18,0,0,1,-1,0,0,0,19,-0.053,0.95,0.11,0,2,-0.5,0,0,0,3,0,0,12,-0.083,0,1,0,0,3,0,0
2026,77,Alec Pierce,IND,WR,1,22,0.136,2.77,0.27,22.7,38.5,12.1,19.4,18.2,4.5,0,13.6,6,4,61,0,103,4,0,2.75,0.25,50,17,0.176,2.94,0.29,17.6,1,0,0,0,0,2,0,0,4,0,25,9,0.333,22.2,2,0,0
2026,78,Tyquan Thornton,KC,WR,1,22,0.091,0,0.05,18.2,44.4,5.8,3.7,18.2,0,0,9.1,1,0,0,0,35,8,0.5,0,0.13,50,14,-0.143,0,0,0,0,0,0,0,0,3,0,0,6,-0.333,0,2,0,0,3,0,0
2026,79,Tucker Kraft,GB,TE,1,22,0.045,2.95,0.27,4.5,16.7,5.7,14.3,0,4.5,0,4.5,6,3,65,0,67,1,-1,0,0,0,18,0.111,3.61,0.33,5.6,3,0,0,0,0,8,0,0,5,0.4,20,4,0,0,1,0,0
2026,80,KC Concepcion,CLV,WR,1,22,0.182,1.95,0.18,9.1,22.2,7.5,18.2,0,9.1,0,0,4,4,43,0,28,4,0.5,6.25,0.25,25,17,0.118,1.06,0.18,5.9,1,0,0,0,0,0,0,0,6,0,0,7,0,0,4,0.5,25
2026,81,Hunter Henry,NE,TE,1,21,-0.19,1.24,0.14,0,0,4.2,9.1,0,0,0,19,3,3,26,0,11,0,0,0,0,0,20,-0.2,1.3,0.15,0,1,0,0,0,0,0,0,0,5,-0.2,0,3,-0.667,0,12,-0.083,0
2026,82,Mark Andrews,BLT,TE,1,21,-0.048,2.33,0.29,9.5,9.5,6.6,24,4.8,4.8,0,19,6,4,49,0,39,12,-0.083,1.83,0.25,16.7,8,0,3.38,0.38,0,1,0,0,0,0,1,0,0,2,0,0,3,0,0,2,0,0
