,Team Details,Team Details,Team Details,Splits,Splits,Splits,Record,Record,Record,Record,Record,Record,Volume & Pace,Volume & Pace,Volume & Pace,Volume & Pace,Volume & Pace,Drives,Drives,Drives,Drives,Drives,Drives,EPA,EPA,EPA,EPA,EPA,Success,Success,Success,Explosive,Explosive,Explosive,Turnovers,Turnovers,Coverage,Coverage,Coverage,Coverage,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Tendencies,Penalties,Penalties,Penalties,Fantasy,Fantasy,Fantasy,Fantasy
Season,Rank,Name,G,WEEK,OPP,PLAY %,W-L-T,WIN %,PF,PA,DIFF,TO +/-,PLAYS,Y/P,TOP,PACE,AVG START,DR,PTS/DR,SCR %,TD %,FG %,PUNT %,EPA,EPA/P,EPA/DR,EPA/DB,EPA/RU,SUCC %,PASS SUCC %,RUSH SUCC %,EXP %,PASS EXP %,RUSH EXP %,TO,TO/DR %,MAN %,ZONE %,1-HIGH %,2-HIGH %,BASE %,SUB %,PRESS %,BLITZ %,BOX,PASS %,PROE,PEN,PEN YDS,PEN EPA,QB FPG,RB FPG,WR FPG,TE FPG
2022,10,New England Patriots,1,11,NYJ,4.491292392300641,1-0,100,10,3,7,0,49,2.1020408163265305,1465,29.897959183673468,26.41666666666667,12,0.25,8.333333333333332,0,8.333333333333332,83.33333333333334,-20.57951310211,-0.4199900633083673,-1.7149594251758333,-0.3474480545275862,-0.5251759760405,24.489795918367346,31.03448275862069,15,3.8461538461538463,3.4482758620689653,4.3478260869565215,0,0,34.48275862068966,65.51724137931035,79.3103448275862,20.689655172413794,0,100,44.827586206896555,37.93103448275862,6.040816326530612,59.183673469387756,-4.294028018367346,3,15,2.5532739591999998,5.68,4.1,12.4,3.5
2022,11,Baltimore Ravens,1,11,CAR,5.157593123209169,1-0,100,13,3,10,2,54,3.7962962962962963,1603,29.685185185185187,25.181818181818187,11,0.2727272727272727,9.090909090909092,0,9.090909090909092,54.54545454545454,-22.2639866165,-0.41229604845370366,-2.0239987833181816,-0.4360214513430769,-0.3506100009413334,33.33333333333333,33.33333333333333,33.33333333333333,5.555555555555555,5.405405405405405,5.88235294117647,3,27.27272727272727,7.6923076923076925,92.3076923076923,76.92307692307693,23.076923076923077,12.962962962962962,85.18518518518519,35.8974358974359,25.64102564102564,6.37037037037037,72.22222222222221,4.839997644444444,5,43,5.3189628064,7.04,10.3,26.3,5.4
2022,12,Tampa Bay Buccaneers,1,2,NO,6.150978564771668,1-0,100,20,10,10,4,66,4.666666666666667,1806,27.363636363636363,23.384615384615387,13,0.7692307692307693,15.384615384615385,7.6923076923076925,7.6923076923076925,38.46153846153847,-26.722879374853402,-0.40489211174020306,-2.055606105757954,-0.45566897811517876,-0.2792861791284211,37.878787878787875,31.914893617021278,52.63157894736842,8.19672131147541,4.878048780487805,15,5,38.46153846153847,2.127659574468085,91.48936170212765,42.5531914893617,57.446808510638306,27.27272727272727,72.72727272727273,23.404255319148938,40.42553191489361,6.5606060606060606,71.21212121212122,5.887853275757579,4,77,6.631351331299999,10.64,12.9,38.9,9.4
2022,13,Washington Commanders,1,11,HST,5.410821643286573,1-0,100,23,10,13,2,54,2.740740740740741,1511,27.98148148148148,25.272727272727266,11,0.9090909090909091,18.181818181818183,9.090909090909092,9.090909090909092,54.54545454545454,-21.26235248584,-0.3937472682562963,-1.9329411350763637,-0.36754979128174997,-0.4685972024692857,29.629629629629626,35,14.285714285714285,4.651162790697675,6.666666666666667,0,2,18.181818181818183,20,72.5,35,65,0,100,40,22.5,6.296296296296297,74.07407407407408,4.209818183333341,2,16,2.024142989,11.76,5.2,27.1,4.7
2022,14,New England Patriots,1,14,ARZ,6.3244729605866175,1-0,100,27,13,14,1,69,4.681159420289855,2001,29,28.25,12,1.0833333333333333,25,8.333333333333332,16.666666666666664,16.666666666666664,-26.35888632235,-0.38201284525144924,-2.196573860195833,-0.5273964662874999,0.06268999556470588,43.47826086956522,38.46153846153847,58.82352941176471,7.246376811594203,6.382978723404255,9.090909090909092,2,16.666666666666664,15.384615384615385,84.61538461538461,67.3076923076923,32.69230769230769,1.4492753623188406,98.55072463768117,34.61538461538461,17.307692307692307,6.391304347826087,75.36231884057972,9.057787643478257,4,55,5.2534712616,11.9,26.6,32,8.5
2022,15,Buffalo Bills,1,2,TEN,5.315947843530592,1-0,100,41,7,34,4,53,3.5283018867924527,1695,31.9811320754717,25.545454545454547,11,0.6363636363636364,9.090909090909092,9.090909090909092,0,54.54545454545454,-20.153079530894,-0.3802467836017736,-1.8320981391721818,-0.42466703493214286,-0.33049610211176,47.16981132075472,35.714285714285715,60,0,0,0,3,27.27272727272727,10.714285714285714,85.71428571428571,32.142857142857146,67.85714285714286,9.433962264150944,90.56603773584906,39.285714285714285,10.714285714285714,6.849056603773585,52.83018867924528,-11.36312690754717,3,15,2.3732497165,3.72,13.200000000000001,20.4,2.9
2022,16,New Orleans Saints,1,8,LV,5.204460966542751,1-0,100,24,0,24,1,56,3.267857142857143,1499,26.767857142857142,23.444444444444443,9,0,0,0,0,55.55555555555556,-20.78242871196,-0.37111479842785716,-2.3091587457733334,-0.32004509251395347,-0.5400376718353846,39.285714285714285,37.2093023255814,46.15384615384615,1.9230769230769231,0,7.6923076923076925,1,11.11111111111111,16.27906976744186,79.06976744186046,39.53488372093023,60.46511627906976,12.727272727272727,87.27272727272727,37.2093023255814,9.30232558139535,6.709090909090909,76.78571428571429,6.186084585714292,3,17,3.4639449173,5.82,14.200000000000001,21.2,9.1
2022,17,Dallas Cowboys,1,11,MIN,4.904632152588556,1-0,100,40,3,37,1,54,3.388888888888889,1347,24.944444444444443,21.099999999999994,10,0.3,10,0,10,70,-19.959616872051,-0.36962253466761114,-1.9959616872051,-0.43513087935489186,-0.2270455491717647,40.74074074074074,35.13513513513514,52.94117647058824,5.769230769230769,0,17.647058823529413,1,10,24.324324324324326,75.67567567567568,32.432432432432435,67.56756756756756,11.11111111111111,88.88888888888889,45.94594594594595,2.7027027027027026,6.518518518518518,68.51851851851852,1.5718538777777822,4,24,3.0930003578000003,5.36,10.6,19.4,10.2
2022,18,Miami Dolphins,1,12,HST,5.3406998158379375,1-0,100,30,15,15,2,58,3.6206896551724137,1646,28.379310344827587,28.615384615384613,13,1.1538461538461537,23.076923076923077,15.384615384615385,7.6923076923076925,53.84615384615385,-21.38601004276,-0.36872431108206893,-1.645077695596923,-0.4702757334195652,0.020556141211666656,32.758620689655174,30.434782608695656,41.66666666666667,3.6363636363636362,4.761904761904762,0,3,23.076923076923077,23.91304347826087,76.08695652173914,71.73913043478261,28.26086956521739,36.206896551724135,63.793103448275865,43.47826086956522,30.434782608695656,6.362068965517241,79.3103448275862,5.963713774137934,2,20,2.8242259719,11.8,15.1,25.7,20.1
2022,19,San Francisco 49ers,1,18,ARZ,4.8732943469785575,1-0,100,38,13,25,4,50,5.1,1530,30.6,19.07692307692308,13,1,15.384615384615385,15.384615384615385,0,23.076923076923077,-17.72214384526,-0.3544428769052,-1.3632418342507693,-0.44687700617096776,-0.2036292975768421,36,29.03225806451613,47.368421052631575,4.166666666666666,6.451612903225806,0,4,30.76923076923077,29.03225806451613,70.96774193548387,87.09677419354838,12.903225806451612,12,88,38.70967741935484,19.35483870967742,6.56,62,-5.099663582000005,1,5,0.4734794855,9.46,17.6,33.199999999999996,7.1
2022,20,San Francisco 49ers,1,2,SEA,4.580896686159844,1-0,100,27,7,20,3,47,4.595744680851064,1283,27.29787234042553,20.66666666666667,9,0.1111111111111111,0,0,0,55.55555555555556,-16.57994962906,-0.35276488572468084,-1.842216625451111,-0.38742424974969697,-0.27106781338,46.808510638297875,45.45454545454545,50,2.1739130434782608,3.125,0,2,22.22222222222222,6.0606060606060606,87.87878787878788,39.39393939393939,60.60606060606061,31.914893617021278,68.08510638297872,30.303030303030305,6.0606060606060606,6.872340425531915,70.2127659574468,0.3521590212765936,1,26,3.080634493,7.08,12.200000000000001,28.8,5.1
2022,21,Los Angeles Rams,1,6,CAR,4.194470924690181,1-0,100,24,10,14,0,44,4.613636363636363,1376,31.272727272727273,26.200000000000003,10,0.4,10,0,10,70,-15.12247210894,-0.34369254793045456,-1.512247210894,-0.5629362244843478,-0.10356852122857144,34.090909090909086,30.434782608695656,38.095238095238095,7.5,5.263157894736842,9.523809523809524,1,10,4.3478260869565215,82.6086956521739,69.56521739130434,30.434782608695656,22.727272727272727,77.27272727272727,13.043478260869565,26.08695652173913,6.2727272727272725,52.27272727272727,-13.554729727272727,1,9,0.0816439488,3.66,26.400000000000002,3.7,4.2
2022,22,New York Jets,1,6,GB,6.312900274473924,1-0,100,27,10,17,1,69,4.028985507246377,1871,27.115942028985508,29.461538461538467,13,0.7692307692307693,15.384615384615385,7.6923076923076925,7.6923076923076925,38.46153846153847,-23.595782261806,-0.3419678588667536,-1.815060173985077,-0.33387018425236736,-0.361807161672,42.028985507246375,40.816326530612244,45,4.411764705882353,4.166666666666666,5,1,7.6923076923076925,30.612244897959183,67.3469387755102,55.10204081632652,44.89795918367347,13.043478260869565,86.95652173913044,24.489795918367346,6.122448979591836,6.405797101449275,71.01449275362319,5.9703392652173894,4,45,6.4719002047,13.16,16.6,27.9,20.9
2022,23,Tennessee Titans,1,8,HST,4.636363636363637,1-0,100,17,10,7,-1,51,3.156862745098039,1509,29.58823529411765,28.58333333333333,12,0.8333333333333334,16.666666666666664,8.333333333333332,8.333333333333332,66.66666666666666,-17.30111709355,-0.33923759006960785,-1.4417597577958334,-0.3890349198814286,-0.23030593110625,25.49019607843137,22.857142857142858,31.25,10.204081632653061,9.67741935483871,11.11111111111111,1,8.333333333333332,20,71.42857142857143,31.428571428571427,68.57142857142857,35.294117647058826,64.70588235294117,60,14.285714285714285,6.470588235294118,68.62745098039215,-0.6255336960784342,1,5,0.3073086725,9.88,16.3,11.9,9.8
2022,24,Tampa Bay Buccaneers,1,1,DAL,5.964585274930102,1-0,100,19,3,16,0,64,3.8125,1619,25.296875,21.818181818181813,11,0.2727272727272727,9.090909090909092,0,9.090909090909092,45.45454545454545,-21.594106252979998,-0.33740791020281247,-1.9631005684527272,-0.4357245552843478,-0.0861542616611111,34.375,28.26086956521739,50,3.125,2.1739130434782608,5.555555555555555,1,9.090909090909092,17.391304347826086,82.6086956521739,36.95652173913043,63.04347826086957,14.0625,85.9375,28.26086956521739,34.78260869565217,6.53125,71.875,0.8064681968749987,2,10,1.6364018571,8.02,10.1,23.5,13.2
2022,25,Detroit Lions,1,17,CHI,4.646840148698884,1-0,100,41,10,31,2,50,4.6,1447,28.94,27.66666666666667,12,0.8333333333333334,16.666666666666664,8.333333333333332,8.333333333333332,58.333333333333336,-16.85957889588,-0.33719157791759996,-1.40496490799,-0.651924106974375,0.22233291818333337,34,18.75,61.111111111111114,8,0,20,2,16.666666666666664,37.5,62.5,71.875,28.125,36,62,65.625,15.625,6.96,64,-3.203253583999995,3,17,4.202267475999999,18.2,8.7,7.9,10.700000000000001
2022,26,Philadelphia Eagles,1,4,JAX,4.291044776119403,1-0,100,29,21,8,4,46,4.760869565217392,1197,26.02173913043478,25.090909090909093,11,1.3636363636363635,18.181818181818183,18.181818181818183,0,27.27272727272727,-15.21649765971,-0.330793427385,-1.3833179690645456,-0.32934296044444444,-0.3328546172478948,41.30434782608695,37.03703703703704,47.368421052631575,9.523809523809524,12.5,5.555555555555555,5,45.45454545454545,29.629629629629626,70.37037037037037,59.25925925925925,40.74074074074074,15.217391304347828,84.78260869565217,37.03703703703704,14.814814814814813,6.3478260869565215,58.69565217391305,-4.620245491304346,1,5,0.6577307862,10.66,10.3,29.3,7.2
2022,27,San Francisco 49ers,1,13,MIA,4.385964912280701,1-0,100,33,17,16,3,45,6.844444444444444,1169,25.977777777777778,23.25,12,1.4166666666666667,25,16.666666666666664,8.333333333333332,33.33333333333333,-14.767857711289999,-0.3281746158064444,-1.2306548092741665,-0.38681420396999994,-0.056966520550000004,46.666666666666664,45.94594594594595,50,4.651162790697675,5.714285714285714,0,4,33.33333333333333,5.405405405405405,94.5945945945946,32.432432432432435,67.56756756756756,28.888888888888886,71.11111111111111,27.027027027027028,8.108108108108109,6.622222222222222,82.22222222222221,20.002494324444445,1,15,2.39347094,15.8,3.3,50.9,4.1
2022,28,Seattle Seahawks,1,17,NYJ,5.998209489704566,1-0,100,23,6,17,3,67,4.164179104477612,1570,23.432835820895523,24.08333333333333,12,0.5,16.666666666666664,0,16.666666666666664,25,-21.64007732396,-0.3229862287158209,-1.8033397769966666,-0.3780606139766,-0.16100274265470588,37.3134328358209,36,41.17647058823529,7.8125,4.25531914893617,17.647058823529413,3,25,18,78,54,46,14.925373134328357,85.07462686567165,40,16,6.373134328358209,74.6268656716418,4.939851749253728,3,15,0.609381531975,6.6,15.6,19.5,19.4
