,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2024,,League Avg,,,,,,,,17.692195477753465,0.2,1.56,0.36,5.273522975929978,0.21,1.54,0.38,11.801604668125456,0.19,1.61,0.34,9.415025528811087,0.2,1.7,0.37,8.274252370532459,0.19,1.39,0.35
2024,1,Ja'Marr Chase,CIN,WR,1,17,DEN,21.96969696969697,20.27027027027027,58,0.26,1.76,0.33,34,0.29,1.26,0.27,23,0.22,2.57,0.43,27,0.22,1.19,0.27,31,0.29,2.26,0.39
2024,2,Jerry Jeudy,CLV,WR,1,13,DEN,22.89156626506024,19.402985074626866,57,0.23,4.12,0.68,18,0.11,0.72,0.13,39,0.28,5.69,0.93,27,0.15,1.67,0.28,30,0.3,6.33,1.03
2024,3,Amon-Ra St. Brown,DET,WR,1,15,BUF,26.82926829268293,30.909090909090907,55,0.31,3.51,0.71,7,0.43,3.86,0.67,46,0.26,3.52,0.72,22,0.27,4.68,0.97,33,0.33,2.73,0.55
2024,4,Jameson Williams,DET,WR,1,15,BUF,28.061224489795915,11.904761904761903,55,0.09,0.67,0.23,10,0.2,2.1,1.01,43,0.07,0.37,0.06,22,0.18,1.55,0.25,33,0.03,0.09,0.22
2024,5,David Njoku,CLV,TE,1,13,DEN,46.95652173913044,42.10526315789473,54,0.3,0.96,0.49,18,0.33,0.44,0.49,36,0.28,1.22,0.48,25,0.36,1.48,0.83,29,0.24,0.52,0.19
2024,6,Wan'Dale Robinson,NYG,WR,1,14,NO,27.411167512690355,20.408163265306122,54,0.19,0.7,0.14,17,0.41,2,0.38,37,0.08,0.11,0.04,24,0.25,1.42,0.27,30,0.13,0.13,0.05
2024,7,Tim Patrick,DET,WR,1,15,BUF,33.75796178343949,38.095238095238095,53,0.15,0.57,0.25,7,0.14,0,0,44,0.16,0.68,0.3,21,0.1,0.71,0.45,32,0.19,0.47,0.11
2024,8,Sam LaPorta,DET,TE,1,15,BUF,27.604166666666668,22.727272727272727,53,0.19,2.09,0.34,8,0.13,1.25,0.25,44,0.2,2.3,0.37,22,0.18,3.36,0.52,31,0.19,1.19,0.22
2024,9,Ja'Marr Chase,CIN,WR,1,18,PIT,18.560606060606062,17.56756756756757,49,0.27,1.96,0.52,12,0.42,3.75,1.21,31,0.23,1.65,0.36,20,0.3,2.25,0.72,29,0.24,1.76,0.38
2024,10,Tommy Tremble,CAR,TE,1,13,TB,37.69230769230769,47.05882352941176,49,0.16,1.57,0.26,15,0.27,1.27,0.19,33,0.12,1.76,0.3,37,0.16,0.89,0.17,12,0.17,3.67,0.53
2024,11,Trey McBride,ARZ,TE,1,17,LA,21.030042918454935,25.806451612903224,49,0.33,2.51,0.62,14,0.36,1.57,0.8,34,0.29,2.97,0.56,29,0.31,2.41,0.45,20,0.35,2.65,0.86
2024,12,Malik Nabers,NYG,WR,1,14,NO,24.257425742574256,14.0625,49,0.18,1.61,0.26,14,0.14,0.21,0.09,35,0.2,2.17,0.33,21,0.1,0,0,28,0.25,2.82,0.46
2024,13,Jaylen Waddle,MIA,WR,1,13,GB,35.07462686567165,15.384615384615385,47,0.09,1.13,0.2,3,0,0,0,44,0.09,1.2,0.21,20,0.05,0.6,0.11,27,0.11,1.52,0.26
2024,14,Elijah Moore,CLV,WR,1,13,DEN,23.03921568627451,35.13513513513514,47,0.28,2.36,0.41,17,0.47,4.41,0.68,30,0.17,1.2,0.25,23,0.48,4.22,0.73,24,0.08,0.58,0.1
2024,15,Mike Woods,CLV,WR,1,13,DEN,26.111111111111114,29.411764705882355,47,0.11,0.91,0.16,16,0.13,0.88,0.15,31,0.1,0.94,0.16,22,0.05,0.64,0.11,25,0.16,1.16,0.2
2024,16,Brian Thomas,JAX,WR,1,15,NYJ,22.169811320754718,20.8955223880597,47,0.3,2.23,0.69,16,0.38,2,1.2,26,0.27,2.81,0.51,25,0.4,2.2,0.74,22,0.18,2.27,0.64
2024,17,D.J. Moore,CHI,WR,1,13,DET,21.296296296296298,27.11864406779661,46,0.35,2.11,0.52,27,0.48,3.11,0.76,18,0.17,0.72,0.18,30,0.47,3.03,0.74,16,0.13,0.38,0.1
2024,18,Darius Slayton,NYG,WR,1,14,NO,29.677419354838708,33.33333333333333,46,0.13,0.59,0.1,12,0.08,0,0,34,0.15,0.79,0.14,19,0.11,0.37,0.09,27,0.15,0.74,0.11
2024,19,Tee Higgins,CIN,WR,1,17,DEN,20.72072072072072,24.489795918367346,46,0.26,2.85,0.92,28,0.25,2.68,0.91,17,0.24,2.59,0.49,20,0.2,3.25,0.47,26,0.31,2.54,1.25
2024,20,Andrei Iosivas,CIN,WR,1,17,DEN,23.115577889447238,17.391304347826086,46,0.09,1.28,0.19,28,0.11,1.54,0.23,17,0.06,0.94,0.15,22,0.14,1.95,0.29,24,0.04,0.67,0.11
2024,21,Xavier Legette,CAR,WR,1,13,TB,33.82352941176471,24.242424242424242,46,0.17,1.15,0.2,14,0.14,1.5,0.22,31,0.16,1.03,0.2,34,0.15,0.76,0.14,12,0.25,2.25,0.39
2024,22,David Moore,CAR,WR,1,13,TB,28.125,37.5,45,0.2,0.89,0.2,13,0.15,0,0,31,0.23,1.29,0.29,34,0.21,0.68,0.16,11,0.18,1.55,0.34
2024,23,Trey McBride,ARZ,TE,1,13,MIN,19.313304721030043,19.35483870967742,45,0.27,2.13,0.48,22,0.09,0.55,0.15,22,0.41,3.27,0.74,31,0.26,2.32,0.49,14,0.29,1.71,0.46
2024,24,Marvin Harrison,ARZ,WR,1,17,LA,20.27027027027027,20,45,0.22,2.13,0.35,14,0.36,2.21,0.36,30,0.17,2.17,0.35,28,0.25,1.32,0.24,17,0.18,3.47,0.52
2024,25,Travis Kelce,KC,TE,1,13,LV,25.730994152046783,30.23255813953488,44,0.3,1.55,0.31,20,0.35,3.05,0.55,21,0.24,0.24,0.07,25,0.28,2.44,0.44,19,0.32,0.37,0.14
2024,26,Davante Adams,NYJ,WR,1,16,LA,20.37037037037037,20,44,0.3,1.55,0.45,9,0.78,3,0.63,33,0.18,1.24,0.43,23,0.43,1.65,0.6,21,0.14,1.43,0.29
2024,27,Ja'Marr Chase,CIN,WR,1,13,PIT,16.666666666666664,12.162162162162163,44,0.2,1.95,0.47,14,0.14,0,0,29,0.21,2.83,0.46,28,0.21,0.93,0.2,16,0.19,3.75,0.94
