,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2024,26,Jalen Tolbert,DAL,WR,1,3,BLT,21.5311004784689,15.151515151515152,45,0.11,0.93,0.29,15,0.13,0.53,0.12,30,0.1,1.13,0.38,21,0.14,1.29,0.22,24,0.08,0.63,0.35
2024,27,Demarcus Robinson,LA,WR,1,1,DET,26.993865030674847,30.434782608695656,44,0.16,0.95,0.19,20,0.3,2.1,0.41,21,0,0,0,26,0.19,1.62,0.32,18,0.11,0,0
2024,28,Demarcus Robinson,LA,WR,1,5,GB,26.993865030674847,21.73913043478261,44,0.11,0.64,0.27,16,0.19,0.75,0.57,28,0.07,0.57,0.09,30,0.13,0.9,0.16,14,0.07,0.07,0.51
2024,29,DK Metcalf,SEA,WR,1,2,NE,18.64406779661017,25.925925925925924,44,0.32,2.93,0.66,19,0.32,4.21,0.95,25,0.32,1.96,0.44,24,0.29,1.13,0.28,20,0.35,5.1,1.11
2024,30,Allen Lazard,NYJ,WR,1,4,DEN,20.77294685990338,19.51219512195122,43,0.19,1.35,0.25,18,0.22,1.17,0.23,25,0.16,1.48,0.27,20,0.15,0.6,0.16,23,0.22,2,0.33
2024,31,Jerry Jeudy,CLV,WR,1,1,DAL,20.673076923076923,22.857142857142858,43,0.19,0.58,0.27,6,0.33,1,1.27,37,0.16,0.51,0.11,18,0.17,0.33,0.42,25,0.2,0.76,0.16
2024,32,Nico Collins,HST,WR,1,4,JAX,28.104575163398692,34.090909090909086,43,0.35,3.51,0.77,4,0.25,1.5,0.4,36,0.33,3.94,0.67,10,0.4,2.1,1.01,33,0.33,3.94,0.7
2024,33,Jaxon Smith-Njigba,SEA,WR,1,5,NYG,18.29787234042553,12.5,43,0.14,0.72,0.3,10,0.2,0,0,31,0.1,0.84,0.18,29,0.1,0.1,0.04,14,0.21,2,0.84
2024,34,Jaxon Smith-Njigba,SEA,WR,1,6,SF,18.29787234042553,18.75,43,0.21,1.23,0.24,7,0.29,0,0,31,0.19,1.71,0.33,14,0.21,0.79,0.22,29,0.21,1.45,0.25
2024,35,Brandin Cooks,DAL,WR,1,3,BLT,32.8125,31.57894736842105,42,0.14,0.38,0.09,11,0.27,0,0,31,0.1,0.52,0.12,17,0.29,0.94,0.21,25,0.04,0,0
