,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2024,,League Avg,,,,,,,9.1996879875195,40.19266770670827,4.37,0.2956318252730109,0.0514820592823713,82.3,58.1,35,10.4,4.4,2.2,1,0.4859594383775351,22.86739469578783,0.843213728549142,28.87644305772233,1.5912636505460218,31.79906396255855,0,0,0,2.0834633385335413,6.377769110764436,1.7223088923556942,12.98361934477379,5.578861154446183,7.54,6.23,82.7,0.059282371294851796,3.0964118564742593,0.08268330733229329,0.2706708268330733,0.00858034321372855,9.203666146645798,9.147269890795618,9.147285491419645
2024,1,Saquon Barkley,PHI,RB,1,12,LA,7.536231884057972,26,255,9.81,2,0,96.2,69.2,50,11.5,7.7,7.7,7.7,0,0,4,66.7,6,60,0,0,0,4,18.2,4,47,26.3,11.75,11.75,100,0,0,0,2,0,25.3,46.2,46.2
2024,2,Jonathan Taylor,IND,RB,1,16,TEN,9.570957095709572,29,218,7.52,3,0,82.8,48.3,41.4,6.9,6.9,6.9,6.9,1,33.3,3,60,6,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,39.8,39.8
2024,3,Derrick Henry,BLT,RB,1,4,BUF,7.384615384615385,24,199,8.29,1,0,75,50,37.5,12.5,12.5,12.5,8.3,4,100,4,80,4,80,0,0,0,3,15.8,3,10,6.4,3.33,3.33,100,1,50,1,1,0,20.4,35.9,35.9
2024,4,Jonathan Taylor,IND,RB,1,18,JAX,11.221122112211221,34,177,5.21,1,0,91.2,79.4,50,8.8,2.9,0,0,0,0,2,100,4,100,0,0,0,2,5,1,3,1.1,3,1.5,50,0,0,0,0,0,23.2,25,25
2024,5,Saquon Barkley,PHI,RB,1,7,NYG,4.9275362318840585,17,176,10.35,1,0,82.4,70.6,47.1,17.6,17.6,17.6,17.6,2,25,3,30,4,30.8,0,0,0,2,13.3,2,11,9.6,5.5,5.5,100,0,0,0,0,0,14.7,26.7,26.7
2024,6,Dameon Pierce,HST,RB,1,18,TEN,47.5,19,176,9.26,1,0,94.7,63.2,47.4,21.1,5.3,5.3,5.3,0,0,1,20,2,22.2,0,0,0,2,7.1,0,0,0,0,0,0,0,0,0,1,0,14.8,23.6,23.6
2024,7,Bijan Robinson,ATL,RB,1,18,CAR,9.210526315789473,28,170,6.07,2,0,89.3,78.6,53.6,21.4,7.1,3.6,0,3,75,6,85.7,9,90,0,0,0,5,13.2,2,3,1,1.5,0.6,40,0,0,0,1,0,29.5,31.3,31.3
2024,8,Derrick Henry,BLT,RB,1,7,TB,4.615384615384616,15,169,11.27,0,0,86.7,73.3,33.3,20,13.3,13.3,13.3,0,0,1,100,3,75,0,0,0,1,4.5,1,13,4.6,13,13,100,1,20,0,1,0,12.2,25.2,25.2
