,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2026,19,Jadarian Price,SEA,RB,1,2,ARZ,100,13,52,4,0,1,69.2,46.2,23.1,15.4,7.7,7.7,0,1,12.5,2,20,3,20,0,0,0,2,7.7,1,8,3.4,8,4,50,0,0,0,0,0,11.9,6,6
2026,20,Brian Robinson,ATL,RB,1,2,CAR,100,11,51,4.64,0,0,100,100,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.3,2,16,11,8,8,100,0,0,0,0,0,8.5,8.7,8.7
2026,21,Ashton Jeanty,LV,RB,1,2,LAC,100,21,48,2.29,0,0,71.4,42.9,23.8,0,0,0,0,4,100,4,100,6,85.7,0,0,0,7,24.1,4,15,5.9,3.75,2.14,57.1,0,0,0,0,0,25.8,10.3,10.3
2026,22,Kyle Monangai,CHI,RB,1,2,MIN,100,10,47,4.7,0,0,80,50,30,20,10,0,0,0,0,2,66.7,2,40,0,0,0,2,5.7,2,11,5.7,5.5,5.5,100,0,0,0,1,0,10.3,7.8,7.8
2026,23,D'Andre Swift,CHI,RB,1,2,MIN,100,16,45,2.81,0,1,81.3,43.8,18.8,6.3,0,0,0,1,100,1,33.3,2,40,0,0,0,5,14.3,5,54,28.1,10.8,10.8,100,0,0,1,1,0,17.9,13.9,13.9
2026,24,Rhamondre Stevenson,NE,RB,1,2,PIT,100,6,43,7.17,0,1,100,50,50,16.7,16.7,16.7,0,0,0,0,0,0,0,0,0,0,2,9.1,1,3,1.4,3,1.5,50,0,0,0,0,1,6,4.6,4.6
2026,25,Jaylen Warren,PIT,RB,1,2,NE,100,11,43,3.91,0,0,90.9,72.7,36.4,9.1,0,0,0,0,0,0,0,0,0,0,0,0,3,7.5,2,34,18.2,17,11.33,66.7,0,0,0,0,0,10,9.7,9.7
2026,26,Rachaad White,WAS,RB,1,2,DAL,100,7,43,6.14,0,0,100,85.7,42.9,14.3,0,0,0,1,100,2,66.7,2,40,0,0,0,6,17.1,6,40,19.3,6.67,6.67,100,0,0,0,0,0,14.1,14.3,14.3
2026,27,Jacory Croskey-Merritt,WAS,RB,1,2,DAL,100,12,43,3.58,0,0,83.3,58.3,33.3,0,0,0,0,0,0,0,0,1,20,0,0,0,1,2.9,1,5,2.4,5,5,100,0,0,0,0,0,8.3,5.8,5.8
2026,28,Tyjae Spears,TEN,RB,1,2,PHI,100,7,41,5.86,0,0,85.7,57.1,28.6,14.3,14.3,14.3,0,0,0,0,0,1,9.1,0,0,0,2,10,2,29,15.8,14.5,14.5,100,0,0,0,0,0,7.3,9,9
2026,29,Jonah Coleman,DEN,RB,1,2,JAX,100,10,39,3.9,1,0,80,50,30,20,0,0,0,1,25,2,40,3,33.3,0,0,0,3,9.7,3,19,6.6,6.33,6.33,100,0,0,0,0,0,11.9,14.8,14.8
2026,30,J.K. Dobbins,DEN,RB,1,2,JAX,100,10,36,3.6,0,0,70,50,30,10,10,0,0,3,75,3,60,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,3.6,3.6
2026,31,Cam Skattebo,NYG,RB,1,2,LA,100,12,36,3,0,0,91.7,50,25,0,0,0,0,0,0,1,33.3,1,33.3,0,0,0,4,12.5,4,19,14.5,4.75,4.75,100,0,0,0,0,0,12.8,9.5,9.5
2026,32,Tank Bigsby,PHI,RB,1,2,TEN,100,13,33,2.54,1,0,76.9,46.2,15.4,0,0,0,0,1,100,1,50,2,28.6,0,0,0,2,5.4,2,5,1.9,2.5,2.5,100,0,0,0,0,0,11.1,11.8,11.8
2026,33,Kaleb Johnson,GB,RB,1,2,NYJ,100,8,32,4,0,0,75,62.5,37.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2,3.2
2026,34,Javonte Williams,DAL,RB,1,2,WAS,100,12,30,2.5,0,0,58.3,33.3,25,0,0,0,0,1,100,1,100,3,60,0,0,0,3,9.7,3,20,7.2,6.67,6.67,100,0,0,0,0,0,12.9,8,8
