,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,FP,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,SNAP %,DB,ATT,CMP,CMP %,YDS,YPA,TD,XTD,INT,1D,RATE,ANY/A,SUCC %,SACK,SACK %,SK YDS,SCR,SCR YDS,SCR TD,ATT,YDS,TD,CPOE,ADJ CMP %,ADOT,AYDS,DEEP %,EZATT,YAC %,1ST RD %,ACC %,CATCH %,OFF TGT %,HERO %,TWT %,DROP %,DROP YDS,TTT,TTP,TTSK,TTSC,QBSK,PRESS %,QK PRES %,P2S %,PRES O/E,RB TGT %,WR TGT %,TE TGT %,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %,CKD %,RPO %,TA,BPA,SPK,EPA,EPA/DB,EPA/P,FP/DB,FP/OPP,FP,XFP,FP/G,XFP/G,DIFF,PASS FP,RUSH FP
2026,9,Jalen Hurts,PHI,QB,1,2,TEN,100,100,42,37,26,70.3,264,7.14,2,2.55,2,16,85.9,5.05,51.4,3,7.1,12,2,11,0,5,16,0,6.9,79.4,8.91,303,13.5,4,24.6,62.2,59.5,75.7,16.2,2.7,8.1,2.7,3,3.25,2.89,5.3,3.95,0,35.7,7.1,20,-4.9,17.6,67.6,14.7,55.9,20.6,8.8,14.7,10.8,0,3,0,0,7.7,0.183,0.193,0.42,0.4,18.2,25.7,18.16,25.74,-7.58,16.6,1.6
2026,10,Kirk Cousins,LV,QB,1,2,LAC,100,100,32,29,19,65.5,253,8.72,3,2.71,1,11,113.1,8.48,48.3,2,6.3,5,1,4,0,4,1,0,11.5,82.1,9.89,277,10.3,4,33.6,69,51.7,86.2,10.3,6.9,3.4,13.8,19,2.67,2.71,3,4.4,0,28.1,12.5,22.2,-4.7,27.6,55.2,17.2,48.3,27.6,10.3,13.8,13.8,0,0,0,0,6,0.186,0.186,0.67,0.66,21.2,21.2,21.22,21.19,0.03,21.1,0.1
2026,11,Tyler Shough,NO,QB,1,2,BLT,100,100,39,34,27,79.4,252,7.41,1,1.31,0,11,107.4,6.84,50,3,7.7,19,2,12,0,9,23,1,12.3,90.3,5.55,172,5.9,2,45.2,73.5,76.5,82.4,8.8,5.9,0,2.9,0,2.61,2.52,3.73,6.3,2,30.8,12.8,25,0.2,25.8,58.1,16.1,41.9,32.3,6.5,19.4,5.9,10.3,3,0,0,10.2,0.26,0.28,0.39,0.5,22.4,24,22.38,24.01,-1.63,14.1,8.3
2026,12,Josh Allen,BUF,QB,1,2,DET,100,100,38,31,20,64.5,248,8,3,2.28,0,14,121.4,9.18,64.5,2,5.3,5,5,49,1,14,69,2,4,78.6,7.79,218,9.7,1,43.5,58.1,58.1,77.4,12.9,0,0,6.5,6,2.65,2.74,4.1,5.42,1,57.9,21.1,9.1,28.7,10.7,53.6,35.7,32.1,28.6,25,14.3,9.7,7.9,2,0,0,20.8,0.548,0.559,0.86,0.93,40.8,29.9,40.82,29.88,10.94,21.9,18.9
2026,13,Geno Smith,NYJ,QB,1,2,GB,100,100,49,41,27,65.9,247,6.02,1,1.33,0,11,90.2,5.29,46.3,4,8.2,29,4,17,0,5,17,0,3.3,80,7.03,246,7.3,0,66,48.8,68.3,73.2,12.2,0,2.4,2.4,3,2.74,2.73,3.83,5.58,0,42.9,12.2,19,11.6,17.1,71.4,11.4,48.6,28.6,5.7,17.1,22,2,3,1,1,4.1,0.084,0.027,0.32,0.32,15.6,20.4,15.58,20.4,-4.82,13.9,1.7
2026,14,Deshaun Watson,CLV,QB,1,2,TB,100,100,35,30,24,80,238,7.93,2,1.22,0,10,121.9,8.22,56.7,2,5.7,15,3,14,0,7,22,0,1.8,83.3,3.67,110,3.3,1,69.7,76.7,80,90,10,0,0,3.3,4,2.41,2.58,2.65,5.5,0,37.1,22.9,15.4,10.1,23.3,50,26.7,40,13.3,26.7,20,16.7,5.7,0,0,0,10.7,0.307,0.32,0.54,0.53,19.7,16.7,19.72,16.72,3,17.5,2.2
2026,15,Lamar Jackson,BLT,QB,1,2,NO,100,100,38,31,21,67.7,235,7.58,1,0.9,1,11,87.4,5.26,58.1,3,7.9,31,4,34,0,4,34,0,9.4,78.6,10.62,308,16.1,1,37,67.7,67.7,71,19.4,9.7,3.2,3.2,7,2.82,2.61,2.87,5.25,0,42.1,18.4,18.8,10.4,17.2,55.2,27.6,44.8,31,6.9,17.2,6.5,0,1,0,1,3.6,0.096,0.096,0.42,0.43,15.8,14.4,15.8,14.38,1.42,12.4,3.4
2026,16,Drew Lock,SEA,QB,1,2,ARZ,100,100,27,26,19,73.1,235,9.04,3,1.76,0,12,139.1,10.33,57.7,1,3.7,16,0,0,0,0,0,0,22.6,88.5,9.23,240,11.5,3,46.4,80.8,65.4,88.5,11.5,0,0,15.4,44,2.05,2.23,2.3,0,0,14.8,11.1,25,-9.6,15.4,73.1,11.5,65.4,23.1,7.7,3.8,3.8,3.7,0,0,0,16.1,0.596,0.596,0.79,0.79,21.4,17.3,21.4,17.31,4.09,21.4,0
2026,17,Daniel Jones,IND,QB,1,2,KC,100,100,33,31,22,71,210,6.77,1,1.33,1,12,86.8,5.97,54.8,0,0,0,2,7,0,3,10,0,-6.3,73.3,5.2,156,3.2,1,54.3,80.6,64.5,80.6,16.1,3.2,3.2,0,0,2.65,2.6,0,5.6,0,24.2,9.1,0,-9.4,13.3,60,26.7,30,36.7,20,13.3,9.7,3,1,0,0,4.1,0.125,0.175,0.37,0.36,12.4,15,12.4,15.02,-2.62,11.4,1
2026,18,Drake Maye,NE,QB,1,2,PIT,100,100,27,22,14,63.6,208,9.45,0,0.66,1,6,75.6,5.84,50,3,11.1,17,2,20,0,4,17,0,12.1,84.2,9.95,189,18.2,0,32.2,59.1,59.1,77.3,9.1,4.5,4.5,9.1,12,2.81,2.63,3.33,4.45,1,55.6,25.9,20,24.1,21.1,52.6,26.3,57.9,10.5,15.8,15.8,13.6,0,1,2,0,-3.5,-0.13,-0.13,0.35,0.33,9,13,9.02,13.04,-4.02,7.3,1.7
