,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2022,186,Joe Mixon,CIN,RB,1,8,CLV,8,68.4,6,100,0,23,3.83,0,0.01,0,1,0,0,0,0,0,83.3,16.7,-7,1.83,16.7,2,52.2,0,0,0.016,0.1,1,16.7,4,0,4,100,5,83.3,19,0,3.8,80,8.4,10.8,8.4,10.81,-2.41
2022,187,Kareem Hunt,CLV,RB,1,15,BLT,7.6923076923076925,50,3,50,0,23,7.67,0,0.02,0,0,0,0,0,0,0,66.7,0,8.4,4.33,0,3.33,43.5,0,0,0.222,0.7,1,33.3,9,0,9,0,2,66.7,14,0,7,100,3.6,3.1,3.6,3.06,0.54
2022,188,Devin Singletary,BUF,RB,1,6,KC,8.51063829787234,86.7,4,44.4,0,23,5.75,0,0.07,0,0,0,0,0,0,0,75,25,4.9,4,0,1.75,30.4,0,0,0.297,1.2,2,50,8,0,4,50,2,50,15,0,7.5,100,7.1,7.2,7.1,7.16,-0.06
2022,189,Tony Pollard,DAL,RB,1,15,JAX,15.909090909090908,65.7,7,43.8,0,23,3.29,0,0.03,0,0,0,0,0,0,0,57.1,28.6,-8.6,1.71,28.6,1.57,47.8,0,0,-0.117,-0.8,5,71.4,22,0,4.4,60,2,28.6,1,0,0.5,50,7.5,10.5,7.5,10.52,-3.02
2022,190,D'Andre Swift,DET,RB,1,13,JAX,15.625,55.6,5,83.3,0,23,4.6,0,0.18,0,0,0,0,0,0,0,60,40,-1.5,3.8,0,0.8,17.4,0,0,0.145,0.7,4,80,19,0,4.75,50,1,20,4,0,4,100,4.7,5.3,4.7,5.31,-0.61
2022,191,Clyde Edwards-Helaire,KC,RB,1,7,SF,12,27.8,3,37.5,0,23,7.67,1,0.1,0,1,33.3,16,69.6,0,33.3,66.7,33.3,8.4,4.67,33.3,3,39.1,1,0.33,0.612,1.8,2,66.7,22,1,11,100,1,33.3,1,0,1,0,8.3,2,8.3,2.05,6.25
2022,192,Eno Benjamin,ARZ,RB,1,4,CAR,5.405405405405405,20.7,2,25,0,23,11.5,0,0.1,0,1,50,15,65.2,0,0,100,0,11.8,7.5,0,4,34.8,1,0.5,1.173,2.3,0,0,0,0,0,0,2,100,23,0,11.5,100,4.2,3.3,4.2,3.32,0.88
2022,193,Jaret Patterson,WAS,RB,1,18,DAL,100,34.8,5,62.5,0,23,4.6,0,0.08,0,1,20,14,60.9,0,0,20,60,0.4,2.4,40,2.2,47.8,0,0,-0.099,-0.5,5,100,23,0,4.6,20,0,0,0,0,0,0,2.3,2.7,2.3,2.73,-0.43
2022,194,Rhamondre Stevenson,NE,RB,1,2,PIT,4.3478260869565215,70,3,50,0,23,7.67,0,0.01,0,2,0,0,0,0,0,66.7,0,6.3,3,0,4.67,60.9,0,0,0.821,2.5,1,33.3,8,0,8,0,2,66.7,15,0,7.5,100,2.3,1.7,2.3,1.71,0.59
2022,195,Kyren Williams,LA,RB,1,12,KC,40,80.6,6,50,0,23,3.83,0,0.01,0,1,0,0,0,0,0,33.3,50,-7.4,3.33,33.3,0.5,13,0,0,-0.145,-0.9,3,50,10,0,3.33,33.3,3,50,13,0,4.33,33.3,5.3,6.2,5.3,6.22,-0.92
