,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2023,,League Avg,,,,,,,,17.4406015037594,0.19,1.51,0.33,4.590977443609023,0.2,1.59,0.37,12.21203007518797,0.19,1.53,0.31,9.422556390977444,0.2,1.61,0.34,8.018045112781955,0.18,1.4,0.33
2023,1,Amon-Ra St. Brown,DET,WR,1,7,BLT,27.31958762886598,32.758620689655174,53,0.36,1.92,0.44,11,0.36,1.82,0.36,39,0.38,2.1,0.49,25,0.36,2.48,0.49,28,0.36,1.43,0.39
2023,2,Chris Olave,NO,WR,1,7,JAX,32.31707317073171,28.57142857142857,53,0.26,1.08,0.24,7,0.29,0,0,43,0.28,1.33,0.3,26,0.27,0.88,0.2,27,0.26,1.26,0.27
2023,3,Garrett Wilson,NYJ,WR,1,9,LAC,25.118483412322274,21.428571428571427,53,0.23,1.51,0.28,5,0,0,0,45,0.27,1.78,0.33,15,0.2,0.8,0.21,38,0.24,1.79,0.31
2023,4,Michael Thomas,NO,WR,1,7,JAX,52.57731958762887,41.17647058823529,51,0.14,0.82,0.26,7,0.43,2.43,1.24,41,0.07,0.61,0.11,24,0.25,1.75,0.55,27,0.04,0,0
2023,5,Stefon Diggs,BUF,WR,1,12,PHI,21.645021645021643,20,50,0.22,1.48,0.39,17,0.12,1.29,0.19,33,0.27,1.58,0.49,29,0.24,1.34,0.24,21,0.19,1.67,0.6
2023,6,CeeDee Lamb,DAL,WR,1,9,PHI,26.595744680851062,26.666666666666668,50,0.32,3.82,0.6,22,0.41,5.32,0.8,27,0.22,2,0.35,31,0.32,3.87,0.58,19,0.32,3.74,0.64
2023,7,Diontae Johnson,PIT,WR,1,8,JAX,26.229508196721312,28.57142857142857,48,0.29,1.77,0.34,3,0.33,0,0,44,0.3,1.93,0.38,21,0.29,2.05,0.4,27,0.3,1.56,0.3
2023,8,Terry McLaurin,WAS,WR,1,8,PHI,18.89763779527559,21.153846153846153,48,0.23,1.31,0.36,14,0.29,0,0,34,0.21,1.85,0.51,27,0.22,0.85,0.16,21,0.24,1.9,0.62
