,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2022,19,Miles Sanders,PHI,RB,1,14,NYG,6.563706563706563,17,144,8.47,2,0,88.2,76.5,52.9,29.4,17.6,11.8,5.9,1,50,1,33.3,3,42.9,0,0,0,3,9.7,1,11,5.1,11,3.67,33.3,0,0,0,0,0,15.4,28.5,28.5
2022,20,Josh Jacobs,LV,RB,1,13,LAC,7.647058823529412,26,144,5.54,1,1,88.5,73.1,46.2,11.5,3.8,3.8,0,0,0,0,0,3,100,0,0,0,2,6.7,2,6,2.4,3,3,100,0,0,0,0,1,18.4,22,22
2022,21,Josh Jacobs,LV,RB,1,4,DEN,8.235294117647058,28,144,5.14,2,0,85.7,67.9,46.4,10.7,3.6,3.6,3.6,1,100,5,100,6,85.7,0,0,0,6,17.6,5,31,16.5,6.2,5.17,83.3,0,0,0,0,0,27.8,34.5,34.5
2022,22,D'Andre Swift,DET,RB,1,1,PHI,15.151515151515152,15,144,9.6,1,0,93.3,73.3,60,33.3,20,6.7,6.7,0,0,1,16.7,2,22.2,0,0,0,3,8.1,3,31,14.4,10.33,10.33,100,0,0,0,0,0,13.6,26.5,26.5
2022,23,Aaron Jones,GB,RB,1,8,BUF,9.389671361502346,20,143,7.15,0,0,95,85,60,20,5,5,5,0,0,0,0,0,0,0,0,0,5,16.7,4,14,6.9,3.5,2.8,80,0,0,0,1,0,18.3,19.7,19.7
2022,24,Miles Sanders,PHI,RB,1,12,GB,8.108108108108109,21,143,6.81,2,0,90.5,71.4,57.1,19,14.3,9.5,0,1,25,1,20,2,28.6,0,0,0,3,10.7,3,17,11.1,5.67,5.67,100,0,0,0,0,0,16.6,31,31
2022,25,Josh Jacobs,LV,RB,1,7,HST,5.88235294117647,20,143,7.15,3,0,85,85,70,35,5,0,0,1,100,2,100,3,100,0,0,0,4,14.8,3,12,5,4,3,75,0,0,0,0,0,18.4,36.5,36.5
2022,26,Cordarrelle Patterson,ATL,RB,1,3,SEA,11.805555555555555,17,141,8.29,1,0,94.1,82.4,52.9,23.5,23.5,5.9,5.9,0,0,0,0,2,40,0,0,0,1,5,1,12,5.2,12,12,100,0,0,0,0,0,11.6,22.3,22.3
2022,27,Nick Chubb,CLV,RB,1,1,CAR,7.28476821192053,22,141,6.41,0,0,90.9,72.7,50,18.2,13.6,9.1,0,0,0,1,100,2,33.3,0,0,0,1,2.9,1,2,1.4,2,2,100,0,0,0,0,0,14.1,15.3,15.3
2022,28,Dameon Pierce,HST,RB,1,9,PHI,12.272727272727273,27,139,5.15,0,0,85.2,74.1,44.4,11.1,3.7,3.7,3.7,0,0,1,100,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,13.9,13.9
2022,29,Tyler Allgeier,ATL,RB,1,15,NO,8.095238095238095,17,139,8.18,1,0,100,88.2,64.7,17.6,11.8,5.9,5.9,1,50,1,33.3,3,37.5,0,0,0,1,3.8,1,-3,-3.1,-3,-3,100,0,0,0,0,0,12.4,22.6,22.6
2022,30,Aaron Jones,GB,RB,1,10,DAL,11.267605633802818,24,138,5.75,1,0,91.7,66.7,50,12.5,8.3,4.2,4.2,0,0,0,0,3,60,0,0,0,2,10,2,18,8,9,9,100,0,0,0,0,0,17.4,23.6,23.6
2022,31,Raheem Mostert,MIA,RB,1,15,BUF,9.392265193370166,17,136,8,0,0,82.4,64.7,41.2,17.6,5.9,5.9,5.9,1,100,1,100,2,50,0,0,0,1,3.3,1,20,8.5,20,20,100,0,0,0,0,0,11.6,16.6,16.6
2022,32,Tyler Allgeier,ATL,RB,1,18,TB,11.428571428571429,24,135,5.63,0,0,79.2,58.3,45.8,20.8,12.5,4.2,0,1,50,3,60,6,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,13.5,13.5
2022,33,Nick Chubb,CLV,RB,1,5,LAC,5.629139072847682,17,134,7.88,2,0,82.4,52.9,41.2,29.4,17.6,11.8,5.9,2,66.7,2,66.7,3,42.9,0,0,0,1,2.9,0,0,0,0,0,0,0,0,0,0,0,12.4,25.4,25.4
2022,34,Miles Sanders,PHI,RB,1,4,JAX,10.424710424710424,27,134,4.96,2,0,77.8,55.6,40.7,14.8,3.7,3.7,3.7,1,50,3,60,7,41.2,0,0,0,3,12,2,22,10.8,11,7.33,66.7,0,0,0,0,0,23.6,29.6,29.6
2022,35,Kenneth Walker,SEA,RB,1,17,NYJ,10.087719298245613,23,133,5.78,0,0,78.3,60.9,30.4,13,4.3,4.3,4.3,1,100,4,100,6,100,0,0,0,1,3.4,1,9,4.9,9,9,100,0,0,0,0,0,17.8,15.2,15.2
2022,36,Aaron Jones,GB,RB,1,2,CHI,7.042253521126761,15,132,8.8,1,0,93.3,86.7,66.7,26.7,20,6.7,6.7,0,0,0,0,2,50,0,0,0,3,12,3,38,16.2,12.67,12.67,100,1,50,1,1,0,14.3,32,32
2022,37,Tony Pollard,DAL,RB,1,8,CHI,7.253886010362693,14,131,9.36,3,0,85.7,57.1,50,28.6,21.4,7.1,7.1,0,0,1,50,2,40,0,0,0,1,3.7,1,16,6.4,16,16,100,0,0,0,0,0,10.1,33.7,33.7
2022,38,Dameon Pierce,HST,RB,1,4,LAC,6.363636363636363,14,131,9.36,1,0,85.7,64.3,42.9,14.3,7.1,7.1,7.1,0,0,0,0,1,100,0,0,0,6,17.1,6,8,3.3,1.33,1.33,100,0,0,0,0,0,16.8,25.9,25.9
2022,39,Latavius Murray,DEN,RB,1,15,ARZ,14.035087719298245,24,130,5.42,1,0,83.3,62.5,37.5,12.5,8.3,8.3,4.2,1,50,2,66.7,2,50,0,0,0,1,3.8,1,12,6.1,12,12,100,0,0,0,0,0,15.1,21.2,21.2
2022,40,D'Onta Foreman,CAR,RB,1,10,ATL,15.270935960591133,31,130,4.19,1,0,80.6,61.3,35.5,12.9,3.2,3.2,0,0,0,0,0,5,100,0,0,0,1,6.3,0,0,0,0,0,0,0,0,0,0,0,21,19,19
2022,41,Derrick Henry,TEN,RB,1,7,IND,8.595988538681947,30,128,4.27,0,0,80,53.3,30,10,6.7,6.7,0,0,0,0,0,2,100,0,0,0,3,15,3,10,7.6,3.33,3.33,100,0,0,0,0,0,21.1,16.8,16.8
2022,42,Leonard Fournette,TB,RB,1,1,DAL,11.11111111111111,21,127,6.05,0,0,90.5,66.7,52.4,28.6,9.5,0,0,1,100,1,100,2,66.7,0,0,0,2,7.4,2,10,4.7,5,5,100,0,0,0,0,0,15.1,15.7,15.7
2022,43,Derrick Henry,TEN,RB,1,16,HST,6.59025787965616,23,126,5.48,1,1,87,43.5,39.1,17.4,4.3,4.3,4.3,0,0,0,0,1,50,0,0,0,2,8.7,2,0,0,0,0,100,0,0,0,0,0,15.3,19.6,19.6
2022,44,J.K. Dobbins,BLT,RB,1,15,CLV,14.130434782608695,13,125,9.62,0,0,92.3,92.3,61.5,30.8,23.1,15.4,7.7,0,0,0,0,2,50,0,0,0,1,3.3,1,3,2.2,3,3,100,0,0,0,0,0,9.6,13.8,13.8
