,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,10,Zay Flowers,BLT,WR,1,1,BUF,4.310344827586207,7.6923076923076925,90,20,90.9,9,47.4,7.15,0.45,10.67,96,54.2,143,68.4,15.89,20.43,7,77.8,89,12.71,6,0.86,1,0.23,50,0,1,0,5,0.25,155.8,8,53.3,3,33.3,7,77.8,2,57.1,0,0,0,0,0,0,0,0,50,7.23,1.091,55,45,0,0,28.1,18.2,28.1,18.25,9.85,1.36,0.87,17.3
2025,11,Kendrick Bourne,SF,WR,1,5,LA,11.30952380952381,21.153846153846153,80.7,38,76,11,22.4,3.74,0.29,7.64,84,32.4,142,41.5,12.91,14.2,10,90.9,62,6.2,51,5.1,0,0.74,0,1,0,0,8,0.211,118.8,9,25,0,0,11,100,0,11.1,1,9.1,2,2,100,0,2,0.2,28.9,5.52,1.015,76.3,23.7,0,0,24.2,24.9,24.2,24.89,-0.69,0.64,0.66,24.9
2025,12,Kendrick Bourne,SF,WR,1,6,TB,11.30952380952381,17.307692307692307,80.6,38,80.9,9,23.1,3.74,0.24,13.11,118,38.9,142,40.9,15.78,28.4,5,55.6,64,12.8,19,3.8,0,0.05,0,1,0,0,4,0.105,60.9,9,34.6,0,0,6,66.7,2,40,0,0,4,2,50,0,0,0,29,6.96,0.436,86.8,13.2,0,0,19.2,12.8,19.2,12.81,6.39,0.51,0.34,12.8
2025,13,Wan'Dale Robinson,NYG,WR,1,2,DAL,6.5009560229445515,7.575757575757576,70.8,34,75.6,10,24.4,4.18,0.29,17,170,32.3,142,31.6,14.2,17.75,8,80,29,3.63,14,1.75,1,1.15,33.3,1,1,1,5,0.147,152.1,8,29.6,1,10,9,90,4,37.5,0,0,1,0,0,0,0,0,32.3,4.76,1.054,20.6,79.4,0,0,28.2,27.8,28.2,27.83,0.37,0.83,0.82,27.8
2025,14,George Pickens,DAL,WR,1,4,GB,6.518010291595197,8.396946564885496,89.6,38,92.7,11,27.5,3.53,0.29,15.64,172,51.3,134,42,12.18,16.75,8,72.7,29,3.63,6,0.75,2,1.16,66.7,1,2,1,7,0.184,153,9,42.9,0,0,9,81.8,5,42.9,1,9.1,2,2,100,1,1,0.13,29.7,2.86,1.373,94.7,5.3,0,0,33.4,24.6,33.4,24.61,8.79,0.88,0.65,24.6
2025,15,Jaxon Smith-Njigba,SEA,WR,1,5,TB,6.263048016701461,5.7324840764331215,88.9,30,88.2,9,26.5,4.4,0.3,12.44,112,38.6,132,38.7,14.67,16.5,8,88.9,38,4.75,15,1.88,1,0.54,25,1,1,1,6,0.2,155.8,9,36,1,11.1,9,100,1,28.6,1,11.1,2,1,50,1,0,0,29,6.3,1.22,73.3,26.7,0,0,27.2,20,27.2,20.03,7.17,0.91,0.67,20
2025,16,Calvin Ridley,TEN,WR,1,5,ARZ,22.2972972972973,26.47058823529412,66.2,33,78.6,9,23.1,3.97,0.27,16.89,152,41.8,131,49.4,14.56,26.2,5,55.6,17,3.4,0,0,0,0.3,0,0,0,0,4,0.121,100.5,9,32.1,0,0,6,66.7,3,60,1,11.1,1,0,0,0,0,0,33.3,4.94,0.991,72.7,27.3,0,0,18.1,19.2,18.1,19.18,-1.08,0.55,0.58,19.2
2025,17,Puka Nacua,LA,WR,1,1,HST,4.708520179372197,6.748466257668712,63.2,21,65.6,11,37.9,6.19,0.52,8.36,92,39,130,53.1,11.82,13,10,90.9,47,4.7,33,3.3,0,0.07,0,0,0,0,7,0.333,115.9,11,40.7,1,9.1,10,90.9,0,30,0,0,0,0,0,0,2,0.2,55,4.03,0.861,19,76.2,0,4.8,23.1,22.8,23.1,22.75,0.35,1.1,1.06,22.3
2025,18,Rome Odunze,CHI,WR,1,2,DET,10.249307479224377,12.5,100,37,92.5,11,33.3,3.46,0.3,18.27,201,64,128,54.7,11.64,18.29,7,63.6,38,5.43,10,1.43,2,1,100,2,2,1,6,0.162,143.2,9,37.5,0,0,10,90.9,5,60,2,18.2,1,0,0,0,1,0.14,35.5,1.72,1.105,62.2,37.8,0,0,31.8,31.5,31.8,31.53,0.27,0.86,0.85,31.5
2025,19,DK Metcalf,PIT,WR,1,4,MIN,4.895104895104895,5.1020408163265305,79.2,21,84,5,22.7,6,0.24,6.4,32,48.5,126,63,25.2,25.2,5,100,94,18.8,14,2.8,1,0.04,100,1,0,0,5,0.238,158.3,5,41.7,0,0,5,100,0,25,0,0,1,1,100,1,4,0.8,27.8,18.06,2.011,52.4,47.6,0,0,23.6,8.9,23.6,8.87,14.73,1.12,0.42,8.9
