,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,TGT %,TGT,TGT %,REC,YDS,TM YDS %,YPR,YPT,CR %,TD,TM TD %,i10,i20 TGT,FUM,FP,FP/G
2025,,League Avg,,,,,,,6.4033613445378155,19.11491596638655,4.466386554621849,59.70378151260504,25.08802521008405,13.37,9.32,69.8,0.37815126050420167,19.266806722689083,0.34663865546218486,0.8172268907563025,0.01680672268907563,12.844117647058829,12.844075630252105
2025,1,Michael Wilson,ARZ,WR,1,11,SF,14.516129032258066,18,31.6,15,185,40.9,12.33,10.28,83.3,0,0,0,0,0,33.5,33.5
2025,2,DeVonta Smith,PHI,WR,1,7,MIN,9.734513274336283,11,47.8,9,183,56.1,20.33,16.64,81.8,1,33.3,0,0,0,33.3,33.3
2025,3,Jaxon Smith-Njigba,SEA,WR,1,12,TEN,6.369426751592357,10,38.5,8,167,68.4,20.88,16.7,80,2,100,0,5,0,37.1,37.1
2025,4,Oronde Gadsden,LAC,TE,1,7,IND,11.76470588235294,8,14.5,7,164,39,23.43,20.5,87.5,1,33.3,1,2,0,29.4,29.4
2025,5,Ja'Marr Chase,CIN,WR,1,7,PIT,12.70718232044199,23,48.9,16,161,47.1,10.06,7,69.6,1,33.3,2,3,0,38.1,38.1
2025,6,Wan'Dale Robinson,NYG,WR,1,12,DET,9.848484848484848,13,35.1,9,156,39.1,17.33,12,69.2,1,33.3,0,0,0,30.6,30.6
2025,7,Amon-Ra St. Brown,DET,WR,1,12,NYG,7.83132530120482,13,31,9,149,53.4,16.56,11.46,69.2,1,50,0,2,0,29.9,29.9
2025,8,George Pickens,DAL,WR,1,12,PHI,6.870229007633588,9,25,9,146,41.2,16.22,16.22,100,1,50,1,1,0,29.6,29.6
2025,9,George Pickens,DAL,WR,1,11,LV,8.396946564885496,11,33.3,9,144,53.7,16,13.09,81.8,1,25,0,2,0,29.4,29.4
2025,10,Tucker Kraft,GB,TE,1,8,PIT,19.51219512195122,8,21.6,7,143,39.7,20.43,17.88,87.5,2,66.7,1,3,0,33.3,33.3
2025,11,Rashee Rice,KC,WR,1,12,IND,15.584415584415584,12,26.1,8,141,40.1,17.63,11.75,66.7,0,0,3,4,0,24.1,24.1
2025,12,Nico Collins,HST,WR,1,10,JAX,11.864406779661017,14,31.1,7,136,46.6,19.43,9.71,50,0,0,1,5,0,22.6,22.6
2025,13,Tetairoa McMillan,CAR,WR,1,11,ATL,8.403361344537815,10,22.2,8,130,29,16.25,13,80,2,66.7,1,4,0,33,33
2025,14,Jaxon Smith-Njigba,SEA,WR,1,9,WAS,5.7324840764331215,9,37.5,8,129,39.1,16.13,14.33,88.9,0,0,0,0,0,22,22
2025,15,Jordan Addison,MIN,WR,1,7,PHI,16.43835616438356,12,28.6,9,128,40.9,14.22,10.67,75,0,0,0,4,0,21.8,21.8
2025,16,Trey McBride,ARZ,TE,1,10,SEA,7.878787878787878,13,28.9,9,127,49.2,14.11,9.77,69.2,1,50,1,3,0,27.7,27.7
2025,17,Brock Bowers,LV,TE,1,9,JAX,15.66265060240964,13,33.3,12,127,44.7,10.58,9.77,92.3,3,75,3,5,0,43.3,43.3
2025,18,Jalen Nailor,MIN,WR,1,10,BLT,12,6,14.3,5,124,50,24.8,20.67,83.3,1,100,1,2,0,23.4,23.4
2025,19,Jaxon Smith-Njigba,SEA,WR,1,7,HST,8.280254777070063,13,40.6,8,123,57.7,15.38,9.46,61.5,1,100,0,1,0,26.3,26.3
2025,20,A.J. Brown,PHI,WR,1,7,MIN,5,6,26.1,4,121,37.1,30.25,20.17,66.7,2,66.7,0,0,0,28.1,28.1
2025,21,Tee Higgins,CIN,WR,1,9,CHI,9.473684210526317,9,19.1,7,121,25.7,17.29,13.44,77.8,2,50,1,1,0,33.1,33.1
2025,22,Keenan Allen,LAC,WR,1,7,IND,11.864406779661017,14,25.5,11,119,28.3,10.82,8.5,78.6,1,33.3,2,2,0,28.9,28.9
2025,23,Drake London,ATL,WR,1,11,CAR,8.333333333333332,9,30,7,119,53.4,17,13.22,77.8,0,0,0,0,0,18.9,18.9
2025,24,Jameson Williams,DET,WR,1,10,WAS,7.07070707070707,7,20,6,119,37.2,19.83,17,85.7,1,33.3,0,1,0,23.9,23.9
2025,25,Drake London,ATL,WR,1,9,NE,12.962962962962962,14,37.8,9,118,53.4,13.11,8.43,64.3,3,100,4,6,0,38.8,38.8
2025,26,Michael Wilson,ARZ,WR,1,12,JAX,11.29032258064516,14,28,10,118,37.5,11.8,8.43,71.4,0,0,0,1,0,21.8,21.8
2025,27,Colston Loveland,CHI,TE,1,9,CIN,8.860759493670885,7,18.9,6,118,39.1,19.67,16.86,85.7,2,50,1,1,0,29.8,29.8
2025,28,Hunter Henry,NE,TE,1,12,CIN,11.904761904761903,10,28.6,7,115,39.1,16.43,11.5,70,1,100,1,3,0,24.5,24.5
2025,29,Michael Pittman,IND,WR,1,9,PIT,10.185185185185185,11,22,9,115,34.3,12.78,10.45,81.8,0,0,0,0,0,20.5,20.5
2025,30,Alec Pierce,IND,WR,1,9,PIT,14.285714285714285,12,24,6,115,34.3,19.17,9.58,50,0,0,0,0,0,17.5,17.5
2025,31,Trey McBride,ARZ,TE,1,11,SF,6.666666666666667,11,19.3,10,115,25.4,11.5,10.45,90.9,1,50,1,2,0,27.5,27.5
2025,32,Emeka Egbuka,TB,WR,1,10,NE,10.236220472440944,13,30.2,6,115,42.1,19.17,8.85,46.2,1,33.3,2,2,0,23.5,23.5
2025,33,Rome Odunze,CHI,WR,1,8,BLT,11.363636363636363,10,26.3,7,114,40,16.29,11.4,70,0,0,0,1,0,18.4,18.4
